Text: 嗯嗯嗯嗯，推敲每一道笔触拆解每一个画面。饥核网独家呈现漫画家 CMJ 的专栏电台无稽之谈。以抽丝剥茧的剖析与真诚坦率的讲述，和你一起读漫画史上的经典名片，加入饥合网会员计划， g pass 即刻收听无稽之谈。嗯，对对哒是的， just sare up 随意小猫想各位听众大家好，, Start Time: 720
Text: 哎呀，咱们说呀，有一句俗话叫做女人，何苦为难女人呢？那她得是人啊，这一下盆骨敲碎，可以说是正中要害，这这就是得理不饶人，扭腰一个回马枪，正中比丽娜脊梁这一下把脊柱都敲折了啊，米丽娜哼都没哼一声，跟一滩烂泥一样，是就地昏迷好嘛。这个回身一看，哎呦，打赢了，但是呢联系当下这个境况啊，, Start Time: 569290
Text: 没有什么喜悦之情，说你呀妄称姐妹，你可知道我与公主啊才是真正的情同。姐妹，哪有你这妖怪说话的份儿，他这边摆脱了追逐这一想，整个外界还有谁能助我一臂之力把公主救出来呢？嗯，想来想去，哎呦，腰开始疼了，仔细一琢磨不对劲啊，为什么疼呢？哦，前一阵跟地球来凑合饭，, Start Time: 598320
Text: 打过一架，莫非雷电那帮人有戏呢。但是外界这么大，此刻呢也不知道这帮人身在何处啊。不行，我必须得找到他们，才能找回给公主的一线生机。买张高铁票奔保定了，那可不雷电坑住有声细语的是吧？但是呢编剧推进这个游戏剧情的心态实在太迫切了。你说的就是整整张票，就是奔保定啊，, Start Time: 625470
Text: 没那功夫这的也就是想一想还没动身呢，就听到空中是轰雷电闪啊，一道电光劈下有咔嚓啊，这回这电光规模还挺大，以前都是一个人三个人。这回这个电光里边走出来五个人和为首之人，正是雷电啊，身后跟着这个 johny cage smoke 刘康空老啊，阵容庞大，等于说他把找能找着会喘气儿的都找齐了。, Start Time: 651790
Text: 这个一看，哎呦喂嘿想啥来啥啊，想吃奶来了，妈妈想娘家人小孩的舅舅来了啊，他这仔细定睛观瞧啊，哎呦，我妹夫刘康也在其中啊，你这个父心的玩意儿啊，你说你要早来一会儿，我们家公主犯得着我压起来吗？但是这时候你也不能细琢磨，赶紧迎着前去要说明情况。嗯，哪知道这边来五直男啊，, Start Time: 676825
Text: 里边就有那个脑袋，不是特别好使的。什么。我走在前面往地上一看，哎呦，地上躺一姑娘再一看，哎呦，这不公主吗？再仔细一瞧，哎呦，这这怎么打成这样啊，只有出劲儿没进气儿了。他在抬眼一看是怒火顿生啊，手指这个说你这个娘们儿怎么这么恶毒啊，这公主与少康已经是割袍断义。, Start Time: 703640
Text: 你跟他在一块儿这么多年，你就这么对待他啊。说完了，身上散发出缕缕青烟呢，眼看就要动真格的刘康在后边儿一看，哎，地上躺着是公主吗？仔细一看啊，不是啊，但是身材也不错啊，在啥美眼到底是不是呢？啊，不是啊，太怪了，再看一眼啊，穿的比公主还少啊。好啊，再看一眼啊，, Start Time: 727580
Text: 就这样他们在后边看地上躺的是谁呢？这个在前面跟斯邦克打交道呢，一听就知道他误会了。嗯，雷电这边一看坏了，这怎么上来一莽洲人呢？缺心眼儿是吧？就算地上躺那个真是公主，咱们是不是也得把事儿摊开说呀？赶紧说，哎， smoke 你住手啊，闭上那个并非是他娜哦，但是呢前面的哥们儿肌肉比脑先行动啊，, Start Time: 753520
Text: 这个也不是谁谁专利。雷电说出让他停手的时候，他已经是幻化成一团，黑烟冲向这个两人不由分说就打成一团。这个这一看心里也非常生气，你说你这傻老爷们儿你都不给人解释机会啊，抬手就打，怎么那么自信呢？是吧？嗯，我今儿就得教训教你想到这儿是振作精神呢。手里一条长棍，, Start Time: 779820
Text: 抡得虎虎生风，把这 ksmoke 笼罩在一团光影之间，克本来就是怒火攻心呐，出手很饥饿。但是他这边从小在灵鬼氏族里边长大，缺少一些必要的江湖常识啊，就是不要给女人惹毛了。你看就是说中国的武林，他也讲这个就是和尚闹事，女人、小孩这些事儿，你不能惹啊走江湖的。, Start Time: 802840
Text: 但凡有这种身份，那是了不得的人物。没有，就是一招两招，绝地傍身，他也不敢出在这个险恶的环境里说的。对啊，这在这边可太生气了。本来我这边刚才打的主意是找你们去求救我们家公主身陷险境命在旦夕，要不是万不得已，我为什么要想你们这些臭直男呢？结果你上来就给我扣帽子啊，, Start Time: 825510
Text: 我这必须当场好好打你两拳。想到这是怒从心头起，恶向胆边生啊，双手加紧使唤兵刃。这 smosmoke 本来仗的是烟雾幻化的本领，但是被这棍子兜起的进风给压制了，没有机会转换身形，心里边有点慌。哎呦，这娘们有两把刷子啊，好文良，但是他这边一分神就露出破绽了，这得一看心说有机会啊，, Start Time: 846950
Text: 我这不是也别想什么新花样来点朴世刚剑的当下是悄不其身。到了斯偶近前，故技重施，双手兜着他肩膀，那么一揽 mosmoo 没反应过来呢，这个已经到他身后，这棍子自下而上，一个海底捞月使得十乘十的力气带着风声就奔着两腿中间去了。嚯啊耳轮中就一听到啪是一声，哎呀，, Start Time: 873800
Text: 当时是弹夜飞溅呐，啊，就是你炒鸡蛋之前啪嚓那一下子啊，这一关打出了断子绝孙的气势，这 smoke 一声惨叫，旁边观战的众位男子是倒吸了一口凉气，胯下一紧呐嗯哎呦，这位女英雄下手好生的毒辣，这施主是毫无慈悲之情啊，但是这还没完，只见这等是大喝一声，手里棍子光焰暴涨，, Start Time: 898720
Text: 抡圆了，奔着斯 moke 腰又去了心说，老娘今儿就给你长点教训啊，所谓棍棒底下出孝子，今儿你就得孝顺孝顺，我彻底把你这念下来给你断了。哎，之后呢，下半生你是不是在轮椅上过，跟我一点关系都没有，也算做好事儿，就听啪嚓一声巨响，这斯 moke 太惨了，被结结实实扫中了腰间，, Start Time: 924020
Text: 当时又打了个生活，不能自理惨叫一声咕噜噜滚出多远去，这腰是横里竖里都废了啊，外肾内肾没一个好的。当时躺在地上一顿抽搐是就地昏迷俩，肾子不够使啊，这个内肾外肾外边有俩，里边有俩都弯了。那还啊啊对四个也不够使啊，四个不够使啊，雷电这边剩下的人一看啊，鸦雀无声，, Start Time: 943340
Text: 一个说话都没有，怎么着呢？这事儿你不占理，大伙儿都埋怨，就地上躺着没肾那个首先你上来不听人劝啊，其次你主动挑衅，再次你要说挑衅完，你打赢了也行，技不如人啊，但没了事儿，小耽误双方合作。地球没了事儿，大呀，这属于自己找打，是没话说。所以大家一时之间面面相觑，, Start Time: 966650
Text: 场景非常尴尬。雷电这边还琢磨着，就是怎么破局呢？就听后边有人拍巴掌。好哎呀，好，雷电心说这谁呀？这么没眼力劲儿啊，回头一看， johnnk 整理一看，大伙儿都看他啊，也有点窘迫，就说哎呀这个我拍两下巴掌啊，所所所谓说这个行家伸伸手便知有没有啊，你看人家妹子那使的一手好功夫，, Start Time: 989690
Text: 雷电说，你看出功夫好在哪儿了？张震说。嗨所谓说英雄惜英雄好汉，惜好汉呢，我也是一个打蛋的行家里手，嗯，还有个拳头嘛。哎，但是你看人家打蛋棍法，那是毫不拖泥带水，一上手奔着绝后去的，一点情面都不留啊，这肯定是有个苦心的训练名师的指点，看的我非常赞许啊。我找时间，, Start Time: 1016430
Text: 我想跟妹子交流一下，你给我这机会不啊，雷电一听，你也没正经了呀。一看这个收起了架势哦，也不是撕破脸，他也不是说一个人想打我们五个，否则他这章节也太长了，还是有谈判空间的。好，可以聊聊当下，赶紧是抢不上钱，说姑娘息怒息怒啊，这得一看雷电过来了啊，那还是有得聊的。, Start Time: 1036730
Text: 赶紧拱手说，我并不想与这位老兄为敌呀。奈何他出口不逊还要动手，这实在是没办法了。雷电在前面跟 j 的接洽，后边 johny 又开始碎嘴子了啊，这个毛病就永远改不了，说哎呦，这妹子说话还挺厉害的哈，还实在没办法了，我呀还是倾向她认为是个坏女人，要不然他跟着海滩之上把一挺好的姑娘揍的就地昏迷，, Start Time: 1061215
Text: 算怎么回事呢？啊，我这个人分辨善良和邪恶很简单，谁身材好，谁就善良。过去在这个电影界啊啊，收拾这种坏女人是非常在行的。要不然你像雷电那种社恐的人，我觉得不行，我上去跟他谈吧。刘浩忠也差不多得了，地上躺着也不是公主。而且雷电如果想跟他沟通的话，那说明他可能掌握了什么，, Start Time: 1089510
Text: 我们不知道的秘密。空老爷在跟那儿帮腔说，嗨，谁不知道你真正目的是什么呢？还坏女人人呢，不是只有黑白两面的啊，我劝你善良，这边他们还胡说八道，就听远处两人对话飘了一句，说，咱们必必须得赶紧救公主啊。眼下，她被重兵看押，你们如果见死不救，那他很快就命丧求饶啊，, Start Time: 1111120
Text: 没有多少时间了。刘康一听，哎呦，这怎么回事？地上躺的不是我媳妇儿，合着我媳妇比这还惨，三天没见去，这山抓起来还判死刑啊，这犯了奶门官司了，这回也顾不得礼貌了，赶紧抢不上钱呢，是追问这个，说你说给他娜给关押起来了，他究竟是咋回事啊，给关哪儿了，这个就把公主的事儿原原本本给地球众人讲述了一遍，, Start Time: 1134710
Text: 说如此这么般，这般如此。最后说公主，她眼下呀给封印了魔力，现在呢正被关在少康总部堡垒的塔楼之上，是命在旦夕。刘康一听，哎呦，钢牙咬碎啊，媳妇儿啊，你遭了罪了呀，昨天还贵为公主，锦衣玉食，今天就撂靠加身，命如浮游啊，他是急的要死。当下又问雷电说咱现在怎么办？, Start Time: 1161610
Text: 雷电稍微一沉吟说，哎呀，这个情况啊，这个结果他也不是我能预料到的呀，他很不让人满意，但是也没有办法呀，我们必须还是得接受现实的。既然说邵坑那边占据了这么大的优势，那咱们还是得在规则的框架内解决。咱还是得回到真人，快打赛场上靠这个比赛来翻出高下，这样的话又能救地球，, Start Time: 1186865
Text: 又能救你媳妇儿啊，岂不两全其美？刘浩一听，哎，你这人他妈怎么这样感情，不是你媳妇儿是吧？就这我还回打架呢。啊，非常愤怒说，那您这么说，公主，她舍弃外界的荣华富贵，反抗少康，现在还给关押在大牢里。咱们跟这儿规规矩矩的，她随时有性命危险，这不公平啊，你一个义字放到哪里去了？, Start Time: 1214660
Text: 后边的空老，他一看两个人说话，说的有点僵了，眼睛一转，赶紧上前说雷电大人请了啊，我刚才听了你们俩说法都有道理，但是呢我们在这个非常之地也得有对应的手段。这样吧，我跟刘康啊俩人去救公主，您带着 journey 和 smoke 先去参加这个真人快打大赛，您应付一下，, Start Time: 1240165
Text: 撑撑场面，拖拖时间。我们一旦得手，立刻就回到赛场啊，最终的目标呢还是得到这个真人快打比赛的胜利。您看怎么样？这个属于说救地球，救刘康媳妇儿两不耽误啊。雷电一看，哎呀，刘康这个心思他已经不在这儿了，强行给他留下，也没有什么意义。强扭瓜不甜吗？当下烧一思所说，, Start Time: 1267920
Text: 那中那你俩就去吧，你们这边完活了，咱们就跟外界的竞技场碰头就行了啊。刘康这边心急如焚，连礼数都没有，稍微一点头跟空老两个人纵起身形，消失在旷野之中。雷电这边带着 johny 和 smoke 去参加比赛，按下不表啊，单说这两个人救人心切，脚程非常之快，转眼之间这就来到了邵康大楼的塔楼之上，, Start Time: 1292700
Text: 也就是一个关押公主的地方，这得不带着他们来啊，就他俩单来的。哎，他章节过了。对啊，不需要他了，这块已经不需要他了。全员工具人，哎，他就是工具人什么跟什么呀？他其实也就是镜头一个转场，嗯，但是中间一点交流都没有啊。我们都知道这个地球英雄进反派总部，那比回家还利索啊，, Start Time: 1319305
Text: 嗯比摄像头要快嘎巴一下到了。嗯，行吧，空老刘康啊，两个人步入这个塔楼大厅啊，空老师还跟刘康说呢啊，你跟雷电说话，你也太不客气了，他老人家平时没架子，那好歹是个神位呀，你也不能混太熟，你就没大没小啊，是吧？咱们把女朋友救出来，赶紧把事儿铲了，就就回，你认个错啊，, Start Time: 1340170
Text: 道个歉没啥。然后刘康跟那边啊关心自己媳妇儿，夸小猫劈脸，然后他也没有什么心思搭理。他说哎呀，首要目标不救人嘛，咱们赶紧干活吧。两个人到了这个塔楼之上，是举目观瞧一看不对劲，到处是空空荡荡。别说囚犯了，连其他人痕迹都没有。哎，这太奇怪了，这明明是少康最为重要的大佬，, Start Time: 1361970
Text: 怎么弄个一干二净呢？俩人还跟那琢磨怎么回事儿呢？就听到两边的大门是轰然巨响，各自走了一个人。左边这个是个四手的女巨人，右边这个是通体漆黑的忍者装束刘康空老对视眼忧来活了啊。二对二，咱俩分分吧，刘康这一看，哎呦，这四手女子那太好认了，这不是勾勒了妹妹十一娃吗？, Start Time: 1388660
Text: 嗯，啊也没问空老同意，就说这个胸大的归我了啊，我打四只手有经验啊，尖叫一声就跳过去了，空了。我一看这啊来人了，你还整自助这一套啊，我怎么办呢？那我只能选他了，他没办法转向这个面目漆黑的怪忍者呀。但是他一看眼前这个人跟以前打交道，各种忍者，然后什么绝对零度啊，, Start Time: 1414870
Text: 蝎子什么的这都不太一样。因为此人不仅全身抹黑，甚至连头套都是纯黑的，连眼睛都看不见，仿佛是地狱深渊一般。你面位位非常的门门见山，张嘴就说你们跟跟他一块死了。说完了，身形有洞，一团黑影，冲着空老就扑过来了。在这儿呢咱们必须得交代一下，因为真人快打这个全员工具人的问题啊，, Start Time: 1438580
Text: 就是每个角色出场都是完全没有来由甚在创造的过程中也没有什么来由。这位黑忍者就是因为玩家抗议和主创整活才诞生的啊，这叫 nob cyboat 哦。啊，说到这儿呢，我们就得说说这个游戏开发史上摸鱼整活都出名的开发组啊，他们在早期的杰作就是调色板换色，最开始的时候给忍者换色，, Start Time: 1462840
Text: 大家其实还能接受，反正招数不一样啊，整去呗，有一个身份标志啊，意识到了就完事儿。所以呢你能在第一代就看到这个绿忍者蜥蜴啊，黄忍者、蝎子蓝忍者绝对灵动。哎，但是到了二代，这种摸鱼就开始往这个不太控好控制的方向发展了。你想看一个游戏在出到二代里边有七个忍者是吧，, Start Time: 1485950
Text: 开始失控是吧？首先玩家对于这种换调色板的行为可以理解，但不太接受。就是你过去摆烂啊，是初代有探索精神在里边，我们可以认可到了二代，你还这个德行，你要干嘛呀？摆烂势头过于明显，其次呢由于家用机移植上 blood code，就是血着代码。那个问题大家普遍认为呢，, Start Time: 1508080
Text: 说这帮人能整活，他们肯定是在游戏里边藏了很多更加摆烂的东西。于是大家纷纷对这个就是游戏的代码进行各种研究。什么红忍者呀，灰忍者呀，黑忍者就总之所有颜色忍者大家猜一遍。虽然说这个二代连男带女的忍者已经有七个了啊，但是大家还是很不满意啊，你们能整出七个忍者就能整出十七个来。, Start Time: 1530400
Text: 这个事儿其实在真容快打五和六里边就实现了啊，基本上就三十多个角色，一半儿认证。嗯，所以这个时候团队两个主创啊，爱 dboon 和这个 john tobias 这俩人就开始了，那不就摆烂吗？论摆烂我才是专家，你们要更多吗？好吧，这回给你们整个彻头彻尾烂货，忍者还是忍者，, Start Time: 1553915
Text: 所有东西都套皮儿给它做成全黑的。然后怎么区分他跟其他人的这个就是战斗价值呢？移动出出速度一点五倍，拳如闪电，绞如疾风。你泡上来就是挨打，没有别的毛病，包爽，唯快不破嘛。哎所以呢这就是真人快打。第二代九三年在家用机版本里边出现的这个 nop cybat。嗯，, Start Time: 1575800
Text: 它这个名字就是两个主创的名字，倒着写之后组合出来哦，可以说是一点正经都没有。在真人快打二代的家用机版本里边，它是不可操作的。你需要在对战里边连胜五十次，然后会出现一个乱入，就是它这个乱入。还有个事件叫 gorrows， liar，就是割勒的谎言。说明这个时候呢，, Start Time: 1597650
Text: 到二代的时候跟什么就是那个少康什么的一一点关系。没有呢，他们还没想到这步呢剧本写的就如此的虎赖，后来开发组在三代里边用它来替换 keano 的角色位。因为就是三代 kano 没出场之后，各代需要战斗力的时候就把它拿来充数啊，三代这个就是虎烂的事儿，多到什么程度呢？, Start Time: 1622470
Text: 就是你打出一个人物来之后呢，这个原来在这个角色榜里边没出现的人物是一个剪影。但是呢打完之后， kinoo 那个剪影会出现 nob cyball 的这个人物，可以说是临时替换的，根本就没做什么修改。硬来的就完全是硬来之后，就是各代需要战斗力的时候都把它重数。, Start Time: 1643550
Text: 而且就是在各代里边，它属于 t 一那个级别的，因为速度太快了啊，好用呗，好用非常好用啊。大伙儿就前哪个游戏杂志在那个一零年之前还把它评为就是历代最强角色之一，这是这个角色身份啊，但是给他写故事的时候又卡住了。因为这如他只顾着爽了，就根本没想过，就是日后还要写故事这个事儿没想过怎么来的。, Start Time: 1668800
Text: 最后艾德布文一拍脑门，说，这样吧，我们在这个世界观里好，就是好在有一个万事万灵的背锅大侠啊，让他出来接这个锅。这个人是谁呢？是操纵灵魂能量的全吃，怎么办呢？这个这个这个黑忍者他哪来的啊，第一代绝对零度，他不是死了吗？让他让他复活吧啊复活谁复活，全全复活的。, Start Time: 1696270
Text: 就说第一代绝对灵度避寒呢，死了之后全吃用妖术给他复活。按这个思路胡写一通，说白景流与灵鬼的恩怨是属于两家接了一单生意，然后开开卷之果，这个全吃变化为避寒的模样，杀了白景流满门老小还有这个蝎子前世波佐术半藏啊，之后在地狱里把他复活，成为这个黄忍者蝎子。然后呢又窜了他报仇啊，, Start Time: 1717785
Text: 这才有了就是歇在地狱跟辟寒决战的事儿。对啊，但是避寒死了之后，这个灵魂飘飘悠悠无处可去啊，又又被全吃收了，他捡羊肉啊，这也是计划一部分，他在自己这个灵魂熔炉里边把避寒复生给了他一具人造躯体，同时注入黑暗能量。这又诞生了怒 cyboat，回到人间向所有人复仇。, Start Time: 1742950
Text: 哎，写到这儿，这个事儿算写圆了。总之一个角色立起来了，爱用不用，反正都全很快啊。就从这一点上，你可以看出来，这个一本正经的胡说八道会人生带来多大压力是吧？嗯，是有时候就大家津津乐道流名千古一件事可可。那时时那刻，那这这个王八蛋就是在拍脑门，你知道吗？就刚才这段胡写最后成了这个真人快打最主要的啊重要的一段一段剧情。, Start Time: 1766940
Text: 其实现在是啊动画应该都有对，动画都有拍的，都是这一段。对对对对对，嗯嗯，所以呢就是说回到目前这个情况啊，这黑忍者在这个就是真人快答九里边出现了啊，啊，这也不是完全没有缘由，但是空老不知道是什么缘由。总之他琢磨琢磨，但是呢打是真打啊，这一打起来空老发现对面这位有两把刷子，, Start Time: 1792350
Text: 因为动作太快了，没准在场。这四个他最厉害啊，那是啊他影子也是有实体的，后边好几招跟过来，哎，这个硬付可有点困难，且这个拳头啊打他身上这个人好比一团烂烂相似啊，犹如如牛入入海。没有，反，因为就是打一拳拳之这个人就化化啊，瘫在地上，然后移动到别的地方，再接着跟你打家伙，, Start Time: 1813510
Text: 您这还能形容。嗯，这空老也是少年心气呀，给激发了斗志啊，不就是比动作快嘛，你快我也快啊。再说了，我这还有家传绝学铁帽子啊，来自这个多年之前传说中的伟大空老啊，不能给仙人蒙羞，想到这儿加快动作，跟这个黑人者打的是难解难分。两人掐拳念咒，飞天遁地拳来交地，不可开交。, Start Time: 1834950
Text: 这激战到了白热化阶段啊，空老把铁帽子一摘大叫一声给招家伙啊，一道寒光直奔着黑忍者来的太快了啊，他跟后边的影子都来不及反应，勉强是躲开帽子边上的刀刃。但这时候空老抢上前去，趁他夺闪飞行道具的时候，一拳结结实实闷脸啊。咚，这 nob c boat 呢虽然说战斗力很强，, Start Time: 1858450
Text: 但是呢抗击打能力略弱，它没有闪。当时吭的一声就地昏迷，所有的架都打的差不多，这啊这属于是被智取了。空。老接着帽子哎，低头一看，地上那个已经麻了啊，当下就说哎呀，我还是太仁慈了啊，这要按我们少林弟子的脾气啊，我们慈悲为怀没给你劈开亮了，已经是不错了。他稍微端详了一下 nob 塞伯 t 觉得哎这个人看起来虽然全身包裹森严，, Start Time: 1882100
Text: 但是有点眼熟。我好像在哪儿见过他，虽然忍者都是一个样吧，但是这种眼熟必定有所来由啊，可能是个故人，通姥还跟那儿响呢，就听身后呼喝之声，嘿啊啊，不绝于耳。他回头一看，这刘康还跟十一八对练呢，你一拳我一脚的啊，没脸眼去剑法属。于是孔老说刘康，你对付胸大的不是有经验吗？, Start Time: 1911190
Text: 你这也不太行啊，人说双拳难敌四手，现在这个情况确实是双拳难敌四手。我看这个场面不是很公平啊，要不然我过去帮帮你啊，哪知道？就在此时，听他身后有非常沉重的脚步声，别人走路都是叉叉刷刷那个声音，这个走路脚步声咣咣他就过来了。很明显是一个重量级的状态。就听有人在身后瓮声瓮气的说不公平是吗？, Start Time: 1934580
Text: 啊，那老的让你知道知道什么叫公平空。老一听声音略微耳熟，转回身一看，坏了，又来了一个四只手的，这来者是谁呢？正是之前的真人快打历代冠军四手足的勇士啊，脑瓜里塞满了肌肉的佝偻。嗯嗯，这佝偻来势汹汹啊，四只手张开着眼看就是要撕活人的样势，说我来做你的对手啊，孔老一看就虚了半截，, Start Time: 1960830
Text: 我说戴哥你且慢啊，有话好说好不好啊，但是对面这位根本不想听他解释啊。扑过这四十手，犹如暴风骤雨一般，权如雨下力大势神空。老也没看过刘康跟他打的时候，具体什么情况，他们不是去单独地方打了吗？只能是施展自己轻身功夫，尽量躲开攻击。但是打过了十几个照面，空老一看，, Start Time: 1988740
