Text: 哎，大家好，欢迎收听本期 juduo wave 节目。现在时间是二零二三年二月十四日上午十一点。我是 CT，我是 JF，我是饼干，我是自热。哎，还是这回就是这还是这阵容很熟悉，但是这回录的节目不一样，因为是想时效性高一点。这两天不是那个 steam next fast 嘛，, Start Time: 19210
Text: 反正我在 demo 里玩，玩到后边就是已经满屏纸，满屏红线，我操，其实也就能能做，反正也看不懂。就是你你的就是就是一堆照片，嗯嗯，然后底下铺了一层红线的那背景，就是有有毛衣，有有一点乱。对，但是他有有一点就是他很清晰，就是说你比如说你脱这个线索，嗯，你拽一拽，, Start Time: 262140
Text: 你能够就是根据这个线在动，然后你去找找啊这几个关联其实是就是帮你辅助一下回忆这事儿。嗯，但是很可惜啊，就是因为 demo 它限制是九十分钟试玩，嗯，我并没有能够解的出来这个案件到底是怎么回来。他他那个实的那种就是就是你只能玩那么长时间啊。对，然后它里边呃就还挺难的。, Start Time: 284590
Text: 他不是说那种就是啊你来到这个他这个地儿了，然后你找这几个线索，然后立马你就能推断出来。他是这种线索，叠线索就特别复杂。对你你发现他他前两天去了酒吧，然后你去了酒吧了之后，你没什么收获。对，然后你就跟着酒吧往外长，然后后就是你有什么相关的地方方，嗯，但是你去哪个地方都是非法入侵，, Start Time: 306370
Text: 这你还挺难的。对，然后就是你被这个监控摄像头拍了之后，然后过会儿警察就来这儿找你。嗯，就是就这么一个游戏。嗯，然后他嗯 demo 里边是一个固定剧本，呃，他游戏里边本身有这个沙盒的模式，不太清楚他沙盒的模式，他这个随机能随机到什么程度啊，感觉还挺神的。而这么随机机对这破破案什么的，, Start Time: 327150
Text: 就是毕竟你侦侦探是有很强的一个逻辑，对逻辑关系。他这随机生成还挺狠。是，但是他也是，我觉得他应该是有一个剧本的大的走向，在反正就是他一些人啥的对，里边谁谁，这次是他，下次是他。然后嗯关键线索在哪上面可能会有随机，就这个具体是啥的对，他真没没没试出来。嗯嗯，, Start Time: 350480
Text: 这就第一个，而且这个你这个说这个点的让我想起另外一个就是那个关 cay 的也行。公司。然后还记不记得他那个是个潜入，嗯，对那个作种潜入，然后是随机的。不是的，有的有的关卡，我真是就是有点有什么觉得太地狱了，有点想骂街了，所以所以就不好说他这是他这要能做成还挺牛逼。, Start Time: 371820
Text: 嗯，是是，反正可能也得益于他的这个画风吧，是不是能够是更好处理一下，他这随机容易出现问题，但是这优化还是有待加强啊，是就平均三十五帧左右。对我操，我这电脑就十几帧。对你开到最低，开到最高都三十五分，我那个他这个画面，然后还低人称称简直直喷射式呕吐了。是是啊对，, Start Time: 393950
Text: 还好，而且我没玩这游戏，原因是我我特别讨厌体素游戏，然后又在做细节，真的那个手跟起了皮似的，但是很难受啊。就是是这个那个手不是那个 microve 那种就一根棍子啊，然后体速真是一个手。对，那看着挺恶心的，就就沙包大的手，然后就上面觉得场景还行，看人物那细节我就看看闹心，, Start Time: 414250
Text: 我就没玩啊，是是有这个问题啊。对，反正就看看他之后正式上了什么样吧。嗯，是对，哎，我我要说一下那个白奥那个背嗯是中国名就就幻影寻迹。对，嗯，交换幻影子的影，然后这个游戏就是一个这特别有那个 play day 的那个 liinbow 啊，塞的那个劲儿的游戏是上来就是一个大大场景，, Start Time: 437010
Text: 然后主角应该是个研究员，在一个地下搞一个什么实验，然后搞完炸了，然后感觉炸完整个地球都不好了，就是那就真的这种剧情。然后炸完以后，这个主角被什么东西就是能量体给染了一下，然后它就变了，跑巨快跳巨高，然后就开始这个平台动作。然后这个游戏它所它整个美术其实是像素，, Start Time: 461000
Text: 但是它拉特别远，那个场景巨大，人物巨小。嗯，就虽然像素，但是你感你感觉就是那种精致程度都不太像。嗯，然后他那个各种场景之间的那个色调，还有那个巨大的物体，就那种那种巨物恐惧症那种感觉的劲儿，把那个神秘氛围表现巨好。我操他是正经的飞带的精神续作，我跟你说，你跟你一对比那个 insummer well 什么破玩意儿。, Start Time: 484600
Text: 哎， susumer，这这是是，尤其是他有些那种场景，他有那种就是整个都变成剪影了。对你都看不你都看不见，你的人本身会把它变成一个影子，然后整个场景也都是打影了。对，那个太太触动了啊，他他跳跃手感特别飞，就是那种跑可快，然后蹦给举高那种，但是你又不能胡求蹦，, Start Time: 509520
Text: 因为他太高的话还会摔死你，还得你还得收着点儿，给自己悠着点。然后这游戏有一个最核心的技能，就是那个移形换位。这个主角手上拿了一个，不知道什么东西，他只要哼下一个物体，比如说一个大箱子，然后他往前跑，再按一下按键，才能直接跟这个大箱子换位。对对，好多解谜就是根据这个来的。, Start Time: 529580
Text: 比如说就有一个地方，底下一堆一碰就炸了那个炸弹，他跳到炸弹上空，然后跟自己跟随便一个什么箱子换一下位，让箱子掉下去，把炸弹引爆，然后他下去就可以走了。嗯，然后被堵着路了以后，你就可以直接讲简特别简单，两两边一换，然后就过去了。嗯嗯，是目前感觉就是这个核心玩法上不不停的在就是搞一些东西，, Start Time: 551270
Text: 然后它它的难度其实挺高的。因为它有这个机制存在，它有些那种特别快速的什么激光呀，或者那种致命的障碍物往里飞过来，往里飞过来的时候，你必须得快速做决策，而且得把那个换交换个时机把握特别准。嗯，玩玩起来就是越费脑子越有速度感，这种平台有速度感，这个东西挺不错的。, Start Time: 575160
Text: 对它好多地方都有速度感，它有的地方会让你很爽啊，就是一路窜那种啊，是那种窜吗？别老乐严肃一点，天天就那那说点点啥，不让人乐节目很紧凑，你老乐就时长太长，你好好调剂一下，你我我我我笑半个小时上去憋住了，咱咱直播间不能乱窜那个录音室，到时候搬到厕所所是吧？边边边边不这窜啊，, Start Time: 598240
Text: 不不能不能来，这个就就喜欢这种笑三路啊，嗯继续继续，反正这挺。那我说一个个或者是呃随老师直接说这个这这个游戏，反正我没啥别的，因为它现在那个流程也不长，玩了一会儿就玩通了，但是一会儿也挺有难度的。我看饼干之前对他评评价时候，有可能有些玩家会觉得闹心。对他那里边有好多那种，, Start Time: 623739
Text: 就是地方挺极限。对对，就是你反复尝试真的就有点急了。对，就尤其那种就是它里边有一个设定，是那种特别力量特别大的那种弹射屏那个平面。嗯，然后你弹出去呢，真的是有点随机，说实话是对你怎么飞出去，这角度真的不好掌握。对，还有一个，而且它连续主动导弹那块，就是你必须也一丝不差，, Start Time: 648160
Text: 才能躲过去，特别极限。而且他这个通完以后，有一个小展示展示了它未来的一些就是完整版的一些更可怕是吗？对，那后面就节奏巨快，就是 new type，就是左右左右闪闪，左右上下说是就是那种感觉，它里边好，后边还有那种重力谜体，就是你你围绕着一个那种中心点，圆着走走，, Start Time: 669440
Text: 这个左右悬下闪嗯，就还还挺难的啊，跟我俩下一个吧。嗯挺好的那我说一个吧，请请啊。首先我简单说，因为这个我没玩了，但但是我我我媳妇废寝忘食了，玩了好几天，就那个大侠励志传啊，他那个半瓶醋工作室的作品，所以跟那个精英雄侠传二三，就是其实有一些源流关系啊，看那个还是把这个就是他那个逻辑继承的挺好的，, Start Time: 691570
Text: 就是还挺好玩的。我就提一句，因为我没有玩，而且我对武侠仙侠题材不是特别懂。嗯，是，所以也就这个不乱说了。嗯，然后先说一个，我就我个人还非常喜欢，而且真的是就是赶上了的一个游戏，就是那个虚空列车啊，太牛逼太牛逼。对，那游戏一开始我我我一开始以为是那个那个夜莺那个游戏，, Start Time: 716670
Text: 那也给我那男给我那个游戏可以提前说一句，他那宣了了三四年三年吧。嗯因为去年宣布了幻影情，然后又延了那个游戏。其实就青浪有一个就是所谓的特斯拉朋克，或者是那种线圈朋克的那嗯或者是那个英灵神殿那种性质的游戏，就是有一些建造是砍树。然后同时你要去不同的位面去那个战斗嗯和探索那个游戏。, Start Time: 739750
Text: 然后一开始我把这个虚空列车误认为是那个游戏了。我说哎这个游戏怎么新敏捷，有有 viridemo 了，玩一下啊，这是什么？玩一下，然后他怎么推翻重做了。对我说哎怎么感觉好像跟我想略略有点不一样，那画面好像变得更柔和了的那那种感觉。然后一进去之后发现是俩游戏啊整错了啊，, Start Time: 763180
Text: 这个呃虚空列车的那个画面更接近于呃以前有游戏叫叫 breath age。嗯，不知道大家有没有印象，是一个单人，就是你可以理解为呃苏联毛日黑色幽默的 long dark 这一个游戏是那样那个那样的一个游戏，他那个画风跟那个比较像。嗯，然后这个游戏的这个游戏本质其实是 raft。, Start Time: 783900
Text: 对，大家可能玩火车的那个，然后最爱的时候一个房子别说嘛了，大家是在在一个筏子上，那筏子上飘嘛，然后你们周围捡破烂，然后把那筏子越造越大，然后周围有那鲨鱼鱼砍那什么么？是不是来商量啥的？是这游戏戏玩发现了是他是那个火车版本本。对，是你在一个虚空当中的铁道当中，, Start Time: 807760
Text: 然后你一开始有个板车，然后你就那个你的拉那个压的那个压那板车，然后后那虚空当中就就穿行行，然后你可以从那个板车中飘出去，捡破烂回来，把那车越大越大。然后这个游戏在机制上我有点很喜欢，是 deter 是火车，然后贼他妈浪漫，哇，就是那个火车在他那虚空的景做联合。, Start Time: 827360
Text: 好，一开始就是那个啊对，但是它那个场景就是非常妙，是因为它是火车，它总有就是会到站。对，有轨道。所以就是它它是你来控制，就是它那个流程控制，应该我我怀疑它的正式版会做的非常好。就比如说你想留在这个区间里的话，你那火车可以往后往回走。嗯，你可以在里面就是尬要在那个在铁路中中尬，, Start Time: 849340
Text: 然后在那那就是好好的减一减，把那个低等级都西它剪完了。你在进入下一个站台台，下一个站台是一个传送门那个。然后你在站台停靠完之后，你选择继续往前走，你就进入到下一个世界。对，应该是这样的一个节奏，可能比 rap 的那种随机漂流。然后你并不知道什么时候这个游戏的强度已经到了下一个段段要更好一些，, Start Time: 874020
Text: 它指示性特别强，而且它那个漂浮，因为它是旁边失重的嘛，你人一出去就是失重状态，然后你要经上连个根绳，你有一个对固定的距离，就是跟你这个板车旁边一个固定的距离。后面那板车拽的走了，呃呃，会撞撞那边上的那些比咣光。对，就是探索也不会太放飞，就是在板车附近这个距离，, Start Time: 894240
Text: 因为有绳拽。是的，嗯，但是我不得不说这个这类游戏其实体验上非常重要的一个点是它的研究和建造的那个曲线。这个部分在 demo 里其实没多少，基本上就一级，基本上只有一级的一些很简单的东西。对啊，所以还不太清楚，正式版就是还它还能联机。嗯，然后我看那个商店里那个页面里有那个有别的车，, Start Time: 915410
Text: 我 demo 的结尾其实是就是边儿上突然出现了一列火车。对然那火车是建好了，有车头，有车厢的巨巨帅帅的那种。然后它一路过，嗯，你冲他挥挥手，这个 demo 一下就结束了。嗯，所以以后看来感觉是跟别的列车那个互动啊，也会是这个游戏很重要的一个跳蹦。我操导上是的。, Start Time: 935670
Text: 然后这个游戏的怀疑，或者说从 demo 来看，我怀疑它跟 grounded 的有点类似。他可能是那种重叙事的开放世界声音，有可能就是嗯这游戏的开场导致我非常喜欢，而且它有中文的旁白。嗯，啊对，那旁白的那个风格就是稍微有点麦达会跟你对对话啥那个就是有点有点欠的那个感觉。, Start Time: 957200
Text: 嗯，然后那个叙事做的特别好，然后用那个旁白去推动呃你的这个序章。其实有个新手引导也很棒，特别是你第一次停在那个一个站台里，然后你在里面做了一个探索，你会发现里面有一个已经死掉的人。嗯嗯，然后那个人就莫名的有点像你那个造型。对人啊啊，就是你会觉得这个这个世界除开那个在小板车上飞出去捡东西以外，, Start Time: 977400
Text: 他的这个故事很很能勾起你的好奇心。嗯，所以就包括那个这个叙事的原因，再加上那个场景，那个场景，那个氛围就是那种特别辽阔的那个虚空，那个虚空还不是暗的，是最最亮。对，而且你的那个这个铁路延伸到那个尽头，是一个就是大传送放着光的一个特远的一个地方，就给人一种特别辽阔的那个感觉特好。, Start Time: 1002010
Text: 是是，然后他那里边的生物也是的感觉都挺梦幻的。对，然后就是他你在那个车，但是摇板车是他在边上飞。对，嗯，就那种银银河铁道的那个那个梦想知道吗？就这来了，就劲儿就上来了啊，很很希望他的那个正式版能能那个丰富一点。真是游戏目前的版本，它打磨的那个不管是画面还是音效，, Start Time: 1026350
Text: 这两方面把质感都做的特别好，没有那种廉价感，是这已经感觉特别精细了。哦，这 demo 真的你如果玩儿顺半个小时就完了。对对，扯短了了，在 demo 就一个章节，好像就是你说到下一个车站，然后来到第二章，甚至是续章都没讲完。对，很可能是新手引导续章了一小半那种感觉，, Start Time: 1047550
Text: 但是非常非常棒啊。这个我记住我我觉得特别有火的潜力，到时候大家看着吧。是的嗯嗯，对，那行，那下一个我说一个对，说一个那个其实上一个新品品它也就已经上了。但是这个新品节呢，他更新了一点东西，哎，叫 my net。哎啊，这个目前也没有没有中文，也没有中文名。对，, Start Time: 1066020
Text: 呃，这是一个文字冒险游戏，然后是他说是一个反乌托邦题材。但是毕竟这个试玩呢呃就就只是开头的一个事儿，所以也看不太出有什么来哦，就是这游戏。首先这个画面这块呢挺有意思，就是他一说是一个第一人称视角，你会看到屏幕的两边是这主角两只手。对对对，带着引导在那，然然后他各种在那比划各手手势势，, Start Time: 1088920
Text: 然意大利这个是吧？那倒那倒也没有这种手势啊啊，可能以后会有，现在没有。嗯，然后这游戏我觉得很有意思的一点是他这个玩法那块打就是他这个所谓这个 mind teck 呢，就是呃主角这个岗位吧，他是一个就相当于是一个辅导辅导员一样的这么一个职位吧。嗯，就是有一些什么犯罪者什么的给抓进去，, Start Time: 1114550
Text: 就后他呢就会进行一个 mind teck 聊一聊啊。然后这个过程呢很有意思，就是我我第一次见着这么给文字冒险游戏做交互的。就是你是通过打字打字做交互啊，然后回到古早游戏可么的不是青蛙王河没有，他不是那种，它不是线性的，就是不是你随便打，他会屏幕上给你出现一行字，, Start Time: 1138890
Text: 你自己照着那字打哦，那就是打字打字游戏那种感觉算是吧？嗯，然后他这里边边要打那些字呢，首你上来跟他有天的时候候，那上面会有各种很个岗位吧，命令。行，就比如像那个关闭他的防火墙什么，寻找他的某段记忆，然后啊看一眼就真的 hack。对对对，把这些打完以后，然后就进入实际的这个呃清洗环节啊，, Start Time: 1162030
Text: 就是他会英这游戏那个我把日文版和英文版各玩了一遍，就是他他有不他做了不同的本地话，就就是因字类打的是不英样吧。那个日文版日文版打的时候，罗马音，然后英文版打就是英文啊，他会根据这个人他你搜索到他的记忆，然后去打他的类似于他的弱点吧。他因为这段记忆他可能受到一些创伤，, Start Time: 1187820
Text: 然后你要从中找到一些致命的点，然后一个一个这么敲进去，你就跟那人说说话节。对对对，就是放狠话崩溃了。对，然后就是他底下有个条，你就慢慢玩打打打打，最后把条打满以后，还有一个抹除环节，就是最后的收尾环节。就是他会说那个呃描再次描述一下这个人的一些特特征啊，或者说他向往的一些东西什么的。, Start Time: 1212120
Text: 然后咔咔咔那给你一条一条抹掉。然后最后那个收尾很有意思，就是这个双手哎比一个手势啪这么一击掌，然后对面就变成了一朵花儿。我就说就算是这个骇骇客完成了，然后后人就其实就是被被被洗亡了哦，然后突然就变得巨阳光，巨巨可爱、行恶巨真善美的这么一个都挺反复头胞奋流。, Start Time: 1235570
Text: 我靠，是就几个演出想法是很好。嗯，他最后还整了一个这个悬念，说是正式版那个会会得到解答，就是主角这个辅导员吧，好像他精神上也不是很稳定，就是他这个骇客别人害多了以后，好像自己也有点问题的征兆，结果还害我自己啊，这个这就不知道最后打算怎么演出了。总之就是一个满屏幕各种花的，, Start Time: 1259690
Text: 一个挺挺逗的游戏的。嗯，大家有兴趣可以试试，而且这打字环节意外的还挺爽的啊，打的很爽是吧？对你凑个看，那很有打击感感，种方棒的时候。对对对对，一定要配机械机械配配那个打字机那种。然后你一一黑轴，对你越打那个屏幕上面花儿越多，然后最后就是满屏的花，然后一击掌啪一下子出一大花儿啊，, Start Time: 1286990
Text: 就挺逗的，演睛还是是欢的花。对对对，很有意思，有点想法啊，而且这个他们这开发者叫 vote ga demo 啊。好，这个反正挺有意思的，感觉是大家可以试试对，喝酒喝酒，对不说那些，然后期待哦这这游戏应该今年预计是上半年就要进 EA 哦，然后好久年的 DXD。, Start Time: 1308910
Text: 对对，行好，再来一个，再来再来一个，大家都基本玩了是吧？嗯，这后 devover 这个哎荒绝之剑啊，小人砍怪哎，荒绝之剑 DX 这游戏手感这游戏里边了，真的是哦，然是我没有玩，我操，那你没玩，我们还没来就玩，那你今儿必须试一试哦，我操他这玩游戏之前是 apple arche 的上的对，, Start Time: 1333970
Text: 嗯，好像一九年的时候就上。对，嗯，然后他这次挺早一批 DX，他这个 demo 里边吧，你能选嗯，你能选，你是走这个原版的这个剧情，还是走 DX 版。嗯，然后 DX 版他不会在这个整个线性这个过程中给你改特别多。嗯，他就是给你改这个单位配置。哦，对对啊，还咱还是先说一下，, Start Time: 1358470
Text: 这是啥游戏？嗯，它是一个这个就是特别正视视角。一个小沙盒盒不是那种四十五度斜向，是就是正着看这个小一个小沙盘，其实就是一小小小台一一样，就是即时的是一个小，即即使的对斗斗即即一眼打。大家一眨眼看看，像一个地爬爬行，不不是，这不是爬，它就这么一个小方台子吧。, Start Time: 1381660
Text: 然后这台子上会有一些树啊、小屋子呀，一些什么小障碍物什么的。嗯，然后你你要做的呢就是你控制一个这个特别简单勾勒的一个小小骑骑士，对个这种跟小火柴柴一样的小骑骑士。对，然后去打这些场景里边冒出来的敌人。对，然后去从地里钻出来。是对，刚才也说嘛，它这个 DX 版你要选的话，, Start Time: 1404060
Text: 它就是这个敌人配置会不一样，然后场景是差不多的。对，讲了一什么故事呢？可能 demo 里也没太看懂，反正就是呃骑士斩妖除魔，对，你就是斩妖除魔啊。对，然后这么一个选项，它里主要要要对他这个还挺混的。我觉得嗯哇敌人是那种你必须找破绽才能击破的感觉。除了他最基本的一些什么那种傻傻的僵尸小蝙蝠什么的。, Start Time: 1424660
Text: 你可以相对来说无双一点，就是去皮卡。嗯，直到他呃刷了动个不动，对，卧操那刷一蜘蛛，他妈的突然冲锋，真是我操。对，那个蜘蛛就是敌不动，我不动，嗯，你只要不动，他就看着你。对然你说那个 AI 特别神奇。对，就是就是就是你他就预判你的预判是你说那个我不行，我我翻滚皮卡，, Start Time: 1450410
Text: 然后追杀一下，等等他你翻完了，然后哎弄你。哎，然后然后尤其是两只蜘蛛，看你的时候，那个心理压力极大，等对他他冲刺的那个距离，还是实际会根据你跟他的距离，就是就是你要是预判他的那个冲刺，就是我那你不动我也不动，然后等着他冲你，然后他冲你一瞬间的，你就你你就劈剑赢的嘛嘛。, Start Time: 1475250
Text: 然后他还往回缩。对对对对，这么厉害了，打的巨的气就是那个老桃花不读指令吗？他这就特别堵，是嗯然后还有一个就是会冲你的，我不知道是熊还是一什么版，我操感觉是一野猪吧。嗯，我操那玩意，我第一次打他，我我当时没没过来，我就摁防御，然后发现那那玩意儿没法防，然后他就一直怼着我，, Start Time: 1497750
Text: 一直受伤害，然后我就死了。我说这他妈什么东西呢？我操他真真的很，就就是他个战斗的节奏和视角是其实是我操是是照着那个三 d 个觉，是感视野野感觉。但是其实节奏节奏的话更接近于那种其实是俯视视角的双摇杆战战斗游戏的那个那个。对，是嗯，然后他的美术其实应该是那个阿斯克二马的三 d 化。, Start Time: 1520420
Text: 对对，差不多真他妈那感觉就真他妈这么横啊，这个画这个画面还真的非常的好。对，主要是打击感那个手感，哐哐那个砍人，我太爽了。对，然后尤其是辅他的节的环境效果，嗯，牛逼就但是这个不太不太擅长玩这种混戏游戏的朋友谨慎哈。是反正我玩的挺气的啊，是是有难度。对，因为我嗯我一开始刚想说这这种游戏我不看好，, Start Time: 1544300
Text: 是因为它让我相信了比漏。但是后来我仔细看了一下，它其实它它不完全是俯视视角，它确实是有点那个一点都不比漏。对，就是因为他他是那个正视角，然后他怪很大的那个那个画面比例真的是混的那个嗯嗯，所以可能在战斗上手感反而会变好。是对，其实说真的就是你你把混的视角往上拉，, Start Time: 1572050
Text: 对，基本就是然后然后化简。嗯，对，就是有点这感觉，我对然么插一个题外话，我前几天看那个黑魂三出了那个正式的第一人称帽子，我操，然后还支持你可以自己选是否开启那个翻滚视角。我操这么大不严厉不行，只能拍翻滚。对我觉得翻啊就转一圈视角对玩游戏还是盛行，操。不过这游戏在战斗的节奏上来说，, Start Time: 1592110
Text: 也不能说它很混。嗯，因为节奏非常快，是更像是那种什么鞋跟儿那种不拉住的那种那那种对那种那种手感的东西啊，嗯还会怪香的。对，反正它就是一关一一关一关的那种。是的，然后每关反正你反复练吧，难度还还好， demo 至少还好，不知道后边它能多难啊。嗯，你不知道有在手机上玩过的朋友给介绍介绍绍。, Start Time: 1618040
Text: 我还挺难想象，这游戏在手机上玩是什么体验？玩的还挺大的。行费手机有点对行，这就是哎呦乐真牛逼。我要来讲一下那个来过核聚变的一个游戏。我要那个 phantom brigate 玩后换一点，我对游戏应该叫对我在我在一三现场玩过玩了，他那个当时全玩了，全打完了那个这这这游戏就是那个 into the bridge 的导演剪辑版。, Start Time: 1643320
Text: 我觉得对对这种感觉确实就是它是一个那个回合，就是控制机操控几个机甲一般是应该最多，但是个回合制的机甲游戏是，然后就是回回合策略游戏，然后也跟他跟那个 interbredge 一样，你能他游戏会告诉你，敌人下一回合会往哪走。嗯，然后你就根据他往哪儿走，然后做出不同的那个判，, Start Time: 1671780
Text: 做出不同的那个判断和行动。你你做出这个游戏做出判断，行动特别逗，它是分几步的，有个时间间了，就你每个回合是五秒钟，然后在这五秒钟时间内，你先设定一下行动，就是就是移动移动到那比如说你从一个房子后面移动到空地上，然后移动到空地上以后，你就看到正对那个敌人了，, Start Time: 1695880
Text: 然后那个敌人正好背对着你，然后你就在这块儿，你在时间轴上再加一个就是攻击，就跟剪视频一样拖那条，然后对对，拖出来你必须拖到你，完全你你的机甲露出来，能看到敌人的时候再攻击，要不然你再打墙了。对，你拖到对位时间，然后就能打他。然后如果他是就是如果他的路径上，, Start Time: 1717500
Text: 本来就是冲着你来的，你就可以一个闪你个闪避闪到另外一个建筑物，后面他又打不着你了。嗯，或或者是是就想办法就到一个他的死角，然后去打他。比如从他旁边侧面闪出来，然后你用你的么么那种种弹枪特别近，距离离他还没开过之前一一枪给压崩了。嗯，就这样做出各种各种决策，, Start Time: 1740020
Text: 就跟这个有点像剪片儿，这游戏玩的特别剩多种决策就五秒，给你每一回合就五秒。其实每个回合是五秒，就是然后你你编辑五五秒时时间里，你能你能做的所有动作。是啊啊，就是你先你五秒弄完啊，不是不是你，你拖动一下，你就看我一下，你一下，你就拖动一下，看这五秒。对你看这五秒里啊，, Start Time: 1760990
Text: 敌人怎么动，然后你去编辑你这五秒的动作是啊，要考虑东西还特多，那个枪会过热，你不能狂开枪，你还得中间就得歇一歇，让枪那个枪管冷却一下。然后你还不能就是说跑太远，比如说你你点了个距离，他妈人家要跑十秒，结果一直接覆盖到下回合了，然后下回合你还不好干，就必须得那个他那个系系统是它的系统不太好描述。, Start Time: 1782490
Text: 对，就是这个抽象。对他那个系统说起来很抽象，其实你一玩起来是很很直观的。是就是你每个回合该干的事，你立马就会明白，而且你也知道他那里面的那个策略的变化很多。嗯嗯，我当时跟那个制作人聊了半天，我就说你们这做到啥程度？他说哎那个其实我们验证的差不多了，然后那个就我们就开始一关一关做我们这个还想讲个挺有意思的故事。, Start Time: 1808220
Text: 什么真的，这应该是一一九年那年一三吧，就是他他是在一个他是跟 e 三同期的一个独立游戏的 party 啊。嗯，然后当时我看这个游戏没有人玩，然后我就去玩了一下，嗯，然后没想到还还挺爽的。嗯，他那个就是我我玩的时候，他其完成成度的的挺高，他那个机甲的机甲本身很漂亮，, Start Time: 1830120
Text: 我非常喜欢那个记者。然后战斗的时候，其实细节上都已经做完了，是所以可能是嗯这几年也也都不容易吧，嗯现在感觉完成度更高了一些。他现在玩法法有大地图吧，就在大地图上走来走去，然后自己的机甲库还能换换零件。你打完以后，能把别人那个打坏个机甲拆吧拆吧拆吧，点好的东西出来，, Start Time: 1850580
Text: 然后换零件啊，还有武器啊这些东西，然后你只换你还得等着修。是的，就是有那种就是培养要素。嗯，这游戏让我想起来一个国产的众筹了好多年的桌游，我不知道 c 嫂还有有没有印象叫黑曜协议。我我有印象，我有印象是是他是一个他是一个那个桌面桌面的战旗。嗯，然后但是他是那个他那棋子就是模块化了。, Start Time: 1873330
Text: 嗯，啊对，就是那个比就是他那棋子那个机甲就是模块化。嗯，然后命中命中之后，你那个他那个我我看那把，我现在我不知道啥样，我看到都他妈的五零年前了吧，他那个模块被打坏了之后，他那个每个单位那个人物卡都是分模块的。我分配分配完那个伤害之后，他哪个模块打坏了，然后他有对应结算，, Start Time: 1899110
