Text: 动作格斗 RPGG 桌面策略 ACT 如果你有想说的，一定会有机会说出来。家底有与你一起展示你的游戏。人生冲撞刀光子弹灰告白魔法，各种累累，物理画面都是美眉，没有话题。你来给啊，我是你。嗯，大家好，欢迎收听加九 pro 最新一期 FC 三十周年回顾的节目，, Start Time: 3960
Text: 对，但其实呃恶魔城和那个任天堂的这个银河战士，其实是有一定的这种有有一定的这种这种这种这种这种关联和那个相似的这种冲动。就是比如在这个探索啊，收集上啊这一部分其实是有是有点像包括这个地图的这个这个概念。对，要是不过要说就是说像像红白机时代，就是做这种探索游戏的。, Start Time: 404660
Text: 就是除了银河战以外， ssof of 这公司做的游戏基本上就都是基本上都是为未来接入这种探索的游戏做的范本。像他做的迷糊蛋这游戏，它是里面可以收集就是三种能力，不同的伙伴来解决关卡。而且里面它也有像指南针的概念，地图概念，这都有，这都是银河战衣，里面没有没有查看地图的这些功能。, Start Time: 424520
Text: 还有就是说他做的超火星战绩也特别棒，就是控制小坦克可以驾驶员可以从座舱出来打的。这个这游戏就是在当时都算是比较耐玩的。我不知道你你怎么对这东西记记那么清楚。你说这游戏我好像都都玩儿过，都玩过，好像也都见过，但是确实就说不下来。对，确确实记不记不太清楚了，说明你那时候已经大了，, Start Time: 445940
Text: 那不那没有，只能说是没用心呢，还是没用心。比如说我玩那个银河战的战士的时候，我就就是搞不明白该去哪儿，该干什么。对，就是有有点像魂斗罗是打起开枪打敌人，但是好像就是还不是哪都能去。对呀，然后呢，还总有那个有些地方你还打不了，拿你现在的这个枪还打不了，还得换一个别的一个什么枪，, Start Time: 468705
Text: 什么有什么不喜欢追着你跑呢。对的，你还你还来来回赶路去去以前就是奔波我的地方，你还得再回去查查。对，但是那个就是俄魔城跟银河战士之间，这两这两系列之间其实也是有一定的这种这个这种的互相这个借鉴和这个什么这这样的一些一些成分吧。对，反正就是我觉得就是到了那个时候玩游戏的时候，, Start Time: 489460
Text: 就开始觉得更需要动脑子地方更多了。就不是说就是像以前那样的打动作游戏，打射击的那样的那种感觉。呃，比如说你想玩那个呃那个叫做什么呃，中东战争，就是一个一个天上一个地下的，天上一个地下星河沃 m。对，就是一个天上一个地下的时候，然后一 p 是飞机，二 p 是坦克吉普是是。, Start Time: 513720
Text: 对对对对，嗯，我觉得二 p 感觉好像总是特吃亏那种感觉，这也算是美版独占游戏。呃，那没那个游戏没出过日，没没出日版日版街机出过啊，然后经常就是一 p 可以打一个什么东西给它把一个什么东西给它打下来，就可以把二 p 那个车给砸上。而且就是他他这我算一匹吃的东西也比二 p 吃的东西多。, Start Time: 537820
Text: 不是他，但是他有的像你打有他有一种直升飞机是五个，就变成一个环状来回在空中漂浮。这个如果就是他们他你在他没组合之前给他打炸了，他给你出的那种就是加分道具多。如果要是就是是加分道道具，他都是那种平均给你出完之后，你比如说你飞机吃完之后，剩下就往低掉，那个飞机吃不了，, Start Time: 558910
Text: 就只能那个吉普来吃。就他也做的这么一个设计。而且就是他吉普其实就是说面对敌人就是比较比较就是说难躲避避。因为他毕毕就是说他活动空间范围不是像直升飞机那么大。对对，他觉得地上还会有地雷，要不然你就把地雷打，要不然就跳过去。如过我们也从来没玩过这种两个人不是一个东西的这样游戏戏。, Start Time: 577290
Text: 这游戏确实就是当时玩的时候，因为他俩不一样，就在于我想挑什么，你想挑什么？这个这个阶段感觉选吉普都是高高手，相原来都是一样的，选什么都一样，现在这完全就不一样了，挑的时候就比较困难。对，还有什么就是两个人这个选择这个不一样的这种游戏啊不太记得。就比如说一 p 是一个什么东西，, Start Time: 597450
Text: 二 p 是一个东西完全不一样的，这种帮你还还能还能不能想起来，当时 FC 基本上都是一样的。我说说赤影战士吧，赤影战士其实两人道理是皮不一样，一男一女皮不一样。嗯，但是们玩什么刻意？就是说一个人练剑，一个人就是练那个锁练啊。对，就刻意追求这个。而且这游戏玩的时候候，, Start Time: 615050
Text: 这不就有这个武器的组合了嘛，没有武器组合男女搭配嘛。而且这游戏汉化版要不就汉化版，就是男的那忍者翻译，叫加尔福特女的翻角，大可露过他们本土汉化的那这是属于那个噬魂的爱好者，反正一个完全是。而且吃场战士这游戏，我刚才看的就是不 SNK 汉化，不是有人就是特别喜欢想想想跟聊聊这游戏。, Start Time: 632910
Text: 嗯，他倒是没翻译成龙和龙和春丽，什么龙合春丽这游戏这游戏我觉着其实这游戏就是关卡太短了，就五关就觉得特别不过瘾。就是我有一玩这游戏过，我就有一个愿望，就一直没搭建成。就是第五关打最终 boss 之前，它有一场景是向上的卷轴往上拉动，你必须向上，不断攀爬。只有你快到底上的时候，, Start Time: 652060
Text: 他他的右边跟左边它各有各有一个道具，一个是把你的武器给升级满了。还有一个是体力全恢复满了，我就老那时候我就特别想，就同时把两边都给吃齐，就一直没吃齐过。后来跟网上看高手视频，也有人能做到这样，那也是卷轴，然后往上跳来回器跳特别快是吗？他不是特别快，他是怎么着？, Start Time: 675100
Text: 他有为电梯着一直向上升，你必须得就不断向上攀爬，要不然你就被那画面给撑死了。对，是这他是这样的。对，最后一关场景做特别大。然后好好多那个就是什么脚手架，什么工地啊那个那种感觉。而这游戏还有一个保险的概念，我也是无意中就摁着 b 蓄力，是不是？是它的蓄力时间特别长特别长。, Start Time: 694840
Text: 而一下消耗一半的体力，所以我觉得这个这个保险不知道是谁设计的，就觉得特别鸡肋，就真是特别鸡肋。因为这个游戏本身难度挺大的，而且你干这么一个事儿，只是为了消灭当消灭当时屏幕上的一些敌人，你再往前走到下一个屏幕上上后，敌人你还打不了，而且你的血没了，对吧？而且他时候他就就只只能说是一个耍帅的这么一个感觉。, Start Time: 712280
Text: 唰唰唰举起剑来歘一道闪电。他和就是当时同同类那些动物游戏比例，就是有好多地儿。你也就是说你就说你也得动脑了，不能就是说一味的就过去，就是光光打傻打那种，比如说像打那个打第三关的那分体人那点儿，你就还得有走位。你要走不好的话，你就突突出来就给你顶到悬崖下面去了。, Start Time: 735590
Text: 对，我们玩这个游戏的时候也发现一小秘籍，就是就是你有了有了道具，你两个人同时叠在一起吃的时候，就两个人都获得这个道具。比如说像那种飞镖，还有那种弹珠的那种炸弹。对，这个好像还真是不经意间之间发发现的这种我记得玩的就是第一关。第三小关时候，他是他是在于上岛豪的那种大圆的那种那种传送带的平台。, Start Time: 756130
Text: 那点你打它的这个这个这圆盘中间那个轴心的时候，你能够打出天书来，天书一吃，等于你的武器的等级，就直接就都加满。对啊对，就是在那个转着，就齿轮上那个打那个应该是反正我不是特别使这个就是那个锁链。我觉得锁链就是说它攻击频率特别慢，特别慢，就是只有距离长这么一个优势。, Start Time: 781980
Text: 而且我们玩的也挺讲配合的，像是打第二关的。他那个 boss 不是一个装甲车嘛，我们打时候就一个人上去打他的那核心一个人就是打他底下那个发激光的那个炮，我们就两个人人合这这么对对，那个个个游游戏里面有一个是就是吃的那个刀光，对吧？就你你那那个砍上那那个那个剑气，, Start Time: 805015
Text: 那个是不是就是跟你的那个砍一剑的那威力是一样的呀。这个我还真没估算过，反正我一般打时候都是使间剑气，就是离远处牵制敌人，这么给人磨死。对你知道为什么？我问你这个就是我好像看到有人讨论说是这个刀光的这个攻击力，不如这个没有，就直接那砍砍去那那个。对对对，因为就是你像第一关那个炮，, Start Time: 826140
Text: 就是通过来那个这个好像就是就跟足球运动员似的。这个。对对对，就是那个你好像是就是远距离砍的话，就是不如那个拿刀直接砍在身上，那个下雪下的多，好像是。但是我不知道这个是不是真的这个这个回头可以研究血液，对，回头可以再研究研究车。对，还有对，还有什么？就是咱印象中的一些明星，, Start Time: 844500
Text: 大家可以咱咱就一块聊一聊。正好咱这也是我们家这俩也算是忍者，我觉得就是忍者印象比较深的就是就是忍者军和忍者查查版吧，这俩还有损龙，损龙当然也算了。对，损龙，这算是这种种龙比较成人项目，这这是属于应该是属于流传比较久久的一个明星了。应该也是到后来的话，这个把它重新拿起来做了这么一个系列，, Start Time: 866960
Text: 你看就生活福利，还有他。对呀对呀，银河战士，银河战士里面的萨姆斯，萨姆斯也是对，原来不知道是个姑娘，不知道。对对对，我是我是特别早就最近出手办了，我才之间一直断档，出手办了，我才知道是个姑娘，你玩的就是最最红白白。那那代代就是是你输输密码牌，然后直接就是把盔甲脱了，, Start Time: 888140
Text: 就是穿蓝色的那种宇宇航衣的那我记得是玩 TBA 的那个融合好像什么零点任务，零点零务零点是吧？零零任任务增增了一段原创的的原创内。就就是说他他脱了装甲都是潜入模式的那那时候他就是等于就算是素体了，你必须就是躲避敌人藏在墙角后头，敌人有一个视线就能观察到你对英雄还有影子传说里这个那个那个野啊。, Start Time: 908900
Text: 对，叫野啊，别人觉得就是个小帅哥，因为看不太清楚脸，但觉得跳起来特别帅。对，而且他也是个旧，而且你看不清楚脸还能觉得特帅。那个啊非常帅帅帅，而且忍者啊那种感觉特别强。这个影城有时候那会我们都管叫劈山救母啊，当时我们以为是舅妈嘛，正是他老使那个劈山救母。而影城有特喜就就说他就是说在树底下，, Start Time: 935770
Text: 就是说你吃着那个卷轴跟那就是什么吟唱的时候，比如笛人就跟那个就就就站在你面前死，就跟环卫工人打完，那农药从身上掉那对掉虫子。对对对对对，我我特喜欢的是那吃上飞镖以后爬树，然后从树上我就爬爬他爬他他爬树那动作，觉得特别怪他有乌龟那种。对对对对对，就是那种感觉，, Start Time: 960180
Text: 但是整个跳什么特别轻快，还特别飘逸。对他特别飘逸，而且你看泰特就是他做好多游戏都是特飘逸，像 PS 二上那叫无人无人机，无人机做的就特飘逸。对他那个是武侠的那个概念，应该是就还不是那个简单的那种刀剑那种感觉，主要是他融了好多多戏，我看好多那种香港那种南阳的那种那种斜派，, Start Time: 979725
Text: 像畅京剧那种感觉是吧？影影传说你们就是后来玩的大概概有有多长？那个游戏我可能连第一关都没影子，传说你是他是春夏秋冬四季打完之后就有结局。那我不知道我没有我我第一关都没有，我是发现他变季节了，到后来就过不去了。对，他冬天下雪，就是把这打完之后，然后最后打的人叫妖四郎，, Start Time: 1000930
Text: 他是两把刀给你打。你为打完之后就是这打完结局，而且就是他这个他这个片头字幕时，你要什么都不问的话，他会给你出一个就像是电影结尾的那种工作人员表，他的里面都对应的每个每个角色的名字，他都给你显示一个这样的职员表。我就觉得那时候音乐配的这个人都挺好看的，也觉得特别有那种那种东东阳感，, Start Time: 1019460
Text: 感觉就是真的是就是进入这个世界了。不是，其实我特想问你一个问题啊，就是就是问你们几个人，就是你们这些游戏啊，就是咱刚才聊这些，不管是影视传说也好，还是什么赤影战士什么这些的也好，就是你一直玩到给他玩通了。你是当时你在玩 FC 上玩这个游戏，给他玩通了，还是后来在模拟器上给玩这个影幕传说这时候模拟器也玩通了，, Start Time: 1041800
Text: 赤勇战士，这个等于是来真机上打穿的赤赤战士。我觉得可以。因为有些游戏，我觉得真你要是在当时那个环境下给他玩穿了，我觉得难度挺大的。其实就是他为他他那样后多里他都没有拆开 le 换的概概概念死了就没有存档。这个概念根本就对，就是可能你要是嗯有些游戏，比如说龙珠 RPG 这种的 FS，, Start Time: 1063260
Text: 这种可能还能拿电池存个档什么的呀。对，龙珠这个对有些游戏你就完全是只能是一遍打，只能就靠背板跟自己不屈不挠的耐力。不过这个背板这个事其实挺有意思的，就是你给他整个生生生给他背下来，这关你一遍一遍打，可能也就也就没那么么拿。而而且有人背言版，就是你玩的基本就无脑状态。, Start Time: 1084630
Text: 这种。对，就是纯是本能了。对，就纯本能肌肉反射玩的。对，就是看你想怎么样玩的更华丽，或者说更那个更速度快。什么这种就要是说忍者角色的游戏，我其实特喜欢就是的做的游戏叫叫 sunsofeky，就是说咱这儿叫忍者大决战。然后他实际故事你控制的是两个农夫，就是跟那个为了就是说反抗，, Start Time: 1106060
Text: 就是说那将军的征良令就和那个将军作对，将军派那忍者谜探给你打。然后这游游戏这游戏就是说他是在日本排的，就是那种恶搞游戏，他能排排第一名。这游戏我挺爱玩儿的。然后就是说今年出的这个 PIV 龙村证，一直说要出四个 DLCDLC 里面，其中有一就是这个，不过到现在都没都没信，, Start Time: 1129720
Text: 就公布了四张假图。呃，我还想起来一个特有意思的，就是你刚才提到做稿那个就是 FC 上有一些这种就是这个不能说是什么色情游戏，或者说什么十八禁游戏这种的，反正我玩过这种的，我知道你我看你听见双响炮，我不对，说双响炮扑克牌，那个就是一个大姑娘在那在那坐坐着，在那儿比基尼。, Start Time: 1153050
Text: 我记得对，不是他先开始穿的是全身，然后慢慢让让让。对然一一点一点，你跟他那个那个规则，我到现在都没搞明白，就是怎么跟他玩。那个扑克牌好像一人五张牌吧，一人五张牌就是怎么比大小，我都没搞明白，反正就是胡摁的好像规则。德州扑克克有点像是吧？反正我反正我当时玩的时候，, Start Time: 1174370
Text: 我们几个大老爷们在一块就是胡摁胡摁。然后一看哎脱了脱了，在一哎脱了脱了就是然后其实到最后也没什么，就是就是脱光流，就是白的，什么都看不见那种感觉，就是和双响炮就是同一时间流行的时候流行上了。国内还有一游戏叫 AV 麻雀俱乐部。就是说你在日日本各地，还有什么像那个银座、, Start Time: 1191870
Text: 新宿六本末这些地儿。就是说你挑战六本末挑战的时候，你可以就是选三个女对手也选一选。其实到之后，那女的就脱衣服，反来我网网查就是等于觉得这些游戏也是全是日本发行。但是说因为不是延没有这延长的，就是得审核。所以就是他们自行就是说发行贩卖游戏，那没经过审核，他们是怎么就是自己生产。, Start Time: 1211570
Text: 对，就是自己自己生产，自己地下贩卖的地下贩卖，就跟那个那什么有打码的，有不打码的，不打码的就是违法的，就在地下贩卖是一样。嗯，不过那时候玩麻将也玩挺多的，但玩的不是这种脱衣麻将，就是那四人麻将，二人麻麻。我玩过对，四人还我还玩一个个六人人嘛呃十六十六街吧，, Start Time: 1232740
Text: 十六张十六张牌的那个麻将，好像叫做什么台湾麻将，就是看他们分的特近，有有台湾麻将，还有四川省麻将，什么？对对对对对对，哎，咱说的街霸 FC 上到底出没出过？就是官方的街霸， FC 上没有官方街霸，反正我玩过很多很多版本的对我最喜还是就是最传统的九人的。呃，, Start Time: 1252090
Text: 我玩过最早的是一个四人的，就就叫做快打旋风四四人。他那春丽那靴子做的跟火腿肠似的。对对对对，我们就是管那个那招就叫火，而且就是你给人憋脚就可以连着使那那摔摔坏，连着给他摔就能憋死。对，就连着给他就能就能摔死。然后我玩一个是这个，然后还有一个是五人的五人，就是能能能能是警察，, Start Time: 1270280
Text: 能是警察好了后，后来把还能把马里奥改了。马里奥他招是桑迪尔夫的招。对对对对，就说的跟大乱斗似的。对，真的就是就就就是大乱斗，还有一个大乱斗。我还玩过一个是九十年代初期，那会儿出的一个叫做什么？三十二人快打什么这么一个东西不里，然后恶龙传说对他把恶龙饿龙传说的人给加进去了，, Start Time: 1291040
Text: 就是特瑞什么安迪这些人全都加进去了，就彻底的乱了那种。但是玩的巨，但是他那画面发土黄色那种感觉。对对对对对，就九人街霸其实还不错。就你说那个九神街霸，其实九人街霸我都是当八人玩，因为龙跟肯错的一样。对对对，九人街霸其实手感还不错，就是后来那些有一些很多一些乱的，, Start Time: 1309660
Text: 就是就是说都不是官方出的是吧？对，都不是官方等于都是台湾那边做的啊，就卡普空就没在 FC 上出过节目。因为那时候的你看那时候就已经街霸火在咱这火着，差不多九一年、九二年。嗯，那时候红白机就是每年出游戏就已经特别特别少了。对，但机械市场在国内那会儿是一个黄金时期，, Start Time: 1328790
Text: 国内对国内一边咱们等于新的老都能从第一时间。对，而且便宜了。那会儿好像一盘卡，就是一百一百一百二三十块钱，这是正版的价吗？这不是正式啊，就是咱们买的那个几合一几合一，那个时候也经见不着正几合一，还有这么贵的，差不多。我我我们都是去精五星租多少钱啊，也就几十块钱。, Start Time: 1348560
Text: 精精星星说到精五星了，不会是是不是那个精武精那个清河那精武精啊，不是，是那个那个灶句庙，那个精武星造基庙。那个以前我在那边的时候也是老去租那个卡带，嗯，嗯，都是去租，也不得贵，一星期之内还就行了。但是后来因为太喜欢霸王大陆，所以自己买了一盘巨贵一百二十五，, Start Time: 1369960
Text: 霸王大陆，王大陆一百二十五还不算太贵。我记得。但是你说你以后你老费电池，这也是一个长期花销。没错，那时候就怕丢档，我也卡都不敢拔出来。哎，你们你们买过就是最贵的 SC 卡，然就是那个巴倍西那卡，你记得是什么？我买的最贵的是一八合一买特版了，九五年卖的了。然后有那个对战忍者龟，, Start Time: 1392070
Text: 然后美版的魂斗罗三就是那个魂斗罗 force false。然后有怪亚历险记风鼠大战二，还有就是说含含金流这个 OK，然后华夫比历险记古巴战士帕诺夫、卡诺夫。然后还有一个是响尾蛇，不是响尾蛇，还有一个是什么来着？忘了，反正反正反正也挺高开的。一八合一啊啊。那个卡诺夫是的，, Start Time: 1413010
Text: 是卡诺夫出的吧，说是那个是南梦宫出的那个啊，就是那个当啷当当特曼那个，然后他是等于偏那个苏联那那那边那个那国家，他嗯他好像讲的也是一个什么什么神话中的一个什么，他是一神的仆人，他等于他放 data 思的一吉祥物，他在 edata a 意思那个斗士历史里面一直出现。, Start Time: 1435790
Text: 还有就是在那个龙之忍者里面，当第 u 万 boss，那个游戏其实挺好玩的，不断的上坡下特别灰谐，而且你能使道具就收梯子什么的。对对对对，而且这游戏有一个自杀利义，就是说你摁下跟 BA 的话，他直接就坐地上就死。那时候我们班有一同学，我们班有一同学，然然那个他他们家平房，, Start Time: 1455110
Text: 他爸上去铺油毡，然后踩梯子摔了，我们就老。我们老当方面就是演示这，然后陈学也这么急了，我说你爸又摔下来了，他说玩洛壳也是玩壳壳，你爬爬梯的时候不摁一下 a 他直接就这么整壁掉了。然后我们也说这你爸又摔下来了，我我们是那会儿玩玩街霸，就是玩单单单人单打模式的时候就是不断的过关。, Start Time: 1473390
Text: 然后也在同学家里玩儿，说那个桑切尔夫就说是你爸，然后顺利说是你爸，然后还打你爸，打你爸，还打你妈，打你爸骨痛。然后嗯我我我我那时候对钱没什么概念，我想玩什么，我爸爸给我买。这这是是富富富二代，这属于这个不太知道这是多少钱，啥东西什么的，我也没什么，就可能我自己唯一买过的一个就是那八合一，, Start Time: 1494840
Text: 就是特别著名的八合一，有什么魂斗罗沙勒、曼蛇，赤色要塞，还有绿色兵团撞球什么的，可能剩下的可能就是剩下的可能就是样了什么的吧。就还这的可可就是每个班就是每几乎每个小朋友家里头人手一个嘛，但是后边有两个游戏永远都是不一样的。就是有的像有人手战车里边有摩羯森什么的。, Start Time: 1522390
Text: 对对对，篮球那个乒球、篮球啊，对还真哎，体育游戏好像也是，咱还咱还咱还没说对体育体育游戏那个摩托车摩托车，你说那我知道你说演讲那大乱斗里还有那一串小摩托出来没个。对对，那个那个摔下雪和那个声效特别高，比较转热完以后他自己跑过来，从街上跑的那个游戏，也是自己编辑关卡体育游戏戏玩过他就不知道 NBA 特别好玩。, Start Time: 1545690
Text: 我小小时候玩那个 FC 里面的就是 NBA 玩的最你玩的是那 double double traple 吧。就是说你挂篮球有一个有一个有一个特写，就是画面黑一下。对，而且那里面当时像面什么公牛队什么基本上也是公牛。对对对对对对，然后每个人长得都可以。对，就是颜就颜颜色不一样。, Start Time: 1570250
Text: 对，可惜这个这也是美版的，这个我就玩过一个这个，然后足球我玩过两个热血热血足球热血了，那球呃就不算热血，热血系了。热血我觉得单单单单列游戏都可以。对，就就是那 double 个 dtachble，那个就是俯视服饰那个。对，俯视那个就你们看见小这个啊，那个好像我也过你，, Start Time: 1588650
Text: 你踢着他腿跟一刀似的，有点别在对往前那个腿看着往前走。这一般是那种球类、球类、球类、合球类合集，那卡里都我就是有一盘这个 card。有这个刚才那个说那个 NBA 啊，对他这直接这个东西，我记得他这直接就翻译叫 word cup。我记得最叫世界杯的，然后那个就是我玩那就是八一那种贺卡。, Start Time: 1609960
Text: 我玩过一盘卡，里面有一个克拉米做美版的一冰球游戏。那冰球游戏里边，如果就是你两个人，就是同时争那球，你都练 MB 的话，他就给你出一一特喜欢那儿两个人就是拳头对打，就是谁摁的快频率频率快完了打家看到了，然后对方对对方就少一个上场角色啊。我我我玩过一个，就是那个摔跤的，, Start Time: 1630580
Text: 我不知道是是哪个风潮出的，就是在擂台上打，然后哦会出现一个东西让你去抢。然后抢到了以后，就是那个那个当然都要摔跤。实际上就是你看他日版的话，他上面出的他那个 logo tnetle 等于那是根据那个丈夫的那肌肉人改编的哦，而且我玩那那那候候玩都不爱使，那谁都不爱使，, Start Time: 1651500
Text: 那拉面人都爱爱，那不爱使那恶恶魔军就是是发那橄榄球上那子弹那个后来我发现就是拉面人特别好，因为拉面人本身就是他在那个漫画娱乐，他等于是一个偏他住在香港九龙城的一个摔跤手，他特别擅长使用腿功，就跟廖龙似的，你就是尤其是使他你穿完道之后摁摁那 AB 啊，他那腿就有点像瞬移，, Start Time: 1669920
Text: 似挂着人踢倒，就特别就攻击频率特别高。你其他人呢都得是你必须进行摔头才能使用必杀技。对，那个游戏要让很多人在一块儿玩，特别欢乐。然后我们玩的时候，经常经常很多人被羞辱，我们算喜欢是电网站。没关对，就你打不着人，然后人家检绍这个东西你还打不着人，这什么你是吃不着，, Start Time: 1689370
Text: 吃也吃不着，打也打不着。还有玩那个就是那个街头小子，那个两个人互相磕那个那个有的时候也是那会儿，因为格斗游戏不多嘛，就玩那个那个然后磕磕磕磕磕。突然呀警察警察来了，哎，赶紧再跑了。然后有的时候警察来了还不走，还要再打，然后被警车给带走了。那个而警而警车来的时候，, Start Time: 1709650
Text: 他细节做错警车来时候，如果你赶紧就散开的话，两个人还做出那种望天状的那种。对对对对对，我也不过要说那个游戏，红白机上最好的格斗游戏啊，美版游戏是那对战日归日版游戏是任天堂的一个特别冷门的游戏。那游戏没说盗版，那游戏名字叫快乐的机器人大战。它等于就是说你就是你有八个机器人角色，, Start Time: 1728259
Text: 但是说你得一个一个收服收收，它就是每个人招都不一样的，全是街霸霸的那些招它，而且它还有那种教学官教你出招什么的。哦，那那卡它是它是自动那种，能给你记忆，就是记忆到你打哪个关卡，等于大概里面你得总共得打，差不多是将近二十个敌方机器人，可是你只能使八个，你对战上也只能使八个，, Start Time: 1748890
Text: 他有点像洛克尔的那种概念，有两个博士，一个是好博士，一坏博士，还有坏博士，就是把好博士那些机球全给拿走，改成反派了。那那他这个为什为什么没出没出那个盗版呢？因为他那个比较版，这游戏得差不多是九三年出的了，就玩不 bin，这个没给做盗版啊。我们我但是我好像玩过一个是基战的一个那种类似那种游戏，, Start Time: 1770140
