Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心被节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 COIS 点 com 我们不见不散耶。, Start Time: 27700
Text: 对吧？就是在同同一个就是实现同一种玩法对的情况下，使用的核心规则越少，我们认为它设计越精彩，对差不多。类似这样一种情况，我们可以看看，比如说举举一些比较简单的例子，就是细胞分裂四。细胞分裂四的交互其实是非常复杂的。嗯，所以它有非常也有非常复杂的玩法。然后像大光头系列，, Start Time: 770110
Text: 它是有是场景中有非常多的变量量，错对换装装备这样变量，所以才有趣。比如说这个呃 marmarstinks 暗影冥盒那个游戏其实是很传统，很硬核，但是它有非常不错的。这个就是有就是这个视野的控制。嗯，但是 MGSV 这次其实你能做的动作非常简单，然是就那么几个动作翻滚国幅，, Start Time: 795700
Text: 嗯，然后然后呢也不像羞辱那种无限超能力。对，然后又没有什么超能力的东西给你，它只是有两套非常简单的机制。一种是你的潜行动作模式，一种是你的正面射击的模式，然后别人的交互模式模常能灵活，但是也非常简单。简单来说就是哪里怀疑，就是侦查有情况就去呼叫支援，然后就是很传统很古老的一种。, Start Time: 820280
Text: 对，非常说简单，然后非常上的状态。但是他却用大量的细节和他的这个理念，把它做出了无穷的变化。是的，非常不可思议的潜入游戏。而且他像他的，我刚才说那个 levelelevel design 那方面的，就是说我说内容方面，他可能包括 level design n lelel n 做的其实很少。, Start Time: 845610
Text: 嗯，因为他每套系统都不是必须的，就是对你可能说敌宾，你说那个 OKB zero 那一关，嗯，视频也不是所有人都有都有头盔的。如果说你之前把那个头盔就是派遣任务，把头盔消灭了，他就没头盔。嗯，那所以说这不是 level design 事情， level 应该是要做他一些可能布局的走路什么的。, Start Time: 862470
Text: 但是有很多东西是在不及，他没有办法控制的。对，就是顺顺其自然，对他就顺其自然然你你的你身上的的态态，你全部都不带，照样可以。戏是这样，对他没有一个神了，对神了，觉得很多。就是啊我我给你一个装备，让你必须在这个用这个装备啊，你了解怎么的，是后可能还这个上面展开它没有这个东西，, Start Time: 879750
Text: 我觉得可以这样理解。就是说你现在回头看原报点，你会发现它在单独做一个基地的时候，这个基地的规模和细节都会比幻动里面的任何一个基地都要高。对，嗯嗯，太密集了。但是但是原报点呃现在很多人回去看，可能觉得幻痛里面的村庄是有没有没有像原报点你那么精致，嗯，嗯，看 m 欧米伽那么精致。, Start Time: 897100
Text: 但是这也是我觉得它在改变整个游戏模式的时候，必须要做的一个改变。你可以把原报点看成一个过渡，从过去的 MGS 到了未来的 MGS，那幻动可能在这个点上会做的更加的就是更加完美的。我觉得嗯它就是有一个设计的基本原则在里面，从这里发展出去可以复杂，也可以简单。, Start Time: 920040
Text: 但是是机制在这种机制不是设计，它就是有机制设计，它不是一种通过流程，逐渐形成了一种游戏内容。其实我如果说我们比较熟悉的模式， rock lig 特别像这种模式，就是基础规则极其简单，但是玩出无尽的玩法，各种花来。对，但是在这在 MGSV 之前还真是很难想象一份对比沙盒是不是通过堆砌内容，, Start Time: 941260
Text: 而是而是也能通过这个流程生成就形成这样一个每个人都截然不同的。我我真的觉得自傲欢通是一个沙盒，游戏并不合适。对，是这样，他其实不能这么定义。对你如果说它是沙盒，它其实不太符合我们心目中沙盒的，或者说你每一段玩，比如说我我要呃你玩主线任务，你会感觉到你在出处，, Start Time: 964210
Text: 在行动是受到限制的，有很多山会挡住你的去路。嗯，就是阿富汗地区肯定是有还是很很严重的这种这种问题也不是问题吧，就是他设计是故意让你故意。呃，你有比如说一个岗上，你确实可以溜过去，但是是它它是会占据你的路线的很大的一部分。比如说像基地这种，你并不是能够像所谓的沙盒一样，, Start Time: 985540
Text: 你是可以在里边自由移动。但是这个关卡其实是好像是还是还是有限的，它并不是开放的，就是在大部分情况下必要的时候，它都不是开放的。对它这沙盒可能是在你这个游戏行动的主观的做法上，可能是一个无限的变量。就是你可以如何去玩都可以。但是大部分情况下，你可能没有那种沙盒感。, Start Time: 1005920
Text: 嗯，我觉得就像那个就是日式游戏特别小岛游戏，很喜欢做一个事情，就是控制你的流程。这样的话他比较好控制你的那个体验嘛。然后我觉得因为阿他刚才那个瑞说的阿富富汗，阿富汗是比较相对限制比较多的。然后像后面的那个中飞就比较开放，他可以到处跑嘛。阿富汗里我昨天做了一个事，, Start Time: 1027560
Text: 很久以前做了一个事，那就是我你就是知道那个去快特那个打快特那个地方，嗯，那条路是必经的。对，但其实呢有个小路，那个小路爬山可以过去去就是爬那个缝可以过去的。嗯，然后呢，我就那天我我我重玩嘛，然后我就想我说哎那我试试看。爬缝跑过去之后，他就有个直升机在那儿，, Start Time: 1046675
Text: 就是那个毁了的直升机掺海子把它堵住，堵住了，他就给你一小块给你围起来，让你现在这块玩儿快，你你到后面去再去玩去就就两条有这个想法哦。嗯而且其实这个可能就说的可能有点往后了。就是我觉得这一座虽然有开放，有不开放，它的 game play 体验，与之就是相配合的演出效果极其优秀，, Start Time: 1066910
Text: 极其棒。它的这个主主线任务和支线任务其实是有的时候是有很强烈的这个欺骗性。嗯，然后嗯你真的就在支线中突然遇到了非常强烈的这个剧情。是的，然后非常有刺激性。而且它这个刺激我一直觉得可能是设计上的优势，就是经常是在你的玩法遇到一个乐趣的瓶颈的时候，稍微觉得游戏有一些平淡的，, Start Time: 1090770
Text: 你来一下，马上就有就就剧剧情带来的变控制制很好。对，然后剧情变化之后，剧情一定会带来玩法的变化。嗯，然后再一次遇到瓶颈之后，再一次突进，这个节奏非常不可思议。是嗯那既然说到故事了，我们不妨再聊一聊他的这个剧情上的设计吧。因为这次实在是冲击过大了，这个好坏评价都有。, Start Time: 1117670
Text: 但是对于我个人来说，我觉得这是一部上佳的作品。而小岛不论从玩玩法还是剧情，他从 piacce worker 开始就已经想去转变了，对吧？对，系统一步一步的 peace worker，然后 ground zero，然后再到这个。然后剧情上我觉得我们可以聊一聊，, Start Time: 1140240
Text: 这次这个主题都是非常一个严肃和沉稳的一个主题，对吧？对对大体上的感觉，先讲主题，讲叙事对吧？对，嗯，我们先讲讲剧情吧，剧情对剧情里面一共两个个节节，对吧？对，第一个是复仇，然后第二个是种族，然后第三个并没有，但是其实是有的。对，大家都知道了，其实对是共生。, Start Time: 1157680
Text: 对，我们就是先聊聊这个复仇，要不然嗯其实这个序章当时让我印象挺深的，然为我我没太明白他到底想说什么，但都这样了， MPS 游戏都这个非常非常的超的。呃，因其其实如果要要要要全全解解是幻幻来来的。所有这些事情的话，你可能要从起码要把呃和平行者，还有元宝典这两部作品玩了。, Start Time: 1182440
Text: 嗯，你还会知道他开头到底在讲的是什么什么事情。嗯，就是他就是你在操控到底是什么人，嗯，然后他经历了什么出什么事儿了，对其的他的目的最行的目的的到底是什么？嗯，然后这个序章其实是一个传统 MGS 的玩法，是一个非常线性的对，然后给你很强的这种呃视觉上面的冲击。, Start Time: 1207560
Text: 嗯，然后你你可以看到就是毒者嘛这个主角嘛，那 one omstack 他是从一个呃爬在地上爬行，然后最后跪着的，然后最后站起来站起来。对他这里面是有一个对于人的隐喻的，就是从你从一个呃人的进化吧，可能说对是一样样，对这一样和 cylensofs 是一样的。, Start Time: 1227140
Text: 对， cylenenofs 也也是讲的人类第一环站起来，站起来的第一个站起来的一个一个对，但是但是序章的作用就是让你从传统的玩法进入到新的玩法。嗯啊对，然后从故事角度讲，这里边其实已经埋了很多很多细细节了。如果呃呃不知知道长长老老师给我们讲讲，呃，比如说呃一开始我呃一些大家都知道细节，, Start Time: 1248210
Text: 比如说白色的花瓣，这个是呃呃当年那个 PB 放在 TB 目前的那个花。对对，也是他们他们决战的时候，那片花海嘛。嗯，啊后如果你在游戏刚开始可以操控的时候，回头看你会发现呃在你就是在你的病床旁边摆的是只有一瓶。那个时候护士从隔壁床拿过来的，嗯，但是在隔壁床的前后左右是满了很多瓶幕一堆。, Start Time: 1271930
Text: 对，嗯，这其实各种花瓶已经已经在暗示他呃，就是临床这个人的身份了。嗯嗯，然后还有一点是病床发现呢，我也就跟那说了，就是比如说呃就是呃静静一开始还是 SOF 成员的时候，穿着那那身军装过来暗杀你。对，这时候他是他说了一句话，他就在电话里说了一句话。对，讲机里面他说那个临床看到了我的脸。, Start Time: 1297800
Text: 对，嗯，说我，然后就是说他等于是马上就要把这个临床干掉了，但是他但他并不是并找你的，但是他不但他并没有干掉临床，他干他走向了你。嗯，其实他来找的并不是你，所以你是临床，其实你是对临临床是是这个临床。对嗯，就是他其实要找的是 EHML，嗯，啊对他要找对，他要找是 EHME，, Start Time: 1320960
Text: 而不是你。对，不是 VB。但我相信可能第一次玩的时候，可能会会有人，很少要玩家会意识到这一点。但是我是玩到最后的那个重复，在玩曲张的时候，我发现这个这个这个这个点对我觉得很多人会觉得怪。但是就是小岛作品，就你一开始很多地方都觉得怪对，所以你可能有可能也没有注意到这一句话为啥的对嗯对嗯，, Start Time: 1343960
Text: 就是这种小的点。比如说一开始那个直升呃那个飞机的声音，嗯，飞机的声音，那个院长应该也我刚才说了，就是那个飞机坠毁的声音根本就不是直升机的。包括前作的时候，就是我前前结尾尾直直机坠毁毁什么么？对对对，我们都以为是是报报的结尾尾的声音，当然并不是，而并不是。对你接听那个飞机的声音，, Start Time: 1364950
Text: 后面一声那个过去，但是绝对是喷气是北极。然后后面那个就是呼吸机的声音，其实就是面具的声音。对对，我们回到那个 revenge 吧，回到我们说这个话题吧。就是刚才我补充一句，就是刚才院长我们说了很多阴谋论的东西，包括这些游戏当中设计的小小的彩蛋和细节。然后院长刚才给我们做了一期说个事的视频节目目是里面所有的东西，, Start Time: 1383370
Text: 大家可以去详详看那一个。对，然后我们在这里就不不多谈这个了，我们谈一谈这个关于复仇这个主题。现在嗯我我觉得就是呃其实我在知乎在知乎体外，知乎也答过这么一个问题，就是怎么评价 MGSV。嗯，然后我里边有讲到说那个就是复仇作为一个主题小岛这部对复仇的看法肯定他其实太明说了嗯，, Start Time: 1404290
Text: 复仇是什么？就是就是他是一环的会玩，就是会对连环复仇。嗯，所以他并不是觉得复仇是一个正面的东西。嗯，所以他并不想通玩家，通过复仇得到爽快感。嗯，所以我觉得他在复仇这个主题处理的非常好的几点，就是也是小岛这次做的非常节制的几点，就是你在你在复仇的过程中是没有任何的伤怀感的。, Start Time: 1425860
Text: 嗯，而且这绝对是设计的，而不是说一个有意为之的，不是为不是为了开节省开支的。嗯，可以看到他说呃那个我们复仇的最终目标是 scufface。嗯，然后反正一开始玩家是这样认为，对吧？ scoff 子子永远的强笑了。对对对，我就是要复仇，现找 cscffer，然后找找找找 ffer，, Start Time: 1446320
Text: 对吧？打死定了。对，然后那个 office 死死的原因不是根本就不是玩家的的行为。嗯，他是被那个完全不枪干，其实是依赖的那个控制的那个丹尼斯，然后再控制那个个 MG 给踩的。嗯，打在那之之后，那个你也打死死他，我我我上上去枪枪。对，嗯，如果玩家开枪了也不会死，, Start Time: 1463440
Text: 嗯嗯，打枪枪的就啪手脚打断，拿着复仇了，好让你承受我的痛苦，对吧？对然在那这等着办，我们报仇了，走了走了，没走多远，啪被 QE 干掉了。嗯，而而且个很开开，那让让受我消了。对对，就是很开心的，就是那感觉让人其实是哭笑不得的。嗯，然后就是莫名其妙一个人在那儿开了一枪，, Start Time: 1482700
Text: 然后就就就说啊很开心的，我 revenge 了，对吧？嗯，其实这其实就是有点有点我觉得因为玩家那个消息会觉得是呃那个奥特卡和 huy 这个角色可以印制玩家。嗯，可能这克能更强一点，但 huhury 弱一点。嗯，他觉得这个时候玩家会，如果说你在那儿庆祝 revenge 的候，, Start Time: 1504190
Text: 可能就像 hue 那样哭笑不得得就那个感觉，这就是你自己的那个作用。因看你可能就是你那个心态就很胜利了。但是其实你并没有并没有得到胜利的快感。对呀，而且确实是整体上都很有疏离感，就是你的你会有一点感觉，就是你的复仇对象，你会有点迷惑。为什么要跟他复仇？对，, Start Time: 1521890
Text: 而是看了一直在说，对对，我们一定要让他对偿，还看你说又要要复活复复仇。而且事实上说到这儿啊，我就想就想说一下，就这次游戏戏中中塑造的主角，我简直太牛逼了，你知道吗？就是我始终我在控制这个人，但我一直觉得这个人不是我自己。嗯，是这样，就是他的迷离，他的迷离的眼神神。, Start Time: 1544170
Text: 对，然后还有他整个这种奇怪的他的性格，因为我们之前玩过 MGM 知道 BB 他的性格是什么样，起码有点性格，对吧？而且就我是玩五之前刚刚玩完前面的三作。对我更知道 BB 这个人对我的印象很深刻，他的性格应该什么样。对，所以我就是玩这个舞的时候，我冥冥之中就觉得这个人一定不是我自己就非常的不协调，, Start Time: 1566950
Text: 就是非常的不对，就感觉这个人怎么变成这样，就你玩他的来就觉得啊就就是感觉就是洗脑了之后就是没没没好过神来的样子，对吧？对，但是其实玩的时候你就觉得就怎么就不说说话的对吧？对，就是不说话就不说话，不说话话就特别。所以我觉得这是一个特别妙的一个地方，你很难说清楚他用什么方式来塑造这个角色，, Start Time: 1588330
Text: 但他塑造的非常成功。对，就是他甚至没有把原梦点中的惨剧带来的那种伤痛，没有来导入玩家，而是说一直是只让一个人在重复，所以你只是机械的听从别人的这个我要复仇啊。没错，个个 coface 这个灌输给你的。但是最关键的问题可能是复仇。呃，就是一开始引发这个复仇的嗯，, Start Time: 1608720
Text: 个个就是他对你你这目目地地这种摧毁毁到底是为什么？嗯，其实跟你也没有什么关系，并不知道对你你并不知道对你没有一个理性的东西在里面，你知道他为什么要对你来对，为什么要毁了你，我只是道他伤害了我的人。对对，但是这个是是很浅层次的。嗯，就是我我没有我没有没有没有一个真正的动力去支撑我去做复仇。, Start Time: 1630200
Text: 嗯，因为我们直到最后我们也不用，我们可能到最后才明白到底为什么呃 score face 会对你来做这些事痛。嗯，对，我觉得这里还有两个细节，就是那个我前两天跟瑞 al 聊的时候，就是如果你在那开枪了，玩家可以选你开枪不开枪对吧？对，你开枪会有闪回，闪回是在医院里的自己。, Start Time: 1651100
Text: 嗯，不开枪，你看不着这个，对，我们没知着我开枪，你开枪的人，然后如果说就是放剧情的时候闪回就是 big boss 的，就是那张脸，就是这两个。你第一次玩也没也不知道，因为你不知道是两个人，对吧？对，如果你回去玩的时候，你会发现就是玩家控制的就是就是 smell，, Start Time: 1670930
Text: 而且就是那个 a hiy，就是那个毒蛇嘛，嗯对吧？那是毒蛇的话呢，其实就是你在复仇，是你想复仇，嗯，所以他把你的那个形象给带出来。如果你不做这个事情，那是你自不是因为就是的确把那个选择权给玩家的对吧？嗯嗯，那么 big boss 还是会不会还是他会不会复仇啊？, Start Time: 1688150
Text: 你你的人格里面植入的 big boss 人格在那里开枪哦。所以所以你可以这么理解，就是说呃他毒蛇在做这些选择的时候，他他的人格里到底是哪一个人格在占主导。嗯嗯，就是我们可以在我们考点一下。对，可以考虑说是不是说那个完全有控制的都是自己人。其实就是在在四十六的结尾，, Start Time: 1704950
Text: 四十四十六个任务，第四十六个任务结尾。嗯，就是当这个事情浮出水面，到一共有两个人，就是毒蛇接受了 BB 的格格。移植后后你回去看所有的事情都跟以前的你你给你带来的感觉都是不一样的。比如说他没有杀和杀了，呃， quiet 到底是谁来做的决定，然后他放逐 hue 是谁，, Start Time: 1725200
Text: 你是哪个人格在做的决定？嗯，对 BB 的人格植入之后， BB 的人格做的决定，还是他自己还是他自己做的决定以及后的事。对，以及以及包括 quiet 到底喜欢的是谁？嗯， quiet 知不知道你的身份？嗯，这个如果我们看刚才那个理解 quiite 是知道你的身份的对，, Start Time: 1745220
Text: 感觉是应该是知道的，他喜欢的应该应该所以是玩玩家，这是玩家的情任，是真是你是是你自己。对，所以所以你先玩四十六，还是先玩四十五。对你对四十五结尾的感受是截然不同。对的对，所以我就觉得这个人绝对是知道我了解我的对，他是真的了解你这个玩家对了解 VB 知道他知道你是什么样的一个是的经历。, Start Time: 1761900
Text: 嗯嗯，所以真的是 MGS 五。对，就是剧情设计的高明之处。嗯，就是你玩你控制的既是 b box，就是你心目中的 b box，又是你自己是真正意义上了你自己。对，有非常高的同步，有这个。对，可能可能在乍看起来这个五的这个这个设定就是呃可能会比较像二，因为二也也做类似的事情。, Start Time: 1783720
Text: 但是你会你回去想，你会觉得它每一段剧情其实都是利用了这一点的。所以他并不是单纯的，就是为了给你一个 stunt，就让你给你让你 surprise 一下。并不是这样，包括我们说的呃复仇，就是说呃其实你现在回来看就是说呃呃呃呃欢呃毒蛇这个身份，就是他从一个就是没有无名无姓的一个医疗兵，, Start Time: 1807450
Text: 变成了我们所有人心目中的这个来针对所有对对对，变成一个传奇的士兵。那这个过程是你自己去塑造出来的。嗯嗯， b box 其实在这个游戏里面基本上一个不存在的角色，嗯，就他只是最后真相的时候出出现了一把。嗯，那为什么需要把你放到把玩家放到这个中心？嗯，呃呃就是说复仇之所以不成为复仇，, Start Time: 1832010
Text: 是因为你跟这件事情并没有什么什么特别直接的关系，或者即使有关系，也是在 pass 那条线里对来阐明的，就是你会感到有内疚。嗯，但是你并不是那个真正真正仇恨 the office 的人，嗯，或者说这些事情对你的伤害可能还没有看 cuass 来那来来的大。嗯，, Start Time: 1855270
