Text: 他们说的我们聊的都是你们最想玩的，刚知道的才公布的，全是本周最热门的，欢迎收听机核网新闻节目。 judue news， and you don't seem to 你随的所味再去。大家好，欢迎收听新一期的家油游戏新闻节目。我是大家大家好，我是新总部。大家好，, Start Time: 4080
Text: 这个这定价挺牛逼的，是是就是很好奇这个二叉叉叉系列这个时代到底有什么提升？这次这个二零六零一铺开可能会有很明显的变化。因为这个二零八零吧，是毕竟价格在那放着，也不是所有人就是会大比例的人，大部分人是这个买不了这个。另外个一般八零是叫旗舰级的吧。对，就是他们可以说是他们就完全释放自己这个技术的这个产品，, Start Time: 269900
Text: 像像之前幺零八零这整个对啊，所以等到这个幺二零六零出了，看看什么样换换一个。嗯，我操，而且其实个个个对对，而且而且其实当时不是正值这个 CES 嘛。对，其实也有很多其他的这个相关的电子产品也公开了一些，嗯，然后也有一些新的技术。然后这个 g ffort 这边呃，, Start Time: 294070
Text: 这次他不是也是主打这个光线追踪嘛。对，所以其实在这个公布显卡的同期，它也展示了两段这个 demo。嗯，就是能看到呃有一些这个在从光源上的一些处理效果还是相当不错。是对。然后再包括他这一次在现场宣布的时候，也是人家直接谈就是提到的和 EA 的合作所对。然后他着重演示的游戏就是战地五和圣歌。, Start Time: 313330
Text: 哎，对，然后再有就是可以提一下，呃，我不太清楚这个在中国地区有没有这个 bonl 啊，就是最起码人家北美那边是有的，就是你要买二零六零或者七零，能能这个直接得到圣歌或战地五哦。但是如果是买二零八零或 TI 的话，就是直接两个都有哦。所以现场发布会在公布二零六零的时候，, Start Time: 336070
Text: 他演示的游戏就是这俩啊嗯也可以商法是是还是挺屌的。然后他当时啊我再多说一句啊，当时还特意提了一下，就是我开了光线追踪，用二零六零能跑满六十帧的战地五。哎呦，呵啊，所以说挺厉害，挺牛逼的嗯。然后 CS 就是我还听到了别人这个之前简单跟我说的，然后具体我也不知道，, Start Time: 358240
Text: 没法说太细啊，大家就听一下。我记得是英特尔公开了呃十纳米的十纳米技术，然后马上要推开这个十纳米技术，而这边这个 AMD 推了了他这个比六块卡部分七纳米米的技术。就是所以说这个技术相当于一个大的，也算是挺大的一个演技。是嗯之前玩游戏，我老说是我比较重视，比如六能够稳了个六十帧，, Start Time: 379200
Text: 是画面可以差一点，就是我个人的看法。但是呢其实其实最近的这个光线追踪这个事儿说了很多，我也是有时间的时候，在网上下了一些这个四 k 的视频，嗯，看看它什么样感觉还是贫穷，限制了我的想象力。对，有的时候那画面真是有的时候好到，你会觉得我操。如果说我的机器稍微差一点点的话，, Start Time: 399700
Text: 我愿意为了这样的画面稍微牺牲一点帧数。那有些游戏类型是的，确实是这是技术进步确实好。是的嗯，对，反正有的时候还是挺羡慕皮的。是对，当然同期这个 AMD 那边 AMD 那边也有是对对，然 ing 七吧，应该是。对，就你刚才说的七纳米的工艺。对，然后人家那边演示的也是这个以四 k 跑的鬼泣，, Start Time: 417870
Text: 五个全景封锁。对啊嗯然后然后我当时还看特意看了一些新闻 u spspater 还上来展台。对，然后说今后我们微软和 AMD 啊同讯五用一些新技术开发旗舰店什么就这种东西西也提了，一是这个今这周的玉币来信，有其中一个就是这个说是全封锁。二说的写 AMD 解锁这个机器极致体验是无上限的，, Start Time: 439410
Text: 帧数相关的。然后这次他放出的这个就是他会带了一个这个配置列表，最低推荐和高级配置，就是这个一四四零 p 的六十帧和四 k 的六十帧。这静营配置里在处理器上都加上了这个七系列的 AMD 这个七系列的这个推荐。嗯嗯，其实能意识到，我觉得电子消费的这两年开始可能又是一个阶段啊，, Start Time: 461370
Text: 终于又又动起来了。是不管是整个分辨率还是光源追踪这个技术，或者是就是这个显示设备的进一步提升，感觉上一次还是上上纳米代，那那不至于反是上两个时代的那个交替的时候的那个，反正这两年可能要开始，尤其是显示器，还有电脑周边的。因为因为 PC 真的停滞了很长一段时间了，, Start Time: 482420
Text: 是吗？嗯，这个压近十纳米，本来很之前好像很多人按摩尔定律，想应该是几年前哎，可别摩尔定率，按摩尔定律就是扯淡，你知道吗？就是今年年初，然后这个终于进入到十纳米阶段了啊，这个这个确实是这个工艺的进化，可能影响不非常非常大大是嗯看吧，看看有钱怎么非好说。是。嗯，, Start Time: 500900
Text: 好，刚才既然说到这个全景封锁锁，然后就说一下这个全景封锁二的一个新闻，看吧，看这个意思思 b 呢和 epic 正式达成了合作关系。是的，然后呢，全球风口二会登录玉璧自己的这个 u play。嗯，然后包括呢 epic 的这个游戏商店是的啊，然后不会暂暂次来看，, Start Time: 520680
Text: 不会登录 steam，而且移除了 steam 上的预购页面。嗯，对，然后这个 epic store 呢在对国内是一个非常硬的完全索取。就是然后因为 epic store 本身这个 epic 平台对国内有一个自己的版本，嗯，所以你要翻墙，然后在这个锁好自己的这个 IP 锁成海外，, Start Time: 539510
Text: 你才能正常支付啊，所以就很麻烦。嗯，但是 epic 这个事儿搞的这个 steam 也是有一些动作来反映嘛，反正嗯有一种这个六大文门派围攻，又又又来了，天天就是这一个天天就跟莫明 ing 一个桥段。因为还有个门派，就是最近的弄了自己的商店啊，这个就是想把这个因为现在 discordiscort 应该说说是完全占据了这个欧美玩家的这个社交社交的这个使用，, Start Time: 557070
Text: 嗯，还要自己以这个为依托，然后弄个商店整写的最近的一些动作，包括什么？ worfrarament，你下这个 discort 版的有额外的奖励啊什么的，也就运运行开了。现在这上面这个主要售卖了，可能还是一些独立游戏。因为很多独立游戏的这个沟通跟社区沟通也是通过 discord，, Start Time: 582280
Text: 然然后也不知道 didiscard 这个模式会做成什么样啊，反正现在又进入到了这个对，感觉未来几年这个游戏发行和平台还要有一方脚励。嗯，奖励的最后条例。最后不知道会变成一个什么么事宜，会是一个比如说两三个大的平台，嗯，共存什么的文面，还是说大家一起让 steam 做出了某些妥协，, Start Time: 599680
Text: 达到一个大家都满意的这平衡的状态就不好说，还是要经过这么一点摩擦了再洗一遍。对，最近游个行行界的个 work gaamme 也不好说。平台啊对，特别神奇，然后谁都弄平台啊都能弄。可以。现在就是这个这个竞争一番啊，然后让这个可能其实这个对于比如说普通玩家或者消费来说是一件挺好的事情。, Start Time: 620480
Text: 我我觉得吧这个事儿在玩家层面上不一定是好事，这为可能还多了麻烦，他体验不舒服。但是对开发者来说，可能是好在竞争阶段的时候会互互拉独战。啊，这些些东其实对玩家来说说实实麻麻的一个事。其实我换个平台加点好事，对，然后各个各个平台我都得重新的这个充钱或者支付，其实不太舒服。, Start Time: 640770
Text: 不过降低分成可以让这个开发者多挣一些，其我这个对开发是是个事儿。对，其实对玩家来说让神仙打架的事，对实就是他们争这个利益嘛。在竞商觉觉说说你分太多多了，平台就是说想要保持握住住了。对，在 steam 这边，我想我现在我有优势，现在哎对，就是大家互相博弈嘛，, Start Time: 658290
Text: 是嗯算是第二次大战了。这个是第一次 steam 出来之后，然后开始稳定一段时间，大觉操你不行，然对大家就开始一开始搞啊。不过不得不说第一次大战的时候，其实各方各方都没怎么认真。嗯，你只想那个 steam 同期的那几个平台，有哪个他妈体验是正常，就 steam 是最正常，, Start Time: 675490
Text: 那个就是 steam 也不咋地。是，但是你想你想 SL 都是什么玩意儿，还有那个当时的橘子子么么的，然后自自己就就是其他家比划两下都躺，然后 stesteam 就起来了。然后这一次显然是这是要刺刀剑汉默 bundle，现在还卖了，汉们也卖，对吧？其实我觉得这个尝试撼动 steam 的汉默 bontle 是属于比较早嗯去启动的那批优惠力度也比较大。, Start Time: 694020
Text: 对，所以就哎这很逗战国时代下一个时代，我觉得这个微软那边的这个温度商店肯定也会有一些对动作。对，因为他收收购了这么多游戏，是这个开发渠道，售卖渠道是要好好打通了这个的以所以就很逗了。这个可以挺有意下，对，挺有意思，期待期期待一下这个游戏。这个平台的高开时代又带了一开机，, Start Time: 716640
Text: 右下角全是一大对对啊，烦他妈仿佛回到了这个解决阵。在主题主题大战的时代，就是只要是产品能插电的都要搞平台。对对，挺有意思，最后最后写成 PC。哎，对，嗯，太逗了。行，然后继续是这个凯瑟琳包里里哎的试儿，今天已经上线了上了。哎，对，然后大家可以他也是在这个直播活动上公开了这个，, Start Time: 737720
Text: 然后还公开了一首歌曲啊，是同时这个 fsteam 页面也上了宣布登录这个 PC 平台。嗯，对，然后还有这个凯瑟琳的这个 classic 经典版，嗯，这个已经了了。是的对，然后大家可以如果没有体验过前作，嗯，可以去体验一下，但是不支持中文。对，是他日日和英文文次次强调，, Start Time: 760070
Text: 如果一个解解动作作戏戏啊，对，这不是个很累，不是个看动画的游戏。这个游戏某种程度上记录了日本这个日渐这个正在成长中的这个 stestep c 玩家 b steam 玩家群体。然后他们发现这个游戏日版卖的，然后在日本卖奇贵，一开始奇贵无比，没有日文啊。然后然后他们，, Start Time: 780949
Text: 而且大家就是 steam 玩家不傻了，他会查 sten DB 啥的。然后你看中国区在卖那么一百来块钱，然后美美版也也是办也 PC 玩家，这价格也比日版要要便宜。然后正正火着呢，然后那边直接把日期直接下哦，就目前是这么说，多贵啊，八九千日元也就贵了一倍。对，, Start Time: 799810
Text: 就是不是比比美版，比美版没有，那没有那火说那么贵呢？啊，是六七千哈。对，差不多都有啊。行嗯对，然后这个接着往下说，其实今天有好几个关于这个试玩版上线的是新闻。对，刚刚说凯特琳下一个是这个生化危机二重置版哎啊的这个三十分钟这个 one shot 嗯 demo 啊，, Start Time: 818580
Text: 现在已经是可以下载了。我估计听到节目的时候，大家可能很多人都已经玩了了。嗯，对，然后因为是昨天晚上那个 x boss one 那边嗯，是可以已经先先玩的，喜里拉然冲呀。我是昨晚晚上时候。对，是啊，但港服也有啊，但是没有服服务限限制。嗯，但你得自己搜，他没有上的那个就推荐里面，, Start Time: 840300
Text: 嗯，然后自己去搜 one 上，然后上能搜到，他可能都是先上先去上架了。对，然后大家看到了这个汉克，然后这个豆腐块。对对对，都已经这个回到了游戏当中。是的啊，可以期待一下。这个到时候游戏正先大家不要把亮度调的太低啊，就不要按照他那个那个进游戏的时候提示你，他会让你调一个最高亮度和最低那个啊。, Start Time: 859220
Text: 对，就是你呃我是觉得你尽量调调开一点，嗯，啊，比他调的比他设置的再再再开一点，好像那个对比度高一点，画面会好一点哦。嗯，好好好。嗯，然后还有一个试玩，现为是这个所剩六的试玩玩，这其实也是上了啊。嗯然后大家可以体验一下这个试玩持续到十四号。嗯，然后游戏前段时间其实也是这个宣布延期了。, Start Time: 882610
Text: 对对，延延期到了这个三月一号，对嗯延了两周啊，当然这个原因也是完善游戏质量，嗯，然后待会下好说是这么说啊，是是啊，但是其实延期时间并不长，可能就是即使遇到问题应该也不会太了。嗯，然后待会儿 dedemo 下来看天书玩一吧，没有几个像 deo 杠杠。那么实诚，, Start Time: 904790
Text: 我们觉得二月太惨烈，我们躲一躲，直接说还行可以了，我觉得还挺好的。对个比较提尚实尚。对对，尚是这几个大哥大胡子啊，是那是老实在人。嗯，然后继续呢是这个还是试玩的新闻啊，是这个鬼泣五的试玩，哎，新的试玩，二月七号登录 PS 和叉版平台。对啊啊，然后这一次试玩呢，, Start Time: 923670
Text: 其实这个官方也提了，就是加了这个新的拳头，然后也追加一些新动作。另外 demo 本身呢可以存档哦，所以就是在反复游玩的时候，可以提升麋路的一些招式或者能力。因为他在这个就是第二版的 demo 里边，这个倪可的商店是开了可玩，就可以在里边买东西了。所以之前这个官官方推特这个公布过，, Start Time: 946200
Text: 比如说这个游戏内商店的一些界面，以及如何购买技能等等。是的，这次你就反复刷，然后买，然后多熟悉一些游戏的基础操作。毕竟这个离游戏正式发售也没有多久了嘛，就是拿这个先过过瘾嗯，对吧？嗯嗯，好，另外就是推拿一定要玩这游戏啊，因为有简体中文，也有繁体中文。是的，, Start Time: 968080
Text: 同步的挺不错的。嗯嗯，继续呢一个关于守望先锋的新闻，哎，嗯，上试玩了是吗？呃，那太牛逼了，梦回两年前是是对，没个手电我要死。还记得当时那回我去全办公室如此之愚蠢的感觉自己啊对什么意思啊，跟老孙说去。嗯嗯，然后首首先方这个新闻是这个他官方又推出了这么一个这个剧情的短篇小说。, Start Time: 988460
Text: 哎，然后在小说里呢比较重要的有这么两件事儿。嗯，一个是有一个安娜的新的皮肤，嗯，猫神，然后现在的活动呢是你在游戏里边呃在匹配，或者在街机或者在天梯里边，只要赢九场，就可以免费获得这个安娜的皮肤啊。对，然后第二件比较重要的事儿就是七六的性取向，对官方也是正式确认，, Start Time: 1019400
Text: 七六是这个有这种第二个 LV，第二第二位对 LGBT 角色嗯嗯上一位是裂空。嗯，对，是这样的。行，等于这次就是正式公开了是吧？嗯嗯，对，反正是这么一个事儿，是嗯也没什么太多可以讨论的。我觉得我觉得挺有可以讨论的，大家都讨论完了我了，我们妞。对对对，在这里在在多论了是嗯，, Start Time: 1041420
Text: 然后继续呢是这个龙之信条，黑暗角色。哎，四月二十三登陆 NS 太牛。嗯，好的，下一条新闻这个可以讨论一下。我觉得这这可以这这讨论了是游戏还是不错的。对，这个我觉得就是呃如果之前完全没玩过的朋友，趁这个时候玩有一个好处，就是这个龙日信条毕竟是有一种近似的多人多人的那个内容啊，, Start Time: 1063300
Text: 然后你可以这个去招募别人的人物嘛，你要让 steam 能上了了，然后中中文了，你玩玩发现就就没有都空的呀，肯定有人玩了。但是然后他这个异异部网络游戏啊，这个是的，这个设计是有种种，现在有个出名，这个大家很熟悉的词叫撩啊，就是你我玩这个时候你就会十分想要说这游戏就是应该能联网的呀。, Start Time: 1088570
Text: 是他完了他的他他不给你做成单机，可以做成假联网。对，就撩你撩撩，让你让你感受到这个。如果联网有多好玩，但是并不能对，就是实在是啊也是有套路天才啊。对，然后他这个这也是包括 DLC 的嘛，嗯嗯，所以大家可以好像是我记得是 NS 版，也也有那个日文的语音，这个也是他后来追加的。, Start Time: 1109730
Text: 嗯嗯，然后也是跟 PSM 版比是没有黑边。但是其实我因为这个的就是 PS 四版，我用我买了，我又买了一次，其实有点失望，就是它帧数也不是特别理想，其实没怎么没有针对这个新一代主机做太好的优化。是的，但是是体体来说算稳稳能玩玩，但并不是说一个特别流畅的六十帧这样的体这个个嗯然后好像是这个版本里应该是有一些这个装备在里面。, Start Time: 1129670
Text: 嗯，就是我记得我玩 PS 四那个版本，就进去之后会发现有一些呃这个新新手福利装备啊，他应该整合了一些那种就是花钱提高体验的那个 DLC 是新新新新手 DLC 吧。我估计是 PS 三的时候有这种东西。很可惜这个 on 那个龙神 online 的中国玩不了，是是真的是挺不错，, Start Time: 1153300
Text: 除了画面特别实以外，对行啊，然后继续呢是这个十三骑兵防卫圈。哎呦，那是阿特拉斯呢前几天公开了这么四个游戏包，嗯，啊对，然后呢每个游戏包里边都包含了十三骑兵防卫圈的序章内容。也就是说你随便购买这个其中一个包，然后就能够体验到十三骑兵防卫圈的序章。然后序章大概时长是三个小时。, Start Time: 1171650
Text: 嗯，鬼三双法啊。对，然后这游戏包有两个是跟这个十三精兵防卫圈有关的。然后还一个是这个个奥领领嗯游戏包，然后还有一个是这个龙之皇冠的游游戏包。嗯，对，这个我觉得肖老师跟阿拉拉斯关系挺有意思，阿拉拉斯的游戏吧都给世家罚。然后肖老师的游戏给阿拉拉斯发，这是为什么感觉？, Start Time: 1196980
Text: 这不不如直接也递过去给大鱼吃小鱼小鱼吃香。对对，一步一步的是啊，就这样。嗯，对，然后这个序章呢是有繁体中文的。哎，对，而且繁体中文呢是这个同步的三月十四号。哎，对，这个包卖的时候，这个序章大家可以玩到了。对对，然后继续呢，这这个还是接着说游戏性啊是这个帮级。, Start Time: 1217720
Text: 哎呦，哎，正式结束了与洞事的这个八年的合作啊。对，是我现在有相相当于是回归到了这个独立运营的这状态，独游戏工作作的这个状态。对对对对对，就离婚了吧，就是他独立了嘛，俩人过不过不下去了。哎，对对对，是这样。然后孩子孩子在走财产一分完，然后再把孩子这个法官判孩子开始判给邦吉了，, Start Time: 1238465
Text: 判给邦吉了，然后邦尼就带着命运了啊，对，就走了，走了啊，和平分手和平分手还算是挺和平的，是两个人都发了公告。对，然后挺有意思一个事儿就是这个公告发出之后，哎，邦这发的那个公告之后，然后后 feel spenser 他过来一下，转了一下事事啊，转了一下，然后呢，, Start Time: 1262160
Text: 自己又发了一下，说这个这个非常期待今后啊和我特别喜欢的一家独立的游戏工作室合作啊，这人又特了事，事事又又十二，后来又欠儿欠儿的干嘛了？对一起通力合作来开发。我特别喜欢的一个 friend 啊，中中美合拍。对对，嗯对，嗯，这怎么行啊，威邦两开花是吧？这也挺厉厉害，, Start Time: 1281920
Text: 挺好一个事儿啊，就咱们就看他们之后是不是还能鼓捣出什么哎，好东西来。嗯，包括这个我估计这样的话，我还挺期待邦 g 的下一个命运二的资料片，可能就是他们独独开发的，是不是会有有些地方不一样，这个我都还挺好奇的。而但是这个其实也需要一个过程。是的对，因为并不是说这个直接就就拉倒就散了就完了，, Start Time: 1309630
Text: 快手去吧。啊，那是就就各种各样的事儿，现在好像这个命运二的命运那个这个是运营相关的事宜，正在还在进行交接。因为它运行工作是逐步的对，一点一点，慢慢的是完全这个过到邦 g 的手里。是的，可能还需要一个过程吧。但是这个从推荐上来看，就是因为今天我特意看了一眼这个 pelse banster 发了这条推之后，, Start Time: 1332010
Text: 底下这些评论挺有意思的，家就有机会可以看一看啊。我是觉得吧，如果他们这么撩完之后吧，不是我们想啥都没有拉，是我们想。对啊，但那就是就很尴尬。对，就很七六了啊，那过过个七七运运个可程啊，另外说句话可以啊。嗯，行，然后也是希望这个邦季之后能够这个这个有很好的表现。, Start Time: 1351970
Text: 对，包括无论是命运二还是或有可能的新项目，或者是有可能的和这个老老朋友们，新新目新海路。对对，穿新鞋走走老路。对对，浩瀚星这是穿老鞋走新路，你怎么给人说的那么是堪呢？就是浩瀚星海，我们再会哎哎哎再会最后一季好，可以，然后继续呢。我说两个这个呃电影的新闻，一个是这个阿丽塔哎，, Start Time: 1375680
Text: 战斗天使对，正式呢在这个国内定档二月二十二号。对，嗯，好，阿丽塔。对，嗯，这得看梦看这这个这个确实得看这个对，嗯，非常推荐大家。然后第二个燃点，今天上映非得提非得提。我以为你要说这个呢不是不是是是是另外一个，但是这个也可以说一下，可以啊，飞飞吹得来啊，对，, Start Time: 1400300
Text: 念叨叨句句啊，今天上映。对嗯，好，然后这个我我本来想想说的电影新闻是这个米克尔森的新电影，哎，叫做这个极寒复出。是啊，这个一月二十五号登录 net flix 平台， net flix 最近可以啊， net f 电影是现在啥都能巨猛，真的是就动不动，就就每隔两天就有一个新电影的预告。, Start Time: 1426290
Text: 然后你一看这新电影里边这个演员还都挺厉害，对，那角儿选的啊。然后今天其实还有一个是这个杰克吉伦哈尔主演的。对对对对，一个电影。然后他那个全老飞了，艺名有点有点混乱，叫什么天鹅绒电锯。哎，不是，是那个天天天容电剧主演的，就是他官方还有一个那个艺名叫什么？叫什么？, Start Time: 1449530
Text: 一海一海疑魂。对对对，一海疑魂就大概讲的啊就是这个杰克吉伦哈尔演一个艺术品收藏家。嗯，然后一次偶然的机会呢，他见到了这么几部这个一个死去艺术家做的画作，哎，然后画作看着都比较诡异啊，上面画的东西，但其实他这些画作里边都隐藏着非常可怕的超自然力量。哦，对，是一个这个惊悚片儿吧，, Start Time: 1469050
Text: 算是嗯哦其实这一周啊网飞的东西真挺多的，嗯，各式各样的。对，然后那个呃就是我我多说一句，就是这个惩罚者不是也是这周的预告告。对，全看啊，我特别喜欢这这这是他那个这个捍卫者联盟系列里，我觉得最反而最好的一个是这个啊除了夜魔侠的第一季以外，第一季挺突出的以外，, Start Time: 1492420
Text: 其他那几个都挺失望望。那但是这个惩罚者的第一季特别好，嗯，还有感觉看这预告片里的第二季应该也挺不错。嗯嗯，包括这个第一季的电动画，也有网飞的，也是一口气，直接给那个啊啊对王飞圣斗士。对，还有那个考特汉卡门、卡门。对对，还有卡门，然后还有自己各种原创动画了，, Start Time: 1513040
Text: 他现在发展的速度太惊人，就是他这个动作太其实他现在就是和中国已经开始合拍电视剧了嘛，已经都出来了嘛。嗯，然后泰国那边也有网飞在合拍电视剧。泰剧对泰国这边好像也有很多那个今年很火的那个那个花火，嗯，就是王飞拍啊，然后太猛是是是觉得这个扩张特别快，而且落地落的特别的扎实。, Start Time: 1533140
Text: 对，嗯，一下就嗯了不了。而且我这回去美国时候，因为住那个地方的电视可以看那个网飞，然后然后他自己就带了一个那个账账号，就以以各种看。我真的觉得就是我能坐在那儿看一天。对，就就这看完了，然后然后他给你马上来一个推荐几个。哇，这个我想看看后，对，就这样下去了。, Start Time: 1553830
Text: 他就那那之前我跟众兴还聊过，就是说太可怕了。网飞这个以后就是有一个非常可怕的这个未来的景象。就是我们出走出门就去电影院看的全是迪士尼啊。然后回到家里打开电视，就是太他妈可怕了，确实而且都能看得下，都能看看。是这个特别对，就是人家就是花，就是一个用资本的运作方式给你搞出一堆七点五分啊。, Start Time: 1575950
Text: 对，你哪个能能看，你也不说，就咱不拍 SBO 那种什么，就是九九分那种，不要那个那就七点五，就是看电视嘛，就娱个活动，打发闲暇时间。对对，能打发一辈子，就是对我感觉是网飞那模式就有点类似那个商业模式验证成了，然后打钱进来开始。哎，对，回到地方全试一遍就赚。, Start Time: 1597650
Text: 对对对对，转起来。对，就是那种 nestly than cheill 啊，挺好啊。然后刚刚刚说这个米克尔森这新片极憾复出来，简单介绍一下情，他是一个这个动作片，算是，然后米克尔森演的是一个一名已经退休的杀手。是啊，这次没有狗没有，但是也差不多的感觉。对对对，, Start Time: 1615470
Text: 就是他办一个这个已经退休的杀手了了退休金的。对，然后他以的这个这个雇佣他的公司呢，就想说派出一些这个年轻的杀手去把他杀死，然后把钱回收啊。对，就这样一个事儿，觉觉得森森演过类似的没有然后对，然后这个米克尔森呢就被迫啊又重出江湖，而这就是属于那种有点爆米花的动作片吗？, Start Time: 1634920
Text: 还是说对，就是这样的片子。对对对，而且其实从预告看一下，他有些没有特别的合理，是吗？就是挺以以前那剧情药药你都你都不想动脑了。我印象中麦子书没没那么演过这样的片子是吧？我没看过他他因为他里边有一片片，比比较他他片子还是比较。你像他以前挑挑的，就以以前些些子子都挺这个一样样。, Start Time: 1658890
Text: 大家可以去豆瓣上搜一下他的名字，他名下的这个片子基本都七分以上是对，而且八分以上的挺多的，还他是一个挺挑片子的演员。是的，而后以这个个近他演艺生涯的下一个阶段了。不是他瞎说瞎说瞎说，他也欠钱了。不是瑞典尼古拉斯凯奇那样啊啊，我我这作为一个一是欠钱了，作一个个卖麦粉。, Start Time: 1681390
Text: 不会会，我还是挺想挺想看这个，他挺想看一下，是就是预告里边有一个片段比较飞，他说他是他那个拿些那手套啊，那那啊那那那那太逗了，他是这个动作戏也很多，是吗？这种你在预告里看不出来太多的动作戏，他主要是这种这个这个这个这个枪战是是啊他不太像，比如像这个这个张卫和这种就是很近身的格斗，, Start Time: 1705390
Text: 这种没有那么多。他就是对，就是鲁啊，就是干那种干家的这种感觉，他不不擅长演的鲁的，不怎么演鲁的。他那个角色会符合他的话，应该是那种斗志的。对啊，就是那种或者零零零设设计，很多机关啊，会很多什么那种。对，然后很轻松的就把人杀了了，那是那种的啊，哎这挺期待的啊，, Start Time: 1727259
Text: 可以看一看，反正一月二十五号就上了这么近。对对，很快很快啊。我现在就就想赶紧咱们凑一个，这个大家大家就大家咱们凑一对，可以买网飞的这个网飞，大家帝国。对对，哎，大巴买了一个吧，大巴好像是跟谁买的，忘忘。然后大巴之前不都是一买买一个月的时候看完拉拉倒了是吗？, Start Time: 1748820
Text: 都这种，他说恶摩人的时候就买。对对对对对对，嗯，因为网飞上真的好看的太多了，是对，这太可怕了，真的是。嗯啊行，然后我这边的新闻大概是这些啊，啊，我这个断了两周之后的这个文明，哎，又回来了。嗯，这周的新闻名呢是马里，然后马里这个文明呢是这个在马拉沙洲之部的这个非洲帝国之一，, Start Time: 1768780
Text: 就是在很长一段时间里非常强，马里地区应该诞生过几个非常大的帝国。然后在马里之后还有一个帝国叫桑海马海帝国，其实就是文明舞中的其中一个这个黑人帝国。然后沧海帝国其实也是非洲黑人原住民的最后一个大型帝国。啊，在那之后就是这个殖民时代了哦，啊，然后这个马里在他之前其实比这个好说说比海海还要繁盛一些。, Start Time: 1793640
Text: 然后在这个文明六里的这个马国，对基本设设计成一个围着钱来赚起来的一个阵阵营经济帝国。对，就是大量的这个得金钱，它甚至有些特性会降低它的一矿产的那个产产产出出，就是只有钱啊，全是钱啊。然后这个特殊单位也是这个有一个加成是可以护卫这个商队啊，像这种然后买东西更折扣啊啊，, Start Time: 1817110
