Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。计划新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 说美国说我们造出这台机器，然后猪这头进去那时候变成罐头。完了，苏联人说我们吃了之后觉得罐头不好飞过去了。这成猪传之后，对，但是这是最早期的人们一影，呃，就是你把可以把它归类在科幻片开山辟祖里边，这就像上一季季军讲的那样，就是说科幻你不能脱离他时代去评估。嗯，, Start Time: 327040
Text: 啊这就是人们对于就是自动化生产的这就是一个合理的基于科学基础的想象。嗯，对，那包括说一九零二年的月球之旅，嗯，啊这个是非常非常那个著名的梅罗斯的那就是人们通过这还是以凡尔纳的，就是说科幻为一个一个版本。对对对，凡尔纳基础是这样。对对，人间大炮发射，然后一个炮弹通打到打到月亮，, Start Time: 345940
Text: 人间大炮一炮打到天，打到月亮，引点一布。对，然后里边又加入了，就是说那个就是出那个就是蛮荒部落才子佳人这样一个情节。嗯，最后它的本质仍然是一个就是江湖冒险。嗯，但是它是以一个科幻的主调作为一个大众啊，对，当时也是那是一九零二年的大片，世界级的大片。对对对，, Start Time: 368930
Text: 现在看也觉得当时人们想象力想象力很不错啊。对，完全就是就是这爆炸。对对，到了爆炸的程度。那么实际上这说明是什么呢？只要是任何艺术存在，那么就是说人们就不可避免要把自己的想象加到加到他的身上。对，那么就是如果说一种艺术形式，它的只是用来作为写实或者是记录，嗯，, Start Time: 390290
Text: 啊，那它不能被称为艺术。对啊嗯就好比说是我们讲的史史的人类的绘画。那么里面也包括了就是说很多就是祭祀的场面。那么神将就是说天述对人们这样一个场面啊，它实际上存在于想象之中的，还有包括一种宏大的这样一种描述。对人们基于当时的文化啊生产力、文明程度，那么技术力他来做出对未来生活，, Start Time: 412690
Text: 或者说是某一场景的这样一个幻想，这就是科幻作品的魅力所在。没错，包括说我们今天所看到的啊种种科幻作品，也包括辐射本身。嗯，那么它都是基于某种立场上的一个合理想象。对啊，这种合理想象带给人的这样一个综合的这样一个认知。对啊，那么我们上期就是在那个就是文化浪潮解析里边，, Start Time: 437130
Text: 我们曾经谈到就是说啊几个影响那个辐射的这样一些文化关系。对，那么像 mad max 嗯嗯啊这个就是不用说了，很直观的一个常直观啊。如果说莱伯维斯赞歌习惯了，对，如果说莱伯维斯赞歌他是一个精神文本，对，那么就是视觉文本。对对对对， mad max 就是亨利米勒，, Start Time: 459110
Text: 他对给辐射带来就是一个视觉文本，完全的一个视觉设定上的一个参考。对对对对对，而且就是说他对于他是奠定了整个辐射的，就是说一个基调嗯啊一个基调的内容。那么今天如果说我们去看那个就是雷亚德布亚斯基，他当年的一些就是说美术设定，你可以看到留下了非常非常多有关 mad mamamax 的这样一个痕迹。, Start Time: 478280
Text: 包括对包括说当时 mad max 二的这样一些剧照。嗯，啊你可以看到就是亨利米勒这个人，他是非常非常讲究构图的。嗯，啊他的剧照拍的跟原画一样。对啊，就是沙漠上的这样一个标车的人之间的这样一个文化关系，嗯，是非非讲讲究的那就是当时布布斯基作为这个艺术总监，嗯，, Start Time: 500680
Text: 啊他吸取了非常多的这样一些灵感。对啊，包括人物设定，那么就是说世界观的这样一些设定。那我们都知道设定对于游戏是非常重要的。在我们前面讲过了，就是说那个后启示度啊，核战后的这样一个世界观之后，这个世界你怎么让它活起来，你怎么让他活起来，你是需要细节的。对，那打个比方，, Start Time: 518940
Text: 西蒙站在我身站在我前面，我讲他是一个人，嗯，啊这只是一个普通的描述，他戴眼镜他是个胖子，嗯，这是具体具体一点。对，但是我讲他是一个凶猛肥宅。对对对，这个相当于有画面。对对，这个相科科学。对对对啊，那么实际上呢就是说是在辐射形成画面感的时候啊，他从麦克 max 里吸取了非常多的养分。, Start Time: 537310
Text: 对，那么就是包括说今年四出来了，汤姆哈迪主演对汉对愤怒之怒稍微有点老了。对，但是就是说这一部其实也不错，嗯，也很不错。但是就是说我建议至少设定上非常非常精彩，对对，设定也是很精彩。那么就是说这里边情怀也是爆表。对啊，因为是第三部是一九八五年嗯，啊今年是二零一五年。, Start Time: 559990
Text: 对，亨利米说自己已经老的不行了，一定要把这个 IP 复活。对啊，这个就是情怀，而且复活的还是相当的非常的棒。对，真的是非常棒，而且游戏当科了。对对对对对，就是这个 mac max 对辐射的影响非常大。我们看到尤其那双经典这件皮夹克对吧？单肩皮夹克，对对对对，, Start Time: 582310
Text: 还有车的那个造型其实都特别的对对，非常非常相似。背包。对对对， v 八 v 八不要 v 六，就要 v 八，就要 v 八，必须 v 八。对，哎，就是说这个大家是是非常熟悉这个一个人和一条狗的一张图。对对对对对对，洛斯斯经经典那张那张那张桌面图，对他其实都是他的构图，, Start Time: 600800
Text: 都是呃也是模仿着呃 MD mamax。第三步，应该第三步，威尔吉布森那部步着是麦管现弹枪和一条狗在路公路上的一张图，完全其中其实是模仿的一个。怎么知道你知道二零一二年 e 三，我当时看了那个 MA mamax 上来演演示对一个穿着皮夹克的腿走在沙漠上，旁边出了一条狗，, Start Time: 622070
Text: 嗯，个有狗没狗，我忘了，但就是那感觉我说我操福洛斯啊出了。对，然后结果一看是是 mamamax 精精神精神。元祖对元组元组出游戏了，我操。对，这个是 MA mad max。这个影响影响深到什么程度啊，影响深到甚至到里，连 COD 连使命召唤都要模仿他的这种地步。, Start Time: 642650
Text: 所以他确实是这种，只要你涉及到后起十度，涉及到他呃战争毁灭世界里都会要提到他。对，就是他的艺术风格，一个是他的艺术风格。另外一个就是他设定的这个世界观，嗯啊就是它是一个非常成熟的设定。另外就是很多就会拿来用实命召唤之一。那个一个人和一条狗背着那个一个骑的那个爷，, Start Time: 662210
Text: 其实也是模仿他。对对对对，那包括就是说是很多的，就是那个那个比如说是像就是我是传奇，虽然我是传奇，他是一个后后半的的。对对，他有他有原作，就是说一九六一年的最后一个人，嗯，那是那就就是说翻翻拍里边还是加入一些 mad max 里边的影响元素。嗯嗯，对，就是虽然是作品那时候没有变，, Start Time: 681860
Text: 但是他变得更加现代感，更加信任。对对对，嗯，这样那那么 mamamax 本身来讲的话，他也是创造了就是就是废土流的开山祖师嗯，对，废土流，废土流。对对，那么我们今天是是不到就就是废废土类这样的一些呃表达的，绝对不能避而不太那个就是不可能避而不谈。对，这个个绕过过去，, Start Time: 700780
Text: 大哥爷爷废土爷。嗯，我们还是建议就是是如果有条件的话，可以把这四部都找来看一遍，全部看一遍，就是是部部一看。另外一个是什么呢？前三部是一个整体，嗯，第四部是一个新的开端，对新的开端你感受一下，就是说是这一几十年来的这样一个变化，包括说是嗯人们对于电影，对于文学形式，, Start Time: 722400
Text: 嗯，对于就是艺术形式的这样一个接受程度的改变。对啊，那么就是今天我们可能看到的更多是碎片化的，那么更炫技的对视觉冲击力更火爆的，更刺激的那对，但是在最开始来 my max 不是这样的。对，但是在任何时候，我们也就是说最好不要背离初衷，嗯，啊不要背离初心。那就这个 my max 来讲的话，, Start Time: 745290
Text: 认为亨利米勒是做到了。嗯，他是一个值得令人尊敬的老导演。对对，非常棒啊。那么就是这是那个我们说辐射的一个，就是说艺术最放在最开始，一定要说对对对对对，先先先跪着磕一个这半山门。对对对对对，嗯嗯，半山门拜码头拜完码头之后呢，就是它是整个的基调，它是整个基调。, Start Time: 768840
Text: 如果说是文学，是文学，是一个骨架，根据骨架，那么就是说 mam max 所带来的是一个肌肉，嗯，啊，那么更多的就是构成皮肤啊，构成其他器官的这样一些东西，还有很还有非常非常多。那么就是在基调这个层面，还有就是很著名的男孩和他狗啊，啊， a boy and his dog。, Start Time: 789330
Text: 嗯，啊，有是三个狗狗。对，那么就是说这部片子那那辐辐射的这样一个根源里边也是给了成了他的一个 DNA 了。对对对，那么就是刚才我们谈到人与狗一人一狗的这样一个设定，除了麦麦克斯之外，还来自于他。那么就是这部电影他是很特意的。嗯，那么他描述的他本身自己来讲就是一个后起他明确的把自己标为一个后启示录荒诞电影。, Start Time: 810670
Text: 嗯，或许是荒诞电影，对他就是他在分类里边明确的把自己标到这一块。就是说但是呢你无法说他是喜悦而悲剧。嗯啊他就是传递的内容，就是很多地方可能都是荒诞不惊。比如说你去看他的海报，嗯，它是一个藤井蘑菇云，上面有个笑脸，嗯，啊就是象征毁灭的蘑菇云。而上面有个笑脸，, Start Time: 835520
Text: 你是给人带来是什么呢？嗯，就是荒诞的感觉，对一个荒诞感觉它的背景设定是一个五日战争。嗯，那么经过就是也是类似于末日战争这样的那容，就五日战争的末日之战。嗯，那么就是地球上大部分国家比赛彼此都干掉了，对方同时把自己也干掉了。嗯，啊这就像那个就是辐射文本里边讲说中中国已经被我炸炸回石石器时代，, Start Time: 856980
Text: 我们也一样。对，那么就是这个实际上也是在辐射里边有反应的。那么一个男孩儿和一个狗相依为命。嗯，啊男孩要找到一个想要找到一个女孩，嗯，嗯，是为了传承种子。对对，传种种子是这一个需求。嗯，那么狗呢他有食物，因为战后的食物都是惯头食物。对啊，他需要男孩把手的撬开。, Start Time: 878480
Text: 对啊，那男孩狗狗间间会心灵交流流啊，只有男孩孩和到狗的声音音啊，那么这部片子在应该是在优酷上能找到，但是可能没有字幕，嗯，啊，就是字幕可能需要费一点劲。如果说是有那个那是直接听美那个美女的能力的话，我建议还是就是说去简样看一看。对，简单过一遍。对，感受一下他那种就是说战后的荒诞的这样一种就是说特征更多的情节就是在那个豆瓣啊，, Start Time: 903880
Text: 或者说对他的那个剧情有一些解读啊，嗯，大家也可以去看看我在这儿不赘述了。嗯，啊，但是他所综合的想反映是什么呢？是战后，就是在真正的末日的世界里呢，物资贫瘠人性会产生什么样的扭曲？嗯，啊那么每个人其实真正想要的东西是什么？我们看到的就是这部影片里边描述残酷，, Start Time: 930610
Text: 它它是无声的很多的东西。它不是说像恐怖片那样给你开膛破肚，嗯，啊把它就是说血淋淋的展现在你面前。但是呢就是说人性的冷酷与可怕，甚于这种表达。嗯，啊这是就是这部男孩和狗他的一个电影的这个精髓精髓。就像就是说我们那个玩复仇玩，今天就是有一句话就很著名啊，就是说你遇遇见人越多，, Start Time: 951860
Text: 我就越想狗。对啊，实际上是什么？狗不会背叛你，嗯，啊狗不会背叛你，狗不会用人性来算计你啊，他没有那么多冷酷残忍的部分是末日废土上最好的伙伴。对对对对，就是说关键时刻还可以回来可以吃，是不是太可怕了，这个就不说了，这也太惨了。对对对对，嗯啊就是其实也是有过一个调查，, Start Time: 976900
Text: 嗯，那就是说在福特三是时候有一个调查，就是说有多少人会真正的以杀死狗肉为论。嗯，这个结果是什么呢？非常少的人非常少，没有人几乎没有别得对对，情感上过不去。对对对对对，就是说呃你忠诚的宠物，比你的朋友、你的伙伴身，你亲人更能唤起你的内心。对，嗯，而且尔虞我诈的世界里，, Start Time: 999030
Text: 只有他是最终是。对对对对，这是又是一个，尤其是大家知道这个辐射的第一部作品就结局狗肉是为救主角死的。嗯，对对对，他撞在一张立场上死掉了。嗯，啊对，他就是这样一种设定，他是最后为了去救主角，最后呃不顾生意就死死去啊，虽然说可能呃就很多人不能接受这点，那主要也是献出一个在真正在危机时刻，, Start Time: 1024610
Text: 这种动物往往表达出来，这种真真情要比人类要可靠。对，是的，那在这狗肉这个名字有没有来历啊？狗肉这个名字就是那个雷顿伯雅斯给他在办公室里玩命的，放这个就是纳尔尔的狗。嗯，就是说他又跟那个那个 tim k 恩和泰 chrstler 讲是嗯这个这个有个狗做同伴这个事儿。, Start Time: 1048790
Text: 好啊，就是说我我我们来鼓捣鼓捣啊，然后他们又搞这在就是说定那个 dolk meat 这个名字之前，然后这个狗的名字一直叫 dodog sheet，就是狗屎，狗屎狗屎。但是就是说这个片子最后开始，他们从片子开始这个情节里提取这个名字就是 weak weak wek。, Start Time: 1070440
Text: 对，管这个就是说狗它叫就很蔑视的叫他 dog，嗯，就就是大爷一个没用的东西，这样就行，他就就取取这样的名做做哦，狗直接就提起了，直接拿来做狗个名字。那事实证明这个狗肉流芳百世。对对对对对，嗯，这个话原来如此，嗯，对，真的是一个流芳百世，那么就是这个也是一个基调。, Start Time: 1088940
Text: 那么就是如果我们讲卖 mmemax 是就是说艺术官，那么那个 boo and t stog 就是人性。嗯，那么情节方面嗯，还有就是说信就是信手拈来，或者说大量借鉴的东西也是存在于电影里的。那么就就说说军在最开始始时候，我我这个系列专题开始的时候给我们回顾过，, Start Time: 1111680
Text: 就是兄弟会是怎么建立的。对啊嗯就是在摩里巴拉军军事基地。对对对，军事上会就是说带着人，就是说离开正义之师。对对对，那么就是说有一部电影，那么 domination a 里嗯，啊这一部就是他的情节。如果你读过的话，或者不是如如你看过的话，你看过这部电影的话，, Start Time: 1132830
Text: 你会发现他和兄弟会出走几乎是如出一辙。这部对这部电影叫做小街的毁灭。嗯，啊那么这个电影情节是什么呢？就是说主角们呢他是一群在核战爆发之后仍然幸存的啊核弹呢就是核弹基地的工作人员。因为这个地方它是要发射核弹，它保护非常严密。对啊，那么就是也存在着相当于隐蔽性。, Start Time: 1152330
Text: 那么虽然他们没有攻击，但是外面世界已经彻底完蛋了。对啊，彻底都被毁灭了。那么在这个基地里边就是产生了派系的分化。那么指挥官认为我操这个事儿就是垃圾倒了之么的那完那算算算算了，那大家等死吧。然后但是呢，另另外就个他的副官程认为这个事我们就还还有商商量，知道吗？, Start Time: 1174130
Text: 就是还有戏，还有戏就是是怎么样，就是大家得活下去，那你抱着基地这边都是核弹，你也不能吃核弹活跃。对啊，所以说我们得想想想想办法，想想办办怎么么办呢？走吧，然后他他的复官长途迁徙，对他的副官把人组织起来，包括托儿他这个不中用的上司，然后就是说一个长途的迁徙跋涉。, Start Time: 1196260
Text: 那么这样一个历程，求生的过程，实际上人求生的过程。那么这里边出现了一些很关键的就是内容，那么一方面是就是迁徙求生奔波在末世里面啊寻求这个就是求生的这样一个嗯啊故事，那找到幸存有没有亲身之地？另外一个就是什么呢？变异的世界，变异的世界，这个世界就是说产生了很多变异的情况。, Start Time: 1217000
Text: 那么包括说我们经常看到的，在府里看那个 reader reader reader fein 的这些抢劫人，他们失去了就是说人类社会的基本秩序，甚至连就是别说良心了，智商都没多少。嗯，对，疯了。对对，基本上疯了了 a 了的这样一个情况。对那么另一方面呢，其他的变异的生物嗯啊就是我们最熟悉的 sared rosh 嗯，, Start Time: 1238540
Text: 嗯嗯啊变异蟑螂对巨巨大化。对，那么就是等于说是呃我们之前曾经说过，就是出埃逆境，嗯，或者说是你可以把它理解为就是说一个末日情况下的逆向朝圣。对啊，就是说朝圣是什么呢？你去你去你去看你心目中的圣绩，但是现在来讲的话，求生之路，求生之路实际上是你要活下去啊，当人类就是说文明诞生这这样一个毁灭末日的这样一个战争之后呢，, Start Time: 1260330
Text: 实际上神已经遗弃我们了。对嗯，不会不会像开辟那个红海那样，就就他不会把红海画条勾你过去吧。对嗯嗯，对，你只能自己救自己。那么就是你回去看兄弟会的历史的话，你去翻译兄弟会的历史，你会发现啊这段历史和兄弟会的历史几乎是如出一辙。那整个就借鉴长江苏嗯，对，那么就是这里边谈到的元素也是非常多，, Start Time: 1288500
Text: 包括就是变异生物啊，飞洲游荡的，就是说遗弃的仪器人啊，然后等等等等这类似这样一些内容。那么他也给辐射的就是说提供了很多灵感灵感和肌肉灵感肌肉。那么甚至他成为一个主创情节，主要的这样一个情节啊。嗯，对，这是一个，这是一部那帮大哥都够复古的，嗯，非常喜欢这些呃这些人他们喜欢的东西，, Start Time: 1313050
Text: 就是说很多集中的什么呢？五六十年代之前，实际上上更早。那么就是我们讲到怀旧派对，我们反主，这是一帮朋克这帮人。呃，就是总之也是对现行现行东西不太满意。对，因为你不是主流孩子的。对，因为你想想看，他们创造这个东西，他们是在九几年，对，九几年是什么时候 garage？, Start Time: 1337070
Text: 对，就是涅槃主流的念。然后对对对，你挖到那那那那个时代，对，就像对啊等等等等这样一些就是说那个就是青少年反叛的这样一个状态。然后大家去看这个角对对，二十世纪初期的这个对，然后就是说这帮老炮们他就喜欢就是这个年纪的东西。这其实就跟我认识一些就是听金属听很多年的人一样。, Start Time: 1356630
Text: 就是说很多人听金属听到最后是什么呢？金属完全不听了，敢去听古典嗯啊，回去听古典，去听那个去听平衡率啊，去听听克去听拉赫马丁诺夫啊，这是什么？其实就是说并不是说他们对于金属用音完全不不受受，而是就是说他们这个年龄促使他们的思考去反思。对，这个很有意思，这这帮老炮儿碰到一块儿了，, Start Time: 1379460
Text: 这这是一帮绝对不是主流的一个。对对对，就好像 whotim cain 从那个 interplay 离开的时候，他讲说是别人我不管啊，就是那个克里斯特，克里斯泰勒和那个就是雷德布亚斯基 u，这俩人必须带走。嗯，对，我们必须得一起混了，太情投意合了。对，这个其实是你仔细看着他最早期那个时候做废土的时候就能看出来。, Start Time: 1401200
Text: 他这群人呢对于文化符号的概念，就是和常人都是不太一样的。你看呃整个废图他体现的文化符号，不管是赛罗朋克还是呃所谓的呃电子朋克，他其实都并不是那个年代主流文化所推崇的东西。对对对，是的是的是的。那么就是他们所强调的，这些就是在自己的游戏里植入的，或者说标这些全是个人人喜好，, Start Time: 1425330
Text: 全是个人爱好的，非非小众的，然是牛逼的，这种人都是这样的。对，就是他们喜欢这些文化的东西，都是他们要在游戏里面疯狂的展现。对对对，就各种案例塑造这些一种特别就是又扭曲又怪异的一个观感。对，但是你必须承认它有美感。对啊，那么就是刚才我们讲的就是这个小街的毁灭里面，, Start Time: 1449170
Text: 它就是一个长途迁徙的这样一个过程啊，里面出现的变异生物，那变异生物启蒙电影嗯，这 them 对 team cin 专访中也特别强调的一个电影。这个就是实实际上也是给人们带来了一个就是游戏当中也有致敬的一个极其深刻的影响，那只能说是极其了很多次。对，致是很多多美代的。, Start Time: 1469230
Text: 就是嗯你只要看见蚂蚁，就是他知道对对对对对，变异的蚂蚁对变异大蚂蚁到这个辐射三灰渠火，蚂蚁的任务的名称聚叫邓务。对， rom rose。 rose 它是一个 coss 啊那些那些么他们然后 rose 那些也带一个感叹号。对，也带一个标题明确的致敬。只要带感叹号，, Start Time: 1489010
Text: 肯定就是跟电影致敬。对，那么就是对这部电影，它的意识超强是在于什么呢？它是 rose，它是五四年的电影。嗯，啊在一五四年想象就是说核辐射巨大生物对啊如巨大化的蚂蚁，巨大化的蚂蚁。那么如何就是对人类造成威胁啊，造成破坏，它实际上就是恐怖的成分更多一些。你像五十年代人们的观点，, Start Time: 1507330
Text: 嗯啊人们对于生活观，人们对于就是说科学世界认识。嗯，但是呢就是他的意识是非常超前，就是变异生物本身它能够给人类社会带来多大影响啊，大而恐怖，嗯，大而恐怖。我们对于蚂蚁的认知非常小。对啊，微弱你可以轻易的就是碾压的，碾压的多一的什么。但是如果他的体重，他的身长体重超过你几十倍，, Start Time: 1527860
Text: 你怎么办？对嗯啊所以说这也是一个非常非常非常经典的这样一个对对电影。那么就是我们讲说，刚才如果说是基调，那么就是故事情节，那么分母就是主导了这个变异的对这样的一个内容嗯，就是生物 FEV 等等，可能都是有这方面的。病毒变异呢就变多多。对病毒变异的话，这个电影你去基本上数不过来了。, Start Time: 1549660
Text: 那么但是就是说如果你讲到病毒变异的话，就是病毒的一个变异。那么可能就是我们最早的他严肃的讲来说，不应该是那个病毒。嗯，你往上述就是说变种人，因为 FEV 最终诞生变种人嘛。对我人我第一次看到就是玩伏特号，第一次看到变种人的时候，直观的反应就是弗兰特斯坦啊对科学怪人。, Start Time: 1576330
Text: 对科学怪人，他是一个他很很很相似。那么就是说包括绿皮肤、绿皮肤、对绿皮肤，然后就是那个大胆大情况。对对，有很大的体魄，那么就是它所有的特征都在向你展示。嗯，啊这是一个非人类的这样一个就是基于人类基础被人类拼贴出来，但是非人类的这样一个生物。嗯，那么就是如果这个东西站在你面前，, Start Time: 1600510
Text: 为什么富兰特斯坦坦就是如此的恐怖。嗯，那用我们今天理论解释它掉进的恐怖哦，对恐恐怖恐怖谷对他掉进了恐怖谷。那么就是说他所带来的给人的震撼冲击，他很像你，他很像你，但是他不是你清楚的，知道他不是你，他不是你的种群，这他妈就很吓人了。对嗯，所以说是给你塑造一种你很熟悉的东西，, Start Time: 1623000
Text: 但它又跟你所熟悉的东西完完全不一样啊。对对对，那么就是说是像那个 FEV 病毒这种东西。那么就是无论是在文学作品还是在电影上，那就是六十年代都有大量的这样一个内容出现。对对对，病毒感染，那么包括说是其他的一些啊表现形式。其实呃是那个是杰克伦敦，杰克伦敦写的那个就是说那个远征中国那个故事啊，, Start Time: 1644770
Text: 啊，最后其实就是毁灭，当时中国就是用病毒病毒嗯，啊对，那么人们对于就是说是病毒与变异的认知啊，在电影的这样一些表现形式上可能更多了啊，对，顺便就是说可以推荐大家找一部，就是这是哪一年的？我想一想这是哪一年的哦，一九七四年呃，对，是一九七四年，一九七四年有一部就是说新科学怪人嗯，, Start Time: 1670060
Text: 新科学怪人对新科学怪人这个东西就非常戏谑了。那么他是继承那个就是科学怪人的精髓啊，但是他把整个事儿变成一个非常黑色幽默的事儿啊，就是实际上是等于吐在吐槽吐槽这事。对对对，在吐槽人么？对关科学怪人的这样一个概念啊，这个是这个是很有意思的。如果有有条件的话，可以找来看一下。, Start Time: 1694650
Text: 那这是有关于就我们谈到就是说变异的这一部分。那么变异这里边还有有其他更多内容啊，我们可能就不赘述。嗯，事那么变异呢，它的原因来自于什么呢？就是核战变异呢，我们将来接入两个源头，一个是病毒，一个是 IP 病毒。另外是什么核弹核辐射？对这两个加在一起造成了很多种变异。, Start Time: 1714290
Text: 对，那么就是说我们来讲述核战核战本身啊，最牛逼的电影，那操必须对吧？来来希望你说你说习爱说是极极致这一步了。对对对，我觉得建议你说就是当时你看着就是最后那个场景，就是骑着炸弹，像像大地飞驰。对对对，就是这种癫狂发挥到无以极致。嗯，我觉得是什么呢？牛疯狂来形容还不恰当，, Start Time: 1735760
Text: 嗯，是癫狂，癫狂是什么？就是疯狂狂什么是不受控制的对，那癫狂是什么呢？你明确的知道这种事很很很很糟糕，对你还要把自己的神神态态推这样一个极极限。做是你，你目标标对牛我他我的目标就是这样。大家比如说现在就是说有一个人，那么他拿着一个东西说我要用这个东西毁灭世界啊，, Start Time: 1758900
Text: 你可以把它归类为疯狂。但是我知道这个东西有毁灭世界，我他妈还是这么干，这就是电影对，这太这电影塑造这个这种感觉太牛逼了就对，而且它是集各种各样的黑色幽默，对黑色幽默大师、大师这一部简直归理。对，是嗯嗯那就喜爱博士是一副能够登上呀呃人教版教科书的电影。你要想想。, Start Time: 1777400
Text: 对对对，是的。那个就是在那个冷战史里面，就是讲到这个故事，这也太无敌了。这对这就是说斯斯坦利库里里克，他那个这个嗯就我们这些凡人啊无法啊，你去瞎聊，这简直直聊，简直是亵渎，你知道吗？就是说因为是什么呢？除了这个之外，那么斯坦利库布里克的另一部重磅作品给辐射也带来了非常巨大的影响。, Start Time: 1799600
Text: 二零零一二零零一太空奥德赛啊这一部作品它实际上就是说你讲它就是说是我觉得这两个作品基本上是很多作品的这个灵感之源，灵感之源或者是经典代表。对对对，就是你看 MGS 小岛每一次不不遗余力的去推广这两个电影。对对对，反复人物的名字都叫喜爱国士。对对对对，以说呢对对，, Start Time: 1823520
Text: 所以你真的像小岛这样制作人也觉得类似于 t 影观或者是对对，可以样样是这样的，就世世界是有自己的很独特的审美观的。对，而且受西方这种文化文化影响深的对对，那就是说其实严肃讲啊，就是这边差距嗯严肃讲就是说能够在世界上做出屌爆的名字的日本人，嗯，他的思维观或者世界观一定受西方一个受西方影样，, Start Time: 1847060
Text: 比如说黑泽明。对啊，就是说黑色明他作一一个日本人，但他拍出的电影的选说的结构是完全一个形式的。对对对，嗯，就是说小岛本身他也是这样。对嗯，那实际上就是一个就是世界主流文化的这样一个原因。嗯，那么就是说回到制作人身上，制作人他的核心在于什么？一个制作人制作游戏的核心并不是在于就是你带的团队有多么多么强大。, Start Time: 1871900
Text: 嗯，那个公司有多少钱嗯，关键在于你有没有文化。对对对，就换句话换句话讲的，你的内心认知是不是一个闷骚装逼犯啊？如果你换个逼装的够十分一个游戏游戏，你喜欢什么？很关键，对你的爱好很关键。但是像那个 tim caare 或者小道秀夫这样的，那么他们有幸在游戏这个领域，, Start Time: 1895450
