Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 COIS 点 com 我们不见不散。, Start Time: 27700
Text: 嗯，那么实际上后来就是说形成冷战的格局。但是在这个期呢呢，因为就战战争红利和本土没有遭受到战争灾害的这样一个缘故。那么美国本本身的是在这个阶段有一个大发展的这样一个过程。那么如果说是喜欢看美剧的，就是比如到像像像当兄弟连嗯啊这样的那个玩家的话，可能会就是说注意到里面有谈到呃，, Start Time: 778110
Text: 包括太平洋里边也谈到，就是说当那个战士们在前方浴血奋战的时候，嗯，呃美国本土最流行的娱乐活动是赛车和选美。嗯，呃，是这样的一个情况，所以说是它本身的经济情况并没有因为战争而受到。因为它本土没有受到战争的这个对，然后加上石油资源和就是钢铁的这样一个大发展。那么它本身的一个就是文化层面上，, Start Time: 803290
Text: 文化层面也得到了一个。就是因为我们讲现代社会就是一个工业文明的这样一个发展嘛。那么就是说随着工业文明大发展，那么文化层级上的这样一些价值也被激发出来的形成了。我们今天看到的嗯啊就是五六十年代这样一个文明的黄金景象，就是这样一个故事。嗯，但是辐射我觉得很有趣啊。, Start Time: 826450
Text: 因为它它它虽然是一个包括在近未来的故事，但是它的所有的文化层面，包括你看的视觉上的元素，全部都是五六十年代的那个样子。对，这是因为在时间线上有所变化，就是说它我们所看到的是我们熟悉的一部分啊文化的内容。但是并不是完全和今天一样。比如说像呃电子管真空管啊，就是它本身就是一个非常呃非常非常特异的这样一个真空管朋克的这样一一个文化风格。, Start Time: 845090
Text: 那么到我们今天的话，可能就是我们用电脑用的手机用的其他电子产品，都是以超大规模集成电路经。对对对对，来作为一个代表的这个两者之间是有一个本质的区别。对对对对对啊，是这样一个情况。然后包括人的着装啊之类的建筑装装潢等等。对，实际上就是关于时间线分界这一块的话，, Start Time: 875750
Text: 我细细节并不是特别清楚。我觉得季君可以说一说，可以说一说这方面的问题。对对，有关这个辐射的时间线呢，这个可能你必须要提到，就刚才白老白大呃老板说到这个呃黄金时代，它辐射的这个整体氛围叫做呃呃科幻黄金时代。就讲述是大概是那个年代五十到六十年代人想象中未来是个什么样子。, Start Time: 896570
Text: 嗯，它基于当时的社会科学背景，那个时候人想象中就他并不知道集成电路这种东西。那他他理解解中未的一些高科技东西，大大量的深空管堆积堆积而成的一些一些一些东西，一些他想象不到的技术呢，就会用一些架空技术来代替。比如说你在游戏里看到的很奇特的 AI 机器人。对对对，, Start Time: 919370
Text: 呃，实际上巨型。对对对，是就是射手先生。对对对， mr。 handy，这就是像那个就是军用的狂技先生，类似于是就实际上那个他的想象的空间是这样的，就是因为不知道用什么样的技术去达成这样一个目标。对对，他把需求想出来，打个比方说像 mr handy，他就是一个家务机器人。, Start Time: 939280
Text: 对，那么就是通过一个什么样的形式来实现他的对，只有根据现有技术来进行想象。对啊，就可能超越自己现有的认知了。对对，他是不可能超越，就是说当时的科技环境的这样一个情况。对对对，然后他的当地人也是以也不叫当地人，就是那个时候的人呢，也以当时的技术水平为限制，想象出来很多东西。, Start Time: 959320
Text: 比如说当时很时髦的一些磁激光盒，嗯嗯，对对，那个时候时时髦一一技技术他都有想象，以后会变成什么样，就构成那么辐射里面的未来的一个背景下，大家看到文化水平还处于一个五六十年代的状态，科技水平则走着另一条时界线。你看到很多东西呃，先进的不可思议，很多东西又又偏落后。, Start Time: 979100
Text: 我们用这些大型的电脑啊，这些集身电脑都不存在。而对对类似那种背投式的终端机的星星存在，嗯，就我们这个现在时代呢所拥有的科学技术，在那个时候呢因为他想象不到，所以他想象不出来。对，所以说时间线是从什么时候开始发生变化，就是从一九六零年开始就叫在在我们辐射射编译围盖变译译的这些人呢，, Start Time: 997310
Text: 我们就把它叫做一个呃时间线分割点。一九六零年就是一九六零年之前跟咱们现实世界是一模一样的历史。对对，九六六零年就是一切都干了一个什种事情。嗯，美国把自己的国旗给换了，嗯，啊这是第一个发生变化的对，他把自己的国旗旗成了一个由由这个一圈猩星围着一个小猩，一个大猩猩的那个美国国旗。, Start Time: 1018450
Text: 你在游戏里面大都应该看过，就是英英克雷所标示示英英克雷的那个国旗。对他这个时候是美国把自己的这个国家化成了很很多联联邦嗯，邦联应该准确的叫邦联化，成了很多个邦联，有不同的邦联，围绕着一个国家去说建像是有点像我国国那种构构方式式美美国国际化。从这个时候开始，, Start Time: 1041290
Text: 美国的历史，世界的历史就和我们的这个这个我们世界这个历史就发生了一个区别。之前都是一样的，之前都是完全一样的。在这个时候，从六零年开始呢，我们知道熟悉冷战的玩家都知道呃，苏联突然又开始变强大了，把美国给起开始对跟美国有对抗对。而从历史这个时候开始，苏联再也没有强大起来，, Start Time: 1061940
Text: 嗯，他就开始一直在不停的衰退衰退衰退到最后呢，苏联就没有再和美国竞争能力了。嗯，但是他也没有解体，因为他提前衰退了，所以他没有经过了一个阵痛，没有解体，他一直都是变残喘。对，取而代之的是由中国取代的苏联变成世界上另一个非常强大的国家，技术也很强大，经济也很强大。, Start Time: 1082720
Text: 呃，还有和大家熟知的一些不同，就是你知道第一个发射卫星的，包括第一个送宇航员上太空的都是苏联人对苏联人。嗯，但是在这个呃在辐射的世界限里，因为苏联他衰退了，美国取代苏联变成第一个发射卫星和第一个送宇航员上太空的国家。嗯，这个其实也是一个伏笔，到以后我们会讲就是外星人的伏笔。, Start Time: 1101820
Text: 但是他就是用这种历史来取代了现实。历史逐渐就我们的社会没有再像是大家所熟知那样，美国经济发生滞障，最后变成了一个新的经济体。第三次工业革命这些都没有发生，反而是延续了这个时代的技术和文化，一直持续持续持续到了二零七七年，就已彻底变成了一个我们所不熟悉的时间。, Start Time: 1124290
Text: 所以就是辐射四代预告片以上的那个那一天。对对对对，嗯，引发了那首 great wall，没有玩过辐射的人，可能一开始接触辐射，觉得哎这个游戏的风格怎么这么怪。但是如果你仔细了解下，你发现它有很多趣味在里面，就是一些复古科幻浪漫主义趣味。对对对对对，我觉得这个概括特别好。, Start Time: 1144380
Text: 对复古科幻的浪漫趣味。其实这个好像是五六十年代的人，就是那现个时候人们对于呃现代科技已经就是说走入正轨。那么他再去看那个凡尔纳的类似的这样一些对科幻内容，他会觉得很趣趣，但是但是不科学。对，虽然不科学，但是科实浪浪漫。对对，而且它是就是这种浪漫，它是带着科学精神在里面。, Start Time: 1162890
Text: 对对，嗯，我记得以前新实现杂志做过一期专题，就是讲五六十年代人们对于科幻的想象，嗯，就是那个我们现在可以定义为复古未来主义的那个。对，有点那个感觉。其实就是我们作为就是中国人嘛，我们也可以就是回忆之前的，就是像我这个年纪的人啊，各位呃在我小的时候就是叶永烈，, Start Time: 1183549
Text: 他是等于说是开创的，就是中国近现代科幻的这样一个一个就是中世纪人，嗯，他最著名那小灵通漫游未来啊，这个如果说是九零后，甚至零零后的那个朋友们可以知道，可以去找来看看，可以找来看看。就是那个时代的人们，他们是怎样去想象未来的。对，也是就是在这。如果我们以一个就是二零一五年的人的身份，, Start Time: 1204830
Text: 再回头去看这个文学作品的时候，你会感到是很有趣。对，然后呢还有一点感伤，嗯，就是因为未来有变化，但并不是像他们想象的那样。嗯嗯，这个时候可能就是我们看到历史的眼泪大概是这样一个意思。但是这种差别是很有很有趣很有趣的辐射。也就是给大家提供了这么一种可能性，让大家沉浸在这这个风格里头。, Start Time: 1228790
Text: 对对，就比如就比如说像我们在辐射里边，嗯，它标志性的对，是是真空管。那么像比如它的一些器材，然后就像它的装甲，特斯拉装甲，嗯，或者说是电浆步枪。对，都是以大真空管作为一个特别典型的这样一个视觉元素，非常的对对灵确。嗯，对对对对对对，但是我们这期还不详述这个关于这个世界观塑造的问题，, Start Time: 1250750
Text: 我觉得我们还是就是聊一下辐射这个游戏。因为我们刚才大概的已经有一个画面感辐射大概是什么样子一个游戏戏。那这部分游戏是谁来做的，他又是怎么怎么出现的呢？呃，这个要从你要讲到辐射的起源的话，这个可能就要不就是我们大家都知道不知道。提到 inter play 这家公司的黑岛这制作作室。, Start Time: 1274920
Text: 嗯，对呃，大部分玩家可能我一说起来很多老玩家，包括很多新玩家，可能一听啊就知道，就是说啊这个都要听过。对对对，多少多少都应该听过黑岛这个名字。对，如果讲起这个游戏的起作呢呃可能能你就必须要提到这个叫做威斯坦这样一个游戏。嗯，就是废土废土。这个废土是什么呢？, Start Time: 1295980
Text: 废土就是由一九八七年就是 inter play 公司开发，有 EEA 那个时候的 EA 负责发行这个游戏。嗯，他这个游戏的背景设定就是第三次世界大战之后，美国新内华达地区呃，这个游戏具体我就不去去赘述他了。他当时这个游戏是非常轰动，为什么轰动？就是国内的玩家可能不太了解，, Start Time: 1317020
Text: 但是在国外很多资深玩家都对这游戏非常清楚啊，他一出一发售在游戏界引起的非常大的功能。因为那个时候就让大家知道也一样，它是一个脱离于龙与地下室这种传统 RPG。对对对，以外的一个一个游戏奇才。大家玩到之后就感觉啊一方面讲述核战后背景游戏也是很少见啊，一方面他这游戏呢也不再是传统打怪升级，, Start Time: 1335430
Text: 穿盔甲拿剑。对对对，是的。因为就是废土出现之前，基本上关于就是 RPG，这个就是角色扮演系统，基本上是被电力统统的。对对对对对对对，嗯对，就是离开了骑士巫师，离开了妖魔鬼怪，还是可能很好的做一个 RPG，嗯，就就有点类似于日本的重装疾兵的，给给业界带来的一种启发。, Start Time: 1357450
Text: 而废土这个游戏也是一样，因此类 ay 做的游戏呢卖的又又叫好又叫错。因此 play 这家公司呢，他知道就是也是一个非常有创意，他的所有制作人也都是有很多年游戏年龄的一些一些玩家组成成的。对，他们做游戏就很有创意。在 insurplay 把废土做成功之后，很快 inter play 的高层就决定我们要做一个废土的续作。, Start Time: 1378930
Text: 嗯，但是这个废土的续作其实也是呃经历很多坎坷，比如说呃都有各种各样的原因。因为版权的原因，或者因为市场的原因，他也都没有能成功。但你知道那个年代也是主机，各种各种平台，主机也非常多。对游戏公司彼此之间做游戏很多困难。对他们在辐射一之前，他们做了就包括什么？, Start Time: 1401400
Text: 类似于千钧一发，千钧一发的游戏还是一样的剧本。呃，就是类似于续作，但是因为你知道废土，后来他的版权掌握在 EA 手里，嗯，他不得不改版权，千钧一发没有成功，又做了梦之拳。梦之拳可以说是真正意义上算是很贴近于辐射的故事。他很多设定都和辐射非常像。嗯，原来还有这些故事。, Start Time: 1420260
Text: 对，叫做 fun kind of dreams。嗯，但是千钧一发也没有成功，为什么没有成功呢？这个游戏最终还是被 EA 把版权拿走了。但是故事情节非常紧，就是等于说是那个他们在威斯 line 的时候选择了 EA 做发行方，从此把自己扔进坑里扔进坑里了。最后呢因为故事情节也不是很难可玩性，, Start Time: 1439950
Text: 其实也不怎么样。嗯，大部分人把它当做一个什么当做一个电子小说来看。所以也就是说他们其实一直对于废土这个情怀，就这帮人一直就是想做这个方面的东西，嗯嗯，做这方面风格的游戏。嗯，大家也很期待他做续作，终于一年又一年，最后英子 play 公司开始做一尘于身。嗯，, Start Time: 1459840
Text: 这一次他们就做成了这个一纯于生，被被大家认为是非正式续集。但是实际上所有人马上都续续作这个最早发售的那个废就辐射一的这个包装盒上。他的背面写了一句话，说，你还记得废土吗？呃，然后很快这么一个他选择在 PC 发射的游戏，这样一个非常别具一格的游戏，在 PC 上很快就受到了玩家的青睐。, Start Time: 1479460
Text: 嗯嗯，然后大家就非常开心啊，实际上在 insplay 在做这个游戏的时候呢，已经开始准备做辐射去做了。他这个他这个呃野心是很大的。呃，对对对，就是包括辐射二的一些场景地图，实际上是和辐射一同期开发的这对对对，当时已经本身就计划好做一个大的一个系列了。它是其实就是从我们今天观点来讲的话，, Start Time: 1501140
Text: 就是 inner play 可能想把它做成成一个年货，嗯，呃大概是这样一个意思。但是但是实际上后来就是事态的展展出出掌控能力，嗯，是这样一个情况。那那咱们说一下，就是这个游戏都是谁来主刀的，完了这个游戏又是怎么出现的呢？呃，主刀这个游戏就是当时知道制制作辐射机的时候，, Start Time: 1524040
Text: 还没有黑岛这个方势。嗯，当时都是由呃，当时给用英 net play。嗯，对， inter play 几个制作人一起要提到辐射一就必须提到这个，我们叫辐射之神。嗯，就是 team king， team can 对呃， team king 这一趴是可以说是建确立了整个辐射的精神支柱，, Start Time: 1546050
Text: 游戏的主体主体背景和主体力量。呃，它的应该叫呃文化方文化模式是由 TM can 确立的。确立它是应该是一个什么样的游戏？而其他的制作人呢就中间呃添砖加瓦了啊，最终构建立很成熟的体系。这些制作人又包括了大家很熟悉，就是克里斯阿瓦隆。对对对， miss stress 斯瓦伦就是 MCA 先生。, Start Time: 1565240
Text: 嗯，还有大家就后来可能很多人不知道，但是也是必须要在辐射这个历史中可圈可点的制作人。 sport amamel。嗯嗯呃最后还有就是大家非常熟悉的这个 in surplay 当时的老总 braing 对 fegb 总 b 总虽然是 in fplay 老总，但他是个很很亲明的人，, Start Time: 1586240
Text: 他很喜欢跟制作人聊做游戏。对对对，嗯，由这些制作人一起，他们呃互相设定做了很久的设定。终于是把这个废土就是辐射的这个世界观确立了啊，确定这个世界观也是大家很熟悉一些东西。比如说呃我们都知道这个辐射的故事背景是中国和美国的这事确战对把世界毁了。而我们知道在废土里面，, Start Time: 1604190
Text: 实际上是俄罗斯和美国、苏联和美国打核战吧。对对对，是是的是的，很多玩家就问，为什么是这个这个中国，而不是苏联在辐射里？实际上这个就设定，当然他们几个制作人在一起讨论这个怎么制作游戏故事辐射就怎么诞生的，有很多关系。嗯，就讲有一天说这个他们正在和俄罗斯的一个开发商在聊游戏的时候，, Start Time: 1624890
Text: 突然这个电挂了了，他们几有枪声传传，然后电话会挂挂对，给我乱总。他们担担心说到底发生什么事了，然后过会儿再回回去对面说啊，我说有人在街头开枪， k 四十七扫射。对，天扫射。呃，这个电话接完之后呢，包括与毕总就不是狗在内的几个制作人就一起来合计说哎呀，就是他们感觉啊苏联这个国家可能很难再站起来了，, Start Time: 1645470
Text: 真的完了就是真的完了。对，因为那个时候苏联开体那个那段时间，就是那段时间呃，就是实际上就是叶利星掌权，就是没有没有没有最坏，只有更坏。嗯嗯，就是那种况况。呃，然后他们说要不我们就游戏背景，就不能再以苏联作为反派。嗯，因为也给大家也不新鲜，感觉让他不幸福啊，, Start Time: 1667780
Text: 没意思，觉得嗯几个人看世界地图，哎，瞅着中国，要不就东方巨龙。对对对，东方巨龙嗯哎大家就把中国作为反派，这是一个很有意思的设定。包括到后来这个就是在讨论用什么作为货币的时候，大家也有很多设定。比如说有人觉得应该信用卡，呃，对我觉得可以强调一下，这辐射里的货币特别有意思。, Start Time: 1685220
Text: 很多人都觉得这是一个特别有有趣的一个。事实上就是随着就是近些年网络文化这样一个普及，就是捡瓶盖这个梗已经扩展到所有的这样。对对对对对，嗯，就是说一旦是谈到末日战争，就大家都说我们去捡瓶盖吧。那对对对对，嗯，但其实这是辐射里面的一个很重要的一个元素，就是货币是瓶盖。, Start Time: 1705450
Text: 嗯，最早他们是有很多想法，有人说就用信用卡，但是用信用卡这个呃克里撒瓦罗线，说这也也没有末世感了了吧，太文化了，不合适啊，打掉。后来这个有人毕总就提出要么用子弹，用子弹作为货币，这个子弹作为货币的设定，大家后来也见过地铁二零三三。对对对，地铁二零三三嗯，但是很快这个 fascore 布 amera 就提出一个问题，, Start Time: 1725210
Text: 如果你拿子弹作为货币玩家战斗时候就会这个畏手畏脚的会吃屎。对对对对对，就不敢这个 score，就是说就会影响游戏性。你你你为什么不战斗？我我都用来那个买别的了。对对对对对对，也打掉。最后大家一起要找一个有工业气息在里面，有怀古气息在里面，嗯嗯，而且还必须要体现一种能就是能感受到曾经昔日社会荣光的一种东西，, Start Time: 1747760
Text: 而且他们想来想去，对对对，太有趣了。这对而且他还要有一的的技术力，保证不被轻易复制啊，对呃，要要有技术力在里面，要有有一种感觉。昔日社会荣光，还有一种一种这种反粉在里面的这种东西，大家合理合理合选瓶盖，这就是那个合可可乐的瓶盖是吧？对对对对，这个可可可乐实际上就是可可可乐，, Start Time: 1773260
Text: 可是可以。对对对对对，就是但是你肯定不能有口口商标，那就用一个很很切切。当这个因为可口可乐正是那个黄金年代的时候，好像崛起。对对对对，就成为一种文化符号，它是一个标志，就是可口可乐、豪彩香烟和尼龙丝袜。对对，这是那个美国就是文化和生产力的这样一个标志，一个标志。, Start Time: 1795370
Text: 对，之前讲符号了。对，之后就是那个讲那个美苏冷战的时候有个冷笑话嘛，就是说那个俄国人上先先上了月球，然后美国人没跟上，嗯，然后说怎么办呢？就在地上等看他们做成反应。然后那个过了一会儿，那个纳萨报告说说不好了，那个俄国人把整个个月球刷刷成色志。对，然后那个美国人讲说不要紧，, Start Time: 1814250
Text: 等他们走，然后俄国人走了，美国人把那个宇航员派上去说好，现在在月球上写可口可乐就可以了哦。啊对，简单嗯简单粗暴这样的对它就是实际上变成了一个国家的这样一个文化 logo。对对对对对对，然后就是合资可乐这个设定其实也是很有趣的。就是说它实际上是取了就是合资可乐这样一个创始人，, Start Time: 1834950
Text: 他是把可口可乐和百事可乐的创始人的名字合在一块拼在一块的这样产生的。对对对，反正他是有很多梗，你知道是黑岛，他制制作人都很有意思，东西是吧？他做成最后就是来写聊聊要写文本的状态的时候呢，因为你知道 MC miss chris，就这个克里萨瓦隆先生，嗯，他是异度风景的作者。, Start Time: 1859100
Text: 这讲原来他很会对他很会写东西。然后大家写就是来我们来确立一下这个这个呃文章的风格，就参考了很多作品。比如说莱伯尼斯的赞歌，对不对？这是很重要的这是非常重要的一个辐射启蒙的一个一个就是辐射辐射的精神导师、辐射精神导师莱布维斯赞歌。这是一个一个中短篇的一个小说推荐，, Start Time: 1879320
