Text: 傻逼哟动作格斗 RPGG 桌面策略 ACTB。如果你有想说的，一定会有机会说出来，家底有与你一起展示你的游戏。人生冲撞刀光子弹灰灰告白魔法，各种雷物理画面都是美美，没有话题，你来给啦，重新填迂回不？大家好，欢迎收听加 dual pro 特别新的一期加 deal pro 节目啊，, Start Time: 1370
Text: 我早知道我也去了。对，这个咱们应该也没什么问题啊，肯定也没有问题，肯定没有问题。就就如果真是玩家的话没有问题，然后还有一些就是什么智力题啊，然后一些很简单的那个编程题，嗯，它的智力题是什么意思啊？智力题，其实你现在你去呃鄙试其他岗位，那些大公司的岗位也一般都会有。, Start Time: 335700
Text: 就是什么就鸡兔同笼，类似这种什么什么，就是不是别弱智就行了，就是这意思啊，就是这有点就是看一个人思维思维程度是吧？哦，嗯对对，嗯，然后笔试当时当时人人参加的人比较多，但是其实那个过关的也不是很多，估计就是说真正玩主机游戏的人也也不多多吧。嗯，对嗯，面试的时候，, Start Time: 359590
Text: 我当时通知我面试以后，我当时其实玉璧的游戏我还真没怎么玩过。我我上一个玩玉璧游戏，还是雷曼雷曼一代，那也太早了。其他的对，其他的就是什么那个工人物语之类的，然后跟上海个风格格都不是很搭。然后我就是专专门游戏的游戏啊。对对我我专门赶紧就跑去买了两张牌，一个是博斯王子二代，, Start Time: 388660
Text: 就是那个武者之心，武者之者之心。嗯，还有那个分还有分裂细胞二代，因为分裂分裂细胞二代，那是那是上海上海玉璧做的嘛。嗯嗯，所以估计就是说这个要准备一下，然后当时就是然后还看了好多攻略，嗯，就狂看攻略。就是那游戏其实分裂细胞二我都没没玩，没来得及玩。但是当时你买的啊，, Start Time: 415560
Text: 但是当时你买的这两款游戏应该也是那段时间预必在国内最火的两款游戏了。对对，就是都是大作。对，嗯，是比较有针对性的，准备一下。然后面试的时候果然就问到问到说那个分裂细胞玩了没有然后说对我说玩了，其实我没怎么玩了。嗯，因为那个已经已经现在你也不在余地了。然后我后来跟那个当时面试，, Start Time: 441330
Text: 我的人我都说了，他们关系就比较熟了，以后就就都都跟他们说了。然后然后我就就回忆了一下攻略里边比较有印象的人。然后我就说了说嗯就分裂细胞里代那个当时有一关在火车上就感觉比较特别。然后当时就讲讲那个嗯然后面试，然后后来就是我们那个呃设计部的经理，嗯，就他那个呃他现在是在那个在腾讯，, Start Time: 469730
Text: 然后也是那个 IGF 的评委评审团评委之一。对，当时就跟他又聊聊那个包括游戏啊，包括电影啊，各种东西。嗯，这种当时那个年代招这种设计师的话，真的就是凭感觉嗯嗯，我我觉得就是凭感觉，因为没什么可以量化，就是觉得人如果看人可以，主要看人呗，主看看手艺，看人对他可能更多思路吧。, Start Time: 501890
Text: 对对对，就是看灵性。嗯嗯嗯，后来就顺利过关。对，后来就进，后来就过就过关了。然后过关以后才知道，就是说当时我就是招我我应聘那一批招了特别多的人，嗯啊就都是关卡设计师，全是关卡设计师。因为对，因为当时的话就是上海 EB 那会儿项目最多的时候，而且当时的习惯就是说一关就需要一个甲设计师，, Start Time: 529430
Text: 你进这个项目，你就只要做一关就可以就做一关。对，这是当时的一个传统，一个人负责一关，还是一个小组负责一关啊，一个人负责一关，一般就是一一关的话就是一个关卡设计师配一个美术这样。嗯，然后都是这样两两一配，然后有多少关就有多少多少组这样的人。嗯嗯，然后当时就嗯啊我就想知道，, Start Time: 558590
Text: 那这样分配的话就是人数和这个关卡数数上他协调的好吗？他不会说人太多了吗？或者关卡太多，干不过来会有这种情况吗？我们刚一进去的时候，就是人比较多。然后那个我们刚进去，当时是一次招了十二个专冠，想设计师，然后后来就是在上海玉璧，那就是史称黄金圣斗士啊，十二宫。, Start Time: 585540
Text: 因为因为一一次招了十二个，就从来没有这种阵仗。之前都是什么两个三个一起招这样。所以要看游戏里有几个章节，就是有几个冠架设计师。对对对对，当时是这样。然后嗯就当时有一段刚进去，那段时间是没有项目，然后我们就在那儿教训练嘛。然后其实就是整天在那儿玩游戏，玩各种那个主机上的射击游戏。, Start Time: 610320
Text: 嗯，因为这个当时呃，就在进进玉帝之前的话，还真没有怎么用手柄玩过游戏啊，当时还挺陌实，还是 grunp c 党之前。对啊，当然 PC 让打什么虚幻呢？或者说呃 CS 之类的都是鼠标键盘，然后刚上去摸手柄，打什么黑喽啊啊，什么 q 纵什么的，那那时候会有针对性吗？, Start Time: 635600
Text: 会会让你们特意的去玩一些什么，还是你们自己选。其实呃其实当时我们进去的时候，正他们刚做完的是那个呃 ghost reckon 二代就是幽灵行动二代哦，二代幽灵行动二代就是在 x box x box。然后第一座第一座第一就跟 PC 不一样的，不一样不一样，但是也还不错。, Start Time: 661590
Text: 对，画面什么的， PC 上嗯，对， PC 上是一个战术游戏嘛，就是你控制一小队的，然后到从 x box 开始就变成那种追尾视角的射击工作。对对对， PC 上那是 green 那个制作室做就在解散了。嗯，对，那个特别好玩 PCC 对二二代做做不错嘛。嗯，当时那个上海就是刚完成了那个 PS 二版的一只那个上海。, Start Time: 685380
Text: 这个玉璧就是在整个玉璧的组织架构里面，是主要是什么角色，什么角色呀？他负责就是所有汤姆克兰西系列的那个移植，一般都是夏威移植，也有一些原创项目，就像分裂细胞二代和四代这样四代四代后来打的就是往外宣推的很很大的对，而且做的也确实不错，四代做的也不错。对，上海那关就对对对嗯，, Start Time: 709600
Text: 对对对，上海上海这个他们就呃上海 EB 就是说做的最大的三个项目都是汤姆克兰西的，就是分裂细胞二代、四代，还有那个 end war， end war。不知道这个中文中文是怎么算的，没有没说什么中文的，好像都是说 under war end war，就是那个可以用语音控制的一个 RRTS。, Start Time: 735230
Text: 对对对，嗯，而且那里面还有那个那个 hoalks，还有包括 gohoricon 里面的角色嘛。我记得啊，对对对，它是一个世界观下的嘛，因为都是汤姆克兰系系列的，它里边小说小说其实已经就是说就玉帝把那个汤姆克兰西那个牌牌子给了以后，其实小说都是跟着游戏走啊。, Start Time: 758050
Text: 哦哦，就你说之前那些就比如说一些很老的经典，像什么猎杀红色潜浅之类的那些是真正就是说汤姆克兰西的作品，后来自从玉帝开始做这个系列以后就变成产品了。嗯，对，变成反过来的啊，我猎杀潜航太太好玩了。我看以前嗯那接着往下说呢，嗯然后后来就是呃训练了一段时间，然后当时的第一个项目就是 ghost aken 三代也叫那个巅峰战士吧，, Start Time: 778840
Text: 就是 advance wall fighter 那个嗯当时就是呃玉璧在次世代上 x box 三六零上的第一个作品，然后呃是是呃巴黎那边做三六零版，然后我们这边做 x box 和 PS 二版。那等于那个时候，你就真正上手变成一一个关卡装关卡设计师的时候。对对对，, Start Time: 810660
Text: 大概就是二零零五年的三月左右吧，三月份左右。嗯嗯，然后这个就是说这是当时 EB 做了很多的事情，就是说呃下位移植，然后下位移植还要同步推出。嗯，就当时当时那个年代的话，引擎的那种多平台的支持性不是很好，就是说不像现在你用那个虚幻三做的东西的话，基本上什么都可以上。, Start Time: 835210
Text: 嗯，那时候当年就是说那时候那时候当然也是处于这种就是说世代更替的时候吧，可能这方面也是有关系，就是说他他他那个他们那边就只能给三六零上面做，然后 x box 上他们就是说没办法用一套数据，那就是得重新做。哦，对，其实就是说所有的东西都是重新做的那那这点就是你说你说你说嗯我说就是这点其实对玩家来说是有点坑的，, Start Time: 864450
Text: 就是这种同呃夏位移植同步发售。嗯，在当时那个年代的话，很多是不同的制作室做的，然后也是资源非常紧张。嗯，那这个就是在做的时候，我就是想想想想问一下，你从从熟悉这些关卡到到熟悉玩玩游戏，然后再到制作你你有没有遇到过一些坎儿或者什么东西？嗯，当时应该还现在回忆起来应该还好，, Start Time: 898980
Text: 就是当时我们就是训练的时候，主要就是熟悉虚幻引擎二啊，因为那时候是还是虚愿型。二呢那零五年刚刚出三六零的时候啊嗯三六零，而且那个时候他们是用的自己就玉碧自己研发的一个引擎，就是那个尖峰战士的话，尖峰战士包括后面很多游戏都是用玉碧自自主的引擎。嗯嗯，所以说呃很长一段时间里，, Start Time: 928480
Text: 在上海鱼碧用的都是虚幻引擎二代。嗯，然后那个虚幻引擎就是它有一一本书嘛，就叫什么 master 呃， unreal technology。那本书也是每出一代虚幻引擎，它就会再版一次哦，然后还有一些视频。对，然后还有一些视频，就当时就是看那些学的应该还问题不是很大，, Start Time: 956390
Text: 相当时就是说很顺利是吗？嗯，当然就是说你能学着就是可以做东西，但是实际上你当时缺少制作经验，现在回想起来很多事情都没有做到很好。嗯，就是说留下很多遗憾，这是肯定嗯就没有，就有些东西不知道怎么样能够最以最好的方式来完成。嗯，那就是说但是当时嗯我是说这是你参与的第一次真正的关卡设计。, Start Time: 984610
Text: 对，就是这个呃尖锋战士哦。嗯，然后当时因为就整个也算是很多这个观卡设计里很多人都都很年轻，就是都是新进来的。所以当时大家就一块儿就是研究啊什么的，然后包括有之前一些前辈，然后问一下什么的。哎，玉璧的那个整个的制作环境怎么样了？是那种大家特别热火朝天干劲儿足那种感觉觉。, Start Time: 1012005
Text: 嗯，这个就大家之间关系都非常常好，个个也就就能在那边呆很长时间的一个原因。嗯嗯，但是就是在项目管理上其实还是有很多问题。比如说那个呃有一些外呃派过来的法国人，加拿大人的话，他们跟那个就是呃本土员工的那个沟沟通有一些问题啊，空降兵，包括他们好使啊，嗯嗯，包括就是他们的一些想法，, Start Time: 1040730
Text: 可能不是很务实之类的哦，是吗？啊，他啊反倒他反倒是他们不务实。我还以为是那这些年轻人，这些就是没什么制作经验，这些人会会特别不务实呢。我们当时刚就是跟刚开始项目的话，基本上嗯就是都属于一种就是被指导的情况下，嗯，就是那些外国派来的那个包括聘请的，像什么创意指导啊，, Start Time: 1071720
Text: 游戏、游戏首席设计师之类的。他们还是经常会有一些很很浪漫的想法吧，就是不太容易实现。对对，因为因为上海这边做这种移植项目有个特点，就是说三年都非常的紧张。嗯哦就，我在上海呃，上海玉 b 待了一共三年做了四个游戏，嗯，三年做四个游戏，那很厉害啊，这三年做四个游戏，, Start Time: 1103270
Text: 你真的没办法浪漫就是。对，就没这个条件。那你举个例子呢，比如都怎么浪漫了，这个这个举例子就现在可能已经已经想不太清楚了。就是说当时反正有很多想法，就是想期望做特别好，就是一进去就是各种就爆炸，或者说怎么样的，就是就是爆炸就抓眼，特别抓眼球这种。嗯，但是这个包括就是说很多我们做出来的关卡的话，, Start Time: 1132340
Text: 那个跟他实际他跟他想的的话，还有一定差距的话，他就会希望我们再怎么样样。嗯，但是时间时间真的是不不是不是很允许。嗯，当然那个时候那个时候确实也没经验，所以现在回想起来可能有一些东西还是有办法解决的。但是当时又没经验，又那个工作压力就大。嗯，可能会觉得就是跟那些人的沟通会有一些问题。, Start Time: 1161510
Text: 现在的话如果说你再成熟一些，应该还是可以有办法解决的。这样嗯这些都是难免的积累之后，可能对于他的想法，你你可能实现的几率就会更大一点。对，当时嗯当时就是第一个项目尖峰战士，那个加班也加的是比较凶的时候，有过有过很多次。那个就是要出版本之前就通宵加班这样嗯，, Start Time: 1190980
Text: 通宵加班，第二天继续上班是吗？第二天我不记得要不要继续上么？一般就是说版本只要做出来提上去，那就没事，那你就可以回家了。嗯，但是就是你知道就是这种做主机游戏，包括 PC 游戏也好，它这种出版本的时候，他只要有一个 bug 出来，你就要修，修完以后要重新做版本，, Start Time: 1218180
Text: 这这个做版本都是花时间的。就很多时候你就在那眼巴巴等着嗯，等着你修的 bug，然后出来看修好了没有，就等着什么时候快。嗯，对，修不好，还要再修。然后有时候你那个修的时候还这个 bug 修了吧，结果又修出来另外一个 bug，这太痛苦了。这种这种时候就嗯这个其实就是要抵 bug 是吧？, Start Time: 1242910
Text: 像 debug，对你要是项目经验比较多的话，这个也可以就是避免。因为就是越临近到交版本的时候，理论上就是你越不能做一些大的修改。哦，就是有有有有有一个不是，他应该是有一个缓冲期，就是说呃所有人的修改是越做越少越做越少。直到最后就是说只有那么一两个人在改 bug，, Start Time: 1266700
Text: 这样结果最后就越来越多了。如果就大家一起改的话，那肯定就是每出一个版本，就你就会有很多未知的问题。对，但是咱玩游戏经常会遇到一个 bug 毁于游戏的那种情况出现。对，嗯嗯，那种就就就比较遗憾的，就是属于那种太赶了。但是他说这确实是就是这个项目管理，我觉得特别考验那个管理者的那个脑子。, Start Time: 1291840
Text: 那脑子啊确实是就你你在这，而且这每个项目都不一样，你还特别完全是按照项目来的那种，包括分配这个管理的这个时间什么的。而且他说的有道理，本身修 bug 的人就应该越来越少。对啊啊，但是你有时候你可能那两个人修完这边会出现新的问题。对，有可能会越来越多到最候。, Start Time: 1314900
Text: 对，所以我觉得很多时候是很多时候是小 bug，你就放着他，你不你就千万要忍住不能修。因为你一修的话，就就如果说大家看见自己负责的东西，有小 bug 都想修。那就是说你需要测的东西就特别，而且就是有可能会有一些互相牵扯的东西。那有没有那种就是这小 bug，就是实在懒得弄了，, Start Time: 1333940
Text: 不修，别人也看不不出来，然后就不管了，有吗？有啊，肯定有啊，这种很多就是其实我还特别想说别人有这样的。就是就是我还特别想说的，就是那个当时我们嗯就包括做这个游戏，还有后面嗯就后面做了贝奥五夫的时候，嗯，不要我不怎么也是你们做的，这个五夫是我们做的呀，我做了好几关的那里面不是五夫，, Start Time: 1355710
Text: 是玉璧的呀。对，那游戏挺好，是就是玩过吗？我我玩的呆呆是不是？是我觉得画面做的特好啊，而且感觉还还不错。电影影本身太逗了，我通了了，好像像嗯，对啊，电影影人了。那个时候是是柯南维京人不奥五夫我一块玩的。我觉得那当时那那哎那种风格感觉还不错，北欧那种倍野那种感觉是吗？, Start Time: 1383560
Text: 嗯，对，那这这个这个还那我还挺出乎我意料的，是还以为这个大家都会觉得挺坑狂喷是吧？对我估计你那那时候已经不行了吧，全都喷这个，但是电影游戏也不好好呀。对对对啊，电影游戏都一般。电影游戏，你为什为什么说电影游戏有那么多不好玩的？因为就是都是这种一年期的项目，, Start Time: 1408020
Text: 是哦没法用心做啊，真的就是非常非常困难。那你像贝奥五夫就是 bug 特多那种吗？贝晓武夫也不是我想说的，就是那个就包括做尖锋战士跟贝晓武夫的时候，有时候那个就创意指导，他会想要把所有的东西都做的很完美。就比如说你那个那个碰撞啊，就玩家那个跟跟那个环境的碰撞啊，, Start Time: 1429480
Text: 啊啊，他会希望就是说完全没有那种就是说脚插在石头里啊，或者说去空内进行出现，但是不可能。然后那个不可能就是说而且就是说还一些一些方面，就是这个也是关卡设计里边经常会遇到的问题。就是说你怎么限制玩家的行动，你比如说这边不让走，那有的有的人就会想，就是说把它弄一走。, Start Time: 1456280
Text: 嗯，合理的解释，就比如说这边为什么不能打爆炸，为什么不能弄一个爆炸，把路挡住什么的？这个这些就是说你如果有资源做，当然可以做了。但是我觉得在资源紧张的时候，真的就是这些东西最好还是不要去抠的太死。对，有的省事儿跟弄一堵墙。嗯，对，因为就是说像很多那种大作，, Start Time: 1481140
Text: 包括战战争机器这种，他很多地方就直接空气墙就给你挡住啊。对对，就走不过去了，或者就是拿石头走不过去。嗯，我觉得这这种就很好，就是你把核心的游戏性就打磨的好一点。然后像那种就是不是百分之百玩家会遇到的情况，就都那个睁一只眼闭闭一眼眼玩家就是抱怨两句，也不会影响他整个的一个体验，, Start Time: 1506040
Text: 把资源都调动到那个最真正核心的地方去。对对，没错没错，你想那些做了三四年的大作尚且是如此。那我们这种做一年的就真的没必要太抠那些细节。嗯嗯，这是没不过不错，独角五福可以可以可以，挺好玩是吗？对对对对对，那那个就在做背后五伏之前，呃，我先接着说那个尖锋战士吧，, Start Time: 1529530
Text: 尖锋战士就是说当时还特搞的事儿，就是我们做完 x box 版本以后又说要做 PS 二版，因为 x box 版本又没法移植到 PS 二上，又重做又重做，这这个事儿就比较比较蛋疼，就我忘了当时怎么说的，有可能当时就是说那个技术评估的时候，曾经错误的认为就是我们现在做的这个版本是可以直接放到 PS 二上，, Start Time: 1553470
Text: 或者说经过一些简单的修改，就可以放到 PS 二，只有重大失误评估错误。这这个我不不能乱说，我记不清了，我记不清是是因为我不知道还是怎么回事，反正就是这个项目从三月做到你大概年底十月、十月、十一月的样子，然后嗯就提交送审了，然后就开始全部人马又立刻开始做 PS 二版。, Start Time: 1579950
Text: 嗯，但是做 PS 二版，虽然说时间非常短，大概三个多月，四个月不到这样子，因为更顺利了吧，就三四个作业。对，就是第一是你做过一遍了，你有一个反思的机会嘛。嗯，然后另外就是说我们当时做 PS 二版的时候，自由度还是比较高。就对，就是那些杨大人就已经不管了哦，, Start Time: 1604160
Text: 嗯就是你的 PS 二版自己。对对，就是那个这也是在玉 b 的一个叫法哦，杨大人那往往会不会就是这种你第一次做了一个平台，再往下或者再往另一个平台做的时候，就相对质量，或者就是你用心的那种，就就是游戏本身的质量会不会更好一点儿？比比如有些 bug，你就会尽力的去避免这种东西抵的更好一点。, Start Time: 1626520
Text: 对对对比比的更好。 bug 这个会有我印象当中，我印象当中应该是没有，只是做的更快的一是是吗？还是很多？对，因为就是他又重新做了一遍，所以以不是说你原样，就是等不是说你又重复了一遍，那你就知道哪哪会出问题了。它是你要比如说地图原来是大概两百米乘两百米，现在要变成一百米乘一百米这样。, Start Time: 1650260
Text: 嗯，那你里面很多东西就要重新设置，嗯，哦，但是当时就是做游戏真是那么呵呵呵。但当时就比较好的一点，就是自由度很高。然后就自己就胡胡胡胡就就觉觉那个胡坐着玩怎么做？因为之前的话就是它会有很多像叙事方面的需要。比如说你走到这儿了，你走到这儿必须发生什么事，包括那个脚本，, Start Time: 1676490
Text: 就是那个脚本，包括那个 HUD 上面都会出那个小窗口嘛，就有人跟你说话。对对对对，嗯，那个叫什么我都忘了，就是在巅峰战士里边有个特别的名称叫 cross。反正是一个一个他们专门造出来的名词，就是对，就是说美军的那个高科技，大家还能互相能看见画面，这样啊就是眼睛前面那小玻璃片吧。, Start Time: 1704370
Text: 对对对对对对对，看见互相的对，显显示的那些东西。那个东西当时就非常麻烦，因为就是我们要必须要用那个呃三六零上的那个那些录好的对话，包括视频那些就是小窗口里边小小画面，然后去对我们那个设置的那些关卡。嗯，然后有对不照对不上的地方就要改。然后他们那边如果有改动，, Start Time: 1729120
Text: 我们这边就还要改。嗯，那这时候有一些地方，嗯嗯，你说嗯就是有些地方实在圆不起来了，就还要再重新录新的录音，我操，太麻烦了，嗯，还得重新重新录。我靠，对卖的好吗？游戏做完了， PS 二了，不知道三六呃 x box 跟 PS 二卖的怎么样，我们都不知道，我们只能就是说做完以后去查一下那个 game sport 上的评分。, Start Time: 1753760
Text: 嗯，这三个版本一般就是那肯定是三六零了，最高三六零三六零都接近九分了，好像九分不知道还是八点八点大几分啊。当时那个游戏确实对嗯初级那个游戏相当不错了。对，看那画面那头盔不都反光吗？对，当时零七年都傻了，零七年上的吗？对对，零记记零七年是吧？不不不不不不是零七年还要早，, Start Time: 1782580
Text: 零六年六基本上跟比好像比战争机器，就是同期那个样子。嗯，对，反正那画面绝对是相当好，就真傻了，对不对？对，嗯，然后我记得我卡在一个地儿过不去了，就不玩了。嗯，反正我也玩通了哦，嗯反是一开始时那个啊啊什么的那种。对对对，方面那原版里原版里有很多大场面，就像什么那个指挥直升机、, Start Time: 1807360
Text: 炸坦克或者说怎么样那种。嗯嗯，那我们做起来就就非常的就朴素那种，那这些都是你们想的吗？各种砍呃，当时就是做三呃 x box 版的时候，其实自由度不是很高，基本上就是别人那个说什么做的有上对，上面会有一个文档下来，然后就是地形是我们自己设计。因为当时地形也看不到那个三六零版的地形是什么样的。, Start Time: 1830560
Text: 当时就是他们那边也在开发嘛，他们只能把就是说他们的计划告诉我们，那你们就是凭想法做是吗？对，后来就到项目晚晚期的时候，他们那边的那个版本发过来了。然后一看说哇，人这个太牛了，我操对一看就差距太大，那那感觉但是也来不及了是吧？嗯，那肯定没法改。那 PS 二版呢嗯对，, Start Time: 1859190
Text:  PS 二版就更小气了，就啊是吗？技能不够？对，就技能不够，真不够，因为而且就当时也没人钻研，就是怎么优化，怎么就是就想跟您弄是吗？也没人钻研怎么优化是吧？我觉得优化还是挺重要的。对于主机游戏来说，对，嗯，是，但是就是当时我们面对的平台实际上是有点多。就这种东西的话，, Start Time: 1884830
Text: 其实都是需要有一有专家。就是比如说好像后来就现在本世代的话，一般就是三六零是主主开发平台。因为比较简单，然后一般公司都会雇佣一两个专门研究 PS 三硬件的人哦哦，相当于技术支持持对嗯相当于引擎程序员，引擎程序员不断技入支持，就是他们就专门负责修改引擎的代码，, Start Time: 1907150
Text: 让他能够在 PS 三上跑的顺畅。嗯，就跟采访的蓝皮狗那哥嗯嗯黄就就怎怎么怎么优化代码，嗯，嗯，他们那就属于大师级了。就对我觉得他们因为主端端为都是是 PS 三专对独占游戏，所以你必须须很研究这个，包括括那个 q 纵那工作室，也是是指着吃饭。对，指着吃饭，人家那技术技术人员特牛逼分析那几个 SPU 怎么分分那些数据，, Start Time: 1931870
Text: 那 q 纵就是好的画面，画面确实好啊。对对，确实就是就是厉害玉臂，我觉得当时就就不好自责信聊什么的，还丢帧呢。对啊，你这怎么弄什么玩意儿？对，有人挺生气的，不是说游戏不好，就是说有时候感觉就是差点意思，因为他丢帧啊，我受不了啊。对，丢的太厉害了。嗯，是可能就是这这个首要的目标就是各个工作室都不太一样了。, Start Time: 1958940
Text: 你比如说你要做现代战争，那就宁可贴足操底，然后也要上六十帧，上六十帧。对，现代战争的那个帧数真是高。对对，然后像玉璧可能玉璧可能他就要求整画画面，那个美场面要场面要大，然后这样光影那好看，帧数可以低。对，因为美术要牛逼。对，嗯，就当时我们一块儿做巅峰战士，, Start Time: 1988160
Text: 那帮人现在就是也都基本上都在很多都在很牛逼的工作室，像那个有有在那个 q 纵那个工作室，游击队去荷兰了，去荷兰了。嗯，然后有去有在那个呃古墓丽影那个工作室哦，哦，对，厉害，还有就是在在在顽皮狗，那就就是有很多程序员嘛都在顽皮狗。对，那也不错，去古墓艺，还有还有一个在还有一个应该对，, Start Time: 2012820
Text: 还有一个动还有一个动画师，应该现在是在做 GTA 五啊，动画师。对， GTA 五还需要动画师啊，我觉得那肯定要我觉得 anyvition 这个职业可能到后来就都被动作捕捉取代了呢。我觉得他没有就通过捕捉了以后，你也要很多处理的要调是吗？对对啊，我以为都绝技，, Start Time: 2042900
Text: 除了战神那种游戏以外，好像都用不着那个那个动画片了。嗯，都要就是而且就是那个动作捕捉以后，其实对动画师要求也非常的高。他就是要处理数据，要优化数据，然后包括就是把游戏放在引擎里面，怎么跟程序能够联动。哦，这样那就是你像你刚才说第一次正式的参与关卡设计是游轮行动。, Start Time: 2067380
Text: 那嗯幽灵行动之后就是贝奥沃夫了，是吗？英星行动之后，还做了一个很坑的那个呃战火兄弟连的 PSP 版啊， PSP 版没玩。这个我也不知道这个就这个就更那个 PS 黑里山是我做哎战火兄弟连是吧？本片不是预璧的吧，一直连 gear box， gear box box 当时是在算是玉璧旗下的吧。, Start Time: 2092745
Text: 现在连续连连续几款作品，对，连续几款作品都是用都是玉璧发行的。然后当时就是上海玉璧这边帮他们移植了一代跟二代，就是那个三十号高地，还有那个什么雪地狱、高速路，对什么什么高路那个嗯然后后来后来出了一个资料片，那那两部的 PS 二版都是上海御碧做的哦。然后就在他们做完了 PS 二版以后，, Start Time: 2119550
Text: 我们这边刚做完两个那个幽灵幽灵行动，然后就正好要做一个 PSP 版。嗯， PSP 版就是把那两代的那个一些比较经典关卡玩家比较喜欢的关卡融合在一起，嗯，放在 PSP，然后对，放在 PSP 上。当时就是干的事情，就那时候基本上没有设计了，就是就是不停的砍东西哦，, Start Time: 2146720
Text: 痛苦苦砍敌人，挺痛苦的。做减法，因为而且 PSPPSP 技能真的很慢，然后操作也不是特别对 PSP 技能会好到哪儿爽。嗯，是就就非比较痛苦。好在就是说兄弟连那个游戏它不它不是一真正意义上射击游戏，你可以把它当战术游戏。战术游戏对我特喜欢，你不需要描对，那游戏其实挺不错的，, Start Time: 2171490
Text: 就是正片做的都挺不错的。那个 PS 二版移植的也挺好，那个就是他那个游戏，就是你只要把敌人压制住的话，你不需要瞄太准，就侧面包过去帮帮几枪乱乱打就可以啊。对，最喜欢的就是他把那视角直接立起来，然后你画路线。对对对，你可以看清那个厂商，就后来才有之前，然后也不行，, Start Time: 2199740
