Text: 大家好，我叫很很高兴认识你们。大家好，我是追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机核网加九 pro。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，保证会让你耳目一新。, Start Time: 390
Text: 我说操死了，你看哪有一上来一上来就死了，就怎么玩。还有第一次让人觉得百奥尔的游戏是个大片儿，真正的大片儿。而且他把那个一代里可能很多玩家去忽略的那个角色，就是呃那个 joker 嗯，对，把把他个个又戏长的。对对对对对， joker 是最后陪着士馆长，而且啊不不不是士官长，, Start Time: 1459720
Text: 使官是官长啊。对，万本色抱告我不好意思，就这，但真的很像啊，有孤胆英雄的味道。你知道黑龙是是是事后是士官长孤独的飘在太空中，靠他娜陪着他是吧？对，然后这个质量效应呢，是那个 joker 就陪着斜坡，就实不是为了救 joker 嘛。对，而且张慧后来腿好了。对，, Start Time: 1480060
Text:  joker 是一个也是一个很有意思的一个角色。对，是他一直说黑色幽默，但是他实际是是个身残志坚的。对对对，好好好好。他他就是表面上开始特别乐观，可能他心里上其实很难过，但是他还是会把把那种乐观精神感染。然后我我我三代开始跟异弟最逗的，就是其实我对那三代这个他们俩这个结局我非常满意。, Start Time: 1500070
Text: 对，一个是一个是一级的实体化，这个没想到。对，其次就是他们两个人在那那个聊聊天乐粉是，然后很多同人会把他们 y 歪到一块儿。嗯，最后他们就是在一块，他们就是就是就是谈恋爱了，就是是坡可以撮合，他们也可以分开。他们对撮合了，我也撮合，谁都撮合了。对，然后嗯然后我我我我说的同仁是同人，, Start Time: 1521170
Text: 你们要记住啊，明白。如果伊 d 如果伊 d 在实体化的时候，没有借入女性的身体怎么办啊，这是一个很直接的问题。是是，所以所以那个呃质量效应实际上让让人觉得说那个太空类的那个 RPG 又被在那个 QTR 之后推上了一个新的高度。没错。对嗯，那你说 BOY 为什么没有想过把这个史实奇幻跟他的太空空的那合起来做一个。, Start Time: 1542130
Text: 其实想过，而且且我跟你说，就是也是在同人的那个论坛有一个很有名的叫 divont 还是什么？对对，所以那个上有人专门画什么的叫什么呃， MSAMSH jragon effect。就是把两种风格去融融合。太空里的那种就是剑与魔法的那个盔甲感很重。而且其实你想一想，, Start Time: 1569650
Text: 那个那个 bio y 每次不是出游戏都有特点嘛。对对，那个跟跟那的那个龙那个龙甲，对， mass effect 里有龙甲。对，就是那个除非那个那除非就是那个那个那个护就是眼睛那部分，就是红色那个所有红光的那个那个，而而且巨帅。但是那个设定我觉得有点穿越，那个设定不是特别好。, Start Time: 1591890
Text: 但是就是为了想那个自己旗下的两个作品去客串一下。而且这个有好多彩蛋 e 多，好多彩跟那个跟其他世界联联动，像那个龙腾世纪中间不是还有一个一套世界叫 destiny，那个就是就是死亡空间，那个就是工程师那个大 EA 世界的感觉。这次 drany inquisition 里面还有一个有一个那个线植物大战僵尸还没有看到，, Start Time: 1611120
Text: 还有很多很多的屋子里都有这个彩蛋。但你这个是那个 organ 的头 EA，以后也弄一个什么 EA universe 跟猫这个想法。 EA 英雄这个想法让别的厂商实现了就是 destony destony 的设定，就是史诗太空歌剧加上史诗奇幻，确实确实是。但他史诗奇幻的是做一种视觉元素。, Start Time: 1633320
Text: 对，视觉元素它里面内容容多，但是视觉元素上表现我觉得也还不错，对音乐也非常不错。对对对，嗯，据说龙腾世纪是质量效应里的一款游戏，就质量像是世界里的一款游戏。好像在这好二代那个 sctalle 的时候，其实有恶搞的嘛， TT do 基本上恶搞有一个卖游戏的，, Start Time: 1654360
Text: 你记得吗？嗯，对，有一个卖游戏，就是你可以直接在那个手臂那个显示器里玩的游戏。嗯，然后你跟他可以做各种各样的对话，我记得还恶搞了一下那个 final fantasy 啊，还有那个玩那个 shadow broker 的那个那个 DLC 里面有一个恶搞的使命勋章啊，, Start Time: 1673830
Text: 就就把把个个 ftacy 使命勋章玩的像像之前集合做那个个 t 就就是把把你玩过两款游戏名字组合一下。对对对对， bill 外的那个恶搞元素挺多的，是嗯 massieffect 里面有非常多。嗯嗯，好，我们说一下质量效应跟龙腾的差异可以。我觉得质量效应跟龙腾的差异最明显的一个是主角，, Start Time: 1691230
Text: 就是刚才我们都讲了斜坡船长斜坡船长是一个绝对的明星线，主角没错，然后但是龙腾是完全不同的。对，龙腾，他至少起源起源源和 AA。对是完全不同嘛，是 DA 二是有点像质量效应。对对，可那个那个 howk。对对，我们之前就是想嗯质量效应的主角都是生软和玩家共同塑造完成的。, Start Time: 1715630
Text: 然后基本他塑造完成的方法是什么？其实是很困难的一件事。因为嗯因为他需要，就是把这个可能性减减小到最小。如果说你按照伯德那样的多个起源，多个种族来来来配音，每个都有不同的性格，这是很难做到的一件事儿。嗯，结果质量效应的办法就是把他这个整个所有的线都换成两条，, Start Time: 1740070
Text: 其实一个量应一个叛逆。对，其实到 DA 二大家也能发现，就是三条线。其实玩质量效应或者 DA 二，他的这个二周目价值主要就是是是不同的性格这点。对，但是 drag edge 就是 DAO 和 DAI 是完全不同的。 DAO 和 DAI 它是结合了两点吧，就是一个是玩家扮演，, Start Time: 1762510
Text: 一个是明星主角。对 DAO 它给每一个角色都设置了一个都设置了一个起源。所以它既有计算是有头有尾，就是大家能感觉到我扮演的不是某个人类，不是我自己，我是库斯兰等的的次子，我是有我的身份的，但他又不会说像质量效应那样说的。那么具体对把把把把选项紧紧的局限在就是要不然是楷模，, Start Time: 1784500
Text: 要不然是叛逆。你有很多很多可以选的东西，然后你有可以做自己的主，这点我觉得差异是比较明显的。嗯嗯，还有就是你能感受到，就是我觉得 massive fish 的，他的这个电影感电影化的叙事更加强烈，对你从风镜就能感受到是 massive facsh 的。他的那个镜头基本上都是好莱坞的，, Start Time: 1810550
Text: 所谓的半头身就从胸部开始到头。嗯，就，所以他那个好莱坞电影感的那个特别强对话来回打。是。但那个 jranage 呢就更像传统的那些 RPG，就他因为我们也知道 DAO 的时候，他有一个俯视角， PC 版才有的俯视角是为了怀念伯德之门。因为 DAO 的野心呢跟那个呃跟 bao y 自己的博德情节有关基，, Start Time: 1832080
Text: 他想复活那个小队策略的一些玩法啊。因为 massive fish，其实虽然有小队，但是你能感受到基本上就单打独斗嘛。一个人和两个队友他策略，而且你不能你只能控制 shappen，你不能就呃你可以下指令。对，可以下简单的策略。比如你躲到哪儿啊，或者但是非常非常简单，, Start Time: 1856700
Text: 基他谈不上一个很复杂的小队，不能就是说你不能就直接就操控你队友，让他跑哪去做什么。然后到后来，队友对你也只是一个技能的补充。对对，到后来玩质量项目三的时候，基本队友就是用来他他使一个牵引，然后我使一个投掷对属属于技能方射器。就是对，其实就是技能补充，他谈不上一个呃小队的策略。, Start Time: 1874880
Text: 对，但是这根 edge 他是想把被伯德之门那种小队的策略，我必须得有什么样的职业。有的人做坦克呀，有的人做伤害输出呀，有的人做坦妈呀这种这种层次感丰富的去表现出来。但是他又简化了伯德的那个系统，对成了魔兽似的这种有仇恨值啊，有有 TDPS 和奶妈。对，因为为什么呢？, Start Time: 1898670
