Text:  go my friad 爸爸，您好，请问您是张先生吗？哎，我是您哪位？您好，我这边是机合网，恭喜您获得核聚变，北京站门票核聚变。我以前去过呀。这次的核聚变引入了新的游戏和新的玩法，会带给您不同的体验和不同的快乐。哎，得嘞，您要不直接跟我说有什么奖品吧？我们除了有四 k 电视 PS 四 pro 叉、, Start Time: 380
Text: 相当于喷出去的物体乘以它速度，然后 FT 等于德耳塔 MV 嗯，这个基本的原理来的。所以说这是火箭发动机，就是推力这么大的一个最根本的原因吧。嗯，实际上就是它的燃烧出来物质的速度非常快，这个就是嗯所以说它分了这么现在分了这么几类吧，最简单的可能就是一级呃就星级只有一个星级，, Start Time: 496370
Text: 像一根铅笔一样。嗯，呃后边呢为了增加这个推力呢，又加个助推，相当于两边各绑各绑一个比较矮一点助推。嗯，有的是绑两个的，或者绑四个的比较多。嗯，我们印象当中的火箭好像就是那个都会有都会有那个星级啊。对对对对，那是咱们现在公认评的最漂亮的就是长安 f 嘛，长安 f 时间是绑的四个。, Start Time: 524220
Text: 嗯，还有一个就是咱们实际上火箭里边有分一级的火箭，二级的火箭，三级的火箭。嗯，这是什么意思？这个意思就是说实际上因为我们呃这个实际上是为了提高这个用载效率，运输效率。嗯，提的这个因为它呃分级有个好处，我一级燃烧完可以扔掉。嗯嗯，然后二级完事燃烧完可以把二级扔掉。, Start Time: 551010
Text: 然后三级再工作实际上是提高了它的整个呃运输的效率，呃，整个运输的效率做的这么一个工作分级。好，如果我看那个直播的时候都会说一级火箭分离。然后这底下那个大屁股就等于掉下来了。对，然后二级火箭在这点火燃烧，然后再继续的前进。对，嗯，其实就是火火箭里边关键的，比如说一二级分离呀呃助推分离呃，, Start Time: 576670
Text: 或者二三级分离，这都是一些比较关键的事件。嗯，这些事件因为它是呃涉及到这种分离造成的一些冲击，就它这个分离的环境比较复杂，而且推力有个突变，所以这对对对对，它没了嗯，没了，它推力有个突变，嗯，这对呃整个整个这个火箭失物发射成功也比较关键。然后嗯同时呢再说一下，, Start Time: 605330
Text: 咱们比较关注的，刚才说了一二节，还还有一个就是前面整流罩，嗯，咱们的卫星的载荷有效载荷也好啊，或者是非船有效载荷也好，都在包在那个罩子里边。嗯，对，说一下有效载荷，就是那个火箭尖儿上，中间那边最关键的要发到天上的那个东西。对，整流罩就是火箭顶部的那个一圈儿那个罩子。, Start Time: 631570
Text: 嗯，那个你可以认为就是火箭是这个小汽车的，火箭是这个车，有效载荷是里边人或者里边的货发动机啊。对对，有效载荷里边人和货货物。对对对，运输的对象嗯有效载载，有效载荷。它是包在罩子里的，罩子的，主要目的还是为了减小呃火箭上升过程中空气阻力嗯嗯，跟汽车跟汽车一样的对，, Start Time: 654160
Text: 然后同时呢它还可以提供一个隔热的效果，因为它飞行速度特别快的时候，空气会对这个咱火箭进行加热，这个温度有时候比较高，需要这个罩子隔一下啊。对，然后也是这个发射到最后的时候，这个整流罩会抛掉啊。对，呃，其实不是最后后它是在飞行，就是说通过了呃过了那个大气层密度比较呃比较高的那一段啊，, Start Time: 680820
Text: 它就抛掉了啊，就就气很稀薄，摩摩擦力啊。对对对对对对，空气很稀薄，它就抛掉了。其实咱们还有一个现象，其实能在地面也可以看到的，或者咱大家在看直播也可以看到的。呃，火箭实际上在一开始飞的特别慢，嗯，就是因为它的重量比较重来对它比较多。虽然推力比较大，但是它加速比较慢，, Start Time: 707880
Text: 你看很火缓慢了起来。但是到后边后边的话，它的速度会增加的非常快，增加的非常快。有一段时间叫跨科跨音速，呃，跨音速的跨跨音速，就是那个跟飞机那个一样，飞机要突破一章。但那跨音速它的呃跨音素那一块会使空气中的水汽凝结。你就像那个呃在那个头锥的部分都会有非常明显，, Start Time: 730840
Text: 你像拉出来想雾，对对对，个雾对对对对对对对对，效果要突破阴胀的时候的一个情况。对，所以整流流罩在这个时候也是要起到这个保用啊。对对对对，往后的效果，那它破了阴胀，再飞一段，就是跨音速过了以后再飞一段时间。嗯，呃进入空气比较稀薄的时候，它就要把整流罩抛掉了。, Start Time: 757380
Text: 嗯，对，让它更轻一点儿，让它更轻一点。对，找一切机会把重量降下来啊，对对对对对，其实实是这么过程。对，嗯，其实我特好奇，那突破阴胀那个那个原理就为什么超过一定速度的时候会产生这样的一个物理反应啊？因为我在突破声音的速度以后啊，它会压缩这个空气，形成激波嗯，, Start Time: 779120
Text: 压缩空气呃，压缩空气形成激波。在在激波附近呢，激波以后呢，它这个呃空气又迅速膨胀，嗯，迅速膨胀，然后膨胀呢迅速膨胀呢会使这个空气中变冷，膨胀以后会变冷膨胀胀膨胀了，空空气中的水气凝凝结出来，你就感觉到形成一个然后雾气的雾气屏胀感感觉。对对对对对，它太神奇了。, Start Time: 802450
Text: 对对，速速必必要那个什么感觉？对对对，其实嗯在突破膨胀以后呢，呃会经历一个比较大的一个震动环境。嗯，这种震动环境如果跟那个呃就结构的震动跟发动机发动机的推力耦合起来呢呃会造成非常严重的影响。耦合是偶然的那个呕吗？啊，不是耦合，你被认为是共振共振共振。对对对，, Start Time: 830770
Text: 就是整火箭这个纵向的一个频率，跟我发动机本身推力的频率一致一致了一致放大放大这个震动啊，放大这个震动，呃，这会造成非常严酷的一个震动环境。咱们载人航天的时候，杨利伟是是第一个。咱们航天员嘛其实就接受了这种抛狗震动的环境啊，这个环境是呃非常大。以至于像咱们航天员这么好的身体都出现了短暂的昏迷哦，, Start Time: 857800
Text: 嗯，它叫抛狗震动的抛震震动。嗯嗯，对，是个缩缩是吧？对， POGOO 抛抛抛嗯，抛 go，那是这么一个咱们比较专业的翻译，应该叫翘震。嗯，对，就跷跷板那个翘嗯震动叫撬震。嗯，所以杨利伟当时第一次也不知道会有这种情况发生，也不知道会有这种情况发生。嗯嗯，然后第一次经历了这个环境，, Start Time: 884800
Text: 本来以为是高 g 对个，但是他这个不是高级昏迷是吧？啊，对，这个不是不是过去的高过载就就相当当高高高级值的昏迷。它是确实由于是因为震动震动导致的，就是相当于我心脏的这个频率，心脏震动的频率。嗯，跟我本身这个刚才说抛狗震动的频率非常接近哦，对人体特别大。对对对，, Start Time: 913600
Text: 给心脏特别大的压力，这个是这个受不了这个。实际上人本身的并没有受多大症，但是心脏本身这这个分支的，所以他受不了这个哦，好，太可怕了。所以这些都是实际上是是我们很难提前能知道会出现这种事情。对对对对对，实际上那个火箭的发动机和舰体本身的这种共振，在其他的火箭里面也是有的哦，, Start Time: 936215
Text: 只是说为为没有人人，所以就没有产生别的影响哦，但是因为有这件事就成为了一个议题啊。对对，呃，这个是后来是解决了是吧啊，对这个后来嗯通过呃各种努力吧，其实抛果问题非常复杂，可以称为是火箭。整个呃整个系统里边最复杂的一个耦合问题。对呃最终把这个问题得到了一个，, Start Time: 961760
Text: 实际上没有完全抑制，但是确实把它缓解了，缓解到这个可以正常的人可以接受的范围内，对哇，很是很出人意料的一个问题。这可能今天之前我又不不太知道。是的，对，说两个就是影响咱们这个天呃天气运输系统吧，或者影响咱们火箭的一个用载能力的一个关键的一个因素。呃，实际上有两个，, Start Time: 989820
Text: 第一个推力要大，第二个本身结构要轻啊，结构要轻。当然因为推力大嘛，结构要强，它本身是矛盾的，所以说要要不然就散架了。对对对对对对，所以说对结构的呃使用的材料，还有结构本身设计要求比较高。呃，因为这块结构构料料块儿这块呢东西相对少。我先说一下这个嗯结构材料呢，, Start Time: 1014570
Text: 实际上咱们用的最多的现在是铝合金，当然不是咱们常规的铝合金。嗯，比如说是用的一些铝铝合金啊，哦，铝跟铝铝铝合金。对，现在也用铝铝镁合金。嗯，因为它本身呃它我们我们专业叫比强度，比钢度比较好，就特别是比强对比强度比比较就就说它本身轻，但一个非常常实素，嗯，这强强度是评估铝合金啊结构。, Start Time: 1037130
Text: 对对对，就它的实际上是它的强度跟重量的比，我们那个叫比强度是一种材料的一种性强度和重量的比强强度重重量的比这种核心是它的韧性好，还是它足够坚固。呃，实际上嗯这个强度的概念就是它足够坚固啊，你它可以承受承受很大的利益，它不坏。嗯，啊对您说那个韧性实际上更多的是它跟它是另外一个概念了啊，, Start Time: 1064330
Text: 就软硬硬的硬硬性量钢钢的概念了。就是我说的刚才比比度度，比钢度评估估这个事啊。对对哦，呃这反正是简单的说一下，这个实际上不专业韧性。实际上专门专门有很多的其他的材料啊，比如锻炼韧性啊，或者其他的一些去衡量韧性是一个专专用的一个名词。但韧性对对，韧性咱们一般说钢度咱就说软硬嘛啊因为我刚才想到是不是某些地方和某些位置可能需要那种弹性，, Start Time: 1090720
Text: 我不知道啊，就是那种我们理解的韧性稍微好一点，它能承受一定硬硬的对那种那种那种材料。对呃比如不锈钢嗯，对吧？而且这个嗯其实嗯航天里边对材料的要求非常高。嗯，因为它现在比如说咱们用的液氢液氢液氧有二十 k 一个五十 k 二十 k 就是零下的二百五十三度。哇，, Start Time: 1118460
Text: 这是液氢的温度燃料吗？对燃料的温度，燃料温度、液氧的温度，比如说五十 k 五十 k 就是零下二百二十三度。哇，这个是个单位开尔开尔温度绝对对对对对，它这个呃实际上对我们的这个结构要求非常高，嗯，嗯，要耐低温，因为要耐低温，这个是呃保前如此的冰冰冷，这个嗯嗯这是如此冰冷，, Start Time: 1142690
Text: 但是火箭发动机又如此火热。对嗯呃两重天的对，嗯，接下来就咱们讲到另外一个因素啊，影响咱们这个运输的运输能力的一个另外一个因素就是发动机的推推。嗯嗯，世界上最大的发发动实实际是原来也是推力最大的发动机是固体的。咱就不说了，就是航天飞机那个固体发发动固体的发动机，, Start Time: 1172630
Text: 但是固体发动机本身的推力的调节能力相对差一些。所以主力还是用液体的液体灵活啊，对，它就是推力大，推力小，它调节比较方便。嗯，然后液体火箭发动机呢实际上最大的是俄罗斯的嗯嗯 RS 幺七零。嗯，咱个推力到了七百九十吨，就是它的推力是七百七百九十吨。对，然后咱们说的前面说到最有名的火箭土星五，, Start Time: 1196830
Text: 它是 f 一，它叫也是液，是就是这两个都是液氧煤油的嗯，液氧做氧化剂，煤油做燃烧剂。哦，他俩一点就掌握的这这种，然后这个是六六百九十吨，嗯，就像土星五是有五个六百九十吨的发动机推上天的啊。啊，对对对对，五个五个五个个对，然后五个五个推上天的这是呃发动机，呃，, Start Time: 1225790
Text: 跟咱们国家其他行业一样啊，咱们航天发动机相对来说起步也比较晚。嗯嗯呃液体火箭发动机过去还是向俄罗斯学习的比较多。现在但是最近几年因为国家的投入比较大，呃，在火箭发动机上，我们也确实有了自己的特色，特别是液体火箭发动机。因为咱是从苏联是从俄罗斯，俄罗斯嗯，所以是从它液体火箭发动机，, Start Time: 1256730
Text: 它能力比较强。对于美国来说，美国的液体发动机呃主要好在它的氢氧发动机就氢气跟氧氢液氢跟液氧嗯嗯对混合的氧液氧还是做氧化剂，液氢做燃烧剂。嗯，这是氢氧发动机，它的比冲比较大，我们一般用比冲来衡量这个比冲是什么意思？比冲就是呃呃比冲这个这个一时半会不太好解释啊。, Start Time: 1284280
Text: 比冲是一个，比如说是一个秒多少多少秒的一个单位啊，我觉得后边我就不提这个比冲，这个比冲越解释半天的太复杂了。对你可认为就是它比冲越高，它单位质量的燃料产生的这个推力力推力越大哦，描述效率对描述效率的一个跟质量和它的推力都有关系。啊，对，跟实际上跟它的化学反应就燃烧反应的效率有关系。, Start Time: 1314540
Text: 嗯，对，呃，所以说液氢液氧的这个比冲是最高的，但是它的推力可不一定是最大的。这个就是说这还是很复杂。对对，很复杂。它你看就是美国走的是固体火箭发动机，嗯，加液氢液氧，它液氧煤油。呃，实际上除过 f 一啊，那 f 一的土星五，当时 f 一比较成功以外，后边实际上没有特别好的发动机。, Start Time: 1339780
Text: 他后边原来宇宙神武吧，就是原来美国的火箭应该是宇宙神武，我记得还是买的那个俄罗斯的液体发动机哦， RD 幺八零非常好的一款发动机，可靠性非常高，推力也大哦。呃呃，讲个额外的故事啊，大家想清楚故事这个当时就是说它里边呃就是我这个燃烧让是喷出这些气体的温度，呃，, Start Time: 1366945
Text: 速度越高，推力越大。嗯，然后我实际上要在火箭发动机的燃烧室里边是这个液氧，就是燃烧剂跟氧化剂混合的，越充分也越好。对呃，美国呢为什么液氧没有没发展起来，它一直解决不好一个问题就是煤油燃烧会结焦。这个大家可以简单理解一下，就是它在燃烧室里燃烧，如果它混合的比例不够，, Start Time: 1394770
Text: 那么充分的它就结焦结焦在这个燃烧。但是呼燃燃烧还有个喷注器，呼在喷注器的周围哦，就是喷注机。你可以认为很多个小的那容嗯喷喷这种喷管喷喷儿对小喷管往外喷这种堵了以后一结胶它容易爆炸哦，这个问题它解决的一直不好啊。但是呢俄罗斯没这问题啊，就为什么俄罗斯没这问题啊？, Start Time: 1423230
Text: 呃，因为原来那个里海里海在呃里海实际上里海的东边东里里海的的海岸，嗯，有一个大家看地图能看到有个小角。对对，角那个小角叫巴库，有个地方叫巴库，属于阿塞拜疆的一个点，过去都是属于苏联的，是啊，那个地方产的煤油特别好哦，原料好啊，对，俄罗斯就纯度特别高。就俄罗斯过去的传说啊，, Start Time: 1448505
Text: 俄罗斯过去火箭发动机燃料都是从那个哦里海突出来一个角，那个地方叫巴库巴库那个地方产的煤油特别好，不会结掉。对，不不会结掉，这是是传啊，并不是技术问题，不是原料问题啊。对对对，当然技术技术这是这这后来船龙嘛，嗯但是技术也是一方面的问题，就是俄罗斯在那个技术方面确实有它的非常独到的地方。, Start Time: 1478410
Text: 嗯，比如它的喷喷管冷却呀，因为它燃烧起来呃温度非常高，嗯，嗯，就相当于是我一个喷管。你看咱们平常看到那个喷管，实际上里边都空心的。嗯，里边有二三百条，这种特别细的是二三百条特别细，这种管焊起来的哦，那管里边都通了那个液氢嗯，或者呃或者煤油哦，用来冷却的冷却，, Start Time: 1502690
Text: 这个管不然那个喷管很快就被烧化了。是是对，就是说实际上火箭发动机呃决定了这个咱们用输系统的性能啊，但是也确实非常复杂，嗯，确实非常复杂。就是这些部分其实特别金贵啊，特别是核心技术。核心技术就是说它的泵这边泵实际上一边是隔这端。对对对，是对，就是涡龙就跟咱那个增压涡龙一样的啊。, Start Time: 1529710
Text: 它是它里，当然温度特别高，温度比咱们高很多，是温度可能有一千三四度。涡龙这边哦，同时另一边是或者液氢液氧的温度是零下二三百对，二百多度，零下二百多度啊。我们说都说它中间只隔了非常薄的一部分哦，不出来隔着两端的对对对对对对，温度两端的温度隔的非常薄薄，最薄的地方可能也就两三毫米啊，, Start Time: 1558850
Text: 所以说这个东西都是我们都说一边是海水，真是的，一边是火焰。对，就是它就是说为什么它部个比较复杂了？嗯嗯，我们国家现在那个推力最大的应该就是长征五号火箭了。嗯，那我们长五的发动机用的是什么呢？长五的发动机星级是用的液氢液氧的，一发七七星级是中间那个中间那个中间那个用的是一发七七，, Start Time: 1585270
Text: 推力是五十吨。但是这个推力来说，呃，因为这个也是咱们国家第一款液氢液氧发动机。嗯，呃性能水平来说呢，确实跟国外还有差距。呃，因为国外国外最大的液氢液氧的发动机应该将近三百吨嘛，三百吨的推动。嗯，对，液氢氧有个环保，嗯，它烧出来的水嘛嗯比较环保，比较环保。嗯，, Start Time: 1611460
Text: 也就是咱们说的新一代的一个原因，我们用的都是环保环保的燃料，嗯，跟过去不一样。过去比如说我用的四氧化氮、偏二甲碱，这是常温的燃料。它不是低温的，但是它都是有毒的，都是有剧毒的。再拿新载火箭，从这个环保的角度啊都用了。对对，都用的环保的燃料。嗯，但是这个就给技术带来更大的挑战。, Start Time: 1635680
Text: 对，嗯，这个是就是液氢液氧的，然后呃助推呢用的是一发呃，一发一百，一发一百是液氧。煤油的发动机推力是一百二十度哦，相当于长五，实际上是用了每个助推上有两个，一发一百，再加两个，一呃一发七七，总共将近一千多栋。什么叫一发一百啊，它就是编号嘛哦一一液发液体发动机 YYF 是吧？, Start Time: 1661430
Text:  YF 一百和 YF 七七哦，所以叫液体发动机啊，对液体发动机这样啊，原来原来如此，液体好像是对液，对啊，还挺会记住的啊。对呃，而且其实我还有一个问题是好聊到发动机，就是呃因为这个发动机，那这么多发动机嘛，什么时候点火？然后哪个先点哪个后点火，就是这个整个的控制机制其实听起来特别复杂的是怎么实现的。, Start Time: 1693740
Text: 对，因为这个概念里感觉那火箭点火一瞬间之后不就腾空而起了。对，怎怎控制？然后但是飞行的时候，它有角度有姿态什么的。我我总感觉这一根棍儿靠着底下那几个喷嘴，似乎好像也不不太能调整自己的方向什么的，它也没有机翼之类的。呃，这个嗯这就说到咱们的第二个就火箭里边，, Start Time: 1721300
Text: 第二个核心是咱们的控制系统。嗯，第一个是发动机系统。第二，控制系统控制系统是整个火箭的大脑，嗯，它要控制。比如说我各个发动机推力的大小，甚至我推力的角度。嗯，在不同的时间段，比如起飞的时候，我这个推力都是朝下的，嗯，然后过一段我要转弯。对啊，转弯的时候，那我要调整喷管的角度啊，, Start Time: 1744680
Text: 这角度是能调的啊。对对，可调的啊嗯就看不出来，但是一直在动啊。对对对，大部分液体液体火箭的喷管，通过调整喷管的角度来调整推力的方向。哦，就是它喷出来那么高的温度下去啊，这个东西其实是可以动，可以动的，可以动的啊不可动。那你就这种细场体是很难控制的。嗯，呃就是，, Start Time: 1770460
Text: 这是咱们的第二个就是细统，是咱们的控制系统控制系统。实际上管业控制系统里边，包括跟咱手机一样，它里边有它的姿态、传感器啊、嗯嗯、速度、传感器啊、啊、加速度、传感器啊，这些角度、传感器一系列的一些传感器，呃，这都属于控制系统里边。实际上咱们的控制系统，比如这个我我要知道你这个在相对地球这个位置嗯，, Start Time: 1793530
Text: 对吧？位置，嗯，然后还要知道你本身这个脚步，嗯，那才能实现真人的功能。这里边都是非常非常精密的仪器，是咱们这个手机里边比比如这个比如说陀螺嘛，陀螺是陀螺不是测。实际上是通过测角度角速度来测角度的，嗯，这个可能就是成本可能就二三十块钱。嗯，但是火箭那一一个它就是主要的确保它这个姿态的这个敏感，, Start Time: 1821570
Text: 它姿态的这个传感器，姿态跟位置传感器可能都是上千万的哦，非常非常昂贵。对对对，这个也就是核心。因为我每次就是玩那坎巴拉太空计划的时候，它那个火箭入轨之前，你不是需要调整它的姿态吗？对，然后以确保你的飞行角度是是正确的，或者对地的相对位置正确。对，然后你就可以转那个火箭，, Start Time: 1853560
Text: 然后每次就特别好奇说是只能转，是为什么能转就没想明白。因为飞机它有机翼之类，它有那个空气动力的角度，它有那机翼变化，它可以调整方向。是啊对，所以火箭这个是靠喷管对的，这个细微的动态来调整的，是吧？它它有实际上有有大脑嘛，就是它的计算机嗯控制的计算机哦，它有它的作动器，, Start Time: 1877470
Text: 就是它里边有那个私服作动系统，就推它的推力是吧？同时呢它还有它的传感器，就敏感我的姿态的位置。这些参数很智能，是现在反馈控制的哦，整个闭环反馈控制这个事儿正好我还反控。然后火箭的发射流程是说我我要预先写好一套程序，然后它启动起来，它自己根据这个传感器自己计算，, Start Time: 1904510
Text: 还是说要地面的发射中心，再及时的去去手动控制的。嗯，它是程序控制的啊，就是像完全程序控制，对，完全程序控制。但是但是人有一些指令，他会发一些指令，它的级别比较高哦，当然大部分还是相当于事先要灌注到计算机里边。哦，明白。对对对等是。所以其实呃火箭发射这个过程中，, Start Time: 1928160
Text: 对信号传输会有一些压力吗？还是说这个需要解决。嗯，对，那个会有一些压力。就是说它你看火箭发射过程中整个环境都很复杂，是嗯电磁环境不像咱们对啊那个常规的这么稳定。所以说实际上对它的参数，这些火箭的遥测，这些参数实际上有带带宽限制还是比较大的。哦，对，不能像比如说咱们卫星上看着那个微信电视啊，, Start Time: 1954160
Text: 哦不可能是那样。对对对对，而且它所有弹是就是咱火箭上的这种呃火箭上的这种各种存储的嗯，嗯，或者上传，或者下下达的这种器件，都是有呃特殊的要求的。嗯，对他为了满足它在复杂环境下能可靠的使用，嗯，它实际上是可靠性跟稳定性，是有时候是第一位的性性能啊是往后放。嗯，, Start Time: 1983250
Text: 而且正好说到这里，我正好就想特别请老师聊一聊这个事儿。就是呃火箭发射的时候有一个发射的过程，对吧？所以倒计时啊什么的特别想聊聊，就是火箭在天上飞，然后它地面上是什么情况，或者说在那之前吧，从来我们就从那之前说过，就是火箭从发射之前我们站在地上的人和组织在干什么？, Start Time: 2011540
Text: 对，都需要干什么的，火箭在天上飞。大家实际上那就在在他的飞控中心，那大屏徐老师我特别好奇，就是就比如说我们看了一个大屏幕，然后就在地上看对，到底是到底那个时候在监控些哪些事，然后或者做了哪些准备。对我们这个火箭的测发系统都是从火箭上去接收箭遥，然后那个向火箭发送这个遥控指令，, Start Time: 2033060
Text: 对吧？嗯，呃遥控指令当然是高级别情况下，我们才需要用到。对，正常都是程序控制。嗯，那个我我我现在比较好奇的是，他那个测发系统在火箭的哪一部分应该是放在上面级，对吗？测发系统一般都在它在哪？仪器舱，就是仪器舱，那就是最后分离的那个控制。对，测发系统是遥测发射的。, Start Time: 2058560
Text: 对，就叫叫测量测呃测量和发射系统。嗯，你刚才还说了一个箭遥测，就是那那个火箭的遥测啊，火箭火箭遥测啊，说几个名词完全呃哦哦哦原来如是。嗯，所以就是发射过程中，比如说您这边在地面需要监控的时候呢，主要是飞行姿态是吧？呃，对，实际上我们这边接收到的接收到的火箭的数据基本上就是火箭的高度位置姿态。, Start Time: 2081820
Text: 然后火箭的各个那个呃各级的发动机的运行的情况。然后现在其实在发射火箭的过程中间，我们还能看到一些摄像机传回来的图像。对啊，现在的那个火箭的遥测的传输带宽已经有很大的提高了。所以我们是能够传输那个呃一些清晰度清晰度一般的这个视频的。啊，所以实际上我们在看火箭发射过程中，, Start Time: 2111070
Text: 以前的话，我们只能在在大屏上看到一些三维的这种影像，那就是做出来的模型。然后在这个呃大屏上看到，但是现在我们也能看到一些在火箭发射过程中间的实际的视频。嗯，但是实际上我们在工程实践当中，就是这些遥测的判别。舰舰上遥测的判别，它都会有对应的后面的应急预案哦。, Start Time: 2140510
Text: 啊，为什么我们每次发射之前都需要演练啊，演练的主要目的就是去演练。这些应急预案呢应急预案的套数可能一次发射能达到上千套。这样的应急预案案就一旦出现什么问题如何解决？对呃，其实上这个航天确实还是一个高风险的一个行业，是就是它的每一点每一个小点出问题，可能导致整个工程失败的呃这种几乎是百分之百的。, Start Time: 2164400
Text: 我感觉就是你比如说挑战者号当时出问题，嗯，它只是储箱储箱上那个密封圈儿啊泄露了。嗯，那就是你开整个就对导致失压了呀。就是漏了以后，因为它火箭，因为它烤着那个漏了以后直接流到发动机嘛，就爆炸了。然后对十三个宇航员，嗯，一直就是整个都是非常大的非常是非常大的一个损失。, Start Time: 2192950
