Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text: 能聊能聊了，能玩游戏了啊，有借口，有借口，有妈妈不好了了。对对对对，所以我呃呃呃她只能在旁边比较郁闷的看着我们有理由了。对对对，那您加入到这微软之后，呃，二十多年是吧？是是，那会儿您觉得微软是一个什么样的一个公司？因实际上蛮有意思啊啊，个九四年的时时候，呃，, Start Time: 349240
Text: 九四年底对，九四年呃，九四年进的微软，九四年实际上我去微软已经是大概九四年初呃，我是去做的实习，呃，在大学的时候去做了实习啊，实习完之后呢就直接进入微软。这个是九四年的六月份进入微软。嗯，啊那那个时候呢，大家如果上海的呃莫不不这个在美国啊，我在实际上我在美国总部待了十一年哦，, Start Time: 374160
Text: 然后才呃零五年回到了上海。嗯，对，然后在呃九四年，如果大家记得到那个时间点呢，实际上是蛮 interesting 的。就是说九四年的时候，微软有两个非常重要的一个产品，一个就是呃 window 九五。对啊，那 window 九五实际上当初是跨时代产品，跨时代产品就是整个用户体验等等方面做了非常非常的优秀。, Start Time: 398560
Text: 啊，那除了这个之外呢，当然在 IE 就是那个浏览器，浏览器上也做了相当大的一个功夫。啊，所以说那个时候呢倒反而是呃你会觉得实际上微软的一个起家更多的是一个以消费者用户为核心的嗯这样的一个操作系统。大大家如果看到那个浏览器啊，如果看到那个呃像 win 九五啊，, Start Time: 421760
Text: 实际上都是呃非常便利于消费者的这样的两款产品。是的，所以说当初的话实际上还是有蛮多啊，针对消费者当中大众用户的一系列的一个呃一个延伸的。嗯，那后来是因为什么机缘巧合去负责 x box 在中国的事物。嗯，我想嗯好多好多点吧，因为呃自己在呃微软既然做了这么多年啊，, Start Time: 445640
Text: 那微软公司呢自己还是有一些情节的，或者呃用我小孩子的话说自己被洗脑洗过了好多年啊，啊，对于微软的话还是呃非常非常的呃有个关注。呃，自软一个非常大的一个优势呢，就是说呃是一个呃呃现在应该可说说是被跨平台的一个公司啊。呃，然后另外一个呢就是又是跨界的一个公司呢，, Start Time: 471940
Text: 就是说除了一个商业用户之外，它实际上在费者这个领域当中啊，也深耕了很多年。嗯，啊那我在转这样一个位置的时候呢，因为一般的情况下，在做职业拓展的时候，我都会看一下有哪些地方就是候那微多多一些可能性吧，或者者有些新新领领域就是自己没有尝试。嗯，啊那实际上呃 x box 这样的一个机会呢也是蛮特殊啊，, Start Time: 496080
Text: 能够在中国就是这样的一个契机。关了十四年之后，我能够正式的进入到中国一个市场啊，我到那个时候接这个活的时候呢，还更多的是说哎怎样能够呃咱们的能够利用这个机会，把这样的一个业务，把更多的实际上啊把对就能够够到一一些验验或者一内容容能够带到中国来。啊，所以说那个时候能是呃非常希望能够在这个方面能够多做点事儿，, Start Time: 520050
Text: 能够更希希能够够更更接接近一些。其实我们也很好奇啊，就是你比如说就是微软 s box one，他打算进入中国市场的时候，嗯，就是咱们说总部或者说就是呃对，就是美国那边那边他们有没有什么期望，或者有没有什么，就是心里有没有底。嗯，对，就是这个东西打算进中国之后，, Start Time: 547450
Text: 对，毕竟十多年的的对对啊对，实际上每一次呃微软在任何一个领域当中做投入的时候，肯定会有一些期待值吧。呃这个这个是必须的啊。然后实际上如果大家看整个中国游戏市场的话，当然这个期待值是应该是非常高的啊，特别是啊如果大家看一系列今年的数据的话，呃，今年啊特别是在呃那个移动和呃端游上是吧？, Start Time: 567890
Text: 中国的的游产量基本呃对中国的产量基本上会超越呃就是美国的啊啊嗯那这样一个是非常重要的一个市场点啊，当然呃在整个呃市场分析的过程当中呢，大家看到所有现在呃在游戏方面，盈利的基本上是在呃手游和端游这一块。嗯，对，反反而呢跟些呃成熟熟家家比，或或者已经啊有在呃主机游戏的等方面已经发展的比较多的。, Start Time: 593560
Text: 大家可以看到，实际上这样的一个比率已经在切换。实际上大家在大屏屏上面的一些体验啊，它的一个产面的一蛮蛮高的那从这个领域来说的，就是两三年以前，微软总部在看中国这样一个机遇，就感觉一个它是一个游戏非常大的一个市场啊，一个是一个非常大用户量的一个市场。嗯，还有第三个就是在主机游戏或者大屏体验这一块是确实确确实实首先就会感觉有很多的一些机遇。, Start Time: 620320
Text: 嗯，对啊，所以说从呃当初做规划的时候的的确确对中国这个市场啊非常看好。嗯，但是美国总部或者说咱们中国微软这边是否对现有的一些大屏的用户有所了解？当时做没做一些调查或者什么之类的啊，也做过蛮多的一些分析啊，不过当然就是因为整个主机呃也缺了十四年吧。所以说有很多的一些数据呢实际上是不完善的啊，, Start Time: 648590
Text: 那有一些的数据呢更多的是呃借鉴在呃当初水货市场的一些认知。对，就是说呃在那个时间段啊，就是大家在玩些什么东西啊，然后当然在呃整个呃一个环境当中也稍微做了一些推算吧。就是从大家的一个呃有可承受的一个经济的力度啊，呃他们到底在玩些什么东西，是不是应该比较关注核心玩家，, Start Time: 675130
Text: 还是那个家庭玩家等等方面都做了一些呃都做了一些那个分析研究和分析吧。啊也稍微得出了一些结论。当然在整个一年多的一个运维当中呢，之前我们也在不断的一些习嗯呃怎样去推翻以前的一些定论啊，或者推翻以前的一些假设。然后有一些新的认知，对市场的认知啊，能够更好的推进整个业务的发展。, Start Time: 700600
Text: 其实您说的这个就是推翻一些假设或者推翻一些结论，特别有意思。就是有些时候就像您说的，就比如说一一些工作开展了将近一年之后的时候，可能会发现就是这一年之内积累的经验，就和之前自己的猜测完全不一样。您能不能举一两个例子，就是有哪方面您觉得就是现在发现和以前的猜想不一样啊，, Start Time: 723980
Text: 实际上呃有有几个点实际上是蛮有意思的。就是说呃一个点呢就是说的的确确呃认识到在国内的很多玩家实际上是基于呃整个多的一些讲论体验，或者一个 PC 这种互动体验。那手机的互动体验是比较呃核心在那个触控。对啊，那那个 PC 的互动体验更多是鼠标和键盘。对啊，那在这样的一个过程当中，, Start Time: 744560
Text: 它就是在用那个手柄操作的话，嗯，实际上还是有一定程度的一个过渡期，有门槛，有一个门槛。对，所以说在这个是对，所以说在这个这这一点呢，实际上也是蛮有意思的。就是说当初我们实际上有可能会认为呃，因为已经有水货市场的存在。那有可能大家对于啊一种主机的一个使用啊，, Start Time: 769250
Text: 或者一个熟悉程度，或者一个品牌的认知程度已经达到了一个高度，嗯，并不陌生啊，对实际上在这一年的运维当中下来呢，的确看到实际上在这个空在这个领域呢是有很多的壁垒空间的，就和一些那个呃限制啊，就是说其实还是要花一些功夫，怎样能够真正的去呃教育，或者整个带动啊，, Start Time: 788850
Text: 整个玩家对于电视游戏或者主机游戏的这种呃使用习惯啊，或者作品的一个认画质的要求啊等等一些要呃一些认知。然后在这个基础之上呢，实际上整体的呃主机的平台还是因为有内容来打造的对，那实际上现在因为有这十几年的那个空缺的话，那很多在主机上面的一些内容啊，就是在海外非常著名的一些品牌的话，, Start Time: 809900
Text: 反而在国内啊鲜为人知。明白啊，就算比方说像那个黑楼呃作为这么大牌的一个一种游戏的话，实际上在国内的一个认知呃，另认知度还是呃有待提高。对啊，所以说这一些呢都是呃对我们来说一些呃比较具体的。就是一年多下来之后看到的就是当初的一个设想跟现在的一个实际的情况，嗯，, Start Time: 835520
Text: 啊，还是有一定程度的一个呃区别的那在这个过程当中，怎样调整我们的市场战略或者一个内容的战略啊等等啊，都是多多少少有有所有所帮助。我觉得从玩家角度来说，这一年对于微软可能很多玩家不是特特别满意啊。从我们这个节目角度来说呢，我觉得可能我们也会提一些比较较锐的情情。, Start Time: 858000
Text: 因因为我觉得些些题题们们可能不避避。对，所以就是说刚才谢总也说这一年可能没有达到达当时的这个这个期望，就是当时所规划的这个期望。那这个就是我们说说刚开始发售的那个时候吧。对对，就是首发的时候，嗯，当时您觉得最大的困难是什么？因为我们发现首发几乎没有什么游戏，, Start Time: 879660
Text: 嗯，游戏相对比较游戏相对比较少。对，实际上呃怎么说呢？就说呃首发的时候的的确确遇到作为一个主机平台的话，刚刚也讲到就是内容是非常非常重要的。大家去买这一款游戏的时候啊的的确确呃游戏机的时候，大家也必然而然想要看到这上面的内容到底有多丰富。 right 啊，, Start Time: 901430
Text: 那在首发的时候呢，的的确确最大的一个挑战还是一个内容？嗯， k 那在这个方面呢，实际上我们已经呃我们实际上做过评估，那个时候也要做一些纠结点，就是是不是要发，还是要再等一下看一下，就是下面的一些内容到底是不是到位拍开了。呃，那反而让我们稍微看了一下，就是当初 boone 啊刚刚上线的时候，, Start Time: 922910
Text: 就是在全球上线的时候，实际上它的一个内容量呢跟我们在中国呃那个上线的时候，内容量差不多啊，有可能稍微多一丁点，不过不是一个量级的一个差别。 OK 啊。然后在这个过程当中呢的的确确有一到两款比较有代表性的那个呃商业大作。对啊，能够出现。所以说那个时候我们在上线的时候，, Start Time: 943740
Text: 就是以这个为考虑，而不是说一定要呃把这个量达到几百款、呃，几百款、几千款这样一个量级。不就就说怎怎样够够一些精选。然后在这个精选当中有一到两款比较重要的 trouble ay 能够让大家先关上手。对嗯啊所以说在当初这个环境当中呢，我感觉呃做这个战略呢呃因为有的时候也不能说对还是错，, Start Time: 965100
Text: 就是呃我们的的确确是做到了打破整个呃主机进入中国市场这样一个量级。呃，作为第一个呃品牌能够进入到这个市场当中去。嗯，嗯啊不过内容的的确确是一个比较重要的一个呃用户的反馈吧。对，因为我觉得可能对于这些就是坚守核心阵地的这些玩家们来说，他们可能等待这一天等了好长时间了。, Start Time: 987200
Text: 对对对，完了。对于玩家们来说，这是一个特别大的好事，就是因为十四年的这个禁令终于破除了嘛。对，但是说如果说就是国航嗯这一年看看，或者说我们首发的时候就看到其实能够进来的游戏也都是大家平时已经玩过的游戏。这个其实对于玩家来说是一个吸引力可能没那么大。对，就是就就没有国航，, Start Time: 1011290
Text: 对他们来说就没有那么大吸引力的一个点。但这个问题应该就是出在审批的这个环节，呃，实际上也是蛮有呃蛮有意思的。当然那个内容审批是呃内容审批的一些呃，就是具体的现实啊，啊，这个是在用到国内也是不可避免。对啊，我倒觉得呃整个在审批的流程过程当中啊几个点吧，一个点就是说呃政府的多多少少也都是还是蛮支持呃这个项目。, Start Time: 1032690
Text: 因为整体来说，大家都是蛮看好怎样能够把一个呃有创意为核心的这样一个产业，能够在国内带动起来。嗯，啊所以说多多少少的在这个方面都会有有所支持。特别是在呃怎样能够把审批流程做更多的一些简化啊，这样能够呃让审批流程更加啊啊对更效效率、更预熟境。嗯，啊我想这个玩家层面，, Start Time: 1062540
Text: 国家层面还是蛮支持的啊，这个呢这个方面我们也在跟那个具体的部门一起合作啊，这样能够去改善这样的一个环境啊，那还有还有一点呢，就是的的确确是很多那个主机的工作室。呃，怎样对国内的一些流程啊，有更多的这个一些熟悉。嗯，啊因为很多的话就是大家知道啊很多那个主机的作品实际上跟那个三 a 的像好莱坞的大作一样。, Start Time: 1085560
Text: 有的时候让他做修改的时候，或者事后做修改的时候，嗯，啊会有一定程度的难度的这个成本也会比较高。嗯，啊所以说我想啊这也是一个磨合的过程，跟工作一个磨合的过程。嗯，啊那呃就是像刚刚那个呃主持也稍微谈谈到这一点，就是说为什么国行的玩家，因为很多比方说像那个呃 hello 呃，, Start Time: 1111400
Text: 那个光环相关的手机，嗯，已经在呃海外十一月份就上市。对啊，实际上我们是晚了大概十个月啊啊，我上是呃国个月吧，我们是八月二月三号上市的啊，那是不是国内的玩家就不玩了啊，因为他已经因为已经是呃拿到过那个海外的版本。对啊，那我们在所有的数据当中看呢，倒反而是不是这不是这么回事儿哦。, Start Time: 1131870
Text: 啊，在那个国内的那个用户的使用量啊和呃用国际版的基本上差不多啊，实际上还是有蛮多的一些用户。呃，在呃我们的商城里面下载啊，买光碟啊在一起在国行上完。嗯，因为他实际上看到的一些东西呢，就是说实际上在呃国行上的一个推进，或者主在中国的主机的推进。实际上对于呃很多内容的本地化的一个更全面的完善，, Start Time: 1158370
Text: 也起到了一个推进的作用。啊，因为一般的情况下，实际上大家有可能知道，这也是呃整个 x box 平台上大家有待努力的一个领域。就是特别是在呃像呃中国大中华区的一些语言的支支持啊等等啊，以前有可能还是做的不够理想。那在这一块呢，我们也通过中国市场的一个需求的一个强劲啊，, Start Time: 1188180
Text: 也来推进啊整个本地化的一个呃节奏。实际上这一块呢，实际上我们还是呃感觉大家是有这样的一个需求的啊，对于像事官的合集、简中版啊、英脑等等，都是对他们来说是蛮重要的一个东西。对，但如果有配音的更好，对对，那配音这个东西呢大家有可能也是呃有待有待探讨啊。因为呃实际上这个也可以跟广大的听众也稍微分享一下，, Start Time: 1209540
Text: 或者甚至听听大家大家的一个呃意见啊，就是呃配音这件事呢实际上呃两边都有啊。对，实际上有百分之五十的人呢跟我们说一定要用中文呃去配音，找一个比较有名的一个配音呃，配音家帮你做配音啊，感觉这个比较接地气，大家听得懂。还有另外一波呢就是要配音。对，千万不要配音。, Start Time: 1238630
Text: 因为他就感觉就是说我看美剧就是应该看那个原汁原味的电影，从来不看中文原配音，对吧？字母都不不都都都大家都已经习惯了。那在这样一个情况下，就说哎我还是喜欢那个原汁原味的一个东西啊，所以说这个东西呢就是的的确确也在我们整体做本地化的过程当中，也作为一个借迁移作为一个考虑吧。, Start Time: 1260270
Text: 嗯，啊所以说不一定啊应了全面的那个呃声音的一个音脑配音的一个转变的。的确确是一个呃最重要的一个领域，反而是呃各个用户有所不同。当然呃这样一个选择是蛮好的。对，就是给用户一个选择，他如果能够啊一楼去做自己切换。对对对，呃，这也是一种可能性。对，那之前能不能问一些，, Start Time: 1279490
Text: 比如说像呃有哪些游戏是送审了，但是没过啊。对，因为我觉得这是一最大的坎儿，可能对于国内对内容来讲，呃，是这样呢，就是说呃我们进入中国市场的时候呢，也报了这样一个态度啊，就是说怎样能够跟呃政府跟紧密的合作一下看看，就是说他的一些那个呃审核的流程什么的。那不光是一个流程呢，, Start Time: 1303960
Text: 就是他的一个审核的要求求到底在哪一个点上。那这样的话，实际上这这是需要您去就是微软这边去审索了，还是他们有一定的这个比如说文本参照之类给到对呃国内的话呢，肯定会是有一些文本啊，实际上在呃 PC 游戏或者网络游戏上都会有一些竞技的一些东西。对对对，都会有一些规则啊，, Start Time: 1326100
Text: 不过这些规则呢都是呃就是比较呃指导性较啊，看看就得了。您这词用的特好啊，就比方说那个不能过于暴力了啊，也不不能那个在成文内容上面有过多的出路这种啊，但是具体对于实际上还是对对于像比方说那个社会道德等等方面啊，意识形态什么这对对对都会都会有一些呃那种指导性建议吧。, Start Time: 1346320
Text: 那呃这一块呢更多的是呃医疗工作室跟呃发发发行商以及政府机构之间的一个非常紧密的沟通。来看这些点到底是呃是切在什么地方吧？嗯，啊实际上在刚刚上线的时候的的确确有有呃，我记忆当中呃，起码有一款游戏吧，实际上还是蛮难操作的啊，蛮难操作的。因为在这几个方面呢，还是呃有一些挑战，, Start Time: 1376650
Text: 特别是在暴力，在那个意识形态啊等等，还是有一些啊有一些挑战。那在这个挑战的过程当中呢，到呃后期阶段来更作是呃，当然我们一直在讨论啊，到底是不是要继续送继续啊？嗯啊，因为送神也是很有很需要成时间成本。对对对，因为他打一个来回的话，还是呃特别是主机游戏啊，就像呃这个呢跟呃网游啊，, Start Time: 1404030
Text: 手游还是还有点不同。因为网游手游你稍微修改，甚至端游的话，你稍微修改一下啊，等像还是比较比较 OK，就是不是太难。不过主机游戏的话会比较困难一些，就是说它整个制作的成本，它的一个制作的一个方式啊，现在会导致它内容在改版的话很困困难，很困难。嗯，所以说一般打来回呢，, Start Time: 1430170
Text: 不是说因为政府拖政府反而是会给你非常快的一个信息。就是说哎啊在这几个方面有可能需要做修改啊，那反而是更多的是跟海外的工作室要区别比是说就是修改方方你怎么去修改，然后这个修改改怎样样去理解改，那反而呃啊就跟跟他们沟通一导相关部门的这个指导建议。对，然后用什么样的方式能够真正啊符合这些标准 OK。, Start Time: 1453280
Text: 然后在这个过程当中呢，要切合到就是你的那个修改的成本，到底是不是核算啊，就是还是蛮复杂的。这个这个沟通的不光是在跟政府府沟通，实际上上还是更多是在开发商做，是开发商和工作室的一个沟通。嗯，因为很多这些海外的工作室对于国内的一些情况不是太不了解。对啊，也从来没有做过这样的一些东西。, Start Time: 1479480
Text: 西微软还要去解读相关部门的这个指导建议。对，然后给于比发邮件说我们有几条指导性的建议，你得改一下，但人家改不了。对对对对对，所以说这一方面呢，就是也是一个也也是一个学习的过程吧。对嗯嗯，就是要去摸索这个审批相关部门这个。对，就像呃呃我我怎么举案例呢？就是因为我以前呃学过游泳啊，, Start Time: 1500010
Text: 我在用对呃待了蛮长时间。那我记得我第一次呃进入幼职的时候，自己不会有。嗯，啊，那怎么呢？那个教练把你丢在水呃，对，扔在水里扔水里，你自己去琢磨啊，他有的时候呢会有一根竹竿来拉你一下啊，这个怕太潮让你那个浮出水面，其实比喻太好了，然后继续让呃接着沉船去继继续继续去拼搏，, Start Time: 1523960
Text: 继继续啊。呃，我还是比较用那个正能量的一个位关，关键时候拉你吧。啊，对对，关键时刻拉你完要做一些那个方向性的指导，然后再来自己去悟，还还得自己去悟，还得自己去那个呃呃去解读啊一些东西。那呃我想这个这一块呢反而而我倒觉得会越来越多的明朗化一些。因为一旦主机游戏呃，, Start Time: 1547960
Text: 它起来的话，对于大家的一些规则大呃一些理解啊理解或者方式。因为也可以有呃情自自鉴吧，就是说哪些东西就以前做过了是可行的，有些问题没有做过是不可行的那然也会有更多的一些了解。嗯，那这样的一些情况呢，有可能会有利于以后的内容的发展吧。那这一年里就是微软学籍的这个代价，, Start Time: 1573390
Text: 有没有哪哪个是没有没有成功的对，这我们很好奇，对到底底哪些些呃你于内容容面面就比如送了什么，但是哪个最后确实是这样，呃，是这样，我们我们还是还算比较还算还算比较激灵的吧。就是说呃基本上我们的成功率还是在应该在百分之九十以上吧。啊就是呃还是那些不可能的，就干脆不送了，, Start Time: 1596680
Text: 还算琢磨的比较透一些。因为的的确确在最前的时候啊，已经有过一款，我刚刚讲过一款，我就不举具体的名字了。就是说呃有过一款，因为在呃暴力或者意识形态方面的的确确会呃没有符合国内的一些标准。那通过那一款的学习呢，实际上对后面的一系列的呃也做了一些印楼评估吧。啊说所以说成功成功的那个比率还是比较高的。, Start Time: 1623660
Text: 不过呢的的确确啊会有一些那个印楼学习吧，有些内容还是是啊还是需要更更更更呃更符合中国的这些实际的情况。但是其实我们觉得这个是两方面的。嗯，还有一方面就是有的时候我也会和好多这个就是比较关心这国行这方面的玩家去去聊这事儿。他们觉得就是一方面当然能过得越多越好。, Start Time: 1650120
Text: 但另一方面，可能他们也是希望有的时候能够逐渐的去摸索到一个。我也不能说是对，就是就像是规律这种东西吧。对对对对，然后同时也是能够保证通过的这些游戏的质量。对对，大家家希望望看到。对对对，实际上这一块呢，我倒觉得就是说嗯也不能说中国有多少的跟海外有多少区别。, Start Time: 1676130
Text: 嗯，因为你如果看呃拿日本来说，日本也有这样的一些规则。对，当有一些游戏的话，你是不能够在呃几岁以下在那那个消费者渠道里面去购买。对啊，在德国的话，大家对于比方说呃呃纳粹的一些内容的话也是非常的敏感，那么也会有具体的一些明文的规则啊，我想这一块的话，我想中国倒不一定是太特殊的一个国家，, Start Time: 1701750
Text: 实际上在各个国家都是有一些规则。对啊，更更重要的我想大家都在摸索的话，就是说这些规则在游戏的实践当中，到底应该啊有什么样的一些呃应用吧。呃，对应用就是怎样怎样真正能够符合这些规则。所以说我想这一年多的摸索，就是要把这些规则要稍微理清楚一些。怎样用一种案例的方式啊告诉开发商？, Start Time: 1731480
Text: 哎啊你如果呃过于暴力，比方说有稍微过于暴力，说呃过于暴力，不一定是说呃你打那个枪战的时候不见血啊，那不见水不真实。不过就是说是不是你如果一个雪的一个画面一定要渲染到你种十五秒钟、二十秒钟啊，过度的去渲染这样的一些一些东西的话，那反而是不正当的。嗯，对，就是说这些这一些规则呢，, Start Time: 1756420
Text: 就是说在这个时间过程当中会慢慢的悟导。那这样的话呢，这些反馈也可以给到那个游戏的开发商啊，让他们注意到这些这些细节啊，所以说这个呢也都是互相学习，互相了解一个过基本经验嘛。对对对对对，之前就是您刚才不是也说了嘛，说国航的用户其实买光环使馆掌合集的人也不少。, Start Time: 1781890
Text: 嗯，包括我们自己在一些网站啊论坛也看到了不少玩家去买这个东西。但实际上我们是个觉得啊，如果说这个游戏能够早一点的话，嗯，可能更多的人愿意去。对对对，这个肯定是的。因为实际上我一直会呃，我想这个大家应该了解到肯定是一个过程啊。因为你如果拿那个好莱坞电影作为一个呃前列的话，, Start Time: 1802130
Text: 对啊，那实际上呃很久以前呃真正好莱坞电影上市的时候，肯定会有时间差的。不过你会越来越多的看到现在的一些好莱坞大片的话，基本上没有时间差，就两两两。有有的时候甚至在国内内首首发。没错。对对对，那这样的一个形成，主要是我想几个方面。一个是当然它的一个审核机制的一个更多的一些完善。, Start Time: 1825670
Text: 嗯，还有另外一个呢，就是当这个市场的的确确达到一个高度的时候，那呃好莱坞的制作商啊有可能会有更大的动力啊，能够把很多本地化或者跟国内审批有关的东西，能够提前在它整个研发的过程当中能够呃做先完成。啊，对，实际上这一块呢，实际上跟市场也是很有关系很有关系的。然后这一块呢，, Start Time: 1845840
Text: 实际上我们也在跟广大的工作室在交交流为第第一。你如果看呃前十二二月月我们刚刚执行下来的一个呃一个一个一个学习点。就是很多的游戏是因为已经有了，我们在做一个修改。第二次修改，第二次修改。而不说在这款系的游戏在制作的过程当中，已经把中文已经把那个跟比方说审核核有关的一些思路，, Start Time: 1867900
Text: 先准备好去嗯啊那个这个呢在 PC 上的，现在已经形成。比方说像那个魔兽世界啊、英雄联盟啊等等，已经做的非非的优优了。就是中国是他们的大事上。对，就在他们一个研发的过程当中，已经把中国的元素已经切入进去了。我想这一点呢会在主机游戏啊那那个工作室当中你会看到越来越多啊，, Start Time: 1892010
Text: 当大家认知到这个市场的一个重要性的话，嗯，啊，这也是我们在积极推进的一个过程。从一个本地化以及它啊这样能够把本地化的元素在研发的流程当中能够更靠前。嗯，啊这样的话都可以促使啊，就是这款游戏能够尽量的在国内上市的时间跟海外上市的时间啊，他的那个事情上缩短或者是么一步。, Start Time: 1912330
Text: 因为我们最近好像总会喜欢拿这个电影行业跟这个游戏行业做一下比较。因为好像看到国内电影行业现在发展的越来越好。对对，因为他一开始也是跟游戏一样，是一个就是要等很长时间，有长长时间在发展。还有另外一点呢，实际上你最近也是蛮有意思。因为你看得到越来越多电影和游戏之间的一些互动互动啊，, Start Time: 1933375
Text: 对对，甚至至很多跟那度和激情对期的激情。呃，那个 universal 呃，他们这样交流的过程当中，他们非常期望有这样的一个互动啊，就是在他们上映的时候，这样能够把游戏呃或者就是呃你 know 前段时间还是有呃，除了这个之外，还有另外一些案例。比方说我们在跟那个 NBA 台啊 MMBA 的话，, Start Time: 1954230
Text: 就是说呃或者那个 NFL 就是美呃美式橄榄橄榄球。那美式橄榄球的话，我们现在在 x port 上有一个非常好的一个作品，就是 madden 啊等对对， mamamanon on 二零幺五。那那 winon on 二零幺五的话，就是他们非常希望的就是他在中国的的个个橄榄球的路演当中啊，, Start Time: 1976830
Text: 就能够把这样的一些呃游戏的元素融呃切入进来。甚至怎样能够通过游戏呃来让大家玩更多的虚拟的啊这样的像技事美式橄榄啊，然后从中能够呃培养一些可能性的那个职业的啊美式橄榄球呃球员。这就这也是就像我们呃前段时间呃，利用那个呃极速竞技啊、极限竞速啊、极极限竞速啊、极限竞速跟那个呃大众啊一起做了一个合作。, Start Time: 1995420
Text: 就是通过极限竞速啊，能够培养一个呃专业的赛车手啊，会通关。然后他就是呃展示他的一些基本的能力。在呃再通过他的一些那个呃物理体型方面印了那个呃身体素质方面的一些培训，能够让他呃完成他的职业赛车选手这样一个梦想。嗯，啊那这些东西呢就会你你会看到越来越多一些跨界的一个呃那到跨界的一个应用啊，, Start Time: 2029200
Text: 或者一个配合，或者一些应要走向市场的一些动作。那这样的话呢也会更多的去推进啊这一款游戏。在第一时间怎样能够跟全球同步。因为很多这样的合作是全球范围的一些合作啊，也是有这样的一些需求，这个跟电影之间的一些关系是能够穿得上。对，包括之前那个谍舞，好像里边也有 boboss 的身影。, Start Time: 2056830
