Text: 忽然间中手未来的东伤，哎，后来的都在嘿嘿嘿嘿，后来的走。 but the body was nice， the party was pumpping。大家好，欢迎收听最近一期常规节目新闻。大家好，我是大家，我是莫比我我是吴头，他第哈英秀。对，这期节目有点像那个我们那期喝酒喝酒活吧，, Start Time: 300
Text: 你知道吗？然后问 movie 说你干嘛？然后摸摸 movie 自己还在转，他是这样没发现，因为我不知道那个他那个浪特别大嘛，不是，然后那个我我就在我在我还在努力的控制我那个方向，我操这他妈得走出去嘛，然们说抛锚的时候我根本没听见，然后我一直在那控制，然后过会儿就听他们在摇水，, Start Time: 271880
Text: 然后我那直在我旁边说我怎么去看见比一直直那转那个后那个那转动呢，说船已经停了，你转转不么转鸡毛呢，然后我才发现太傻逼了。在而且还有一个，就我昨天因为我昨天第一次玩就是玩，可能太兴奋了，你知道吗？就在那个桅杆上面那个瞭望的那个位置，然后也不是怎么着说那个娜地亚说快，, Start Time: 294440
Text: 咱们咱们下来那个啊，说下来那个船漏了，咱们下来那个弄一下那个补一下船吧。我说来了，我就跳跳，我直接跳下来啊，然后就绝了。我也没给你们示过这个游戏，真的是，但是你看他们俩没玩过，一脸懵逼，就是尴尬的事儿。对对对，哎，我问一个问题啊，这游戏也可以，最多几人玩四个，, Start Time: 320400
Text: 四个就富人合作吧，说一个是一块大副本吗？还是跟人没没什么副本嘛，就是去做任务什么的，寻宝寻宝探险类了。对对，但是你时不时就会遇见别的人玩家的船，他们说也跟你找一些同样的宝藏吗？不他，但他知道你船上有宝藏啊，想叫宝藏，不想抢抢啊。对对啊，是挺劲劲思。对对对，, Start Time: 346250
Text: 但是就不聊了啊。对，尴尬尬。然后还是聊一些就是生活当中发生了尴尬的事。可以可以。对，开始不但是都比较劲爆的，对不不知道该谁说，说起来说的那行，来头开始吧。那就说一个今天早上刚刚发生的事，特别牛逼。对，就是我我最近不是二三平台招招人，是是，然后现在还找一特别合适的啊，, Start Time: 367490
Text: 可能大家举投简历那个，然后就是今天我早上约的一个十一点的那个人过来面试啊。然后我就他来早了，十点半他就到了，是，然后我就边还没到，还没到呢嘛，然后我就过来，就我就来办公室。我这一看一般面试，我们在会议室等着呢嘛，然后会议室灯给亮着，把东西一放，场上灯亮着看我。, Start Time: 390390
Text: 然后我一看里边人这聊着呢，我说我一谁聊着呢？我然后我怎天还照相，我说哎这怎么就我一般是我我先灭，然后说怎么先聊上了，然后我就想着没多想想，因为直接进会议室没多想，我一推门，然后就说哎呦，你怎么天聊上我，我就特自然对然后面上了。当时我还跟我一个非常重要的合作伙伴，, Start Time: 409880
Text: 我们中俩合作伙伴正在进行一些商谈。对，然后这时候突然先无头，就场着晚上就进来了。然后当时我们俩都停止了，打断了我们的说话，然后跟我们说了几句，我们都没有听懂的话，说怎么先聊上了，然后来就就我怎么先聊着，然后我们俩当时就震惊了，然后然后就然后吴头也没明白呢，, Start Time: 430500
Text: 然后还开着门在那插着盯着，我们俩说怎么先聊着吧。然后然后我这时候突然反应过来哦，我老师面试，然嗯然后我就问，然后我说这，然后我就我有点反应过来，我说怎么真的不对？我说哦，对不起对不起你，然后根紧门一关，然后我就我就在旁边，我我录音室就我就不好好你好像一看旁边那面试的人一脸懵逼的，, Start Time: 459570
Text: 感觉，很尴尬，很尴尬。呃，然后我就跑步名室，然后调着大巴开始开正式面试。就感觉一般这种尴尬之后，你会不会觉得这个稍微出了一点汗，然后这个对对对，我现在都出汗了。想想想，觉得面红而赤极其尴尬，难忘的一天，是操难忘的一天，最尴尬开始。对，确实震惊了。就现在印在我脑海里最清晰的画面，, Start Time: 482430
Text: 就是木头进来之后的那个神态有水面了。从从一开始这个奇怪到慢慢反应过来的尴尬，勉强笑笑，然后赶你出去。嗯，对，剧中可以。嗯，那我说一个个啊，我说的都是我原来在地铁上班的时候的事。嗯，啊但是这个呢就是就两年前我不是还上班的嘛。对，是，然后那会儿老那个现现在不上班，, Start Time: 507250
Text: 现在不上班，现不上班的那会儿老上夜班啊，然后下夜班的时候那个特别疲惫，然后就想那个就是说赶紧回家睡觉什么的啊，但是有时候得需要一个东西吧，然后让我做那个睡眠啊，啊，跟我有关系事啊嗯和非非有关系啊，啊，就是原来特特别使使那某个著名的网盘。嗯，然后，但是这个东西呢，, Start Time: 533550
Text: 其实是可以一起用的。对对，因为五秒就啊就是因为可以那个共享，你知道吗？就是我可以登录账号，然后你那边登录账号的话，你会把我挤下去，现在不上班的嘛。对端对，就是但是只能有一个人在线，但是它可能同时，但是它特别的好，因为是上班的，所以就只能一个人在用。是是是，, Start Time: 559470
Text: 但是它特别的好，使你任何的网上的这个链接什么的，你下来他都给你快速的把它给你反应过来。对，然后你就可以在可以在线看啊，我下一包的时候就是非常的疲惫，然后就想看一些这个是吧？很是是是祝你听说过祝你睡眠的这个这个东西嘛。但是正当我下一包早上九点的时候，打开看的时候，, Start Time: 578360
Text: 然后突然发现照下的 moipad 就是其实登录就是正在开心的时候，突然看不了赵夏的 imac。你不说这个事件之后啊，告诉大家，不要共享网盘，不要共不要不要把自个的资源共享出来，共享出来也可以，不要我要把自己电脑起名名去了。那个真名，你的本名的电脑的名称啊，, Start Time: 602380
Text: 然后就我就后来就时差过于一样了。对，后来就截图，然后给赵夏，我说这个怎么回事儿，他说问怎回事儿，截图。对对，他笑着给我发一大家笑的表情了，好像说说那个我用完了，你使吧，我用完很牛逼，太可怕了，很尴尬。这是我觉得虽然没有见面，但是在网上发生一件非常尴尬的事事儿。, Start Time: 630540
Text: 嗯，脑时候画面过于丰富了，是两人其实本来都都不再不没见见。对，没见面都都是一些奇妙的事动跟自儿的家里的床上的对吧？嗯，对对，但但在线上居然发生这么尴尬的事儿，太尴尬太尴尬了，我能再说一尴尬的事儿。对，还是在我地上上班的时候啊，因为我们原来不是倒班制吗？地铁都没什么关系，, Start Time: 658240
Text: 我觉得地下完全没关系，但这个其实很有关系啊嗯就是我们那会不是倒班班嘛？对，然后有时候就是周日，有时候也值班的时候，但是就是就工作就是很轻松。但是但那个你不关系系啊，我们一般的做法就是你如果出如果出事儿现赶过去，然后也来得及啊。然后就在某一个礼拜的周日，我就没去，, Start Time: 680920
Text: 对，我们大地都上班。其其实但是这事给葡多人查找啊，后来在那个四点快要下班的时候，我心想说，今儿这一天肯定拿下了。然后因为我五点下班嘛，但我还在自个儿家呢，你知道吗？对，然后忽然太烦，我本来我觉得今儿这一天肯定拿下了，因为我从四点多一个地方都没有，对吧？嗯，, Start Time: 702680
Text: 然后在四点半的时候，我突然领导给我来一电话，我一下子慌了，你知道吗？听着这个语气，感受到了当时的心情。对，就是如此恐惧恐慌班。我说捉接电话来了，我靠，就是就就这感觉你知道吗？然后我就是那个四点半了，然后因为我平时说话也有点结巴，你知道吗？但是我那次是在电话里疯狂的接巴，, Start Time: 723860
Text: 疯狂的接巴，你知道就是一个字，就是他跟我说，因为我其实我都想好了。如果说是领导给我来一电话，我怎么想？我编我编我就说辞，我好给他挡回去，我就我都想好，都可以说这这你是不是越想好越结巴呀？但这事儿其实很完美，你知道吗？对对，其实就是越想好越想巴。但是这事儿我出我本身就特别的慌，, Start Time: 749770
Text: 因为犯错了，因为我本身就是犯错了。然后他给我打一电话，但我正好把这段词说出来，疯狂的结巴，就这一个字儿，我死狂说我。对对对对对对对对，然后领导说那个，然后领导就听傻了，你知道吗？他说你等会儿，他说说么么听傻了，他也没有，就是给我拆，就也没拆穿。我说你干嘛来着是吧？, Start Time: 772070
Text: 他没打断断，他没有打断，没有有打断，我打不断你。他停了，他停了一秒钟，他说啊他也那个什么，那你就接着干，那就接着干什么，对吧？对他就接着说一下，他没另也长，但是我就疯狂的说那一个字，我说那个我待会儿我滚滚滚滚滚滚滚滚，特别特别傻逼。我我领导可能也懵了，你还给人滚滚滚滚滚滚对，, Start Time: 797360
Text: 滚滚滚滚滚滚滚，然后把手过去，到时候我到时候就是就是不就是过不去啊，然后对，给领导说累了，不想听了。领导领导说，领导说他他说请我吃肉啊，然后就过去了。然后反正第二天好像在讲白班的时候困，然后也没提夜茬，就互相点个头这样啊挺挺傻逼的，反正就挺同情你。领导导操听了了，, Start Time: 823080
Text: 听听累了了，就听听了一个时时听听了一句话，听了一个字，听了一个字儿。嗯哎呀，还有什么呀，哪里要说一个我来啊，嗯你就你们有过那种就是去去唱歌，去唱 KTV 进错我房间的经历，听着听你说的，我遇见过一个别人进到我这了。对对，待会可以分享。对对，就是有一回上大学应该是，, Start Time: 848350
Text: 然后就跟那个同学什么的，然后一块去去唱歌，然后唱歌时候就喝就喝点酒什么的嘛。因为其其实唱歌之前吃饭什么的，就已经经在酒酒了。然后唱歌歌时候就就稍微有点喝多了那种感觉。后来呢，我说那个我去上个所所，然后出去上完厕所回来，然后然后突然发现我我忘了那个屋是哪个屋了。, Start Time: 878190
Text: 对，然后但虽然我当时兜里有手机，但是我病想不起来说，问一下是哪个屋是。然后我当就大概找着我出来那个路线就往回走，然后看了一个屋，然后就当时因为喝的比较多嘛，然后就也视线比较模糊，就对，就是脑没有深思熟虑，你脑子。对，就是脑子也不太好好使了，当时就然后就看一个屋，, Start Time: 902220
Text: 好像里边有好多人就感觉像，然后就进去了。进之后呢就坐沙发上了。嗯，这个最想心的就是坐下去把自己融入去进去后就坐沙发上了。然后之后就听他们那儿唱歌嘛，然后然后还听，然后就当是切了嘛。对对，当时我什么都没想，我觉得就是他们还在那儿唱歌呢呢，然后然后之后还是傻了之后，, Start Time: 925040
Text: 然后之后我我就把手机拿着就看手机嘛，然后过会儿，然后边上突然坐了一人，就是到后来我才知道，就是那个人也喝多了呀。然后之后就那人就问我什么时候画，然后就当时我忘了他问的是什么了，然后我跟他聊，就是我不是坐那了吗？然后我边边又坐了一个人，他问你什么，他就问什什么，, Start Time: 950170
Text: 我完了，然后然后然后然后就聊了，就感觉得聊了得有四五句话，就是然后聊还特别开心的，然后然后然后互相都不认识，然后然后后来就聊嘛，然后聊聊就之后他们那个唱歌也唱完了，然后然后说那个大家一块喝一个，然后然后然后此时只能起飞了。然后然后然后之后就就就是那个大家都站起来了嘛，, Start Time: 972430
Text: 然后然后然后当时我特傻逼，然后我还就特大声说说我没有酒啊，然后然后尴尬了这么着，然后就不知道谁，反正是给了我一瓶酒，然后然后说一干杯，然后就干就干杯的时候，我突然就看了一下周围所有人，然后就瞬间就清醒了，就一个都不认识。对对对对，更不说是谁相想多尴尬。但是就是大家这个在兴头上我也不好意思，, Start Time: 999780
Text: 突然打断，然后就喝了一口，然后就假装就干杯，然后喝了点儿，然后就赶紧走了。然后然后就喝完之后就又坐那嘛，然后然后然后然后然后坐那，然后着之后我坐那之后，然后边上那人要要来找我聊天，然后然后但是我当时就已经比较清醒了，然后我跟他说，我先去趟厕所，你先等等会儿，, Start Time: 1032600
Text: 我然后就走了，赶紧去另外一个回到自眼的房间了。哇，真太吓人，就当时就感觉就了十几分钟嘛。对，就是你喝多时候，你就老觉得你的视线是偏低的，就是说对对对，不会往上看。对对，就不会往上看。然后就一开始觉得特别正常，然后直到干杯那一个瞬间。对，所以就来请我，我再想象一下，, Start Time: 1052060
Text: 奉劝大家都起来了。但是我遇见过跟你一样的人，我就是那个基本上是陪你聊天。其实我当时我在厦门的时候，那个 KTV 包厢不是绕圈嘛，然后你进门之后，就是离你最近那个座，嗯，然就坐在那个地儿，你知道吧？嗯，然后我们巨近那一块儿，然后肯定也有那种认识不认识的。然然后这个时候大家又特嗨，, Start Time: 1074890
Text: 然后唱歌，然后还有那个就是摇那些啊沙锤什么的那些，然后一块玩玩特高兴。然后这个时候特牛逼，我们我桌子前面放了一个那沙锤啊，就是进来一大哥，就是那种四十多岁的那种大哥。然后还有点秃顶，中年油腻大就穿那种夹克，就是那种特商务那个啊，然后直接就进来了，然后就冲着我啊，, Start Time: 1098700
Text: 然后坐我腿上了，我去跪上了。我当时也有点喝多了，我就没反应过来。这个为什么坐我腿上，然后他都他都不看我。然后他可能以为不是人，他以为那是个座儿，觉得你坐我腿，然后就从我从我桌子前面拿那个纱车，就跟着摇，就跟着那一起摇，然后巨高兴，然后就往下蹲我。然后这个时候我旁边的也反应过来说，, Start Time: 1119160
Text: 这他妈谁呀，这个是不是？然后我说大哥你谁呀？然后大哥就突然间反应过来了，对不起，对不起对不？我觉得你坐腿上那事儿太胡逼了，把你当坐了。我觉得你 ndia 的蒙娜蒂 a 这个还可以理解，直接坐一腿上。对，直接就坐这腿上了。他跟就他和他朋友也坐人腿上，对我都听了了然因为傻傻逼事太多了，, Start Time: 1149470
Text: 太尴尬尬啊啊，这个喝酒一定要适度，千万不要坐出这样特别尴尬的事情。对，嗯，开始回味无穷。对，哎，你们这些都太他妈劲爆了，操你说微缓缓，我觉得我这些尴尬的事儿都太他妈普通了，稍微缓缓缓缓缓缓。呃，其实吧我觉得就是就是我我这个平时小尴尬的事还挺挺的，是因因为老听你说各种好尴对剧逗的。, Start Time: 1173850
Text: 然后当你这个尴尬的事儿多的时候，就自己就不觉得尴尬了，这是最牛逼的，你知道吗？就不会不会往心里去，甚至的嗯，然后就反而就会说那个当你说其实尴尴尬的图片，我们想不起来有什么特别尴尬的事儿。嗯，就我呃我可以讲一两个啊，比如说有就是我有一个经常就是犯的一个尴尬的事，, Start Time: 1201700
Text: 嗯，就是忘拉裤门不是我吗？对方来出门啊，有好几种原因，你知道吗？嗯，就是一般是当我穿那种就是是系绳的裤子的时候啊，嗯然后系绳啊，对系绳的系绳，系绳的裤子，它有的有的是有库门，然后还系绳呢啊，然后我就就忽略了。对，我就上完厕所直接绳儿一系就走了。你知道吗？然后呃还有一种就是那个牛仔裤，, Start Time: 1222920
Text: 它是有有六个扣啊啊这种。嗯，有时候就是那个着急的时候，就直接把上上最上面那扣一系，然后腰带一扎，嗯，然后下面扣就不管了，特别通风。然后呃我觉得就有一次比较尴尬啊，就是在十号线的时候，嗯，嗯，就是十号线大家都知道比较挤。嗯，然后早早上上班还是早上班的时候，就特人特别多。, Start Time: 1251650
Text: 是，那时候我是在呃万通中心上班，嗯，啊，就是那个在高门呃，对，就是万通中心，达达中心，万通中心就那个金台西照呼家楼那一带，就那两个站。然后我是从望京上车，就是一直是到了从望京呃，那天我背包地铁嘛，对地地铁嘛背包穿是是刚春天跟现在季节还差不多，背一个那个也是挎包，, Start Time: 1276470
Text: 然后东西比较多嘛。嗯，当你人人特别挤，然后我我的座位是那个前面是那个横排的对面，然后我是站在他们的对面啊，然后就后面都是人嘛，然后就两个手都是把着把它上去，然后把在上面，嗯，然后这个包在后面也不行，就是人走来来来回回的走吧，放放前头。对，然后怕怕怕呀。对啊，, Start Time: 1305180
Text: 然后就就放前头，然后就导致我这个两个手啊一直在上面，然后我也看不见我下面什么情况，一直这样，因为特别挤，你知道吧？啊，那个我下面是那个一个妈妈抱小孩儿啊，然后那个挺劲爆的。对，然后就老老把那小孩子那个脑袋往那边拨呀。我说这妈妈怎么这么对孩子，然后那个怎么那么对多一挤人的时候，, Start Time: 1327540
Text: 我我后面人音起舞，你知道吗？我也不由自主的就往前冲，很尴尬，特别特别傻逼。然后等我出来之后，出来之后，你知道吗？正好有那个有一个是呃镜子还是什么的啊，还是一个什么玻璃还什么的，看见了。然后我就看了一下自己啊，照了一下这个这个仪表上班之前有没有再看了一下，然后发现我操大敞开儿，, Start Time: 1360390
Text: 大敞开太傻逼了，而且是那种什么呀，腰带还系着。然后我知道底下是钢全是叫片方片儿，方片儿，我都快当了起来了。瞬瞬间什么都明白了，就他妈傻逼。我当时从脸儿脸从脸从耳朵根开始红，然后脖子开始红，然后脸刷一下全红了。我操哦，太傻逼了。方片儿片片，对对我这个但这个真是呃太不好，, Start Time: 1391180
Text: 太不好改了，你知道吗？对，但还是得改改。对，还是得改一。对对，其还有一次我讲个别的吧，就是呃我我我之前在在深圳啊，嗯嗯，我朋友带我去那个深圳眼镜城啊，配过眼镜，知道吧？特牛逼，当时就专挑那贵牌子，什么那个雷红纽约那个叫就叫叫 m 打头，那叫什么来着？没事，, Start Time: 1423580
Text: 到时候给你补充啊。对，一个纽约的牌子，一个就是专门做那种板材，手做眼镜的一个牌子。那个那个眼镜应该是在你正品的话，应该是两三千左右。嗯，对，然后在那儿呢，就是一百八，嗯，算是静派两百四，就牛家园这种的呗。对对，眼镜头，然时我觉得配配了一个，然后我朋友说那个这款是他想要，, Start Time: 1449860
Text: 然后远程让我给代购了一个吹牛逼，嗯，然后就戴的特别好，然后也没什么毛病，然后戴了有一年多吧，嗯有戴到什么时候结束了呢？是有一次也是跟朋友吃饭，喝完酒，然后那个晚上应该是两三点了，在望京我们找吃的。嗯，就是那个时候好像二十四小时营业的饭店，就麦当劳啊，然后拉面嗯，, Start Time: 1474890
Text: 马兰拉面，嗯，然后我们就去马兰拉面了，然后真的是喝挺多的，然后那个迷迷糊糊的吃，那个面面都干了，你知道吗？他都我头还能在这吃呢。嗯，呃有没有？当时也是特别高兴，就就喝喝多特别高兴，聊什么什么呢就乐了啊，笑笑的那个就前仰这样前仰后合的。然后我一低头，我说面条里什么鸡巴玩意儿，, Start Time: 1502410
Text: 我一看一个黑色的一长的眼镜腿儿知道，然后我那眼镜另一半在那，那在脸上挂着特傻逼。然后我说这怎么办啊？那眼镜腿怎么掉下来了，然后找发现那螺丝就没了，你知道吗吗？就不知道什么时候这螺丝蹦飞了啊。对，然后我就把那个眼镜腿啊又放到那个那个眼那个深槽里，对眼镜那槽里卡上之后接着带回去了。, Start Time: 1529155
Text: 那这种这种当众这种出现这种状况，我也遇到过有两次就是一次啊，是那个中学的时候不知道记不记不记得，说过了节目太多了，就跟我后面那个女同学聊天，你知道吧？中学的时候脸上那青春痘特别了，满脸都是，然后就是那种白的大的那种特别多。然后我就跟他说，什么也是跟魔鬼似的笑狂笑，, Start Time: 1560710
Text: 然后啪啪然笑笑，然后我脑袋袋正中间间脑袋就是我这时候就听见一股暖流，自己那个震动能传到耳朵里，感觉到那嘣的一个一股暖流，然后是脑袋正中第三只鹰，这这东西就开眼了，你知道吗？然后那女同学就当时那个从大笑瞬间变成了那种巨奇怪的感觉，就是极其惊恐。脸上都是是吧？, Start Time: 1583220
Text: 没有没崩，在脸上就那么大压力，因为脸牛逼了。对，因为不是挤的，然后就就一直流，然后巨恶那白的什么那种感么巨恶心。对对，然后还有一次也是跟人，就是一个特正经的人，就是也是谈一些什么正经事儿吧。然后那个我耳屎特多，你知道晚晚上虽然聊着聊着天儿吧，你就感觉到这自己的耳朵里突然叭掉出来什么东西，, Start Time: 1610800
Text: 你能感觉到这个东西很大，但是你那眼睛不能往那儿看，你知道吗？就有一感觉一一东西吧嗒掉的见不了天方，但是你不能往这看，因为当时你明显发现对方的睛睛撇了眼，当是保持一个保持一个严肃的气氛，毕竟你俩没那么熟，要是咱们掉，我就说什话掉了，然后你的你自己的眼睛睛就特别尴尬了，, Start Time: 1639390
Text: 就尴尬，然后就是不知道该怎么办好了，智齿这也太大了。二二二屎，这可以这个新陈代谢好了，太好了。对，嗯，舞蹈有吗？我就说一就是可能这个老的就比较老的那个以前听说二的人可能听过啊，然后你们就再说一遍，就是我就是以前不在国外留学嘛，然后美国的安检是基本上就是比幺幺之后巨言无比对鞋全脱皮带，, Start Time: 1663720
Text: 全东泡全摘什么的，特别给你家扒光了，放进去那种就是巨言。然后有一次就是我去安检就回国，就是这个男的嘛，对吧？就是你也聊过，就是就会带生这个脚是吗？卫生用品就卫生用品啊，这个保证自己计生用品，计生用生生学嘛啊也不算计生用品吧，反正就是用品，就就是这个飞机杯嘛，, Start Time: 1689700
Text: 那飞飞机那种就是反正叫娱乐乐品。对，就 tertainment。对，但我还不是 tga 那种啊，就是 tga 那种，他是比较正常的，就正反个桶你也看不出来啥。你喜欢外发活，我是那种肉色的，你知道吗？啊，就那种就软软的正模模拟出那种人人的啊。行行行，我我知道知道了，, Start Time: 1712080
Text: 反正反正那样。对，但反正叫女朋友，不不不听你那那个你放在自己书包里了，我放在自己箱子里了啊，空运不就行了吗？对啊，但你托运你也得先过。第一道我就就就就啊不是我确实是过的，安检那个我托运是有托运的那这个反正我就正常带着嘛，因为我就我回国的时候也不带特别多东西，, Start Time: 1731660
Text: 就飞机也也太好使，就就飞这个左右，反正就飞机也用用下下，太没有了，飞飞时间挺长的，然后反正我就随身就塞我包里里嘛嘛，就就就过关过那个 x 光机，然后我就先过去了，然后我人过去了。然后过去之后呢，这个这个机场不就那种带手套，是安检大妈吗？对，然后大妈就就一个个过过到我这的时候，, Start Time: 1749530
Text: 后面那人突然说哎，就举个手啊，我说这我包咋了，是我带水了，还是带什么呢？结果呢这个大妈就过来这个，说你把这个开一下，然后我就那行，我开吧。我当当时当时我还没意识到我带了我这玩意儿，还带上面呢，大庭广众。对，然后我就然后我就打开了，我打一打开，我操，然后在旁边就是大妈看，, Start Time: 1772550
Text: 大妈也不能不让人看啊，非常可疑，这可疑，这就不能这么这样。然后美国又一牙啪啦，拿枪给我毙了什么的，然后我我就没办法，慢慢又打开，慢慢又打开了。然后打开之后呢，大妈就说我得翻翻，有什么奇怪东西嘛，她就开始翻就好。好巧不巧他真给翻出来了。然后最牛逼的就是他翻出来之后给拿出来了，, Start Time: 1795600
Text: 给拿出来，这拿出来还不算牛逼，就是就是他。然后他问这个我这是什么东西奇吗？对，然后我也不好，我也我就妈妈妈也没见过他，可能真的不知道，可能一开始没反应过来，你知道吗？就是一般腾尬不都是正常那种嘛，他可能就不打开了。然后我这个比较形状，比较这个奇特。对，那我特别想知道你怎么回答他呢？, Start Time: 1814560
Text: 你就听我，我就反而就和和说，就就就就这说我也我也不知道我说什么，就是我我都忘了。就当时你就人在特别特别尴尬的时候，会选择性的忘记一部分自己的记忆。对对，我已经忘了自己当时说的是什么，但是好像说的就是什么 method 杯杯啊，什么什么什么这样，然后大妈好像他就反应过来了。, Start Time: 1835760
Text: 然后他他当时呢，因为你知道安检的东西，他是要查你有没有藏东西，在是对后他也不好，然后我都看傻了，然后掏了掏，然后他 OK，然后给我，然后他就和我笑了笑，就就善意的大妈的笑。然然后然后我现在还没没忘记记那个小声候，然后然后就给我放回去了，然后赶紧关上之后，然后我就走了。, Start Time: 1853320
Text: 永生难忘。后来你还用过吗？有用了可以可以，太脏了，太脏了，脏脏了。嗯，可以可以可以可以，太尴尬了。大哥嗯嗯，太劲爆了，都是我来说一个嗯，我来说一个是上高中时候的，你们怎么都这么劲爆感，感觉我自己准备别太脏啊。不不不不，嗯，也一点都不脏。这个是上高中时候，那时候有一段时间骑车上大学。, Start Time: 1879130
Text: 然后当时我因为就是在上课老特别闹，然后被掉到前面去了。嗯，然后前面的都是女生，所以我同桌也是一个女生。然后反正我现在不知道这个女生在干嘛，就反正听节目呢，就反正就是当时那个女生，我觉得就是属于那种就是挺可爱挺逗的那种。对，然后后来有天我放学回家就骑车要出校门嘛，, Start Time: 1904750
Text: 然后这个就正好看那个女生从边上过去，然后我跟她说说那个我我送你去地铁站啊，就因为骑地铁站可能大概也就五分钟差不多。然后她特高兴就同意了。你知道女生大部分坐自行车后座的时候是侧着坐嘛，对对吧？因为她不可能像男生那样跨着坐，是，所以所以她侧着坐，然后就腿在某一边吧。, Start Time: 1931420
Text: 对，嗯，可能是然后容易侧。对，然后当时就骑车出去，出校门的时候呢，要拐弯校门，前面有一个墩子，然后就我我不知道就是就是有好处吗？对对对，就是那种大的那种墩子嘛，对，防止车过的那种。对对对，嗯，然后我然后我就要骑车，从那个自行车穿那个穿过去，穿过去，然后穿过去，, Start Time: 1955840
Text: 同时呢还要拐弯。嗯，因为它前面有那栅栏。嗯，对，然后什么意操，我能想到咋回事啊，且真他妈惨啊。我当时我当时就在那骑嘛，然后就刚过那墩的时候，我突然觉得车震了一下，然后我怀疑是我车拐了那墩子了。然后但是我当时就力挽狂澜，然后然后车也没有倒，就直接骑过去了。嗯，, Start Time: 1977880
