Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text: 居民保护废土土。首先对利昂在年轻的时候，他是个什么样的人？他就是一个坚信。我们应该把科技给予人，我们应该拯救别人，要不然我们拿着科技就没有意义，还是这样一个经验。但这个理念很快就是兄弟会内部的一些人产生了一些矛盾。对对对，然后这些人就开排挤他，然后利昂也觉得很不高兴。, Start Time: 904140
Text: 然后他就自自自告，奋勇的说，我要去去东边去看科技，对我要去开拓，我要去拓荒，我去开拓。对，那总部的人一听这么个刺头要走了，当然很高兴。而且你走到你带人走那个利昂在利昂在离开那个兄弟会本部的时候，已经是圣骑士的这样一个级别了。嗯，对，然后利昂带着他的人就走。, Start Time: 922080
Text: 这个时候利昂其实他还是坚持着兄弟归线，我不要保持警惕，不要过于的分享技术。这个候他还是一个算是一个相对而言比较标准的身体式。但是一切就他的观念改变，就改变在匹兹堡啊，对他的对他的所有人在匹兹堡在呃屠杀了很多的人，最后却发现自己到底来干什么。这究竟是兄弟会在救人还是杀人的人？, Start Time: 941040
Text: 就是实际上实际上他陷入了一个道德困境，嗯，就是我秉承的正义的观点。但是我所做的事情和我的观点并不是一样相悖相悖。那同样的为救件事来对对对，同样的事情就是说 NCR 在苦权战又经历了一次嗯，对我为救人而来，留下一剂尸体而去。对，这个是非常悲惨的事情。对，然后他这个这个利昂他就非常的就是头，, Start Time: 964700
Text: 他就一直在思考，你究竟自己是干什么。很快利昂就决定一件事情，不能在按者西海岸兄弟会那么去做，这样的话，自己兄弟会绝对要完蛋。对，永远发展不下去。但是这个他谈他同行的另一个歧视呢，就不同意他的观点。同行的这个事情是坚坚定，认为科技流落到游民手，只会导致人类会再一次毁灭。, Start Time: 987140
Text: 嗯嗯，双方为这个理念呢爆发一次冲突发生的小规模战争，最后他们就分裂了。这就是利昂兄弟会和兄和西海总总的一一个面。嗯嗯，然就就是呃，利昂在反他实际上等于说是破旧出户这样一个情况。那然后他把他这个兄弟会的 logo 的修改了，嗯，做了一个反向的这个镜像。嗯，对啊，, Start Time: 1006090
Text: 反过来了。对对对，然后利昂坚定的认为自己所做的一切才能够拯救他。然而我们在福尔三里面看到利昂扮演的总是一个非常慈祥很正派的一个一一个一个角色。对，就是包括说是执行净水计划，然后对抗英格雷，以及就是说其他的一些那个实实际上他是在用有限资源尽量去帮助废土上其他的居民。, Start Time: 1027990
Text: 包括说净水计划实现之后，嗯，啊你可以看到就是说在那个就是纪念馆前面有源源不断的送水的队伍，嗯，啊送到废土人各个定居点。嗯，啊呃然后列昂他是这样一个人，所以说就就决定了整个福射三故事呢，他就是一个正派。所以你看他这个呃嗯国外的一些玩家，老板利昂的兄弟会叫叫钢铁攻击会，, Start Time: 1050270
Text: 钢铁攻击会。这确实很有这个特征，是真的，兄弟会对，然后这是其实第一次分裂，这还不是第二次分裂，第二次分裂什么时候呢？就是在这个兄弟会在呃击败了呃，教主之后，又和兄和他和兄弟会和 NCR 联合起来去攻打，就英克雷英英克。因因为已经被主角打怕了，打趴了，所以他们跟并没有那个更多的精力去和这两边打仗，, Start Time: 1072450
Text: 他们就跑。英克雷又逃跑了，嗯，逃跑之后就产生了。就是我们说兄弟会一个非常重要的事件，就是他和 NCR 产生战争。这个我们在后面会讲到和恩 c 牙那个部分讲到。在这场战争结束之后，兄弟会战败了战败。兄弟会之后，内部又产生了分裂，这个与其说是分裂，不是说更加精英化。, Start Time: 1095610
Text: 兄弟会内部产生了一个组织叫核心圈。嗯， circof steel 啊，然后 circle steel 了，就几个兄弟会的长老合在一起，他们所做的一切秘密的决议，其他人兄弟会人都不知道，变成战样又封闭了。那么就是这一次的大分裂是实际上导致了兄弟会从根本的理念上都产生了动摇。, Start Time: 1111850
Text: 对，所以在整个呃在新的福尔修加斯，我们可以看到兄弟会的形象就变得不再那么震派了。对，缩缩一那种地方。对对对对对对，从从从那之后，我就不太喜欢兄弟会。其实以前玩 CR 的时候，还是真是挺喜欢兄弟，会对很崇拜。实际上对新维加斯的兄弟会只是后来兄弟会的一个缩影。, Start Time: 1129910
Text: 因为我们做的范布伦的设定，这部设定已经确实被任何一个阵势，对个兄弟会确实战败了，而整个西海的兄弟会都是这个状态。嗯，对，以被根塞尔击击溃击败之后呢，他们就分散在各个地方，缩在地堡里搞一些恐怖袭击。嗯，就变成这样的一群人。呃，实际上是两个方面，你可以了解到这个兄弟会在二次分裂之后的一个就是呃新维斯首的状态。, Start Time: 1149860
Text: 一个是是维维尼卡卡，就是维问尼卡。对对，在新维加斯里的队友，他的你去跟他谈话，他会谈到很多他小时候的一个生活状态。嗯，啊，包括你进入兄弟会帝堡。如果你能友善进入的话，对，那么和里边人谈话可以感受到他们那种敌意嗯啊这样一种情况。这是就是在游戏过程中，你能体验到的兄弟会的劣化或者是非化化化。, Start Time: 1172500
Text: 对，另一个来源是一款没有发售的作品，就是我们辐射极端辐射极端这款作品。那么在这个里边呢，兄弟开始的时候，就是说他也是一个战略战略作品。嗯，那么在开始的时候呢，玩家的小队是为兄弟会作战的。嗯，那慢慢会发现兄弟会本身他的目标，或者说他的野心已经变得和原来他们不一样，, Start Time: 1192820
Text: 样中不不一样，而且就是和他们要打倒的对方是差不多的啊，这样一个情况，那么慢慢的就变成了和兄弟会之间的对抗啊，这款作品是没有发售，也是因为盘子化太大大。但是从这个战略吧。对对对，但是从这个世界观的设定来讲的话，就虽然脑洞开的大也可以看出这个就是游戏发展的一个倾向。, Start Time: 1216580
Text: 对啊，就是把兄弟会黑化。对对对，就是是对黑化。当一个势力，当一个势力或者说当一个组织拥有过于强大的力力的时候候，他将不可避免的滑落深深渊。这一个情况对伊卡洛斯下对嗯下一个登场的势力呢就在这严格的说是 NCR 嗯，呃就是说新新加利福加共和国这个贴吧的网友非常戏谑完成的农村人，, Start Time: 1234040
Text: 农村人人。但我特别喜欢这次辐射那个集合，做那个 t 恤，还有新加州共和国的那个双头熊的国籍，大家把它叫做农村人或脑残人。农村人之所以说他们农村人的就是这帮人，真的来自一个真的是农村人。对对对，就是沙鹰村嗯是沙鹰镇。嗯，对，舍地散这个村庄，就是是一群废土上的幸存者建立的村庄。, Start Time: 1258560
Text: 嗯，他们最早都是靠放放双头牛养双头牛，放双头牛，卖双头牛肉为生的一个村庄。这个村庄呢早双头牛是也是辐村里面重要的一个食物来源。对，辐射之后异异牛有两个脑袋。对，两个脑袋袋后呢，他们们受受这个歹徒心之苦苦。最后呢他们被不涉涉的的主角救了。嗯，怎就慢慢的这个小村庄，, Start Time: 1281840
Text: 因为呃救了之后，和互相周围的市造贸易越来越发展，越越来越庞大。怎么就变成一个庞大的国家，叫做新加利福尼亚共和国。但是这个新加州共和国其实是真实存在过。在美国历史上，对曾经正在在美国历史上曾经真实存在过。嗯，对呃，那么就是实际上那个 c tiscience 沙因村啊，, Start Time: 1305040
Text: 他们的最早的来源是从十五号避难所里边逃出来的一些人。嗯，啊他们就是最早的祖先也是原生的避难所居民啊，啊只不过是就是从避难所里跑出的，其他人呢都变成了匪帮。嗯，那各种各样的匪，只有他们就是进行贸贸易或进行畜牧牧的人对对，正经的农民。对对，他就是说走正号，就是他们慢慢的把村落发展成市镇，, Start Time: 1324800
Text: 又把市镇发展成国家。嗯，那新加州共和国在美国历史上也是一个真实存在的。这个包括就是小政权，对，非常短暂。那么包括说今天你看到的这 NN 第二的旗帜啊，他也是原来的新加洲州旗。对，那只不过是把单头熊改成双头熊。对对对，然而这个新加州就是 NCR 呢，这个势力呢它其实在辐射几步里面，, Start Time: 1350360
Text: 就是一直是被主角帮助到最后辐射。新维加四的时候，他已经是全废土上最强大的势力，没有之一。对对对对，包括新维加四的封面，那也是 NCR 的一个一个骑兵游骑兵。对对， NCR 他最后已经就是他的在新维加四。我们也知道他经过多年的这个发展，包括击败了兄弟会统一的加州，, Start Time: 1374460
Text: 他的加州的国内甚至都已经开始恢复到了战前的一个文化水平。他是怎么这个这个成长起来的这么这么对他是怎么成长起来非常有的。在辐射一的时候，他受到了主角的帮助。主角后后来慢慢的通了，把这些互相之间的，包括垃圾阵 pub 镇在这几个镇中间的呃主角所做的很多事情，把这几个镇子都活跃了起来。, Start Time: 1394660
Text: 嗯，后慢慢的的呃沙镇镇和这几个镇子开始互相之间做贸易，嗯，做贸易。做到最后呢，沙英镇的人就开始建议说我们应该联合起来，最会就建立了一个国家。就是实际上他们最开始是一个城市联合体的这样一个状态。对，到了辐射二里的时候呢，这个加 NC 二已经把南加州给统一了。, Start Time: 1417030
Text: 嗯，南加州已经彻底被他们统一了。嗯，这个时候在辐射二里面，加州共和国就已经非常厉害了。他们有自己的军队，呃，自己的有士力，他们还有他们甚至自己的部队们，还有变种人作为作为他们士兵。哎，对对，是的，那个包括就是如果在辐射二里，你在 NCR 附近旅行的话，那么你可有机会碰到就是 NCR 的巡逻部队，, Start Time: 1435830
Text: 那穿的都是战斗装甲，然后手里拿的基本都是战斗雷福枪，这样的就是发展的非常强的武器。快乐然。对对对对对，他的士兵有僵尸，有变种人有人类，他是一个比较开明的。可以说 NCR 的发展理念就有点像真正美国，就现在的美国那一套。对，他是带着一个拓荒痕迹的这样一个概念。, Start Time: 1456940
Text: 对，嗯呃然后就发展这么强大，构成很复杂，谁都可以来我们这儿。对，到了辐射。二、最后呢 NCR 和呃这个英克雷开战，把英克雷给击败了。把英克雷击败之后呢，后来 NCR 慢慢也接受了大量英克雷的技术，然后自身也变为发展越来越强大。组织变成了统一整个加州，变成了这个辐射世界观的最强大的一个组织。, Start Time: 1475400
Text: 嗯，他们有数百万的人口，有将近快近万人的军队，这个在对起来是非常强悍的。呃，他们这个军队的维持力也是蛮强的。但就是虽然说他们技术力方面和 n 和英格雷可能是还有一个距离很大，就是距离蛮大，距离很大。就按照技技术等级来讲的话，应该是英格雷大于兄弟会对，是对大于 NCR。, Start Time: 1496440
Text: 对，是这样的一个程度。但是呢他们能够维持万人的常备军，嗯，就是专业士兵。对，这个就是战斗力也非常强。嗯，他们的领袖是谁呀？嗯，他们的领袖就是他们的总统，嗯， NCR 的总统还是一样是普选制。但是当然后来我们在新维加斯，你知道实际上他跟现在的美国一样，总统都是来自于大农场主国，, Start Time: 1519490
Text: 他是一个门大这样的一个状态。对，嗯，还是跟现在的美国一样，都是要大家族的人才能成为总统。尤其是在这个呃新维维斯斯区里面介绍了。你就会发现这个 NCR 已经变得跟现在的美国社会非常相近。他们有很多议员可能来自某个黑帮某个黑社会。对对对，来来某个来种势力做大农场。, Start Time: 1538290
Text: 就是你在企业的对，就是你在新维加斯里边看到的这批人呢，就是虽然是政治的一批人，他们是职业政客，嗯，就尤其特别典型的 kimbbol 就是金宝总统。嗯，啊他本身来讲就是说坐直升机耀武扬威来发表一个形式上的演讲，然后然后你还要避免他被刺杀，然后他他又逃跑了。类似于这样一个情况，, Start Time: 1557670
Text: 你会发现他们的议员有的是农场主，有的是军火公司的老大，嗯，就是这样成变成这样的一个文明。当时我们说这样的文明，呃，就刚才我们也讲，当一个势力发展的程度之后的腐朽的东西肯定会慢慢的体现出来。但是尽管如此， NCR 在整个故事里面表现出的还是个相对比较开明状。, Start Time: 1578735
Text: 呃呃，他就是严肃的来讲的话， NCR 代表着就是一个理想的社会状态不完美不完美，但是始终有一个前进的动力。那么现实有包容性，有包容性，就好比说是一代的时候 n 掌握还是沙阴村嗯是一个村落。嗯，在二代的时候他已经控制的南加州。那这时候上层的政治斗争就出现了。, Start Time: 1598250
Text: 嗯，就比如说坦地和那个副总统威斯汀之间的这样一个一个一个一个政治斗争。对，那么是核心观念，还是在于就是说谁掌握更多的权利，谁掌握更多的资源这样的一个情况。对对，它很像当前美国的社会状态态是社包容，是个状状态。对对，呃，因为我们知道美国这个国家呢，他美国人就现在我们现实中，, Start Time: 1617850
Text: 美国人都是对爱国有一些很独特的思思维方式。嗯，所以很多美国玩家对 NCR 这个势力还是抱着非常多的好感，嗯，很喜欢这个势力。但是目前这视力呃有关这个 NC 加的势力，其实我们可以后面在战争部分会在提及。然后我们现在应该在讲究下一个登场的事例。嗯，对，下一个登场的势例就是银克雷。, Start Time: 1639450
Text: 对，必须是英克雷唯一一个战前就已经存在的势力。对对对，银克雷真的是太强大了，他在每次登场来说都是一种非常强悍压制性的一种恐种形象，恐怖恐怖气息。对，就天空一声巨响，老的闪亮登场的这个因为带着飞鸟来嘛。对，带着飞鸟来没有见过那种那么牛逼的未来科技的知业。其实你仔细想想，, Start Time: 1659780
Text: 就是说把那个人类文明倒退一千年，你看到一样，飞鸟简直就是神对，他一定就是神。对，而且尤其是在核爆之后，很多那避难所里出生的小孩。对，那没有见过这个，比如说那些角角，对吧？没有见过之前的世界什么样，其实是飞鸟。我当时是傻，其实是这样的，就是说避难所里出生人还好。, Start Time: 1681510
Text: 因为他有可能就是说借助潜在的知识积累。嗯，然后媒体比方说光碟啊、幻灯啊这些东西，知道知道有什么东西，人类可以飞。对，那么对就是说说核战之后，在废土生存的土著土人。对哦，一般的飞包，那看到之后，当然跪在地上都尿出来了。对，就就震惊了。对，在这个辐射二里面有一段对激光武器，, Start Time: 1699790
Text: 就是英克雷登场的拿能量武器，对着能量武器的叙述。就是说呃在在呃西里诺有个包打听，就是那样的一个角色哦，那个是打听。对在处女学生触女皆生的迈尔斯。嗯，对他在给你讲述这些激光武器，说你看到沙二瓦多家族的人从口袋里掏出一个东西，一道光线过去人就会斩成两截。对对对对，, Start Time: 1720450
Text: 他就不是说这些东西都来自一个神秘的势力给他们的。对对，英克雷就是又神秘又强大的一种教像，就像的玩家面前在辐射二大玩家。第一次见到英克雷的时候，英格雷就是啊拿着七二轮机枪屠杀平民，或者说是巨型的动力装甲变种人。这个大 boss 在你面前杀掉一些平民，竟是这种那个场景，, Start Time: 1743320
Text: 是一个就是必经的场景。就是玩家那个走出那个阿罗油之后呢，你会看到那个法兰克和瑞根带着两个穿重穿动力装甲的人，然后杀掉。对，杀掉就是从杀掉，杀掉从哪楼逃出来的平民。对，嗯，一家三口，还有小孩端着火神机枪，这是一个。对对，这是一个强制性的这样一个事件。那目的也是让你明白，, Start Time: 1765560
Text: 就是在废土上有这么强大的势力存在。对对对，然后那那时候并不知道你那时候并不知道这帮人是谁呀，太可怕了好吗？对，老还还拿拿毛呢。嗯，有关英克雷，我们上一期其实讲的已经很多了。对对，我这里最后就简单说英克雷呢，他在这个游戏里，我们知道他战前政府在辐射二和辐射三里面，, Start Time: 1786540
Text: 他都是一种以反派的形式出现的。对，都是坏人，就是政府阴谋论的一个具象化的一个代表。也就是说那个事事实上都是这些人在操纵恶势力。对对对对，但是在新维加斯里这个几个制作人开始洗白，他们。对对，就是。而且洗白的还不只是西海岸的雄英格雷。东海岸的英格雷也洗白，他洗的是全体英格雷，, Start Time: 1806100
Text: 因为是等于说是你从纳瓦罗逃出来的话，那么纳瓦罗逃出来。英格雷残余的势力是分散在废土的各个部分。嗯，对，你会发现很多士兵，他们其实并不赞同英英克雷总观观点。对对对，但他们是士兵中间在尤其在新维加斯里面一个士兵，说句话，我是士兵，我能怎么做？对对对，就是他们他们在维加斯的时候，, Start Time: 1831060
