Text: 嗯，追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机和宝加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了，你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 3250
Text: 很多地方都用，就包括咱们之前聊的那个安利的那个那个 darkest darark ase 那个自然地方。对，这个里面他就有就有这个就是支配者这个概念。嗯，其实这个这个这个游戏就直接就是一个克苏鲁游戏。咱们可以直接就看到它里面一些图腾啊，包括一些这个形象的借鉴。, Start Time: 356100
Text: 他这个这些神他是有一个什么样的关系呢？就是说这个外神其实应该算是这个克苏鲁体系中就知名度最高最强的这些神。嗯，这个外神里面他们再往再往后面又分出来一个就是就是支配者，然后还有就是股神，还有地球本来的神。这里面其实最弱的巨多种的级别的有一百多种，就是一百多个神，, Start Time: 372840
Text: 然后还不算他们他们旗下的那些就是眷族这种生物，这个圈族，这个生物，咱们到时候现在可以提一下。因为在游戏中也出现了，就像亚密达拉的圈族之类的这种设定。嗯，这个眷族这个概念是是怎么来呢？就是说在这个洛夫克拉夫的这个体系中，有很多这种刺激的这种怪。比如说就是像他说的这个深浅者，, Start Time: 396470
Text: 咱们一会儿也会聊到跟血缘故事背景各对我我个人觉得非常有关的这么一个设定。嗯，还有就是说他之前说的什么这个尤格斯的真菌这些嗯这些东西其实都是神的一种一种就是极端崇拜这个神，然后被这个神所就是也不能说是控制，就是完全听命于这个神那种感觉，走火入魔。对对对，就已经信信邪教的那种感觉。, Start Time: 418570
Text: 然后这些生物呢又是比人类强大的多的多的，他们的甚至这种生物构造，就是按照洛夫克拉夫的人的说的那种都是在当时解剖学，看来是根本不可思议不可能的这种这种结构。比如说他描述了一种叫这个伟大种族伊斯的这么一种怪。嗯哎，对对对，他这个怪就是说他本身身形是一个像三角形一样的，, Start Time: 441770
Text: 像圆圆锥体，不是圆锥体啊，他对他脑子顶上长出来三三处这个复肢一样的东西，然后上面有一处有这个感官器官，剩下的有这种带触手一样东西。就是其实这个在生物学上来讲根本解释不通。对啊，然后但是这个他能解释。对，但是他就是洛克拉夫特他本人，他牛逼就牛逼。在他通过一系列的这种故事，, Start Time: 465890
Text: 嗯，把他对于这种未知的这种未知的这种生物，或者说是这种宇宙级别的这种嗯强权的这种恐惧表现了出来。其实这些神并没有对人是抱有恶意的，只不过是他们为什么就是永远是危险的。是因为他们根本就不觉得你人是个东西很重要的东西。他就像咱们看蚂蚁似的，咱们不会因为碾死一只蚂蚁而有罪恶感。, Start Time: 485050
Text: 对对对，而洛夫克拉夫可能我们看不见的细菌也一样。洛夫卡夫在体系里面，这些股神对人类也是这样一个态度。嗯，他并不会因为就是干掉我们而有任何不爽。嗯，甚至有些有些股神他设定上都是嗜血的，嗯，就是就这本身就是一个混沌很混沌的一个状态。而且洛夫卡夫特这个设定中有一个非常有意思的东西，, Start Time: 508170
Text: 也跟咱们血缘，也跟包括咱们之前提那个黑暗地牢呀，包括无光之海这些游戏有关系的，就是他这个里面的这种这种神这种超超物质的这种存在。一旦被人类直接的观看到，嗯，或者说是被人类接触到他们的图腾，嗯，一般的人都会直接疯掉，直接就完蛋了，就一般都是直接疯非风即死。所以说这些人这些神是不可被直视的，, Start Time: 529760
Text: 就游戏里的狂暴嘛。对对，有有有点类似于这个游戏里面这个灵视这个灵识，对游戏他设定这个这么这么一个零噬。其实我个人感觉可能就是因为就是制作人洪清高他们这个团队。可能他们当时在考虑的就是如果你这个人没有零视的话，你直视这些东西，嗯，包括你后面直视雅密达拉这些卷族，, Start Time: 556510
Text: 这些股神这些东西，你会直接直接 GG 了，你就直接 gamoover moover 了。对对，但是你一旦你的零视积累到足够的程度，因为他这个零视的来源就是这个疯狂的学识，就是古人的这个疯狂学史，对吧？嗯嗯，还有还有什么狂的知识识狂狂的知识，还有我们古神的主神的智慧。, Start Time: 575170
Text: 对对，这些东西一旦你你把它吸收进去之后，就相当于你你能掌握了一个基础的承载能力，就是对这些股神这种这种这种超超物质存在这种承载能力。你可以看他，你可以跟他可以去看。对你可以你可以发现他了。嗯，因因为所以亚迪达拉就是血缘的时候才能看。对，去血月之后啊，包括你零食高到一定程度你才能看到。, Start Time: 592630
Text: 所以我觉得这个其实就是血缘跟洛夫克拉夫特这个世界观有有非常紧密的联系。对，因为咱们不能直接把这个血缘归作，是克鲁苏的体系下克苏鲁对科鲁鲁体系的体系产。对，但是咱们可以就是把他直接就是说成他绝对是个洛夫克拉夫特式的一个一个产物，一个产物。那宫崎应高看来可能对这个洛夫克拉夫特有着非常深刻的了解或者是喜爱。, Start Time: 614840
Text: 对我觉得肯定是多多少少受这些影响啊。因为你像这个像，包括包括我可能我小时候也会也会多多少少看一些这些东西，就是让我比较深刻的印象，比较深刻的有一些作品也非常非常巧合的。我找到了就是血缘的这些跟这个这些作品有关的这个事儿。比如说咱们可以现在先简单的提一下，一个叫做因斯茅斯的这个小镇的阴影。, Start Time: 639880
Text: 嗯嗯，这个这个这个东西咱们后面会说，还有另另一一个是这个叫洛威恐恐怖件件。这个东西讲的就是跟咱们游戏主线非常有关的，就是人神沟壑。你知道哦，然后产下产下这些就是不该存在的这种东西。嗯，所以说所以说就是说咱们可以看出这个这个血缘，咱们跟这个宫崎英高应该说是受到这个洛夫克拉夫特影响，, Start Time: 663090
Text: 非常深深深。嗯，所以说咱们就是最大的源头，应该就是洛世的这位恐怖的。咱们要分析这个游戏，就不得不提洛夫克拉夫特这个人对那曼教授正好来介绍介绍洛夫克拉夫特和宫崎麟高，他们之间有什么？对，也提一提就是这个洛世这个体系诞生时的那个世界背景，为什么会有这么一东西？, Start Time: 688210
Text: 对，行行行行，就就是你要理解就是洛夫克拉夫特，他是就可以就是他出身于这个维多利亚时代末期了。嗯，然后他出生在美国，然后他这个他人小时候特别有意思，就是在于他的这个家庭可以说是基本上他绝对不是不是出生在一个特别幸福的家庭，就是他的家庭中间就是我我们刚才不是说嘛，, Start Time: 705750
Text: 他父亲有一次在出去推销东西的时候，精神失常了。嗯，然后就是说他然后他之后他在然后就送到精神病院去之后呢，他就只能跟他这个母亲，还有他两个姨妈，还有跟他这个姥爷，就是他外公住一块儿，那他就是那他小小时候他小时候他就体现出了这种非常非常出色这种种文学这种感觉。, Start Time: 726720
Text: 嗯，三岁开始就就就可以背诵诗歌，这因为这个东西不是不是，咱们像咱们中国，因为咱们中国什么，就是家长会为了炫耀孩子，什么会让你小时候背唐诗？你也不知道他是自己小时候就完完全自己有兴趣什么，有对他自己有兴趣有天赋，他没有人会去逼他去这么做，但他他有这种天赋，然后六岁的时候他自己已经会写诗了，, Start Time: 749580
Text: 然后他外公就特别喜欢给他讲故事，而且他外公有的时候还会讲他一些恐怖故事是吗？嗯，对，哥词是小说，讲哥哥是小说，然后他母亲就特别不满意，因为他觉得他就是他母亲已经是特别不兴趣，因为他父亲就疯掉。他觉得这个然后他老爸对这种阅子讲特个故事，他就觉得特别特别特别特别不满意。, Start Time: 771025
Text: 但是而且他从小是一个身体很孱弱的人，嗯，就是他但是他就很好斗，所以他基本上跟学校的同学基本上处不了。所以他八岁前基本上也没有进过什么类似于什么幼幼儿园小学这种教育，就是童年非常的孤僻孤僻黑暗的故事。嗯，对，他进去又退学，然后退学之后没办法，那他就自己各种看书呗，, Start Time: 792260
Text: 就是自己自学。因为他本来对这种阅读很感兴趣了，然后而且他这个时候不仅是对文学，他对那个化学跟天文学都有特别浓厚兴趣。嗯，而且你看，因为我觉得他为什么小时候对化学天文学感兴趣？我觉得他因为他本人科夫科夫特，他对那种神秘的东西特别感兴趣了。你看化学前身是什么？, Start Time: 814300
Text: 炼金术天文学前身是什么？占星学？对，那所以小时候他对这对这两个东西特别感兴趣，然后他啊而且他自己还开始就是在十几岁，那那时候还开始编了一个编编，自己编一个刊物，叫科学公报。然后然后他半年前边刊看研，嗯，自己创刊。对，就是他特别喜欢折腾这些东西，然后他后来就是进了进了高中之后，, Start Time: 833010
Text: 进高中之后，开始有一种叫做夜经的这样一种病。就是就是你会在就是你会在晚上就是就是梦到一个特别可怕的东东。而而且仅仅这样，你会就会叫喊会、抽搐，会会就是会就是就是你身体会做出各种很恐怖的反应，就是跟梦魇，就是有点类似于睡眠障碍里面那种噩梦噩梦什么的这种东西是吧？, Start Time: 857050
Text: 对对，但是梦他不太一样，就是他会就是在你睡觉的时候，你身体上会有很多很多的不同的表现。所以就是说就是他你他他所以说他本身他精神上面其是是一个个相一个个太稳定定状状态。而他后来人生又发生很多次非常重要的变故。比如说他一九零四年就是说他十四岁那个时候他外公去世了，, Start Time: 881840
Text: 嗯，然后就一直他给他讲故事，外公去世了。而他后来陷入了一种财政危机，他们就不得不从以前老宅子里搬走了，搬到新新地地方啊，小孩子子知道外公那个外外公那个地方，他一个个较重要的一个东，是不是因为他外公那个地方有一个特别大的一个书书书房那样的东西。我记得好像是对，, Start Time: 901880
Text: 是他他里面很外一种资料，他其实特别舍不得那个地方，是是就被搬去搬去一个很普通的一个联式联栋式的住宅。就是你知道就是一排排房子嘛，就很很典型的呃伦敦或者美国东海岸的那种一排式的那种很窄的那个地方。其实生活空间比以前那个一诊就是一个别墅，还是还是不一样。所以他就特别不舍，, Start Time: 920760
Text: 而且他也受了很大的打击。然后他他后来还有还因为因为好像是因为高等数学学不好的原因，陷入了精神崩溃。在高中毕业之前，然后这个说母心啊就就辍学了，就相当于嗯就辍学，也没有上大学，没有上到他希望去上的大学。他所以一生就对此就是特别耿耿于怀吧。然后就是他这个，而且他那个他他后来在后来又过了十年，, Start Time: 942470
Text: 他母亲又是因为在长期抑郁，然后也被送去了。就是就是洛夫克拉夫的，他老的那个就那那精精神精神病医院，然后就是他母亲。对，就是他父母全都进了精神病院。然后这个后来他那个呃他后来就只有人生中只有非常短的一段时间，就是他从就是大概差差不多二十几岁。那个时候开始结婚，, Start Time: 969190
Text: 结婚的，刚结婚开始那几年，他算是相对于在纽约那个时候相对比较稳定的这样一段时间。那段时间嗯，他甚至就开始就是有一段正式的工作，然后开始做呃编一一杂杂志，开始写一些比较就就是比较前的的作品。后后是后来就是因为又是因为他们那个他们两个就是夫妻两个的薪水，其实还是不够他们俩开销，, Start Time: 992090
Text: 然后这个他们就不得不从纽约搬走，然后洛夫克拉特又再一次就离开他一个比较喜欢比较熟悉的环境，然后这个又搬回了他的，就是后来就后期又搬回他的老家。然后这个这这后来就洛夫克拉特整个人就进入他的整个创创作了一个黄金时期。但是这个时期又恰恰是他人生中最低谷的一段时期。, Start Time: 1014930
Text: 就是他整个生活非常的糟糕，他的那个收入各种的低，然后他的名气也非常小。但是他在这段时间，因为整个人陷入整个困顿的时期，所以说不是说悲愤出诗人嘛，就是一个人也可能在非常糟糕的状态下才能够创造出精精华的东西。对对，所以说可以说很很多文学或者艺术上杰作全都是一个悲剧命运的产物。, Start Time: 1036490
Text: 比如说你看梵高这些东西，嗯，呃所以这这是有关系。所以说他嗯但是他回到他的故乡开始创作了之后，他就是在一本杂志叫做诡异一奇谈，叫 will il taes 这这一本对 wheel tatales 这这这个这个杂志上面开始发表他的这恐怖小说小说末世恐怖小说。而且更有意思的，, Start Time: 1061120
Text: 他这个他并不是一个人在战斗。就是说他还跟一些当时的一些初出茅庐，这些作家都有各种有一种书信上的联系。嗯，对，他们形成了这样一种叫做洛夫克纳，呃，就或者说克苏鲁神话圈子。他自己作家圈就是在圈子里面，他们会互相就是分享自己的一些呃设定一些创想党。然后这个中间其实比如说很有意思的，, Start Time: 1082150
Text: 就是当时还没有成名的这个那个然那个整罗伯特、欧文霍华德，也就是蛮王柯南的作者，也跟他有这样的关系。所以他在他创造幻梦境那个系列中间，甚至还包括了那个蛮王柯南的那块大陆党后后，他整个个体体系中间下面一部分，然后然后他们互相都都会有各种各样的借鉴。然后这然然后这当然这个霍华德他也写过克苏鲁诗这个这个作品。, Start Time: 1106070
Text: 然后那个总之他们他虽然跟这些作家保持一种呃，怎么说呢？一种一种树荫上的往来，并且他们就就是构建出这样一种一种一种体系。所以这个就是我克苏鲁神话，就是呃他叫作体系的一个最初的来源。是因为他们是其实是有一个作家圈子，其实大家都在往这上面添砖加瓦。那个年代是一个是一个很就是一个一个很前期的很很少见的这样一种创作方式出现。, Start Time: 1130515
Text: 对，所以这个也挺先进的。可能在那个时代，克苏鲁本身它可能作为一个平台式的东西。对，所以大家都以在里面面帮助助这个世界体系系的建筑合作写作的种西。嗯嗯，对，但是就是你看相比于同时代，你看那个托尔金，托尔金他的这个魔界，这中途完全是他几乎是他自己一个人就构建出来的，, Start Time: 1158080
Text: 完全是他自己在做过的。就就是到你看克苏普神话，他整个建构甚至可以超过一个世纪的时间，他是慢慢的有一群人进入出来。所以这是克苏布神话体系一个非常重要的一个东西。而且克苏库神话体系中间你可以想象就是说因为他从你看他小时候有液经啊，这种各种各样的印证精神上是受到打击的这这种。, Start Time: 1180710
Text: 所以其实你你你你应该是很难想象一个对恐惧这种看感情，呃，感觉很迟钝的人，能够能能够了解恐惧的本质，一定一个能写出很恐怖的故事的人，一定是他自己有很多恐怖经历的人。而而且以把过恐怖的这个文字，对我觉得伦伦克拉夫的本人，他对于疯狂这种这种东西，他有一个比较强的一个执念。, Start Time: 1202390
Text: 嗯，就是他的很多作品中，他的世界观众都有疯狂的这件这件事。比如他有一个非常著名的作品，就直接叫疯狂神脉。嗯，这讲的是一帮人去南极，然后发现一个就是古老种族一样的东西，然后就非常他说的就是类似于那种 unspeabful horror，你知道吗？那就是无可名状的无可名状的恐怖啊，, Start Time: 1223230
Text: 这个后面就都疯掉了。我觉得可有可能啊，这是我个人推测。嗯，如果是我啊，我小时候如果这个家里面对家里面人就疯掉了，然后进精神病院死掉了。其实小孩子其实很不愿意接受这样的事实的。他可能就会自己给自己找一个那种像避风港一样的那种东西，在自己脑袋构建中。其实这些亲人不是不是怎么着疯掉了，, Start Time: 1244370
Text: 而是他们接触到了一些超自然的事情，是吧？对，有可能是这个样子。所以你看就是他整个体系中特别执着于这种事情，把这个疯狂这个概念贯穿到整个体系。包括后面的桌游里面也有像赛赛制这种这种设定。你这一规定一这堆人就直接就疯了。嗯，所以说我觉得这个东可可能就是对洛夫克拉夫特影响比较大的。, Start Time: 1268150
Text: 还有另外一点，就是就是就像麦教授之前咱们聊的时候的，当时的那个世界的那个整个那个哎局局势。因为他当时处在一个科学大发现的一个一个一个状态，就是什么相对论。对对这些东西。对这个麦教授你可以讲那个时代，对那个时代就是洛夫夸夫特他的那个故事，当时并不是很受欢迎的，, Start Time: 1289710
Text: 而且经经常受批评，对他那个生前书就常受受种。对对对，他生前就指印的那种过者，对，特别特别低，就是特特特别 low low，特别 low 的那种叫在对你看那个时代的小说，其实那个时代小说其实比他也高不到哪去。对，就是那个时代小说很通俗的时种。因为是地理大发现啊，, Start Time: 1310010
Text: 也是帝国主义发展的一个时期。所以那时候很多小说什么去火星去把什么对什么火星的公主给跑呀呀，各种就是就是星际太空科剧啊，就就，你可以穿梭到宇宙。因为那个时候人的整个思想观还是很相信科学的，就是还是有点像凡尔纳纳特别相信科学，就是他们觉得宇宙就是那个时候多数人接受过一定科学的教育的人，, Start Time: 1328950
Text: 都觉得宇宙无非就是牛顿经典力学理论与延伸。就这个宇宙非非是他他对这不过是一个太阳系的一种延伸。爱因斯坦那个时候刚提出相对论，然后在物理学界里边还是没有什么人去理解，他，不愿意去理他，觉得这个人很疯疯，就是因为他因为对，因为他提出爱因斯坦提出这相对论，或者很多当时科学的一些事，, Start Time: 1351110
Text: 新发现，其实是跟古典的这种是相悖的。因为古典的科学精神就是说我们一切是可以预知的，一切是可以就是 controllable 的，就是一切都是我可以控制住的这一切都是就是人类可以去理解的。而洛夫克拉夫特他，但却他却反其道而行之。他觉得他觉得很多东西其实人类太自大的，, Start Time: 1371770
Text: 他觉觉人类可以理解所有东东西，他觉是反而他是去走，说你是不可能理解这个疯狂的混沌的黑暗的宇宙。你们人类何德何能？你只是一个蠕虫，你只是一个小的蠕虫。我觉得这个游戏简直就是完全复制的这种种继承了这个精髓，包括魂系列前面那几座，包括咱们这个学缘，到现在为止，他出的所有的世界观都是一个非常模棱两可的一个呃一个状态。, Start Time: 1392030
Text: 对，永远不会告诉你，我们发生了什么事事情情事情的全貌，你是需要不见的。对，需要你是管中窥豹，你是管中窥豹，只有冰山一角。对，甚至是甚至像像咱们这个血缘这作里面，甚至像神这些东西，他都没有给出一个特别清楚的解释这些神为什么要做这些事儿，或者说嗯你们具体是崇拜的什么哪个神他都没有说的很清楚。, Start Time: 1417180
Text: 所以他可能就是让你跟洛夫克拉福特他这里面的精精髓一样。因为其实当就是你你你用可能无法从任何的渠道得知出最准确的信息，来了解整个世界和宇宙。对，因为因为当时他那个罗夫克拉夫特那些小说，其实他是被归回归为科幻类。嗯，但他其实一点都不科幻那些难看的。嗯，但他归为科幻类，, Start Time: 1439540
Text: 他是通过科幻这种这种科学大发现的这种背景下，他他的这个中心思想就是有很多我们根本难以理解的新知识被发掘出来的。嗯嗯，这些知识呢其实就是让你去看，让当时人去看，其实就有点就是有点有点恐惧了。就因为他完全推翻了我们以前的那些知识，就比如说对对对，完全反常识的。, Start Time: 1462300
Text: 嗯，所以反常识这种事儿就就直接跟咱们之前说的那句话，就就凑到一起了。未知未知知恐恐。对他其实嗯说的这些股神啊，这些东这这些他创造这个体系，他都一一个我们可知的一个东西。对他本身对人类并没有特别明显的，就是我们定弄弄任什么么，其实人类对他来说就没有没有任何意义。, Start Time: 1485260
Text: 但但就是因为这种未知，对这种咱们对他一一无所一无所知。但咱咱就对对他就没没有任何价值嗯，这种这种东西他造成任何恐惧。所以你看游戏当中第一 NPC 对你来对你的态度，对永远是轻蔑。就觉得你丫是谁呀？那种不会很热情，没有任何人把你当回事儿。对，完了。另外就是你对这个世界观的了解，, Start Time: 1504360
Text: 全部都是碎片的。嗯，对你根本就无从得知他整个的一个体系到底是什么样的，嗯，因为你得到的东西太少了。对对对，所以这就是咱此之前说让玩家们有了对未知的那种更大的恐惧。对嗯，如果你了解了剧情，了解这个组织这样那个组织那样可能你就觉得没意思了，这就是普通的一个恐怖游戏而已。, Start Time: 1526140
Text: 对嗯嗯，没有更层层次的东西。嗯嗯嗯，那接下来我我我来分享一下，就是我就是看的这个之前我看过这个很小时候看过这两篇小说，因为我正就是他正好能跟这个血缘这个东西结合在一起。嗯嗯，咱们雪原本身这个这个东西啊，它设定的这个亚男嘛，它里面流行了一个叫受益的这个东西。, Start Time: 1547850
Text: 对，就会让人受化化化的瘟疫。对，这个东西其实就是我后面就是正好回想起来嘛，小时候我看过一个类似的，就是也是也是洛夫克拉夫特的小说，对，就叫因斯茅斯小镇的阴影。嗯，它这个讲的这一个什么事，其实跟亚男这个状况有点类似。嗯，他这个因斯茅斯小镇阴影，就是说是美国临海有一个海港城市，, Start Time: 1569470
Text: 这个海港城市里面这些人你知道吗？他们在年轻的时候其实没有什么异样的。但是他们一旦到了三十岁以后，他们外貌会发生很诡异的变化，就是他们会变得越来越像两栖动物，最后越来越像鱼啊。对，就像伊藤润二。对对，就就就是就是那种感觉。然后洛夫夫拉夫特写的时候还写的特别晒，, Start Time: 1590750
Text: 有介势什么的，说是他这个故事展开，就是说是以一个记者逃出这个小镇发狂的尖叫了，逃出这个小镇为影子。嗯，开始对说后来什么美国政府见报说什么小镇中有什么走私活动，以此以以这个为介入的调查调查进去之后，把这些镇民都抓起来，然后抓起来，分散在不同的监狱里，没有任何审判。, Start Time: 1611250
Text: 然后之后有一艘潜艇对这个小镇这个海域里面的一个暗礁发射发射鱼雷，不知道为什么，他这个故事其实其实真像是什么呢？就是说这个小镇里面这些人其实是个个就是洛克拉夫的神记。下面这克苏鲁克苏鲁的眷族叫深浅者。跟这个深浅者通婚之后，他们通过跟人神对人，跟这个深浅浅者婚婚其实不是跟神，, Start Time: 1634170
Text: 是跟他的一个眷族通婚，嗯，然后来祈求这个渔业的发达呀什么祈求从海里捞出黄金什么的。然后他就通婚之后，这些人就就都有这个怪物的这个基因。对血液血脉，然后他们就会特别排外，特别特别排外。就像这个亚男这个城里面，咱们进亚男之后，你能发现很多那个对异向人，你敲门。, Start Time: 1658660
Text: 对，都是叫你外乡人，你你来这干嘛？就是你你不要你不要来这，人家这玩意儿肯定死的特别惨，就是这种的。嗯，他这时说也是类似一个状况，他这个这个记者一进那个城，你知道就就就是各种各样的就是敌视或者不友好的，很冷冷漠的那种。默说你你差不多，你赶紧走吧，甚至他去之前那个售票员就跟他说，, Start Time: 1678920
Text: 那那根本没人去，你别去别去，你真的别去。嗯，但那个者者就不信邪，你知道，然后他对就去了。所以后面他就发现了这么一个事实，就包括一些人迹啊什么的，祭祀活人这些东西啊，就是这个我觉得可能跟咱们血原这个社化病这种东西有关。因为血缘这个社化病，他也是讲的就是人利用这个股神的这个能力去去强化非非人的对对。, Start Time: 1698140
Text: 产生一个非人初始，目的是要强化自己的这个血肉抵抗抵抗疫病这些东西。然后但是这个东西后面就不被控制了，就慢慢的就是副作用就体现出来了。然后整个演员就毁于这个兽化病。对，还有就是另外另外一个小说也很有意思，也是洛夫克拉的写的，就是叫这个游梦个恐怖事件。嗯， davich horror 这个他这个东西讲的就是人神通婚这个事儿。, Start Time: 1721180
Text: 他说的是因为咱们整个这个游戏中这个跟梦境有关的这个地方被反复提及梦对对为梦魇。对，然后这个这个小说里面他讲了一个什么事儿非常有趣，就是说是他说是这个这个恶这个邪神呢，他跟这个跟跟一个就是一个非常痴迷于这种古古神这种这种知识的一个老头的女儿，这个这个老头把这个通过梦境一样的召唤，, Start Time: 1746550
Text: 让他这个邪神跟这个女儿产下了非常常异异的一对这个双胞胎，但其中只有一个人是长相，是泪人的。另外一个就是另外一个外人，就怪物胎对其中是锁在阁楼上面。对，这这因为这个小说我记得不是特别清楚。我当时记得好像他说的是是在是在梦中，梦中就是梦娇，你知道梦梦娇样子。对我觉得可能就跟那个就猎人梦境克苏鲁克苏鲁这个梦境，, Start Time: 1773940
Text: 包括咱们血缘中那个梦境有关。因为雪缘后面咱们玩到要拿第三期带要杀两个怀孕的人，对吧？对那怀孕的人，他本身其实我觉得应该不是直接跟古神就是有什么关系，而是就像咱们说的那种梦娇的那种感觉。哦，对，因为咱们有没有真实。对，但是他在梦境当中会跟古神产生一些联。对，, Start Time: 1800720
Text: 因为这个咱们之前在那个打神父那个地点不叫亚丹之墓吗？嗯，亚丹之墓，咱们那个亚丹，关于雅丹这个描述，它里面就写的是无形之神，没有形体，没有人见过，所以说我就退。我我就觉得是对我亚丹这个神嗯，亚丹是这个血缘里面的一个神，具体是什么？他们也比较模糊的不太清楚，所以他这个故事就让我联想到就血缘这个我就觉得他们可能就是也是有一定的这种灵感上的借鉴。, Start Time: 1820360
Text: 对，就是孟郊，然后产下这种人和非人非神的这种中间的这种作任。对他这个里面那个那个描述就是说类人的那个那个那个孩子嗯，那个身子他是几岁啊？十岁他就已经有将近两米的身高哦，然后对股神知识又非常非常强的天赋。对，然后还有就是非常强的渴求。对，而且他长得越来越不像人，, Start Time: 1845890
Text: 就是他就是洛夫克拉福特。在这个小说中，他借鉴的是有点类似于也有点类似于基督教中那种恶魔那种感觉。就是这个人是有点长得像山羊的那个样子哦，哎对，他的脸非常长，然后他的脸部特征，像这个半人半羊的那种感觉啊，他越来越不正常，越来越不正常了。最后就最后反正最后这个结局我我就不剧透了。, Start Time: 1872840
Text: 因为这个大家有兴趣可以去看一下这个他最最后的那个异形 brother 也是死的，比较比较诡异。嗯嗯嗯嗯，所以说所以说就是从这两部作品当中就可以看出，他们跟血缘的这个就血缘跟他们的关系是一定的是存在。对我觉得非常有必要。就是就是聊一聊后面咱们说这个宫崎英高跟这个卢夫卡夫特这个本人的这个联系，, Start Time: 1894420
