Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 嗯，包括是希腊的这个希腊的这个荷马史诗，嗯，他都是唱出来的，所以他是这个他叫诗歌嘛。对，他是个音乐，是混合的，还有丹德兰写的啊。对，丹德兰这些叙事诗嗯，对吧？他也是有音乐搭配的那戏剧呢你看戏剧它是一个舞台艺术，但它中间像莎士比亚，它剧本本身又是一个很好的文学的题材，, Start Time: 346130
Text: 他也混合了文文学跟表演啊，音乐之类各方面。所以说这一些不是说文学的划分 poo k 那还有一点呢就是说他这个他这个艺术这概念念不同，比如说什么雕塑啊，比如说美术啊，他这些它的边界是很模糊的。嗯，因为他的可能他本来就是说艺术它的形式是一直会被不停的被艺术家突破的。, Start Time: 369590
Text: 对，没错。所以说所有的艺术家，他们毕生追求的其中一个目标，我觉得就是超越自己和自己所就是创作的那些形式。对他，所以他会一再被突破的。嗯，尤其是工业革命以后，就这种不停突破艺术边界的这种情况会越来越多。所以我们现在讨论的呢只能以这个它的一个整体，以一个主体为准展开讨论。, Start Time: 391830
Text: 我们呃呃就是就暂时不考虑一些比较极端的案例啊，所以这个这是我就是下面出现的这个艺术门类，我基本上是一个整体的一个概念就讨论的。嗯，那我众普遍对这几个艺术形式的认识来进行讨论是吧？没错没错，就举那些特别个例的那个形式感，特别不同的例子。对，没错没错， OK 啊。, Start Time: 416460
Text: 还有这个就是说呃我们我想强调为重点是我我个人因为我个人是做社会科学的吧。嗯，所以我个人是更希望是以一个社会科学的角度，一个哲学的角度去做一个切入。嗯，啊然后呢呃美美学还有一些艺术理论呢，或许会涉及到一些，但不是我讨论的重点啊。行，所以对，所以这就是啊这个开场啊。, Start Time: 437640
Text: 嗯，那我们首先呢我想呃就是看一下就是这些我们回顾一下我们整个人类的这么多艺术传媒，它的它的整个的一个发展的一个情况是怎么回事？首先我想强调想讲的第一点啊，是一个空间和时间，嗯，就主要是空间。我说的空间这个概念呢是什么呢？就是我有两层意思，第一层是我们视觉上的物理上的空间。, Start Time: 461120
Text: 这个呢不同的艺术媒传媒艺，不同的艺术媒介，它有它不同的呃呈现方式。对，就比如说这个视觉上空间在文学跟音乐上面几乎是不存在的对吧？那主要是视觉艺术，它会比较它会强调这个视觉这物理上的空间。那比如说呃就是文艺呃就绘画，而且它也是在变动的。比如说绘画，比如说这个我们我们看到这些画画画这些这油画这些东西。, Start Time: 487850
Text: 在文艺复兴之前呢，大家一直就是呃这个别人比人一直大家一直就试图在这个我们的一个二二维的平面上啊，去表表现真实的物体真实的空间。对，但是直到这个个叫布布鲁莱斯斯，他发发明了一个透视法的东西。我们们以非常就美术术啊，这些画家可以用非常精确的这个透视的这样一个比例去呈在二维空间上呈现这样一个三维的一个东西。, Start Time: 516250
Text: 所以文艺复兴时期就是越真实的东西就越棒。对，没错，就是大家像强调这样一种一种啊一种真实感。然后呢，但是这个透视法有一个缺陷，就是他的视角是固定的。我们就举蒙娜丽莎来说，达芬奇当时他就这坐在蒙娜丽莎的他坐在某个角度上去观察。蒙娜丽莎在画蒙娜丽莎。那蒙娜丽莎这个模特呢，, Start Time: 545600
Text: 他就一直不能动啊，他就一直得坐在那个地方，保持相对静止的一个状态。达芬奇就从那个视角啊，把他的那个视角里面看到的这个图像看到了这个画布上面。那我们今天看到的可以说基本上就是当时达芬奇做的那个角度看到的蒙娜丽莎。但是这个是跟我们现实的这样一个啊生活经验是不一样的。, Start Time: 569220
Text: 嗯，比如说我现在我在看西蒙，我正前方看到西蒙，然后我转个四十五度角，我看到西蒙的这个这个侧面，侧面看到它的侧面，嗯，我再转发现更好看一点，发现更美丽一点。对，然后再看背面，我操简直太帅了，对吧？然后这个是我换不同的角度，我一看到不同面，但是如果蒙娜丽莎这幅画挂在你面前，, Start Time: 591030
Text: 你正前方看蒙娜丽莎哦，好像是这样一张神秘的这样一个笑脸，它是这个角度，你换四十五度角，看它还是那个角度。我正前方没有办法，它主要它是沉，现在它是在一张画布上，它是在平面上面展现的，所以他没有办法变化。所以后来有更极端的做法，就是像毕加索这样的立体主义，他把不同的角度以平铺的形式画在一张画布上的，, Start Time: 613730
Text: 这样你就可以在一个视角看到就在一平二维平上看到不同的视角。对，但但这个其实只是一个就是三三维的空间，把它二维化，把它二维化，但是它还是个二维化，你幻素比较还是这样，对不对？那所以所以这是这是这是绘画这个媒介它对空间的展现是是这个样子的。嗯，那么还有它没法在实质上就是这个媒体本质上突破空间的局限，, Start Time: 638510
Text: 对它没有办法做到这样一点。嗯，那么能做到这一点的呢，你看就是雕塑就能做到这样一点。因为雕塑你看我换你开朗基落的这个大卫是吧？这个健壮健美的男士，嗯，我们换不同的角度可以换不同的面啊，它可以在直接在呃三维形三维这个物体上的展现。但是雕塑啊绘画它展现的这样一个空间，, Start Time: 663700
Text: 相对而言是一个是在时间上是静止的。嗯，就是说他大卫不会动，蒙娜丽莎也不会动，他就是站在那个他时间，就是定格在那一点上面，那个永恒的点上面。那么什么东西，什么艺术形式是时间上可以流动的呢？就是我们传统统戏剧，对吧？我们可以看到演员在舞台上表演，包括舞蹈什么，, Start Time: 685400
Text: 这些都是流动的。然后呢，到我们后来的，我们把它把这些这个啊我们包括到后来电影出现了，我们可以把这些戏剧，你看中国第一部电影是什么？定军山嗯，他就是把京剧把京剧搬到了这个胶卷上面，就变成一个电影。对，然后他有强调运镜啊这些东西。所以这个在戏剧跟电影中间，这个空间就是一个有时间的流动的对吧？, Start Time: 709370
Text: 就是这个样子。所以就是说不同的艺术啊，它对空间的表现特点是不一样的。是的，但是不管他们怎么不一样的表现，呃，哪怕是那些没有所谓空间表现的文学音乐，他在他就是说他们还是有他们对空间利用还有一种局限性的。我这里说的空间就不是视觉和或者物理上的这个空间了。嗯，我说的空间是就是说是观众众就是艺就是就是作品所处的空空间或者是维度。, Start Time: 733030
Text: 就是说这些波伦不论是文学、音乐还是雕塑，还是这个还是这个啊电影啊，这些呃比较传统的形式呢上面来说，他这个观众仍然是在你作品空间之外的。嗯，我举个例子来说，你很喜欢哈利波特的游戏啊，哈利波特小小嗯，啊你感觉自己就在那个霍格沃兹命魔法学院里头。但是你小杰 k 罗琳他是怎么写的，, Start Time: 767640
Text: 故事就是怎么讲述的，你没有办法出现在小说里边跟哈利波特的啊这个伏地魔就是那个什么就是伏地魔，他就藏在那个老师他的头巾后头是吧？你没有办法去干涉这个作品，你只能看着电影也是一样，你只能看着戏剧也是一样，你只能看着。所以作品就包括作者，他一旦写出来，基本他也没有办法，, Start Time: 792840
Text: 他就这个作品就存在了，他的空间和作品的空间是割裂开来的。他没有做艺术家，跟观众所处的空间，依然不能和艺术品内部的空间融合。对的，我们可以用一句比较通俗的话说，就是次元壁，嗯，就是次元壁。这个次元壁在传统的比较传统的主流型中间商是。但是你想等会儿啊嗯那你说雕塑呢，, Start Time: 819520
Text: 雕塑右次元壁，因为它完成了，你没有办法动它的哦，哦哦哦，明白了。嗯，对对，所以就是说但是呢现在其实还是可以动的，但是不举个体例子了啊啊。对对对，嗯，就是说他就是说这个怎么说一些相对传统的这个艺术形式。现在呢突然现在我们有这样一个趋势，就是他们开始打破这个次元壁了。, Start Time: 842255
Text: 比如说我们啊大家都知道，呃，也不是大家都知道，但是就是美漫啊这个死侍里头嘛。嗯，这个我觉得他是话痨了，就就特别别头嘛，他就老是去打破次元壁，跟你这个看书的观众在说话。对不对？日本的动漫里面也有银魂啊，对不对？这个这个萤石经常也是跟大家说，我们这个动画就完结了。, Start Time: 866080
Text: 嗯，就是对着镜头说话呢，对镜头说话之后，他已经无所谓，他他会是去刻意去混淆你观众所在这个三次元跟它所在二次元就漫画跟动画经常已经出现这种情况了。但还有平还有说还有平着突突破，比如说黑纸牌屋之类的啊，对，也有这种这种平日突破，还有那个什么还有一些传统的那个话剧啊，, Start Time: 886320
Text: 它现在一些实验性的话剧，比如说布莱希特波尔，他的实验戏剧中间他的舞台角色会老是会跟你观众有些互动了。然后他就这些传统的这些比较早出现的艺术已经开始去打破这个次元壁了。嗯，然后我觉得这应该是从舞台表演那块儿或是起起源的一种形式。我觉得或许舞台表演是最早出现的，, Start Time: 909210
Text: 能够使技术上能够实现的。对，然后到后面再慢慢的其他的艺术也开始去做这种事情。然后呢，直到我们到相对二十世纪以后出现，比如说像行为艺术啊、装置艺术术，括括些新媒体啊这些，甚至说他这种空间融合成为一种必须的元素了。对，就是说你想比如说一个装置装置艺术摆，那他可能需要你观众去摁一个按钮。, Start Time: 931810
Text: 嗯，你不摁那个按钮，这个装置艺术它动不起来，动动前构成。但其实装置艺术它并不完全人是一个，那就是必须要参与，互动才能够体现的。其实不是必须要参与。但是很多新媒体艺术是你必须要观众参与互动的一个一个形式。哎，是的，是这样，他需要就是观众和艺术家一起完成某项艺术品项目的创作。, Start Time: 956790
Text: 哎，对的，是这样的。就比如说呃我举个例子说，就是有一个一个呃他叫他自称为电脑艺术家，这个人叫做麦隆克鲁格，他是一个美国的这样一个他主要是用以电脑程序为载体啊嗯去去做他的自己的作品。他有一个作品叫做小小星球，叫 little planet， et 不是小小大星球，, Start Time: 979620
Text: 少一个少一个 big。对对对对，他是叫小星球，他他的这个作品是怎么回事呢？他就是用体感的装置啊去捕捉你自己的动作。嗯，呢就像小时候一样展开双臂，假装自己在飞行。你的这个你自己这个双臂朝哪边倾斜，他你这个你这个镜头他就会往哪边飞。嗯，这样样就可以观察这个 DD 这个星球表面各种大小的细节。, Start Time: 1001780
Text: 嗯，所以讲到这里，大家已经发现了，他这个作品已经非常像我们很熟悉的电子游戏了。嗯，至少从形式上而言就已经很像了。就是他克鲁迈麦隆克鲁格他自己作品，他对自己作品理解说他说我的作品啊是一种互动的作品，互动型的作品。就是说我不是说我正好我这个艺术形式他有互动性。, Start Time: 1025350
Text: 嗯，我想强调的就是这种互动性，我感兴趣的我想呈现的是观众和这个艺术品本身的这样一种关系。对，这是艺术家本身想表达和实现的一种一种东西。对他要强调互动性的本身。嗯，所以他形式上已经大家已经感觉到特别像我现在电子游戏。嗯，如果电子游戏我们这么看的话，猫虫它和这个有很多相似之处。, Start Time: 1047770
Text: 比如说我们比如举个例子，老滚舞，大家知道他有很生机勃勃的世界，他有很多故事剧情，它有很多乱七八糟的支线任务。对，但是如果说我们就把角色站在这个游戏世界里面，不动鼠标不动键盘、不动手柄，那有角色就不会动。那么某种程度上，他的设计的那些东西摆在那个地方，你不去互动的话，, Start Time: 1071420
Text: 这些根本就实现不了，跟你呈现不出来。所以说我们可以说游电子游戏啊，如果没有玩家，它就不是完整的游戏了。是的对，那么这我们说的是第一个就是我们说的是这一个空间。就是大家也可以看到，就是他有一个这样一个缓慢的趋势，就是作品跟观众的空间在慢慢的融合。对啊，那然后还有一个呢就是而且是让观众来参与到这个艺术品的创作当中，, Start Time: 1091100
Text: 而变成他的其中一个环节。对，那么跟就是创作者者中间甚至这两个身份，他中间的界界也也得模模糊。来来，你看老滚那么多 mode，对不对？对这些 mode，这些作者很多都是玩家。嗯，他这个制作者把这个权利给了玩家，让玩家也能参与游戏的制作。你包括 mine craft 更加是这样了，, Start Time: 1118040
Text: 对对不对？那个 OK，那我们讲的这个是空间。对那接下来下面一个我们讲的是一个权力的置换。嗯，权力置换怎么理解呢？就是说嗯就是说呃怎么说呢？他说比如说啊我们透视主义，我们之前说的透视我们讲的啊达芬奇画蒙娜丽莎，它这个它有一个固定的视角，就达芬奇的那个视角，他是强调了一个主体，, Start Time: 1138860
Text: 也就是我们的艺术家对客体，也就是对艺术品的绝对支配地位。嗯，达芬奇，我想在什么时候角度画，你就就从什么角度画，我这个是由我决定的。然后这种单一的视角就是一种艺术家对艺术品的绝对支配。那么我们到立体主义绘画中立体主义，我们就突破这种单一的视角。然后但是这仍然存在一个主体的权利在那边。, Start Time: 1162980
Text: 因为毕加索决定用立体主义的方式，就是去换这个不同的视角呈现给你这个权利，还是在毕毕加索手里的。然后然后这个呢怎么说呢？到后面我慢慢的尤其在一些数字媒体中间，新媒体中间啊，它的客厅主体的区别正在慢慢的变弱，嗯，甚至甚至可可能会完全消失。因为艺术品它有一种极大的不可操作性。, Start Time: 1185330
Text: 因为一旦当观众加入进来，一旦当比如说我们呃比如说一些电一些电脑程序加入进来，它会有一些它会有一些我们没有办法，就是就是那些制作者之前没有办法预想到的情况发生。就举最近例子，比如说老滚，当时制作者肯定没有想到玩家会想到说我把那个一个桶扣在那个玩家的头上，呃，, Start Time: 1208300
Text: 做那个 NPC 头上时住它，视线把里面、家里东西全都偷光。嗯，这这个是制作者完全之前做的时候没有办法预想到的。所以它就就是艺术品，它本身它有一种不可控的东西存在了。所以就是说艺术品就不再光是由艺术家跟观众创造的范围，反而他也对就是艺术家跟观众有某种程度上的影响力，, Start Time: 1230320
Text: 它不再是以前一个绝对被支配的地位了。对，这也是一个趋势。那第三个趋势是我尤其想要强调的这是一个叫做超真实的概念，就是 hyper reality。这个它其实出自于这一个法国哲学家、社会学家，这个他叫让鲍德里亚，然后他呢有一本书叫做拟像与仿真嗯， simulator and simulation。, Start Time: 1251620
Text: 他就是总结了人类的媒体发展艺术发展，他把它分成了三个阶段。按照他的理论是这样的啊，这个三个阶段就被称为拟像三序列。它第一个序列时期是仿造 counterfight。就是说这个这个时期呢，他总结说是从文艺复兴到工业革命时期的这样，他是这个模式是一个比较主导的模式，, Start Time: 1279765
Text: 就追求真实，对他要仿制真实，仿制真实，他想要遵循自然价值规律。嗯，就是说他想他的他至高的他至高的追求，就是去再现这样一种真实。然后呢，而且这个阶段有有有这个阶段的艺术品，它有着就是说他他没有办法大规模复制，哪怕就是说比如说哪怕是一个舞台剧，我剧本写好了不同的戏班去演演出来效果是不一样的。, Start Time: 1305120
Text: 那么我比如说我我当时画了一个蒙娜丽莎，顶多，就是说他那个征迹就在那个地方。嗯，那个时候的科技还没有办法大规模复制。然后然后到后面我们社会发展到下面的阶段，就是工业时代前后就是这个这个这个这个阶段。第二个阶段，他重要的呃他被称之为生产产嗯嗯这个这个阶段它遵循的是一种市市场的价值规律。, Start Time: 1334290
Text: 也就是说，之前我们那个时代的艺术品我没有办法复制。但是随着我们的这个摄像技术出现，随着我们这个比如说一些黑胶唱片的出现，嗯，比如说随着这个胶片技术出现，我们可以把戏剧啊，把美术作品啊，把这个啊把这个音乐音乐、音乐啊放 produc 那放到这个 CD 里面。, Start Time: 1363630
Text: 我可以把这个大规模的印刷书本可以把小说就是就是发到千家万户。嗯，那么这这个阶段就是大规模的生产，然后它目的就是为了市场盈利，就出现一个文化市场。嗯，真正的出现大众艺术这样一个东西。西每个人每个普通人都能买一张电影票，到电影院里去看电影，这这是第二个阶段。那第三个阶段呢叫做嗯叫做仿真，, Start Time: 1384410
Text: 就是说这个阶段怎么理解呢？就是说他说在这个阶段有一种一个新的东西被阐生出来叫做超真实。 hyper reality 嗯，超真实什么东西呢？他就举了一个例子，是一个是阿根廷作家博尔赫斯的一个预言，就是他的预言就是这样的。他就说说曾曾经整个星球上面啊有个帝国，, Start Time: 1411630
Text: 那帝国他他他呢他有一些非常牛逼的地图的，做地图的家家，嗯，是个地图专家，一起把整个地图的从大到小的所有东西都复制到这张地图上的。嗯，大到就是甚至到这个这个整个啊他的所有的街道，街道上所有商店一草一木，就是精细到一一木的的那种精细到一草一木，他整个甚至整个地图大小跟整个帝国差不多大，, Start Time: 1433890
Text: 他就悬空在整个帝国的上空哇塞。然后这里边所有的，包括你地上的所有那些公民，他在地上走路的那些，他都随时在那更新着。然后呢，这这还是地图吗？它这是一个文学作品里面出现的是吗？对它是一个预言。预言中如果我们不考虑所有技术原因，嗯，说这些技术都存在，那我们可以做这样一张地图，, Start Time: 1457630
Text: 嗯，它可以实时的表现这个帝国上所有的东西。嗯，那么那么然后当比如说我这个帝国他丢掉一个省，那我这个我就会在我就会啊就就会我在地图上面就切掉一个省，这个地这个省也就消失了。嗯，他如果又新得到一个领域，新得到一块国土，那么新的新的国土又会立刻被复制在上面一个更新上去。, Start Time: 1477640
Text: 直到有一天啊，突然间这个帝国从内部崩溃了，嗯，这个地图专家也就没有办法，没有资金，没有能力，甚至他们自己都消失了。去我你就没有人去维护这个地图。那么这个地图人存在在悬挂的这个过去的逝去帝国上空，而帝国本身消失了。那么这个帝国就是这个这个地图本身就是这样一个帝国的一个本来是一个仿拟像，, Start Time: 1497300
Text: 嗯，就是说它本来是 copy 的，他宝贝了这样一个地图在上面，然后呢，超现实情况下，就是怎么理解超现实呢？就假设说超真实超真实，你怎么理解超真实呢？你就出你超真实，就是你想象一下，你自己就能生活在那张地图上面。你如果你每天都可以生活在这张地图上面，你不必要回到这个国土上面生活。, Start Time: 1522990
Text: 嗯，你无所谓，因为它一切都是那么像都是一样。那么像你你无所谓，你在地图上还是在正的那个帝国国的那个那个那版版，真正的帝国上面你无所谓了。这就是一种超真实，就是艺术品与与就是艺术品与真实的边界模糊以足，让大家意识不到，完全意识不到，完全无所谓了。他嗯这个他其实嗯他当时想指出的是，, Start Time: 1548580
Text: 我们现在社会的模式，就是呃我就举现在我们的例子。比如说我们现在新闻媒体非常发达，我们网络的媒体是非常发达，我们每天都可以知道世界任何角落发生的任何的事情。我们可以在从央视新闻上面看到啊，伊拉克现在战争情况是怎么样的？你看到这个啊可能看到这个美国现在这个这个这个大选是怎么样的？, Start Time: 1578460
Text: 对，我们看到第一时间看到这个实时的影像，看到一些直播之类的东西。但是他就是鲍德里亚，他是对这个东西很悲观，甚至很排斥的。他觉得呢他觉得说你现在你看到的这些影像，比如说你看到一个一个极端组织在枪毙平民，你看到这个画面是一个有着自己观点，有着自己政治观点的摄影师。, Start Time: 1601620
Text: 他在现场拍到这个拍到他的摄像机里头。然后这个摄像机这个影像片段呢，又经过同样有自己主观视角、主观政治观点的这些编辑编辑做的，后期把它剪又剪掉了一部分，然后呢再放到网上，你再看到这样一块。所以你看到了这个这个是影像离当时真实发生的东西是很遥远的，它是有距离的，, Start Time: 1627230
Text: 它不是真实本身。而我们可能现在我们就生活在一个城市，我们看到的世界各个角落的那些信息，都是经过这些媒体人员他编排过的。所以它是一种它是它并非是我们想象中那么真实，但是我们无所谓，或者我们甚至意识不到，或们平时不会想哦，这个东西是被人很样啊，人为简洁过的，我们多数这个多数人我们是意识不到这样一点。, Start Time: 1651050
Text: 对，比如说大家意识不到，有我们好多节目都是剪辑过的。对，有可能这些都剪辑过了。对对，所以这个东西跟真实是有距离的。嗯，但是大家无所谓，这就是一种超真实。他又觉得我们现在就生活在一个超真实的世界。我觉得大家不自觉的其实已经处在很多超真实的这个现象和事件之中。, Start Time: 1676720
Text: 啊，对，没错，那么那我们就不说那么远，我们不说现在当时道德里亚举了一个例子，他说一个超真实例子就是迪士尼乐园。你跑买一张票，跑迪士尼乐园里头，你看到米老鼠唐老鸭，看到那些城堡，你看看那些灰姑娘这些童话人物，他们在现实生活中并不存在，但是你在置身其中，你无所谓。, Start Time: 1696880
Text: 他们存不存在，你就很开心啊，周围都是你小时候喜欢的这些，他们好像像活过来一样，对你不关心它是否存在，它就是这就是一种超真实。那么我们再想一下，我们在想一下，我习以为常电子游戏、电子游戏中间。我们我们说因为我们之前提到了观众的空间或者玩家的空间跟游戏的空间是融合的，, Start Time: 1717680
Text: 是融合在一起的。然后那么我们想象一下，比如说 GTA 嗯， GTA 里头有各种各样的商店、服装店、商店、服装店，还有这个还有还有包括它里面可以炒股，对不对？里面还有股票，还有那个电视台里边，它不是有动画嘛，对，电影院里也可以看电影。嗯，啊这这个东西你看现实生活中，, Start Time: 1740890
Text: 我们也可以去一家商店买东西，我们可以看电影，也可以看动画。那更极端的例子是就是一个网游，大家可能知道就是第二人生对 d life 这中间你可以在里头开公司，你可以二十四小时泡在里头。你可以啊，你可以你你可以这个里边拍电影里面，甚至有一些国家在那个游戏里面还有大使馆，, Start Time: 1761930
Text: 它这个它也是一种超真实的模式。因为而且再加上我们现在游戏啊，它本身它的一些技术上的一些突破。比如说体感技术，比如说我们现在的虚拟现实技术。你看这些 VR 系统，就是 oculus rift 呀、嗯 office 呀，这些这这些这些东西实现让到。可能我们再再过几十年，, Start Time: 1780765
Text: 可能后脑插管技术都出来了。或许以后我们可以在网上下单，然后直接网线，你可以输出营养液，我们都不需要吃饭了，嗯，对吧？这很可怕。但是但是这些这些科技的技术再加上游戏本身这样一种属性呢，可以让这个所以让这个游戏越来越具备这样种超现实的属性。或许有一天我们确实就可以在游戏世界里出不来了，, Start Time: 1803230
Text: 这也是一种可能的。所以我们大致就是差不多总结了一下。现在整个呃我们可以看到整个艺术媒体，它整个它在随着人类社会这样一个发展的趋势。我们也稍微看了一下游戏，可能会随着技术突破会给我们带来的一个未来。嗯，对，所以嗯怎么说呢？这个可能可能扯的有点远啊，但是哎我有一个想法，, Start Time: 1825750
Text: 但你说我总觉得人类就如果再往后发展，比如说 VRR 就是已经实现到了一个非常成熟的阶段啊，甚至说未来有可能到了脑后插馆。我觉得人类那个时候，就是很多人是会非常喜欢去沉浸在这种超真实的体验当中的，甚至有的人可能就不愿意过真实的人生，而选择超真实当中。对去对对对，, Start Time: 1849610
Text: 那个时候当人已经就是说网络技术已经可以，比如说尤其是我觉得有超越了，就是说我们可以人类的物理的存在形式。对，就是不支持你物理存在形式的话，对，就是一种艺术体验和一种艺术形式。已经完全可以将你嗯就是就是怎么说呢？就是彻底改变你，让你让让他这种形式和内容变成你自己的人生。, Start Time: 1874410
Text: 对嗯对，甚至这是很难以想象的一个人。对你可以参与到这个中间。像第二人生中间，你可以在里头开公司，你可以在里头跟领头人玩，嗯，甚至可以无所谓。你自己天生就是你生物属性上限制。比如说你可能你天生就是比如说你可能生有点残疾，嗯，比如说你可可能是个盲人或这些东西，, Start Time: 1898220
Text: 但是你可以突破你生理上的局限，突破你肤色上的局限。然后大家可以说不定也是一个更好的未来，说不定也是一个。所以说这就特有意思。如果你再拿那个宗教和一些哲学来分析的话，人就是成为自己的这个造物主和上帝可以对然然后就是真正的自由意志就可以实现，说不定就是这是真正的自由意志。, Start Time: 1918500
Text: 对，没错， OK。那么我们可以差不多，我们回头再回头看一下我们刚才讲的那么多内容啊，就是呃我们可以稍微做一下小的总结了就可以。呃，怎么说呢？我们现在回头看一下我们对艺术这个词儿啊，艺术它的定义。嗯，怎么说呢？在我们的社会科学角度来看呢，就是我们所有的做社会科学人都喜欢说一件事情，, Start Time: 1939060
Text: 说一个东西就是说所有东西都是社会构建的，所有概念都是社会构建的。就是 everything is socially constructed。就是说我们说的是比如说艺术，我们觉得艺术这个词儿这个概念它的定义啊，我们觉得就这就是社会建构的，它是处于不停的变化中间的。, Start Time: 1962049
Text: 是的，我们追本溯源。说到元艺术这个元，我们知道艺术它英文是 art，对不对？它的古希腊语里面叫 technique technique 技术其实就就是我们英语中的 technique，嗯，就是技术中英语中 technique 就是记忆技术。嗯，然后阿丁语中间的 art 呢，, Start Time: 1978450
Text: 你看现在就英语中间有个词儿，就是那个时代 art 的一个特征。就是现在有个词叫 artisan。你看那个小米手机啊，不是小米，就是锤子手机。它不是说 artisan，就是 artisan，是将工匠匠人、匠人。所以说以前你看 art，无论是 art 还是 technique，, Start Time: 1998020
Text: 它的意思都是它的意思都是跟就是传统们谋生的技能，一种技术。嗯，脱不开关系的。嗯，这个情况一直到十七世纪啊，就是我们就是所谓我们现代意义上的 art 概念，才从以前的那个就是那些包括你是那个造砖的这些专匠，它的技术啊，包括这些园艺技术，就我们把它分裂出来，变成一个艺术。, Start Time: 2015940
Text: 那个时候出现了一个叫 find art 的概念，就是美术或者说呃比较高等的艺术这样一个概念。对对纯的艺术纯艺术，嗯，它它的它的定义呢，那个时代的人觉得什么是艺术呢？就是一定要把美学的价值放在实用性之前。嗯，实用性美学，应用性美学就是你应用型的那些东西，它就会抛弃。, Start Time: 2037340
