Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心被节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27710
Text: 嗯实际上是六十年代开发的，就是一个当那么早就有了。对，当时就是计算机科学才刚刚兴起的时候，就那个时候就特别多的各种各样的计算机技术，就那个时候就被发明出来。 VR 其实也是嗯最早期的 VR，最早的那个 VR 头衔，有一个特别中二的名字叫做达摩克里斯之剑叫。, Start Time: 355290
Text: 对，他们还是挺忌惮这个虚幻的这个场景给人的冲击的应对，然后然后就是很危险的场景感觉。然后就是说用一个特别就是就是那会儿的就是 CRT 的那种阴急射线管的显示器，就是当做两个眼睛各各一个，然后再用一个就是机械式的一个头部跟踪系统，然后就物理机械的传动的那种。, Start Time: 373010
Text: 对对对，这种方式。对，然后就是说写一些比较简单的那种线框图啊这种东西。当然那会儿就是就属于那种科学研究性质的，也没有说是也没有说是能够比方说让普通消费者或者商业化来用这个东西，可能就是 VR 这个东西。第一次商业化可能是要在这个说到九十年代啊，这个概念诞生于六十年代。, Start Time: 397900
Text: 对呃，我记得 VR 这个说法就是说这个东西嗯，所以在一开始他就有一点那种头戴设备这个概念概念的。嗯，对，然后九十年代的时候，就是那会儿 VR 第一次就是商业化了吧。商业化的就是说世嘉呀，一些一大堆的各种各样的厂商也出出 v 游游戏厂开始始意识到这个当时看就就时髦。, Start Time: 419090
Text: 嗯，对对，看就很时时。嗯，当时世家好像是街机应用过一些就是类似的这样的一个东西。但是其实让我们印象最深的还是任天堂。对 VBVB 对， virtuviro boy。对， virtual boy 就是铜井金瓶的最后一个作品。嗯，对，然后 viral boy 他是没有头动跟踪的嘛。, Start Time: 441490
Text: 嗯对，他只能把一个架子放在那儿，然后你眼睛就是等于是盯着他，就看盯着他看。对，为他就看他有视差，但是没有头动跟踪。嗯，所以说那东西就是失败了，但是那会儿的技术上也支撑不了。嗯，然后后来就是索尼等于说这个技术从六十年代开始，然后一直到一直就对，然后其实一直都有。, Start Time: 462300
Text: 但是说就是没有什么厂商和这个品牌，能把这个东西就真正给他炒热了，玩起来。嗯，或者把商商业化、民化化，就可能只是一个一些小品级的一些或者是一些噱头型的这样一个产品。对，没错，就是就是实际上怎么说呢？就是说就是说 virtuboy 有一个直系的一个后代，就是那个索索尼出的那款，, Start Time: 481100
Text: 就是 HM 型，就是 boh MT。嗯，就他还出了两代那个 t 一 t 二嘛，嗯也是没有头跟根也不能算直系的。毕竟不是一牌子，毕也不是一牌子。对，确实比较像对，比较像。然后后来发现后来发现这条路实际上是走不通，就是 t 一 t 二大家都卖的很不好，而且大家评价也很很差。, Start Time: 504360
Text: 所以就是当时大家已经意识到， VR 不是说把你眼睛周围全挡上，然后架个屏幕就能叫 VR，嗯，还是有一些很深度的东西在里面。但我总觉得那是索尼的一一步棋，你知道吗？他可能现在想让大家接触这个头戴显示的设备备。然后你看到 HM 初的最后一代的时候，他立刻就推出了这个墨菲的这个东西。, Start Time: 522270
Text: 对，觉得他还是有一个连贯性在里头的。虽然就是有这个战术布局，其实就是 VR 发展还是有一定程度上断档。嗯，就是比如说就是其实就是在 VB 之后， VB 这个沉寂之后，好多好多好多好多年，一直到可以说到一三一二一三年，嗯，然后 VR 设备在重新回到我们这个视野里。, Start Time: 543590
Text: 嗯，对，没错，就是奥克 lus 众筹成功嘛。当时当时筹了上千万吧，反正是一个挺大的事儿。对，互联网上还炒的挺火的。其实一开始 oclals 上 KX laatter 上，大家就感觉是 kiss laatter 上各种莫名其妙新鲜点燃中的一个而已。因为当时 kiss latter 上什么什么奇形怪状的点都都有。, Start Time: 567340
Text: 嗯，但是呢奥克斯当时就愁的越来越顺利，越来越顺利，然后甚至包括各种业界的大佬都开始关注嗯，这些东西一点一点来。直到后来突然 facebook 宣布对对，两亿应该是二十亿二十亿元，直接砸到二十亿砸到上面。当时大家都惊了。对，然后中间还有那个因为像卡马克的力挺力挺对，, Start Time: 585220
Text: 直接不干火箭去奥克的任职。对，这这也是一个对就是传统的一个就是冲游戏玩家特别冲击特别大的一个事件。对，从那个时候开始，玩家们可能对一些玩家们啊，可能就开始注意到这个东西哎存在存在了。对，然后实就是是游业界。对此就是除了卡马克之外，就是还有另外一个公司，也是特别就是对 lalov r 特别就是投入其实上就是发门嘛，, Start Time: 609850
Text: 我们存到对 wowwo，我们称为我们大家都在无疑要们叫威慑，要不阀门。嗯，对，然后他们当时哦或者说现在来看威慑，很可能是因为把大量的精力投入到这上面，嗯，所以才推一定程度上推迟了。他逐机的推出和开发很有可能对对，有可能实际上就是阀门当时就是跟 ocuus 当时谈的是就谈的特别好。, Start Time: 635750
Text: 就是说就是 oclus 说 oco ls 做硬件阀门做软件，然后阀门也是第一时间就推出了就是半条命，就是用 source enging 就是 source 引擎去做那个 VR 的适配，然后半条命二出了个 VR 版，然后后来他们谈崩了。在就一开始本来是想跟 owo s 合作的，, Start Time: 660280
Text: 对对，克 os 合作的。然后那个就是卡马克和那个当时克的呃，另外的一个就是一个主管也去了，就是那个 oluwow 去看，因为也是 wow 让他们去看的，然后发现 wow 做的东西非常先进，嗯，给他们就是领先的就是 years way 是说呃原话叫 years ahead，, Start Time: 678040
Text: 就是领先了一两，领先了一两年的水平。对，然后后来回来之后就回来之后，就就说反正后来谈崩了吧，谈崩了之后有也不也很多，就就阀阀门，就是原原的员呃，元老员员工也都挖到沃 kers 去了。比方说就是现在奥克斯的首席科学家叫 lumichael abrish。嗯，, Start Time: 695960
Text: 他也他可能是他可能是现在 VR 界除了克克以外，最就是响当当的人物，对最顶尖的技术上最顶尖的一个人，而且还是游戏行业。对哦，最早还是在微软，后来的 omaintel，后来就就去了阀门。然后现在克 olus 嗯，对，而且其实奥克拉斯这个高开这个像开门红这样一个状态，, Start Time: 715630
Text: 吸引了很多这个后续的作品。其实正好我们在这可以给玩家嗯，大致说说我们市面上也不是先不说游戏，先说市面上已经有了一可以说完全确定的设备，其中有很多马上就要发售消费级的作品。嗯，比如说代表性的奥克斯公司的这个奥克斯瑞 luay，然后我们会说以后能是叫 OR 这样的一个东西。, Start Time: 739990
Text: 对，然后另外一个就是那个三星的对 gear gear gear VR。对， gear VR。对， gear VR 的就是 gear VR，这个事情也挺有趣的。当时实际上是这样，就是实际上是那个实际上是三星，他开始就是在 android 上做那个做那个就是 VRVR 产品做了一些实验。, Start Time: 761800
Text: 比方说一个做了一些手机壳子啊，还有还有一些硬件啊，还有一些软件的开发。然后奥克斯比如 cammark 去看，然后 camk 他当时看了之后就说了一句话特别牛逼，一句话叫做你们这个东西原原本可以做的不那么垃圾的。就是就是你如果是任何其他一个人说着说这话的话，, Start Time: 783780
Text: 肯定被人乱乱棍打出去的。但是卡瓦哥你知道的嗯，大神一样的级别，神一样，就是神一样的人物。说的话就是就是说大家大家只能听着，为什么呢？他为什么这么说？他那个是什么样的一个产品啊？三星那块就是原来实际上 gear VR 就是那个时候是原型嘛，就是特别早期的原型，, Start Time: 806850
Text: 就是一个在就是手机上就用的，就是没有不带不脱线，不接电脑的那种手机上用的 VR 产品。实际上 gear VR 现在也是这样的东西。但是后来是，但实际上就是说三星算是做了一个产品化，但是整个的就是呃软件上的东西，实际上还是 oclas 做的。准确的说应该是卡马克一个人做的，, Start Time: 826170
Text: 嗯，就毕业 VR 的整个的就是软件上的一些系统架构，全是卡马克一个人做的哦。但实际上他后来发展了头戴设备，其实到现在为止呃，也在建设自己的软件生态，其实还也把自己塑造成了一个很完整的形象。因为和它相对的是更低端的那个眼镜，那个纸壳眼镜嗯，整个眼镜 google 最开始推进的这个项目，, Start Time: 847840
Text: 整个眼镜是 google 就算是有点开玩笑性质的做的东西，但是没想到其实还挺有市场。因为实际上我来机盒之前，嗯，然后作为这个编辑去参加那个一些展会的时候，那还是一三一四年，应该是一四年的年初。国内有一些类似的，它是用手机的重力感应，实现了非常简陋的 VR 技术。, Start Time: 870660
Text: 对，没错。但是后来你看，从这个盒子，这个纸壳纸壳眼镜实现了之后，很多人用这个 APP 做了一些对分屏，嗯，反而体验也好起来。其实他就算他可能不是那么高端，但是他填充了这个低端的这个市场的 PP，所以说现在的这个产品是有层级划分。对对，没错。然后我们心目中可能作为玩家啊，, Start Time: 896810
Text: 作为核心玩家更喜欢更熟悉的，毫无疑问是那个 office 梦神。对，当然现在没错，更名为 play station VR。对，就是他这个项目名以后可能听的比较少。然后现在主要是 play station VR。对，这个是可以说应该我觉得是目前嗯最期待的对，, Start Time: 919390
Text: 丁该胜是最期待的。虽然离我们最近的消费级产品是那个奥克 lus riate，明年年初就卖了。对对对，嗯，第一季度据说是第一季度，所以就是最后一个是二零一五年，就是二零一五年年初，离我们特别特别对。然后之前说可能和那个 oay lus 谈的并不是很融洽的。这个威慑联联合 TTC 推出了这个 HTC web VIVE 对这样一个设备。, Start Time: 937270
Text: 然后这个设备是最这个目前看最神秘的。对，没错，也不知道什么样子，也没说怎么着。对，但我跟四十二其实有幸体验了一个对，去台国河这公公司试么着？对，但现在个人观点就是特别牛逼。对对，错，因因为因为对，其实我先说一下，我之前因为我试过 oclolus，然后试过这个这个这个 play station VR，, Start Time: 963720
Text: 嗯，我全都试过。但是他们呢其实这个我至少我体验到的游戏互动性还没有那么强。是的，因为他可能是限于这个手柄手柄的问题，操作的问题，他跟 HTC 的那个嗯产品还不太一样。对 TC 产品它有两个手柄，等于是对完了它有一个识别非常灵敏的一个头戴显示器。对比如说你所做的这些反应和动作，, Start Time: 989600
Text: 包括你手上拿的东西，在你的视视野里出现的时候，它的反应是特别灵敏的。对于这个我觉得是真的是比其他那两个都要好很多，主要是它的 demo 情怀特别到位。嗯，因为我们之前玩那个 OR 的那些 demo，其实 OR 的大部分是看，然后 office 主要也是看，, Start Time: 1013510
Text: 其实除了那个夏日课堂之外，其他也是观就是观看夏日课堂也是看。对，其实就是摇头点一个 yes 摇头 no。然后所以这次玩这个这个外 b 这个我们玩到一段这个 portal two 的主题的，就拆机器人的这个我们晚上网上发过这个对，我们当时发过，然后让利给时间段段是加特给大家看一下效果。, Start Time: 1032465
Text: 嗯，但是有一个特点就是各位如果在网页上看视频，可能没有什么感觉，这就 harv r 的 VR 这个特点特点我们当时看就吓傻了，已经。因为我我就是以这个游戏玩家一个挺浅薄的观点来看。实际上就是我现在来看那些视频，我在屏幕上看也觉得没有什么意思。对，很其实真的没什么意思。, Start Time: 1054970
Text: 但是当有这么一个东西，把你的整个视野全都罩住了之后，那个沉浸感是无与伦比的，虽然它有点漏光。对，但是你一把这注意不到。对，把事线聚焦到画面里之后，你根本就感觉不到露光是一种生理的反应，就是你真的掉到另外一个世界里是非常非常美好的。对对，就是可虚虚拟现实世界义。, Start Time: 1075430
Text: 就是这样，就说你要有一个有一个特别的纯净感，就是在一个另外一个世界里的那种感觉。嗯，所以说虚拟现实它不光是那个不光是显示它要交互的部分。嗯，对，这也是三家，就是就是现在就是虚拟现实的，就头显的做头衔的这三家比较大的又比较领系术领先的话它的一个特点就是有一些不同的地方。, Start Time: 1094050
Text: 那我们刚才聊到了这几家和给大家说了了遍遍，如说那就是浅浅，就是比较低层次的那些盒子和就手机壳子我们就不说了。对，我们说一说这个 oculustrift 的，然后在包括这 play station VR，然后你说到这个 HTC 和 web 合作的这个产品，嗯，, Start Time: 1117330
Text: 就是他浅这个现在是比较主流，比较受关注的三大产品嘛。对，没错。那这三大产品他们从技术上有什么样的区别呢？就是他们不同点在哪呢？因为大家看上去从消费者或者玩家眼中，觉得这三个东西都是同样的投在显示器，但不觉得这个之间有什么区别。泰伯伯给我们讲讲这个，他们的区区别在哪？, Start Time: 1134370
Text: 就是虚拟现实，就是他头显的话，它有一些东它有一些就是技术上的要求，一定要达到比方镜向的指标。对硬性的指标，一个一个最简单一个流程，就是你你不能就是带这种虚拟现实，投车头显你不能晕。嗯，对，晕，其实是很简单一件事情很容易易是。对，就就很简单一个事情就是说你的就是头顶你的那个视野里面的运动，, Start Time: 1155340
Text: 跟你的那个身体的运动。就比方说你脑袋的运动不匹配的时候，你就会晕，就会跟你晕车车晕晕晕低低一个道理。嗯，所以说就是就是你的是就是你的呃虚拟现实头显的话，它的显示它一定要它的延迟一定要很低。嗯，这样的话，你能够跟你的身跟你的身体的和你头部的转动，这同步起来的话，, Start Time: 1178240
Text: 你才不会晕，能够合理的欺骗你的大脑，让大脑认为你其实是真的在嗯在里面在动。对对，以错。其实这三家显示这个头戴对头部运动的判定是不是还不一不一样，还是用的一样的技术。呃，实际上就是说就是说头显这个东西，你如果说是比方说你简单的，就比方说转头或者上下抬头或者是偏脑袋。, Start Time: 1199270
Text: 嗯，方们在进业内的话的这个称为这三，这就是这是转动，就是头部的转动是三个自由度。但是你如果就就头部的转动三个自由度的话，它是可以通过比方说就是是力传传感，就就是跟有时候像那种那那种重力传感器一样的，就方法来来实现那个跟踪的还很快。嗯，但是你如果比方说你要在在这个这个室内走来走去嗯的话，, Start Time: 1222070
Text: 就是我们称为平移的三个自由度的话，你就不能用你的重力传感器了，你就必须以外部的光学的就是手段来进行那些跟踪。嗯，然后这三家的技术其实都是光学。但是实现方法都不一样。就比方说俄罗斯 rift 的话，它用的是一个红外的摄像头，红外摄像头对红外的摄像头，它它称为就星座系统。, Start Time: 1247180
Text: 就 constellation 嗯星座系统，然后在你的那个你的头显上面布很多红外的这些马克点，嗯，然后摄像头就跟踪那些马克点，然后就可以计算你的位计，你的位置置有你的转动。嗯，然后那个索尼呢，它 PSV 它用的是就是叫做就是的 SSS 吧。对， PPPSS 就是一个摄像头，, Start Time: 1269720
Text: 你必须得配一个摄像头才可以用的哦。 PS 呃，我不记得叫 PSS 还是 PS camera 吧，反正就是就是就这个名字哦，然后它是一个就是全色的，就是全色谱的摄像头，它是通过跟踪你的那个头显，还有你的那个棒子上的那些光点，就是发光的形状。对，判断你的那个呃你的运动的那个方运动的那个就是位置，, Start Time: 1290950
Text: 位置和移动移动。对，其实我我就中间插一句啊，就是说之前在我们可以看到所有的发布会的时候，我们看到 moface 嗯这个东其其就你能看到它那个都是在比较暗的地方进行测试。然后前面有个光点，然后它的那个整个头头盔上面是有那种光光点的，然后包括你的 PS 四的手柄。, Start Time: 1315170
Text: 对，为什么要加入一个光条？其实我觉得得在后面是是有用这个 VR 是是配合着，其实是可能是先前就设计好的这个这个事情，包括大气 PS move。其实这个也是可以用他们光学那个摄像头来捕捉的。对，没错。对，但是如果就我们在 SCE 总部，就是体验那个 moface 的时候，, Start Time: 1336020
Text: 还有一点特别要注意的一点。就是说因为很多人玩的时候，他特别激动嘛，因为他有一些有小游戏，是好像下一的那种很很激动。然后他那个因为有些人头小，嗯，他带的时候它会有晃动，嗯，它一旦站起来，然后使劲特别激烈的在玩那个游戏的时候，它那东西不会松嘛。啊，首先你的手会去照就是扶那个一影响光照，, Start Time: 1357160
Text: 然后去扶那个头戴显示示器。但是一旦你扶的话，你就遮住了那个光的感应点，然后那样的话就是就会导致你的不会断，但是会导致不稳定的。这个随随后很多动作判定就做不对。所以所以他那个东西有一个大忌讳，就是你手一定不能够往你上边这样遮遮住这些地方来，就是这样。对，然后还其实这是索尼的系统，, Start Time: 1380820
Text: 还有一个很有趣的地方是它是通过就是颜色来判断，就是 ID 的。嗯，就比方说你有两个人对战的话，它可以他两个人的那个光，两个人的头显，它的颜色是不一样。嗯，哦，是这样，就是颜色不一样的话，它就是往判断。所以手柄为什么那个光还能换它和那你的头戴显示器是会同步的，, Start Time: 1404470
Text: 那个东西并不只是照着好看是吧？对，其实并不是这我估计这真是索尼之前早想好的一套，挺大的一个企。对对对对，然后对嗯，然后说完这个 office，然后咱们再让台布和讲讲这个 waf 这个作品，嗯， APC 的外部这东西西准确技技术上完全是完全是沃五做的，就阀门做出来的一个技术。, Start Time: 1422370
Text: 但是它的那个技术很有趣，它就不是说光不是说类似于就是那个就是索尼或者是奥克斯那样用摄像头的。因为摄像头这个东西它有一个问题，就是它摄像头它要涉及到就是 computer vision，就是所谓的计算机视觉的一些东西。因为你要你要把摄像头里面拍摄的东西处理成一个就是移移动的话，, Start Time: 1443330
Text: 它需要电脑来进行处理，进行运算。对，进行运算。就是比方说 PSI 它是一个全色谱的摄像头，那它运算运算的那个就是运所需要的运算就要比那个就是红外光单纯红外要多。嗯，啊我能不能这么理解，就我不知道大家懂不懂啊，就是我以我这个做设计的角度来说，就比如说 play station VR，, Start Time: 1466040
Text: 它就像是一款这个 photoshop，然然后这这个这个这个 oylus drift 它的红外就相当于是 illustrator，它一个是矢量运算，一个是位图，运算就是明显 play station VR。这个似乎啊运算量要更大一些。对，没错，就是运算上确实要就就是要确实要更大一些。, Start Time: 1488520
Text: 嗯，然后外部这套系统就是特别有趣的，就是它用的并不是摄像头。嗯，他用的这套系统就是 wow，它有一个名字叫 lighhouse，就是光房是吧？ lighhouse 实际上是那个灯塔的意思哦哦，这么用对灯塔的意思就是说它有两个基站，就是两个基站，你可以摆在那个摆在房间的两个位置，, Start Time: 1508280
Text: 就对称的一个位置上面。然后每一个基站它会发出两就是发出两道激光，两个激光是互相垂直的。对，然后那个呃外部上的就头显和你的那个身你的那个控制器上会有那个光敏传感器，嗯，然后光敏传的那个点很多的那种点。嗯，然后光敏传感器就收到那个激光之后，就每一个光敏传感器收到激光之后，, Start Time: 1530750
Text: 他就知道了他自己的那个就是光敏传感器跟那个基站的角度哦相对的位置不一样。对，然后然后通过三角定位的方法来确定哦，所以就是指还原成最简单的数值，然后运算效率就高了。所以说它没有就是没有光学，没有计算机视觉成像这一部分的话，它效率就非常高。啊，这就是说特别简单的方式，, Start Time: 1553730
Text: 跨过了一个很复杂的一个过，就是我们都想复杂了，我们都想复杂的对，而且这所之所以我们在里面感觉同步率很高，可能就是这个原因然是一个传输效率。这些东对它效率特别高的话，它的延迟就很低。因为计算机它处理它有一个处理，计算能力量越大，它的延迟就越高嘛，它延迟就很低。, Start Time: 1576530
Text: 所以说外部到现在为止，应该是整个三家里面就是体验最好的最原外如此啊，我特别想说那个就是控制器这个交互的问题就是三家。我记得奥 clolus 是一个叫奥克斯 touch touch，克斯 autouch touch，然后他这个东西有触摸有扳机。对，没错。然后呃就实际上就是说你如果说这种就是 VR 的这种就是体感手柄，, Start Time: 1596280
Text: 应该可能最早的是应该是 we 对对，那个就是 v 的那个双节棍。嗯，但是然后后来就是大家就是三家不约而同的就用了一个就两个个手的的立的一个个子子后，确实对棒子在用。就是偶尔也是奥克斯对奥克斯有奥克斯 touch，然后索尼 PSVR 有 PS move。然后五它有它没有名字，, Start Time: 1623280
Text: 我们就一般叫是 viy ve controller。嗯，但是我特别想说 vive 这个，因为我是那个 steam 信仰嘛，然后我一直想买那个 steam 手柄。嗯，然后我我觉得那个他使用的那个手柄上面那个触摸板应该就是手柄的，就是 y 五那个杆子，那个上面也有一个圆形的触摸板。, Start Time: 1644860
Text: 对对，然后这个触满手柄应该就是那个手柄的对，这个触吧，然后后面也有按键，所以我觉得双方就是搞的都是大棋啊，真的都是大都是大旗，都是大旗。对对，因为就是 VR，就是虚拟现实，它本来就不再是一个平面上，就是你看着一个盯着一个个幕，这这样一个游游戏。对，它就是一个三维立体的一个东西了，, Start Time: 1663440
Text: 就是你在一个空间里进行探索，进行交互。对，它就就是在用鼠标键盘或者是手柄就不太合适。对，然后就必须有一个就是有一个全新的一个交互模式出来。对，当然这个交互模式我们有很多种。比方说简单的，你比方说就是用手柄，就是用那个就是就是那种两两手分离的手柄，你可以拿着它到处走。, Start Time: 1685750
Text: 因为它有一个明确的一个就是业那个叫做呃业内做做做做所问的 trigger，就是所谓的事触触触发触发机制。因为就是按钮嘛，你按一下就是就知道发一个手柄，触发一个世界，所以说这是一个方法。还有一个方法就是说我们有一个就是我们可以搞一个就是一整套动作捕捉系统。嗯，, Start Time: 1706810
Text: 就是大家可以看到自己在在那个 VR 系统里有自己的手了，有自己的身体了啊，那就需要你很很精确的捕捉这个四肢了。对，没错，就可以 connect 那种东西可能不够。嗯，对对，然后然后进行一些交互，然后还可以比方说用一个就是 limotion 那样的东西，嗯，, Start Time: 1730020
Text: 就 live motion 那样，只捕捉你的手，然后再然后只有手对 VR 进行交互，嗯，这都这都是这都是未来的未来的一些方式。他可能就不是单纯的，你可能你只能手。对嗯对，现在 VR 就是说很多 VR 游戏可能只能看。对，但是说未来的游戏就不是这样，交互就更复杂，, Start Time: 1748040
Text: 如候日课堂堂些就只能看，不能摸不对，但是大家都想摸。对对，可以理解。对，可以理解啊。还有一个事儿，我特印象特别深。因为我和一个朋友说过，嗯，对他他在 CG 上带带。嗯，他一直觉得就在就是这东西最大的门槛在于戴的感觉特别差啊。他当时 OR 我觉得分人对不止分人，, Start Time: 1767600
Text: 我觉得首先是分设备对 OR 太差。对，因为 OR 的，所以 OR 那个那个头戴每个人我认识人都说因为他是欧洲人头型。嗯，但是我觉得吧他就算是可调节，我带着也太累了。呃， DK 二确实就很重对，特别重。然后它可能还是比较原始，相对于其他的品牌来说，我觉得这个没必要担心。, Start Time: 1789310
Text: 嗯，因为因为我觉得说明用型一定会改，因因其其实外围也稍微有点这个问题。对我和这个 OR 都有这个问题，但是他们都是开发者机器。对，都是开发者先行者受点苦，这个可能没什么没有办法，但是消费级可能会改进。对对，没错，就是反正就是现在为止就是 offthree 是要出 CV 一了嘛，, Start Time: 1811090
Text: 就 consumer vergeon y。嗯，然后大家试过都说都说确实在就是说改进了，都说说改进了。对，但是我觉得这个时候一定要说索尼的 PSVR 就神了。对，因为我是对我没想到这个 moice 这个梦神在在初初试验验器就已经考虑了佩戴的人体工程学。对，就是它跟就是我觉得我们就是说一下嗯，, Start Time: 1832230
Text: 就得说明白，其实它是两个轴的固定，对，它一个是这个适应你头直径大小的一次固定。然后固定之后呢，他这个视据会前后拉嗯，是这样一个节奏，很简单的了。对，非常的简单，这样的话眼镜就不怕了。嗯，就是目前三三个就是这三个大的 VR 设备里，我见过的眼镜师，我觉得最纠结的真的就是戴眼镜。, Start Time: 1853890
Text: 对对对对对，就没想到痛苦，戴着克斯，没想到索尼上一个解决了。我当时就觉得，毕竟毕竟索尼本身也是一个以工业设计见长的一个企业嘛，它跟跟 oluolus 和这个阀门都不一样。嗯，对，就是克的阀门都是属于就是以前没搞过音乐设计，现在搞一个超快猛的东西哦，原来如此。, Start Time: 1875960
Text: 对，当然索尼对有大企业一步一步的已经想好了。然后其实其实 oluc v 一它就是体验过的人说这个戴其实挺舒适的，就是跟戴一个棒球帽差不多哦，是那样的一个感觉的东西。对对啊，那果然那我能不能再问一个另外一个领域的问题，就是说我们刚才说的这个整个头戴显示器佩戴了。, Start Time: 1894480
Text: 那我能不能说一下它这个显示器本身它有两个镜片，嗯，就是我之前一直在想， VR 的设备可不可以实现那种我戴眼镜的人摘掉眼镜，它可以自动适配我的这个眼睛度数呢？有可能吗？呃，就是这个镜片就是当时 oclus 出 DK 二的时候，实际上是给的就是给了三个不同度数的镜片，, Start Time: 1914500
Text: 就哦就可以更换度数了。我在在屏屏幕上实现硬硬来实现现就对，就就是给的不同的镜片。但是说就是 CV 一，我不知道是不是还有这个设计和可可能没有的，就是大家有点简单粗暴，这模式只是说是能让你戴眼镜用了啊，我明白了一步一步来，我们一步一步来吧。就是我以前我就设想过，, Start Time: 1936170
Text: 以后以后卖 VR，就是投影的地方就是一个眼镜店，然后大家就配自己的镜片就行哦，这也是一条可能性。对，嗯，然后还有另外一个技术上的问题啊，就是说很多佩戴过这个 VR 显示设备的人都会有一个问题。就是比如说他们先测试了这个 oculus，他们说哎这分辨率好低啊，, Start Time: 1956630
Text: 哦，当然他们可以理解，因为这是几年前的产品。对，然后后来又试了 play station。 VR 说，哎，怎么像素点还是如此之有的。然后但是明明其实它的分辨率是幺零幺九幺九二零乘一零八零的这个这个没问题。但是为什么我们还能看见那么大的像素点？对，其实这是另外一个概念，, Start Time: 1976670
