Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散没了。, Start Time: 27690
Text: 效率还是可以的。嗯嗯，然后这个这个作品就是初代嘛，主要就是那个时候确实是业内也没有这种系列的游戏，没有这种类型。对，而且就是可能考虑到确实会给玩家特别一个新颖的一个感觉吧。对，可能就是这就很顺利，其实还是挺顺利的。第一种嗯，因为这也是当时那个横锦金瓶所开创的这么一套，, Start Time: 591290
Text: 让游戏走成年这种路线的。嗯，他更支持于这种那种剧情厚重的呀，这种比较成熟题材的东西，而不是以前第一开发部那种更低龄向更卡通的那种，嗯，就更想面向于成年。对，可能那块比较主动想要推这种东西的。其实那个火焰文章初代是有副标题的哦，叫暗黑龙与光之剑。哦，哎我以前一直不知道他那个 FC，, Start Time: 613670
Text: 反正有副标题我是去玩了 DS 我才知道其实一直一直有本而 NDS，我并没玩就澄听一下的。其实初代的销量呢大概有大概三十三万左右的销量。其实相当在当当时来说是相当不错的产品。嗯，因为当时网络还没普及，已经很不错了。对对对，而且它毕竟创造了一个新的游戏的一个类型啊，, Start Time: 639360
Text: 而且就剑嘛，然后龙其实还是挺挺主流的对，那时候挺主流的。对，而且我记得就我我差一点，我小时候对，就我玩了，不知道是不是第一座。嗯，我玩的是 FC 上的一个嗯就封面一个男的，一个女的，然后有一行日文的那个字哦，你说的那个是索菲亚的复苏吧，它是一个外传形式的产品啊，, Start Time: 662520
Text: 就不是这个不是这个是吧？嗯，是那个初代之后，系列对嗯初代之后研发，反正它大概三十三万的产那个销量之后嘛，嗯就是开始继续做续作嘛。一看西蒙就是有钱人啊，小儿能玩这种东是是我哥带过来的。听懂没听，应该是从别人那儿借的，因为当时就是都玩什么四合一，然后二百一多少合一那种就是那个单卡这单卡，, Start Time: 684120
Text: 然后里面就是游戏类型完全不一样，当时非常震惊，我操，就是当时最最多最多也就是接触过霸王大陆那样的。但是对于这种战机游戏真是头一次接触，而且它里面画画画画面复复色都特别漂亮。对这个游戏其实在国内的玩家基础还是蛮大而为。大部分复家可能就说说听索索亚复苏苏这名字字索菲亚复苏苏。, Start Time: 707070
Text: 玩过过玩过，哎，然家都玩过吗？积累了一批 e 就是索索嗯，不是索尼那个粉丝，就索索嗯啊索就是啊索菲亚。对呀，索菲亚啊，他这他这个游戏的话系统做了一点小的加强。就是原来他没有一个就是固定练级概念。比如说我打了这个狙点之后，像初代它是只能打一遍。嗯，而这个游戏是可以反复练，, Start Time: 727830
Text: 对它可以无限的练级。对，它最初嘛就是村人就不断的长涨。对，到最后又变成村人，然后全部属性练完了，嗯，很牛逼的。嗯，但是这一点对于当时的游戏的一个市场来说，玩家很认为这个是破先先进。而且我觉得可能这座可能其实有点破坏了，就原有的那个就是第一初代的那个难度的那个感觉。, Start Time: 753340
Text: 对，因为日本人本身也是太保守那种，你就是有个大变动，我靠。对，无限练级是什么概念？就是是说白了就是正常的话，你可能整个这个剧情流程下来的话，他的经验就是固定的，就那些兵。对，就是那些兵，但你无限练的话，你就可以去呃就你可以把人物等级变得很高。对，就因为因为我记得啊火文其实还有两个特色。, Start Time: 776220
Text: 你刚才咱们没说，咱们可以放在这说一一说，就是其中一个就是这转职系统，这是他首创是是都是是从第一代就有吧，哪怕是后期的梦幻呃那个同类作品，梦幻模拟家也是最近啊，对，也有转，它都是最早对。然后包括后来咱们中国台湾，他们做的那个啊炎龙之类的啊，炎龙之类也是其实都是。, Start Time: 799740
Text: 嗯，对，然后还有一个就是那个剑斧，还有那个武器相克系统，枪克系统，剑斧枪是从火焰纹山一代就已经有了吧。对，最少是有嗯，它是个枪枪克剑对枪克剑剑克斧、克斧和枪，对斧和枪为什么呢？枪比较长。对我觉得这种剑剑我我小时候真好好想先说剑，为什么？克斧吧。我觉得剑最早大家主角用的都是剑。, Start Time: 821870
Text: 对，因为可能我是小时候这么想的，用用斧的人比较野，用剑的人应该邪恶点套了我，所以能克斧。然后用那个用枪的话呢，枪比剑长，对，枪克剑这个两个两个都是文明人的话，没有枪克剑好解释是说枪比剑长啊，其实这种物理物理情况来讲的话，枪比较长，对吧？刚刚你也说了，嗯，那我一斧头把它砍砍断了。, Start Time: 849970
Text: 嗯，但为什么剑不能把枪砍断了？他那个机头剑的是全铁的斧头带木头柄难，那肯定是比较剑。从这样看的话，其实从这个武器的重量上来来看，就是说剑其实他面砍不断，对他那个质量没有那么大的，很难把这枪砍断，还是符合常理的。对，符合常理的嗯，包括这个剑克这个斧。其实我想过就是说剑双刃剑从这个挥动这个剑的这个角度来看呢，, Start Time: 874090
Text: 就是说他格挡完之后可以进行一个反手攻击啊，就是说会更灵活。对，所以说一般情况下，剑用剑的人他速度高一些，他可以就是追加一次攻击嘛，那也是有有科科学。对对对对，用剑一般都会射的更快一些。对，这个科这个武器相克呢是颇具争议的。但是像他的魔法这个东西，这个东西这个大家都能理解，, Start Time: 900620
Text: 反正我光是坑暗的嘛，这个肯定肯对，可暗暗剑克克理离肯什么克里呢？对克什么暗？为什么克里暗魔法力火火么？火水水冰风火水攻攻。对，所这个个正人比是说我正正魔魔法师，我定定被黑暗暗所侵蚀的那肯定也是很就是顺理成章的。我永远就是我一个正常的魔法师，我被暗黑侵蚀了，, Start Time: 922640
Text: 这正他们那我需要有来光来拯救，对吧？啊，我是这么想的，就是暗克里是那因为暗特别坏，嗯，坏就克那些普通那么学知识的人。然后呢，锂为什么克光呢？因为你光的他妈神神棍，然后后是以科学学道理，所以说光的自然暗素，我就是克，你怎么着着吧？这个我想起它就是神棍。我想过一下，, Start Time: 945620
Text: 就是光克暗，这个肯定是没有什么说的。对，就是光明克黑暗嘛。然后关于锂呢，它是属于一种自然元素，自自然素素生成一种魔法嘛。然后懂了，然后这个它其实没有别的魔法能克他了。只有暗魔法，它可以有一些超出自然常识的魔法法。一般物物出现就是来破坏你的树，什么都烧了枯了。, Start Time: 969130
Text: 所以说一种超出自然常识的这种东西来可以克这个暗。然后它为了平衡一下，就是三系平衡嘛。对，所以说这个产生一个元素，理克光光实坏了是吧？对，其实你克光这个我是理解不了，就是这个为了这就是说理克神棍嘛，不光光说正常的人把光系的一些，比如说我这个贤者给干掉了嘛。一般正常的魔幻类小说也都是这么写。, Start Time: 989690
Text: 对哦，所以说玩家更能接受这种东西。对对，它属性枪克就给玩家带来了各各不同同的这个战术的这个尝试。而且我而且更更有特点，就是说这个枪枪斧剑这三个它都有反反斧克的东西，所以说更更又多了一些，就不是有一些专门是破剑枪。对对，箭炮剑不是破剑枪枪，这对破剑剑。对对，, Start Time: 1013520
Text: 其实是他机击 a 时代已经有了这个可能大会家待会儿再说，待会儿再说啊。对对对，嗯，就更丰富一下。你这个哎那个天马被破克那个是什么时候出来的？因为为是是飞的，对，一直是可攻攻克，初代就是弓箭，就是射鸟。对，关箭箭就是弓箭，是它自适应，就是克镜飞行飞行单飞行单位。, Start Time: 1036620
Text: 对，尤其极其克非常强。还好就是说龙骑士他护甲高一些。对对对，他不会被克的那么惨。所对对，那个天马也是一个妖精手法，对，他怕魔仿。对嗯对，就是有一个东西好多哎汉化组翻译的叫菲力的守护，这是你们翻译的吗？这个是个梗吧，具体是某个索索大直接接么？故故意的是故意的。, Start Time: 1058560
Text: 嗯，我长大学完日语以后才发现被骗了很多年。这个这个这个东西是个好东西啊，这东西是妖妖精的护身符。嗯，那咱们这个还是言归正传，咱们接着学说说这这按按照时间说说。嗯嗯，刚才咱们说这索索索范们喜欢的这个索菲索菲亚的复苏吧。对对对，然后到了九四年的时候又发售了一个，, Start Time: 1083590
Text: 其实那时候已经有了一个新的主机，嗯，家用机嘛嗯嗯 SFC 嗯，然后当时呢就把这个暗黑龙与光之剑整合到了这个星座里面。嗯，其实暗黑龙光之剑就是前面二十张，后面新座的游戏就是后面的一个半张，也是讲的马尔斯那个故事就是文章之谜哦，他等于把老游戏和新的游戏给重新混合了一下。, Start Time: 1110060
Text: 对，混合了一些剧情又多了一些，我我明白白就挺受欢迎的。当时卖的也差不多，在这个网络播放那的那个时代大概要七十八万。对，那会儿人就喜欢相当不错。那会儿人就喜欢这些以前玩过的游戏，在高性能的主机上再推一遍，画面又比这画面画面更好了。因为日本人也比较保守嘛，所以说稍微留一点。, Start Time: 1135180
Text: 汪微微创新还是对对老玩家接受，而而且其其实从文章之谜也是完全也是按照就是初代那个难度来设置的。所以说可能更能赢回老玩家的新对啊，难度上又有一些提高。对，所以说我们看这个系列啊，就是从这个前三代来说，他每一代其实中间间隔甚至都不到两年。对，所以说这个游戏其实当时来说应该是也是坐起来了，, Start Time: 1157040
Text: 坐起来了吧，已经有一大部分的粉丝群体了。应该是毕竟那时候喜欢玩这个，就是说在没有这种战棋类游戏之前，可能大家喜欢玩这种就是说国际象棋啊象棋之类的。其实嗯棋类爱好者可能玩这种就是说偏脑力策略的这个 RPG，可能更而证明他不的很沉迷。对，很沉迷。有些人就喜欢证明自己的智商的那种，, Start Time: 1181350
Text: 所以火焰是不是那个年代开始就已经成为一个任天堂的一个必不可分的一个哎对一个全个品牌了，对一个品牌了。嗯嗯，而且这个游戏其实特别耐玩。对，就是因为你想把把每个人都想就是说都想让他牛逼一下，所以说可能要反反复复要打好多遍。对所以说他这个三座成功之后呢，嗯就是驾鹤招三，, Start Time: 1204640
Text: 他准备打把这个产品打造成任天堂的一个就是全民化的一个 SRPG 的一个策略。嗯嗯，全民化怎么能全民呢？就是 DQ 那种全民化是吗？就是国宝级都在玩国民级的。因为当时他所在的 IS 会社里面嘛，就是有一个上层管理恒井军平嗯，就个莫非尼熟悉，反正就是说他那时候等于是一把手之类的角色在里面担当嘛。, Start Time: 1228180
Text: 他当时正好跟加贺招山有一点点的矛盾。对，就是在这个点上，嗯，但是恒井应该是加贺的上司。因为那个时候横井的那职位非常高，恒井他带出了一个火焰文章，还有一银银河战士，这就是两个成年系的两条路。那恒景这个人呢他比较倾向于就是说制作比较简单轻松，还有那个乐趣性的一个游戏类型。, Start Time: 1255920
Text: 嗯嗯，这样正好跟加贺招商的大世景观，丰富的角色等等史诗级别的作品相搏啊，然后两个人就有点分歧分歧。加贺是想做一些就是历史观，就是更厚重更厚重啊，对，然后就是更深邃一些的作品啊，然后难度更高一点。对啊，其实当时阵容挺他挺强大的，他加贺找到了那个田中芳术，就是写银河飞云云传的那个作者啊，, Start Time: 1281270
Text: 包现在这个一二三战记嘛啊，对，反正就原计划要写三个部分，就说三个部部分。对，比如说就是辛尔戈德那个历史嗯，以及就是他的儿子的复仇啊，以及十二魔将啊等等的这个秘密三章的一个东西。对，庞大了这个东西就当时已经企划了这么大的一个一个一个说对我这个好有既视感，脑洞脑洞开大了，, Start Time: 1309930
Text: 然后两个人就不断拉锯战嘛，时间在一点点的过去。然后到了这个九五年的夏天嘛，韩景君平觉得这个两年他有一个期限的嘛，一般都说我这个管理层肯定会给一个制作人有一个期限。对对对对，是对，然后就说这个时间不多的时候，他得卡了。对啊哎，等于说说大刀阔斧，你尽快的把这个作品出出来，, Start Time: 1335750
Text: 我再不能给你耗时间了，到时候公司要赤字的。嗯，每年任天堂有多少赤字的，今年才开始。其实对，这也是卡在那点儿上了。对，这是正好在 s 超人的末期期。嗯，而末期他本来就是就是匠人风格跟这种就是现实世界商业的东西没有办法。对，然后横井君平在这个时候就开始接管了。, Start Time: 1358510
Text: 接管之后就原来来就是史诗诗级的些设设定啊，东西的尽量简化。然后终于到了这个九六年的五月份，嗯，就出了一个叫火焰纹章，圣战西部的游戏，嗯，就是系列圣战西部。对，但是他世界观已经变掉了。听说到圣诞戏谱的话，它是其实褒演不错。对，是不错，有褒贬不一嘛。对，它就是世界观的话，, Start Time: 1380730
Text: 其实剧情来说的话，它只有十张。嗯，就是所有作品里面当中最短的最短短占地地图当当。嗯嗯，那敌人也特别多，就是就是这个干起来特别爽。对，就是打起来特别爽。嗯，但是你想就是研发的东西少了一些，嗯，明显是制作团队砍剧情堆关卡。嗯，对，加入更多的敌人，让你加长游戏时间，, Start Time: 1406740
Text: 就是属于褒贬不一嘛。可能好了一点，可能马老师觉得挺好的，没有他吸。其实吸引一些新的玩家的话，也有一些新的手段。对对，就是太核心项的话，有可能就是做下去。可能嗯但这这东西已经这么多年了，我们也就是简单说一下官方怎么看呢？对于这事嗯对这事的话，其实他发售的销量也不多，, Start Time: 1434440
Text: 就四十九万套，嗯，等于是上一作的一半三分之二。嗯嗯嗯，对，所以说上层非常不满。嗯嗯，然后其实那时候哦也碰到了另外一件事，就横井居民内 VB 事件嘛，嗯这个墓碑也比较清楚的一个事情。像那个像刚才说他们这个赶上超任末期，然后本来说嗯本来说是这个圣战戏谱是出是为了能延长那个超人的寿命。, Start Time: 1454640
Text: 嗯，然后呢，当时就是横井就是使劲的推这个对就事之作嘛。嗯给他推了好多，结果一问他，哎，说你开发多长时间啊，要开发三年，我靠开花三千，这根本赶不上超人，超人就死了呀。那会儿，所以恒军也没有办法，那就那这只能催他，而且他还还在忙活什么，还在忙活加长剧情，加长剧情这种事儿是是最下策最下策的游戏开发中。, Start Time: 1482830
Text: 因为他你前期一直在弄剧情的话，你很多所有的制作你都无法跟对直在源等等，全都在等。对对，其实这种最不好的一种状况，所以那恒老爷爷子没没没法没真没办法。因为赶上那个刚才说的威 b 末期嘛，嗯然他他未必呢已经经个是出来就死了。对，这这么一大事压了他头上，然后这会又又又错一一件事，, Start Time: 1507380
Text: 嗯，所以他必须得使劲把这个给先起码也弄出来，要不这个跟上都上不了这个，所以他压力非常大，压力太大，这个压力同时又转嫁给了嘉贺身上面。嗯，而且当时任天堂其实他大的影响也蛮大的，就是说前有虎，后有狼嘛，就是一个 play station。对对，还有一个就是 n 六，, Start Time: 1531420
Text: 不是不是 play station，就是那个五星两大次世代游戏机跟他对着干。嗯，所以他比比较的就是尴尬竞地，在里面夹缝中求生存。而且那会儿是任天堂批出了大量的财力，去直接全力做 n 零四，所有的制作人都去做 n 零四。嗯，然后他们这边就没什么人可维护了。那么这个这个游戏出了之后，, Start Time: 1549760
Text: 就圣诞系补出了之后，这个销量刚才那个罗伊也说了，就是并不很理想，就等于说他没有到达这个旧事制作的这么一个效果，对吧？嗯，所以那结果如何，当时他主持加贺主持了三次那个 f 一教的一个活动。 f 一教。我这个提一下 f 一教其实早期有点像那个任天堂直面会的一个内部的一个形态，, Start Time: 1574030
Text: 就是说等于是面向任天堂内部人员。对对对，就是说哪些不好，把把好的点都集中起来，不好的点也总结了一些总结大会啊，批斗大会的人理解一样，就是个戏骨的时候醉了呀。我靠。他自己也认为这个戏谱是一个未完成品，是他他自己承承认马老师还喜欢呢，真的我没伤心过，你没挺喜欢，, Start Time: 1599690
Text: 这让不得不想起那个蝙蝠侠。那阿阿阿克汉姆骑士最近官方也承认，这就是个垃圾圾，也是公开道歉。你们哭去吧，活该你美。随着这个戏谱就是所谓认为是未完成名之后呢，当时九六年八月十五号的时候，嗯，恒锦君平也离职了，因为他的背负的责任相当重大。嗯，所以刚才确实恒锦君平也没有什么一个好的结果，, Start Time: 1622130
Text: 是努力确实也没有好的结果。是，虽然那个恒锦君平他的那个各媒体杂志采访说，他离职不是因为未 b 的责任，但是这这东西的谁这这这东西已经设成做成这样了，那估计可能内部可能也不太人心吧。对有关系这是有关系的。各各方面都有嗯一个大环境，然后一个内部环境嗯，以及他这个发售的那个产就是销量没有达到预期指标。, Start Time: 1649400
Text: 嗯，以可能众多因素导致他就是说离开三十年以上的一个供制的一个任天堂。其实红井他确实有也有他偏执的地方。比如说他使劲贯彻了自己的理念，就是虽然他这个理念最后在岩田聪上任的时候就又重新贯彻彻，就是还是他任天堂，就是那个用以淘汰的技术来进行水平思考的这种开发模式。, Start Time: 1676090
Text: 嗯，然后，但是那个像当时所有人都不支持这么做的时候，他毅然决然坚坚持这么做。然后所以他跟很多人也确实有很多不合的地方。嗯，当时老山内一直说要要到了，这一年代是要开发的 n 六四来去竞争那个 PS 嘛。对，然后那会儿就是他就他就坚决不参与。嗯，然后呢，他想叫那宫本猫过来做宫本帽，, Start Time: 1699380
Text: 也不理他，也要去跟山内做。那马里奥六四嗯，然后他这边就缺人，然后嗯当时他就就是在确认的状态下，他就去弄的那 GB 那那段东西嘛，嗯但弄了一些出来 VB 之后，就就就就彻底的就就完蛋了。嗯，其实当时恒景之民一走之后呢，其实加嘉贺招三，当时等于是如鱼得水。就是说本来我受制约与你恒景冰拼是没压力了，, Start Time: 1724980
Text: 这回没压力嗯，也不是没压力，就是说他能把他的想法灌起来，对我觉得是个机会了。对，使劲开始活活，就我能把我最原本的想法，最最最原本的想法实施出来。对嗯，其实也是上头给加鹤招三的一个压力，他要同时兼任两个火焰纹章的项目研发。嗯哇塞哦，那他哪两个呢？对，一个是就是多拉吉拉七七六嗯，, Start Time: 1752380
Text: 还有一个就是后期早期名字呢是叫暗黑巫女。暗黑巫女其实就是封印之剑。对，封印之剑七七六是哪个平台上的？ SFC 上面的一个哦，就竟然都已经快到 n 六四时代，但是依旧还在在做超人的游戏。因为当时暗黑巫女是打算在那个 n 六四四上发行的一个。因为当时 n 六四上有一个 n 六六四四的游戏，, Start Time: 1777980
Text: 六四 DD 的贝业务，所以说他等着等把这个东西认为是一个救命石嘛，哦把它来试验一下市场。嗯，这东西是干嘛用的呀？这个东西其实是一个外设，嗯，然后就是说你可以免费拷贝，就是你买了这个外外设之后，你可以拷贝 coy 多多少钱拷一一个东西，当时是在实体店拷贝哦，, Start Time: 1801910
Text: 明白，因为那时候没有网络，就跟现在数字下载似的，但是你还得跑过去考啊，之买前这有这卫星星嘛，之任任天这边还有卫星星载载啊，他也走一些这个搞挺超前的一些东西。对，进来弄这事儿。嗯，但是 n 六四四其实当时在日本发售遭遇了非常冷淡的后果。嗯，主要原因还是因为它可能卡带的容量吧，, Start Time: 1823110
Text: 容量卡带容量推出时间太晚，然后性能又没超过 PS 的那么多。对，其实最最重要还是第三方支持少一些。就看你卡带容量，在卡带容量大家就不干了啊，上那谁，史克威尔他们就就就不跟他们原来跟那任天堂签约，就全都最终幻想在那个任天堂上做嘛。然后后来就因为卡带的事儿，就跟他们毁约了，, Start Time: 1844900
Text: 全去做 PS 去了。嗯，做的漆嗯一下人家全火了。对，其实七七六在业内来说的话，七七六应该是极大成就，就是应该是大就是说应该是玩家里口碑最好的一座了。对，就是他真的是嘉贺这个理念完全贯彻下来的一部作品。对各方面啊，这个游戏当时发售的量也大大概是九十万份左右，, Start Time: 1867420
Text: 等于是哦相当高重新回到了一个顶点，就挽回了这个上一次失败的面对对呦，那他还嗯那还真的证明了自己说那个对恒景不在他自己牛逼了，而且七七六难度应该也算是相当高的一座那个难度了。对，七七六嘛，这这就虚容到头了完了。嗯，但是他同时兼顾了两个游戏，他也挺不容易的。他做完了这个游戏之后，, Start Time: 1891440
Text: 其实 n 个六十四上那个提案，他根本就没有通过嗯，很困难哦，就是把经历还是就没法儿那个一心二用。嗯，然后他就离职了嘛，他离职还挺有意思，即使他想把他当时那个下属也带走啊，没带走，可了不得了，没带走，但是没带走走。对，当时年强文化了，当时陈广通嗯等于是蛮会用人的那种。, Start Time: 1915320
Text: 对，然后他一走嘛，他一走之后就开始，本来是 n 六十四上推出的那个暗类物理转到了 GBA 上，转到 GBA 上，然后就一下就全广通，一直怀着这个心的，你等着你走呢，我也我能拉着团队啊，倒倒不一定是这样。其实呃咱们之前也说到了嘛，包括这个嘉贺跟这个永俊平，其实他他性格上其其都有有有不足的地方，, Start Time: 1940150
Text: 其实他俩都挺强势的。嗯，对于下属，包括对于这个就是都挺那个硬碰硬那种感觉。嗯，但是到这个全广通，可能他就是比较会做人比较圆滑。对，比较圆滑，其实团队里还是需要这样的去做一个。对对对对，他能制作人还是应该这样的呀。对，还是这样。对，太有个性的话可能能做出一些精品，, Start Time: 1965050
Text: 但是不一定能长久下去。对对，其实江鹤超他们当时走的时候特别不甘心，这个也非常可惜。原本以为能带走，我能结果变成裸辞。原本以为能把他的得力干将带走，结果嗯然后江河招商一走的话，就是从广东开始接任接任。嗯，其实陈广东这个人的话，其实他刚刚马老师也说了，就是说他这个人比较就是容易得人心这种对，, Start Time: 1985650
Text: 还得懂得使用那任天堂的资源嗯，没必要非得走的。而且其实说说白了就是上次一走重担压在他身上，其实他对于他来说也是一个挑战，是一个机会，是一个机会。嗯，对，所以就是我们现在要说一下，就是说这个 GBA 这三座吧应该是变革的一个时代。嗯嗯啊 GPA 的话，其实当时正好是往日本网络开始发达的一个时代。, Start Time: 2016180
