Text: 利息朋友饥饿 APP 终于上线了，激动疯了。 IOS 用户在 app store 中搜索激活二字即可，直接下载，赶紧下别废话。我叫很高兴认识你们。大家好，我是电脑娱众。大家好，我是做索尼电娱娱乐的负责人，天天无人 i 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻聊游戏也能长知识。, Start Time: 150
Text: 但是少女并不理解。对，嗯，就是讲还是讲是复仇隐隐晦啊，对，非常隐晦，就是你被杀了对吧？呃，就是搞他是这个意思，就是复仇的意思。然后这一块呢就是说我们可以来谈一下，就是关于暗月之剑的这个呃就是组织在一代和三代之间分别的一个所代表。一个含义是什么？嗯，一代的时候就是你最明显跟剧情实际有关的，, Start Time: 408110
Text: 其实是什么呢？是就像前面那个破王王说的，破除幻象。对呃，你一旦破除幻象，你就是诸神之敌，为什么呢？嗯，很简单，因为当时一代时候格文德林核心目的目的是什么？他要去维持这个王址，是的对吧？我们所说的那个太阳王女的幻象是他做的，这个是有一代考据的，这个我想不用多说。, Start Time: 432120
Text: 对，还有一个就是你如果说去攻击了格林德林，格文德林是个神的，然后你一旦把他给干掉了，那当然那个黄衣的那个暗月之剑的那个那个妹子就就会来找你算上。嗯，这是肯定的，他那个衣服叫黄昏套装啊。对对，我这边这边的话是在你在三代也可以捡。哎，对，可以捡到，也是在暗月暗月之庙，, Start Time: 452940
Text: 对，他叫黄铜啊，黄铜黄铜可以讲。然后这上面解释就也跟一代那个解释差不多，就是用来遮挡自己身上可怖的伪伤痕。还是那个就是因为一代提过说这个火房女的本质非常可就是这个扭曲啊，对对，不太好啊，可能这个意思啊，所以就火房就是王成火房女穿这个可能就是这个哥伦德林给他遮挡他这个火房女这种。, Start Time: 471460
Text: 对对这这种感觉。而且从一代来说的话，就是信奉暗乐之恋人应该挺多的。为什么？因为你一旦破除王成的幻影，会有两个不同国家的一代的一个已经灭亡的两个国家的骑士会来找你算账啊。对对对，他们会来打你。对对对，然后三代呢三代这一块就非常少了，就为什么呢？因为暗月之剑他已经就是龙女说过，, Start Time: 496870
Text: 但是从这个正式的歧视，他就这样说，你是唯一一个正式的最后一个，也就是说西里斯可能不那么正视。对，可能不是一个可能真的不那么正式，因为他是薄暮之物，因为他甚至自己没提过龙女这回事。对对，然后龙女说你是唯一骑士，他也不知道西西里斯的存在，但但里就非常奇怪，有点矛盾。, Start Time: 518470
Text: 但是我觉得就他们两者，因为他们嗯最主要的矛盾点是在于他们虽然都是暗月之剑，嗯，但他们居然没有任何交集，这就可能印证龙女说的那个话嘛，他就感觉是他一直在关在塔里外面，到底什么世界他完全不知道。而且个西里斯对可能是一心的想，是否还有一个线索，就是说这个我们知道这个游戏里交代了清教和青之守护者。, Start Time: 536690
Text: 是从这个因为我们看图图标看看出来，但是从这暗暗之剑发展上来的，而我们在二代的时候就有这个倾教一代，要要给观众就科普一下，就是一代世界清教的清教的一代是没清教的这为什么这个恭金高要把这个清二代的清教也做在这个黑魂三里。就是说他一他首先肯定是他，因为他是从这个暗月之剑发展之来的，, Start Time: 558470
Text: 所以他是有关系的。二、我们可以感觉到在二代里我们并不知道这层关系。也就是说，在这个暗月之剑的传承的过程中，他最后他这个意义已经流失了。对，变成了应教的这种，就是我互相帮助，也是帮忙打复仇也好啊。对对对，只局限这这了，他成了他做就是惩罚神，不信神，惩罚不尊敬神的人这一层意义。, Start Time: 576460
Text: 对对，这也印证了一点，就是最早这个尤尔西卡是吧？就是这个龙女他本身说是他是最早的这个教宗，然后他后来相当于是被被这个颠覆覆篡全之后，把他被加靠进的了。对，然后呢，他可能一开始的时候，他们贯彻的那个理念就是就是就是惩罚这些不信神的时破树幻笑了。但一旦他没有了，, Start Time: 597140
Text: 那真正的这个精神领袖现在发不了生了。对，那最后他就会自由自由的演变产生清教这些东西。所以西里斯可能也不，他虽然是暗月之剑，他可暗暗之了，他根本就没有沟通过，没有见到，不知道这层意思啊。对，是的。因为龙女这一块的话，其实他有说过，嗯，他是被莎莉万一旦你进贡过足够的耳朵之后，, Start Time: 617260
Text: 嗯，他会有一就是莎利万给篡夺了教宗之位。是的，是这样子的。对，然后其中有一个就是要罗一兰，就是当中那个就是伊尔希克所在位置叫做俘虏之塔。嗯，它下面是通的，嗯，然后有几个比较重要的点，可能我们要点一下，一个是绘画使者套装套装。这个我们要解释的是什么呢？就是一代有一个地方，, Start Time: 637690
Text: 特神奇的地方叫做绘画世界。是的，画中世界，画中世界它是怎么进去呢？就是一代有一个就是你开始的那个地方呃，叫做不死院，不死院，叫个方被北方不死院。然后你呃刚开始游戏的时候，你就从那边就是到罗戴兰那边。然后你满足一定条件的时候，你可以从罗德兰再回到这个地方。对，, Start Time: 660910
Text: 然后你可以在那边拿到一个人人偶人偶，然后你在阿诺尔隆德那一一幅画的前面。对呃，你可以调查，调查之后，你就会被吸入这个画龙世界。是的，然后这个画中世界最后的一个暴龙龙女，有个龙女。对，就是这个呃守绘画守护者。这个衣服上说了，他们就是来守护这个画，对不让人靠近他们的任务是这样啊，, Start Time: 681450
Text: 在王城中我们打会打大量的这个绘画，守护者在这个画前面这个。对，没错没错没错。然后在绘画守护者就是说为什么要提一代这个东西的？因为一代有个很至关重要的角色，叫做我们前面那期两期节目有提到过叫半龙狐狸希拉会提过这样一个角色，为什么拿他来谈呢？就是可能有一些玩家没太注意，, Start Time: 701860
Text: 就尤尔西卡他是一条尾巴的。哎，对对吧？我们叫他半龙伴龙世界，就是因为从他尾巴看出来，他自己自己没说说我是吧？对他没说他是伴龙，你只能从他的只言片语里面知道有这样几点。首先他非常天真烂漫，他不知是就是物外面世界是什么呀？你刚到那边，就是说跟他多绘画几次，他会跟你说呃，, Start Time: 720780
Text: 你是不是？所以你是哪儿？你是天上飞过来的吗？对，你是鸟还是龙，你怎么你怎么来？对对，然后他会提到什么？呃，你如果说是的话，骗他对他会很开心的咯个笑惊啊，割个笑。然。然后呢，这个跟那个就绘画世界的龙女所处的环境可能很像，因为一代那个龙女她也是被也封闭。对对对，, Start Time: 741140
Text: 就他是算是待在那个化中世界里面的。哎，我有一点主动，有点主动，他要你离开这位，你第一次碰见他他不会攻击你。他说你走吧啊，我们没有必要战斗，你赶紧走了，但是你可以选择不走，跟你不不不属于这儿。因为我要白银白金白衣鸟飞，他还一直说，而且当时其实非常想吐槽，就是那里面怪其实挺狠的，, Start Time: 761170
Text: 有各别几个怪，就包括鸟人，包括我们后面要解释释鸟人啊，因有我们后面那个车轮滚滚那几个特别狠。然后普利斯来就还跟你说啊，我们这边居民非常平和。对，但是你杀了我那么多次了，你跟我说她会平和在逗我呢。但呃就是说一代这个普龙，我一代这个妹子呢，就是说伴龙那个妹子。, Start Time: 782230
Text: 呃，虽然我们现在没有直接证据啊，证明她和就现在又比尔西卡有什么关系，但至少我们觉得他们之间肯定有着千丝万对隐藏的里面很多的暗示。比如说你说这装备掉在这个尤尔西卡的这个交魂地面。没错，那什么是半龙那边的有关系的装备备在那面侧，同样也是有尾巴，显现出了龙的一些特征。, Start Time: 803290
Text: 对，还就我们前面提的绘画世界使者对他们全部都是相关的，说明他们肯定是有直接联系。在这个绘画世界也是一个冬天的景象。对雪地。然后这个这个伊伊伊伊尔西路这边，他在这个就是现代的王朝，也是一片这个冬天的景象。没错没错，有很多非常相似的点色。对，然后这里就是说呃一些开脑洞的地方，, Start Time: 822160
Text: 我们可以留到下一次再去聊。这里的话，我们可以再回过来聊，继续聊暗月之剑。那格温德林对格温德林是一个非常关键的角色，它从一代开始就已经存在了。他是个就是说为什么叫它暗联的阳，包括一代里面有一些核心的一些元素。有说到就是说你发发现代里面有有雕像像各雕像像呃泰温德林、, Start Time: 843920
Text: 林林，还有太阳长子，但他让长子的雕像是被敲坏掉。对对对吧？敲死了，但没有格伦多林。格伦多林是暗影太阳，他是躲在暗处的逃伐诛身之地。然后这样一个角色呢，在三代就变得异常一代里面，他可能是唯一你能见到的就是就是说也不能说唯一吧，就是说在阿诺尔隆德唯一的神比神神神对所谓的神，, Start Time: 864980
Text: 然后在三代就变成很很很悲催的，就是人人冬虫夏草本人没有出现啊，人被被吃掉了啊。呃，因为在 OP 里面我们能看到阿阿诺，就是说阿尔德里奇是一团烂泥一样的那种状态啊。但实际上你在去打阿尔德里奇，你会发现他上面是个就是就可能没玩过一代人，就看上去哎，怎么怎么是个人的一个形态，, Start Time: 887130
Text: 而且还挺漂亮的对吧？呃，我们来科普一下，就是他就是一代的我们格文德，而且我们这期节目开始放在这个变头了，他的样子哎，对他变成他样子，他有很多特点头上的样子啊，他的技能的样子。包括我刚才说到，就是咱们这次这个节目开始这个音乐啊，如果细心的朋友可以听出来这个阿尔德里奇的战斗音乐，, Start Time: 911070
Text: 是这个一代哥文德林音乐的一个变奏变奏版，呃，非常有意思。而且在冬代里面，呃，格文多林是这样，就是说在那个尤尔西卡的那个描述里面，他有说过，就是我的兄长患病倒下了，又遭到教宗沙利万的篡夺。哎，是对吧？是这样说的，然后他其实是被沙人给出卖给了阿尔德里奇进食了。, Start Time: 929910
Text: 嗯，这个是上面有明确考据，也就是说官方的设定来看，三代是说就是虽然一代我们可以杀死格文德里。那么看到官方的意思就说，这个是他不是被玩家所扮演的那个不死人，船火也好，不伤也好，他没有被不死人这个角色来杀掉，他留在了最后留在那，留给了那个阿尔德里奇，被他吃掉，, Start Time: 952480
Text: 这是他的结局啊，没错错没错。然后这一块呢就是说你你杀死阿尔德里奇之后呢，你能拿到他的魂，然后能换两武器器，两武器呢呃呃一个武器，一个技能对一个法术啊。然后他里面有一段是说就是阿尔德里奇吞掉了呃暗影太阳，暗影太阳之后，然后他会开始做格文德林的梦。有时候瞥剑格文德林的梦，, Start Time: 969260
Text: 然后他会说格文德林的梦里面，经常在注视着一个百亿的少女，百亿少女。而且就可能这个物品说明写在那个镰刀这个技能之上，对镰刀之上。而且我们知道这个镰刀技能啊是这个一代普利希拉，普利希拉的他使用镰刀这个技能。所以这里面就有很深的联系，可能我们放放在最很贼的联系，, Start Time: 993990
Text: 很贼的联系，非常贼的联系，暗月之剑。最后他们就是说呃就是说我们最后后面来看的话，其实在三代来说，其实已经跟可以说跟负面已经差不多了。对，他是就是说尤尔斯卡其实是就是说他这个骑士团的团长暗夜之剑，骑士团团长最后反而被留在了这个俘虏，幽禁被幽禁在对对对啊，所以说这样一个角色在后面后续会怎么样，, Start Time: 1012570
Text: 可能要等到 DLZ 里面具体有哪些内容？对，也许在这条线上，因为他漫画也是这个阿尔德里奇这边的故事嘛，所以可能 DLC 会有一些描述也说不定。然后接下来我们可以再提一下，就因为我们之前说的这个清教呀，包括这个哀怨之剑，它其实都是在 PVP 里面。这个活动中它是一个比较积极的这么一个一面，, Start Time: 1040290
Text: 它都是帮助玩家去抵御外敌的这种。然后 PVP 里面有一个非常嗯就是你叫什么混沌中立，对吧？混乱中立的这么一个啊。对对，就是就是咱们所谓这个积累者积累者，他因为他牵扯到了一个非常一个非常所要的一概念，就是一代的游游魂念。对他中间说的是积累者呢，这个就是他所有的，, Start Time: 1061250
Text: 就最后都会变成游魂。但但咱们三代呢整个通篇没有提游魂这事儿没错，就只有这游魂之王这条线大家能看到这个游魂，但是跟一代概念中的游魂又完全不同。对一代概念中呢，其实咱们知道游魂他是指就是对这个人性啊，对灵魂他有无尽的渴望，就是不死人，对下场不死人，最后他会不停的这个最后变疯掉，, Start Time: 1080870
Text: 对类就游游魂就变疯掉。类似于我们所谓谓力这种对对都是失失意识了。但对对，已经已经疯了，他就只有攻击的对攻击的本能，对灵魂的渴望。对，然后但到这个三代里呢，咱们发现所有游魂都都有理智，嗯哎，都能沟通，能交完游魂之后之后跪在那儿。行对对对对对对对，行。所以说这个魂三呢，, Start Time: 1101170
Text: 就是他点到了这个魂一的至关重要的一个设定。但他也并没有说圆对依旧给了一个非常模棱两可的一个关系。那这个游魂怎么理解？可能也在于玩家不同的玩家会有不同的理解啊。对对对，首先就是说我说一下我我呃我们来阐述一些就是说设定上面一些东西，或者说关卡里面一些东西来证明就是说游魂这个东西的。, Start Time: 1122400
Text: 呃，首先就是说你在呃就牵运誓约那个地方，首先你是有条件的这个地方是在那棵咒大大树下面累积者这个誓约累积者者约我，我们是在说累积者者者约约，累积者誓约。下面呢就是说呃你是要就是碰到一个带着一个笼子的一个那个你大的片片刀割片刀刀割。呃，然后你去调查他，你不攻击他呃，, Start Time: 1144110
Text: 你去调查他背后的话呃，你能够被他运送到大树底下。嗯，就是说诅咒大约前提是你不能干掉诅咒大树有点像雪缘那个就是不带鸽，把你弄这回事事说的一样的一样的。对对，然后这里呢就是说因为这个誓约其实挺挺玄乎的，就是说它没有太多的解释在里面。对，然后我们可以来分析一下，, Start Time: 1168710
Text: 就是说按照地理位置和它相应的就所处的一些呃就或者说他所周围的一些环境，我们来分析一下。首先他是在诅咒大树下面，对吧？诅咒大树下面，然后诅咒大树说是它里面封了很多诅咒，对对吧？在诅咒，然后最后神树发生了变化。嗯，在诅咒在这个誓约里面，在下面就是你会发现诅咒大树下面是有一块很大一块区，, Start Time: 1190200
Text: 然然后全部都是尸体，全部都是尸体，全部都是尸体。然后这跟积累者有什么关系呢？我觉得就是说首先积累者那一块誓约的时候，你刚进去的时候，你跟福多林克在说话的时候，他说居然有个正常人掉进游魂的学物。对，也就是这里面可能全部都是游魂在这里是然后呃他他不死村嘛，这个地方。, Start Time: 1214060
Text: 对对对对，嗯，他们是不死村，然后他有说到一个东西叫神的枷锁。你还记得你拿到那个东西嘛，就是说你去供奉供奉那脊脊骨骨，那那对那个脊骨骨是块人骨头。对，其实是块人骨头，把后面这块东西给给说上面有神的这这烙烙刻刻印啊，烙烙印在上，有神的刻印在这里面。然后在实际然后然而我们在实际的游戏过程中，, Start Time: 1235300
Text: 并不知道他跟哪个神有什么关系，就是有有什么关系。我们只知道是他是在诅咒咒树下面，然后弗德林克整片片面，他可能只有呃，他一次是入侵你嗯，对吧？对，一次一次是你调查那个刻印，然后可以要把它召唤出来，灵火状态在不死村的话会被他入侵。对对，没错没错。他其实是就是说按照我们来说的话，, Start Time: 1260390
Text: 可能我我我想把他跟什么东西去类比去谈。他这个例子呢就是还记得一代的洋葱哥嘛，嗯一代洋葱哥跟他女儿啊，你有没有发现他们两者的所定位的是非常像的？都是说我要呃一个是找自己的老爸啊。对，然后他找自己老伴啊，把自己老爸给干掉，那就是说他变成牛，变成 hollow 也无所谓，, Start Time: 1284410
Text: 我会结束这对我会觉束西里斯跟他爷爷也是这样，这个福德林克也是，所以跟福德林克就非常像。然后很明显福德林克这一块的话，就因为谈到游魂了嘛，游魂就是最后你你会就我前面提到跟杨通牺牲那边对应的是什么关系的？我觉得这这之间关系是有一定的对应关系的。就是说他可能最后呃西里斯他按照约定他要去杀自己，, Start Time: 1306520
Text: 也就是因为他爷爷已经经疯了了。就是他可有说过呃，他爷爷为了呃为此牺牲，嗯，最后成为牺牲的一员。为为此牺牲是什么呢？就可能是为了他是不死人，他是没法死的，没有办法死的那最后他说他是成为牺牲的一员，极有可能就是把那个就是他下面所说的游魂那一块，就是入侵别人，然后不断去呃就是说拿掉脊椎骨这一块是有关系的。, Start Time: 1330500
Text: 不过因为他实际给的信息非常模糊，是我我们可以后面看脑洞的时候再具体再说。对对，所以他直接召唤过来，就是紫灵是那种很乱斗性质的。对对，紫灵这回子灵的一个特点就是说他不像以前了，说我白灵蓝蓝是是会伙，然后红灵是一伙儿，这不是紫灵，是是所有的的灵，包括其他子灵。, Start Time: 1359259
Text: 对，就是这种的。对我就是他的目这个世界的表面目的啊，就是我要杀所有人，杀所有的不死人也好。呃，杀他之后呢，累计就是把这些不死人的累计的是杀他们，就是一个累计，所以叫累计者啊，他再往深就没有信息了，就是说它累计这干嘛？在那个那个祖罗大树下面都是尸体，说是弗多林只有福多林克的信息是留在那边的。, Start Time: 1380340
Text: 就是说他是以战场亡灵的模样文明，而且他是以不分敌我，然后发狂的亡灵文明。对对，嗯，然后接下来我们提上面接着提这个积累者的这个 PVP 概念。我们这这座里面还有一个特别正统的专门为了 PVP 而服务的这么一个势力，这么一个誓约。就是咱们之前提到的这个罗莎利亚的这个指头，, Start Time: 1400460
Text: 他与这个暗月之剑是这样敌敌对关系的这么一对的。罗莎利亚这一块的话，其实呃真的要说的话，其实还要提还是要提之前说的那个里奥纳德，对吧？他有帮你提过，就是关于呃指头的概念。对对，他他中中一条条嗯，让我想想想啊，就是说有说过是黄指头，黄指头就是那个梅泽尔。梅泽尔应该大家有印象在大过问你如果说是雨火呃，, Start Time: 1421750
Text: 就是说捏了雨火的状态的话，你会被他入侵。是，而且他会发各种牛逼的牛逼到报恩，他也不能说牛逼到报恩，就对他他会隐身，他会放魔法。我倒觉得挺菜的，他会他会放那个就是法兰的那个塑件塑件。嗯，这这这两个，然后他是呃这个角色其实是在素素，他就是说黄指头那那一块的话，, Start Time: 1449350
Text: 他是在探寻，就是就是之前有说过是探寻魔法的奥秘就是这一块。因为因为他是带着那个黄色的嗯黄黄色。嗯，还有一种说法呢，就是说因为那个罗莎利亚呀叫做重生女神嘛。嗯，啊这又要提到我之前做的一个那个视频的节目。大家这个节目出的时候已经看到了，我们会里面会说了，说这个梗是怎么来的啊，, Start Time: 1471050
Text: 但是在游戏里呢，这个重生概念就是我们知道他旁边有好多这个驱虫类的这个驱人存在啊，可能这个就是所谓重生的意义。但是他我们说这个皇纸他的可能意义就是他为什么信这个重生女神，他可能想重生，但是他不知道他是不是知道这个重生真正的意义啊。但是他可能信奉这个就可能因为有也提到过，, Start Time: 1492980
Text: 说你献舌头，也许是你是想重生，也许你是想换个脸慰藉他。对，也许只是想慰慰这个女神神，不管怎么样献舌头，这是他的信徒的一个一个行为啊。有三就是说有三种嘛，就是说具体的他的镜头就是完全是按照那个指头来划分的。对对对，具体实际的游戏过程中的话，就是在罗莎莉亚这一条线，, Start Time: 1512800
Text: 其实他绑的很多东西。嗯嗯，我就就说我知道我们都知道，就是说有很多玩家在讨论，他跟比如说王菲的关系，嗯，他和那个太阳长女对太阳长女的关系，这块东西其实非常深，而且脑洞开，因为开的比较大，我们先不做太多的猜测。对，我们可以就只拿个个约约谈。对这个誓约里面其中很重要的一点就是呃就我我还是先拉回来，, Start Time: 1532980
Text: 就是关于里昂纳德这个人物。这人物里昂纳德这个人物呢就是我之前有说过，他跟原来一代的宠爱其实非常像。对，是哪个角角色。然后他哪里像呢？就是说呃很明显就是说我想我想先说明一点是，他很明显是真心侍奉罗莎利亚的。哦，你是你是这么看的是吗？我是这么看的，为什么这么看呢？, Start Time: 1557220
Text: 我先说一下我理由。哎，好，我这么看理由是有这样几个。首先第一个就是你去入侵，呃，然后你发现罗莎利亚被他干掉之后，你会拿到那个一个眼球，对吧？就跟以前那个宠爱，其实那段剧情很像啊，我明白你的对吧？思路了啊。对，然后你回到那个太阳长女的那个房间的时候，嗯，他会说他开始震动，, Start Time: 1576430
Text: 然后你要入侵进，你嗯就跟说说那个眼球的说明。对对对对，个眼球说明上说他虽然是一个被杀掉之后什么的，但是很平静。他和一代不一样，一代那个说的是要要复仇的意思，那个眼球有有怨恨。对，这次这个眼球他说虽然他被杀了，但是他眼球里显显现的是一个平静的性景象啊，对，然后这是一部分理由。, Start Time: 1596370
Text: 哎，对，另外一部分什么？就你在跟李昂娜特打的时候，你就你不要太快的把他啊，是他会一直他会一直唠唠唠叨叨。对，说但是你就这么渴望他的灵魂嘛，是吧呢他会说一堆话，最重要是他最后被杀死的时候，他会就说一段英语的那个就是主教罗莎丽娜，就是直接翻，因为那个翻译就实在太烂了。, Start Time: 1615050
Text: 然后他直接喊的，他并就是说在那个字幕上面并没有显示，那的确是喊过这句话，日本本那边可是都有字幕的。对，然后所以我说中文翻译的特别烂嘛，就非常无语。他可能是错，就是漏下了这个对对，比较隐晦啊。对，然后我的理解是就是他肯定是真心去试奔罗莎丽。哦，厉害的。还有另外一块，, Start Time: 1633760
Text: 就是说我不知道大家有注意看过这次的灵魂上面的图标嘛。是的啊，这次灵魂图标是有猫腻，在这面完完完全都是每个都不一样的。对，大部分是这样，他按照势力或者说他们所带的灵魂的属性是不一样的。对，但是我为什么说罗莎丽娜单独说，是因为他只有他这个灵魂是尤为奇特，尤尤其奇特他是非常扭曲的。, Start Time: 1652800
Text: 而而且另外一个就非常奇怪一点，你可以看到那个那个他那个灵魂扭曲的时候，它是一首先主色调是个红色，是但它旁边还有一层细的白色，是就好像是两个灵魂就扭曲在一起一样的。这段我们我我不做过多的猜测，但是我始终觉得就是罗莎利亚这个角色。在首先说里奥纳德里奥纳德的话，, Start Time: 1674540
Text: 可能是因为他本身灵魂所带的这个属性。嗯，呃他可能是带着想要去解脱罗莎利亚的这一块嗯概念去做的。他老很神神叨叨的，说说你真的理解手指的意义吗？一下他老说这种话，你面然后我是觉得他可能是真心是在侍奉侍侍侍奉他。然后再谈到那个就指头的那个时候，其实还有一个东西，, Start Time: 1698860
Text: 我想我想稍微提一下，就这一块是跟什么东西有关系呢？是跟针刺骑士。对，就我们第一期节目有时候翻翻流那个针刺骑士，对他其实呢是跟一代那边有致敬关系。一代说你也会碰到一个针刺骑士就能碰到几次，他的盔甲出现在。对对对对，呃，一代那边我大致迅速过一下，就就是说一代那边其实一代有一个角色叫白蜘蛛，, Start Time: 1722680
Text: 嗯，就我们称为称她为小姐。嗯，然后她是一个非常善良的一个角色，就女混的那个女孩名字。对，没有名字。呃，她是一个非常善良角色，是然后针刺骑士呢就上面给的就是说一代的说明和三代说明非常像，就是她臭名昭著各种杀人，对嗯，对吧？但其实呢就是说一代里面你再把他在就是说打过他几次，, Start Time: 1745140
Text: 就一次是在那个什么下水道，一次是在那个你要五魂屯温床前面床，触发他所有的入侵，对触他他所有他入侵看他之后，然后你你击击败那个蜘蛛那个蜘蛛 boss 之后，会在那个刚才说的那个混沌女儿或者身边对捡到这个监测骑士的装备。对，它是有一个就是一条通道，然后到底然后那边是是一条死路。, Start Time: 1766880
Text: 是是你在那边的时候，你能发现他一套套装是他其实在侍奉他。对，是你以感受到这种感觉。嗯，三代很像三代，也是你能拿到他这套装备，然后他感觉是在侍奉为了去慰藉罗莎利亚而去这样去做的是这样子的。所以我觉得就非常有意思，就是跟一代这边这之前是致敬也好，还是说有什么更深的一个含含义，, Start Time: 1788110
Text: 哎，暂时不能确定。对，没错没错没错，这边还暂时没法确定。因为在一代里面他就没有去说特别多关于这个内容，然后关于罗莎利亚还有一个事情啊，就是关于其实跟优说主教群那边主教有关的这样。因为优说教堂呢其实有三个大主教，是有三个大主教，具体名字的话我们会依恋。因为我是大家请看时间表，, Start Time: 1810950
Text: 对时间轴这个时间轴已就全部准备好了，呃，比较印象深刻。有呃一个是就是在那个主就是说打那个 UC 主要群那边的时候，那个领头的那个嗯对那是一个个是是一个。然后还有一个可能有些玩家会漏，这跟另外一个视越有关系。我先不提，但是他那个叫麦克唐娜。对，他是在那个就是伊鲁齐尔上去到那个就是阿诺尔隆德那一块，, Start Time: 1833910
