Text: 大家好，我叫也很高兴认识你们。大家好，我是追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机核网加九 pro。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，保证会让你耳目一新，, Start Time: 270
Text: 经过了大概两百年左右吧。嗯，然后两百年之后，教会就逐渐建立起来了。然后在一个伟大的伟大的皇帝，类似于呃类似于查理曼大帝，嗯，这么一个皇帝，奥莱奥莱奥莱人的皇帝叫做德拉肯的簇拥下，然后教会就建立起来，然后教会。但是同时精灵过两百年，精灵的各种高傲的天性就产生出来，, Start Time: 719410
Text: 它会会跟人类产生一些冲突。嗯嗯，比方说人类说精灵是图了，除了人类一个村儿，然后重精否认认，然后双方就是产生了这种冲突，进而最后就演化成了一次针对精灵的崇高远征。嗯嗯，一次类似于一次酷 dealandjusterrodsay 的。嗯，然后这是第一次我们刚才说第一次教会的远征，, Start Time: 745680
Text: 嗯，此后教会大概有过三三到五次远征吧，有一些是针对北方的的，就针对那个泰文特帝国的，嗯，有一些是针对我们后面后面会讲到了库纳苦纳尔人的。嗯，然后但这一次远征是最具效力的，就是彻底毁灭了精灵的这个重重建文明的希望，然后精灵再次成为二等公民。嗯嗯，对，然后这个国王教育期间应该是把这个 impperiandrosy 这个定为国教，, Start Time: 766980
Text: 让这个教会就是得到了最大的势力。对，然后所以教会在这个时候也组织了，因为他要远征嘛，所以组织了很多军事团队。对，所以这个时候那个圣骑士啊、 templine 啊，包括其实包括那个后面 DAI inquiisor 这个组织也可以追溯到这儿， ininquisition 比他还要稍早一些。, Start Time: 794870
Text:  inquisition 是在我们都知道台湾他 m impimpale 跟那个跟这个时间，它中间是有一段时间，为什么这帝国会会摔落落？就是因为被异 e 当是希望各种打嘛，实在是拦不住，那个时候就是那个 graward 位 greinquisition 就已经出现了。, Start Time: 812550
Text: 嗯，对，但是但是确实像 circle 啊，就是法师的这种这这个这个这个教会和这个法国 templer 都是都是在这个时候出现的。嗯，对，因为他们是跟教会是一个直属的关系嘛，是是对对对，然后呃 andrusty 教有一个最最重要的宗旨，最最原原原本的宗旨就是魔法是用于服务人类，, Start Time: 828570
Text: 而非统治人类的对，这是他一切观念中最重要的观念几乎是嗯，所以这个基调就决定了以后，大陆上几乎所有的安卓 std 教都对法师是一个敌视的态度。那问题就是你刚刚提到的就是 androstd 这个他是在那个塔塔塔文特被被迫害的嘛，那是不是就是塔文特，你说他那个当时亲自了解那个安 andresstd 这个这个 magist，, Start Time: 854810
Text: 他自己也成了塔文特那边一个教会的一个。对，所以你要不要提一下这个塔文特这个教会，塔文特这边教会被称为黑教会嘛，那就是相对于白教会。因为 android 卓 ands d 他作为一个 maker 的代言人，他是女性就在在教教所有有所有的神职人人、职人员，嗯，, Start Time: 881970
Text: 包括 divan 以万为首，全都是女性。而黑教会的真正的这个先知是这个人嗯，就是，所以所以他所有的这个神职人员就都是男性。对，包括教皇。对，包括教皇。但是教皇往往是在往往是在这个台湾 ter imior 里头有很有地位的家族的族，可能可能是个法师吗？原来如此，, Start Time: 900830
Text: 很很可能是个法师的法师教国。嗯，台湾 ter impeer 就标准以法治国嘛，是吗？以魔法治国。对对，理理论上他不是说一个法师统治的国家，我们在 DAI 里能看到。但实际上恰巧的他的这个魔老师议会 magister 看 council 和这个和这个执政官，, Start Time: 924500
Text: 还有教皇都是法师，这是一个巧合。但是是是我们都知道的种巧合合就是他实际上还是法师统治的一个国家。他的 circle 属于一个嗯属于一个研究机构，就纯粹的研究机构，而不是科院。对，而不是说有这个监管的这个作用。嗯，而且而他的 templer 就是他的圣殿骑士也是有的。, Start Time: 946240
Text: 但是他的圣殿骑士从来不遏制法师，对他基本是很自由。嗯，作为法师的一个一个一个一个保镖吗？对，护卫哦，我操太有意思了，完全不一样，完全不一样。而且我们要是拓展一下，知道泰泰文特有四四个四个等级嘛。嗯，第一个等级是血统高贵的法师，嗯，然后天淼他们翻译成高士。嗯，, Start Time: 968670
Text: 然后第二个等等级是这个从平民到法就是然后有有一天突然生了个生了个还布衣宰相是吗？对，这种，然后他他们大概叫做姓医，然后第三个等级和第四个等级，就第三个等级和第四个等级就都是凡人等级。第三个等级是正常的公民等级。嗯，第四个等级是奴隶啊，奴奴奴隶精灵、精灵什么？, Start Time: 991850
Text: 但是在这个泰泰文特非常有意思的一点，就是他虽然说绝对不是法师，你几乎是没有权利进入到拳力中心的。嗯，但是每一个人其实他的子孙都有机会成为法师，因为这是一个自然选择的问题。嗯，所以泰文特的平民还是有一定希望的，甚至奴隶有了都有一定希望。万一我的孩子是法师，哎，, Start Time: 1014530
Text: 我我可能就嗯发迹了。嗯，大概起源方面，这是这是整个这个故事的起源。对，然后我们说这个教会建立之后，第九个世纪叫龙龙腾世纪龙腾纪纪。因为他一在第八个世纪的第九十九年，有一条巨龙出现之前，巨龙因为因为某个猎龙疯狂的国家嗯就灭绝了。嗯，是不是就是卡姐的家，就是卡 sro 的故乡嗯，, Start Time: 1035860
Text: 啊安安腾纪纪嗯嗯，不是就是卡瓦瓦 a 就是啊内瓦 ara。他他他们的人非常喜欢龙龙，然后来做各种各种装饰啊等等。嗯，然后他们大概把龙都杀的差不多了，然后直到八百九十九年那一年出现了一条巨龙，然后在肆虐整个瑟拉斯。嗯，然后这一年教会觉得这是有凶兆的，然后他就把即将来的这个动荡的世纪成为龙腾世纪。, Start Time: 1066920
Text: 龙腾纪纪嗯啊龙腾世纪这个翻译其实不并不完全准，因为没有动词，应该叫龙腾纪元嗯，对，或者龙之龙之纪源对，台台湾翻的是暗龙纪元。对，但暗龙纪元他可能是讲的是专那个大恶魔的那个案。对，但这就不太对对对对，嗯，然后这个大概。但但是他这个纪源的确，你刚说八九九年，所以的确他这个还是以一百年为一个单位的，, Start Time: 1094560
Text: 是一百百为一个个单位 OK。嗯，然后这个纪元的起源故事就是龙龙世纪起源。但其实在起之之前，有一个重要的起源，就是起源之前还有重要起源。嗯，就是也许大家有机会就有那个世界之前就是龙腾世纪系列的主笔写了两部小说，一一部叫世界王作，嗯，嗯，一部叫做 calling，, Start Time: 1118150
Text:  in 后有人换黑暗之之。嗯，然后这两部小说大概讲了之前的故事，主体的故事就是菲 rodan 这个国家，我们刚才都都聊了费罗登，他就是安卓四帝的故乡。这个这个国家在一百年前吧，大概被这个他西方的强林奥 ice。嗯，我们可能可以理解一下，奥莱斯是一个类似于法国的国家，, Start Time: 1140990
Text: 法国在历史上就是一个侵略成性的国家，然后他同时又有教会加持，嗯，等是罗罗马巴巴黎放到一起，同时他又有一个德拉肯大帝建立的这么一个庞大的帝国做基础。对，然后又有点像神圣罗马帝国，就是这几个国家的合体。所以大家可能名这个名字都长得很像玉兰油。嗯，奥莱。对对，大西游记记里个国家叫奥莱奥奥莱国，, Start Time: 1163460
Text: 奥莱奥奥莱神州嘛，那东东胜都都是东胜神州，奥莱国这个名字挺好，奥莱叫奥 ice。然后这个国家他向向来喜欢征服他最大的这个地地盘曾经到达过。嗯，然后我到达过半个地图，那么大都是他的。嗯，然后在一百年前他征服了这个 fradan，嗯，然后把 firadon 的这个嗯王啊就是逼迫迫罗马帝后，, Start Time: 1188860
Text: 他他他们必须必须得起来反抗。然后于是是 reaudon 经历了一场民，就是民族战争。这场战争类似于百年战争，只不过反过来是法国打英国。嗯嗯，因为没有英吉利海峡，嗯，就是经历这么一场战争。然后在九世纪就是龙腾世纪，一开始他终于成为了一个独立的国家。我们的就是故事的背景，, Start Time: 1215840
Text: 就是这么一个国家。就是他虽然说文化上有一些有一些粗鲁的地方，嗯，但是他富有生机，然后可能是民族国家刚刚觉醒，同时然后处于一个新的国家，这么这么一这么一个新兴的国家，对吧？对，百废待兴。嗯嗯，其实龙坑世纪起源除了这个我们讲龙世纪这个起源之外，嗯，剩下我们还可以讲一下这个龙坑。, Start Time: 1237070
Text: 龙腾世纪这款游戏有一个有一个特别有特色的系统，叫起源系统。其实我们上一集已经提到，嗯嗯，我们之前如果玩过就是类似的西方 RPG 的话，嗯，我们都会熟悉熟悉有一些就是经典的设定，比如说武动之夜二，我们无论你是兽人还是半兽人，还是什么异，你都会出生在某一个嗯某一个老精灵的话，, Start Time: 1266010
Text: 嗯，老老精就你都会成为他的养子，就是所有的你不论选你选什么种族，最后结最后起源都是一样的。对对对，但是龙腾世纪这一点是做到了很大的创新。嗯，我们我们设计了六个完全不同的续征。对对对，就是那个传统的人物创建过程呢，实际上你就直接选种族就可以了。对对啊，然后那个背景啊什么技能点数点一点就开始了。, Start Time: 1290310
Text: 那么这个比较粗暴的。然后在 DAO 里面呢呃 bao y 做了个创新，是说你一开始就可以选选择你的种族，然后你每个种族的起源地是不一样的，对，出生故事也是不一样的。对你就先完成一个故事，然后再决定就是说你走上了这个冒险的道路，嗯，啊所以非常有意思。而且他跟网游这类的起源地有什么不同呢？, Start Time: 1316230
Text: 就是它实际上真正有一段真正的故事，对有一段真正的起源，嗯，这个是很不易的。嗯，我们每玩过这个每次每个人玩过这个游戏，都会感觉到就是他的起源部分都是一次完一个很完整的，有有起因、有有有高潮、有结尾的故事。而且他所带来的这个社会效应和它的这个嗯人际关系，也会影响到这个的故事。, Start Time: 1337480
Text: 嗯，比如说我起源玩的就是城市精灵的起源。嗯，城市精灵起源一开始就是你就是在都城 dinanerm 的那个人民区里，然后你你被隔离在这个平民区里。嗯，然后你第一天其实是一个好日子，就是你是一个结婚的时机。对，然后你的新郎其实也蛮漂亮的，在龙腾这个范畴里头看起来在龙腾范畴看起来还是蛮漂亮的，, Start Time: 1360980
Text: 大家都懂。嗯，呵呵，他属于就是他这个结婚，这点是他这个城市精灵为数不多，还留存在，还留存有一定的这个精灵的呃传统的这个仪式。就是你能感觉到就是他有一些自己的东西，但是半截就是他这个 danirim 的这个领主浩的儿子，豪尔的儿子嗯就闯进来了，然后开始征收初夜权，, Start Time: 1387210
Text: 然后后给了你一巴掌，然后把把你的未婚妻带走，然后把你的堂妹带走谁。阿尼这个人物，后来后来还会提到，然后带走。然后那个时候玩家感觉就是就是什么就是刻骨的仇恨。嗯，尤其其是你真的是，尤其是你就是你已经跟龙腾有一个好处，就是你已经跟你周围的人物都很熟悉，他每一个人物都会塑造的很自然。, Start Time: 1413130
Text: 就是你你已经跟你的父亲聊过，就是虽然虽然生活很艰难，但是我们仍然在持续。然后他就把你这一切都打破了，把你这人生彻底这么惨呀。然后之后后任任务大家一些到就是去解救你的新娘。对，然后解救你的新娘，你可以选择杀不杀他。这个这个坏蛋一般人都是给杀了不杀，后面还会留留给你一些钱。, Start Time: 1437340
Text: 但是但是就是这是一个很解气的过程，但是解气完了怎么办呢？那你肯定是会被判判重罪了。嗯，这时候我们熟知的老老瘟神，嗯，就是邓肯、邓肯、邓肯同学就是出现邀请你去 TNBA 打打比赛赛。对，要你你加入这个 grewden den 这个这个组织组织虽然你也不太清楚，, Start Time: 1460040
Text: 就是当时你也不太清楚他究竟是什么。虽然你可能问到说啊，他给有只有他能才能打败 dark 斯孟，但你不知道 dark 斯孟是什么，你没真正见过。对，反正你就被他拐骗走，就是一介村夫没见过世面。对，基本每一个叫壮丁抓走了。嗯，对嗯，基本每一个起源都会出现这个老瘟神。, Start Time: 1482400
Text: 对老温神邓肯其实相当于是那个入党的这个介绍人，对吧？对对对对，是正政委。嗯，介绍完就死。然后诸位还有什么，就是你们有什么起源可以分享的，差不多们都选人类吧，而都是从男人类。对我我我后来选过一次矮人，但是没玩下去。就矮人的话呢，他就完全是在那个矮人地城里面出生的啊。, Start Time: 1503210
Text: 然后一开始你就会因为其实 DAO 里面会有那个呃就就是矮人地城的那个剧情嘛。对，后面那前面一开始你就会在矮人地城里出生。然然后那个我记得好像是我选的是矮人平民吧，然后做了一些那个就是也是很很穷困的那个很落魄，明显跟那个贵族的那个区完完全一样。嗯，对，然后然后做了个任务，, Start Time: 1527830
Text: 那任务是什么？我记得已经忘了，然后最后也是走出地城，然后邓肯就来了。就是走是政肯男人类，就是男人类，就是你你就是一个贵族家庭嘛，然后然后你就是你父亲好像是要出去远征吧，然后他带着你哥，然后就是说你在在家什么，你未来是王位继承人之类的，你你你那个什么，因为领主继承承嘛，, Start Time: 1549310
Text: 对，领主继承人。对，然后他后来就是他是就是去参加，就是这个哦对男，我们基本上如果是人类的话，基本上是知道就是枯草怎么回事的。因为他去他是你父亲是带着你你们领领地的军队去参加那个了。那那那那国王的就是远就是对对远征的对，算枯少的远。对对对，所以所以人男呃，就是人类就这个贵族家庭是知道的。, Start Time: 1570260
Text: 然后然后结果就是你父亲不在的时候，然后就是出事了。对，就就是是位，然后也是算是家破无落，对家破人亡。然后这时候邓肯邓肯来了。对，其实大家看起来说这个起源五花八门，但他们其实都是有内在联系的。嗯，比如说我刚才讲的那个抢我老婆的那个号，他是你老婆友，他是从麦教授全家的那个号，, Start Time: 1594320
Text: 老儿子。对对对，有有有有，我别这么说，别把我名带上去，听着太习惯了。有有，所以大哥了，我靠，有共同的敌人。对，然后然后像那个矮人平民，他的这个他的姐姐后来是嫁，就是作为这个听 alzmkbelen 矮人矮人王的这个矮人王贝伦的一个一个这个长妾。嗯，但是矮人贵族，, Start Time: 1616520
Text: 其实贝文王他哥嗯，然后然后贝文王在这个在这个政治斗争中把然后陷害他陷害你的矮人贵族主角，杀了你的哥哥，嗯，就是陷害第二个儿子杀了长子，然后最后他自己等于上位上位了。然后是这么一个，他其实各个种族之间可可能说搭力嗯或者那个或者法环，他可能比较比较特别特别一些，, Start Time: 1641110
Text: 剩下的都有其联系。嗯，互相嗯嗯源这这个设定。这好的一点就是他一方面介介绍介绍个个背景故事，我们通过起源知道了 circle 是什么样，知道了 dark dark spoone 的威胁都知道枯衩来了。对，然后知道这个费罗登的政治形式领主制，我们知道这一点。然后我们我们知道这个大力士的这个生存方式，, Start Time: 1666890
Text: 就是这个精野精灵的生存方式和这个不幸的城市精灵的生存方式。我们我们有了很多就是呃知识作为积累吧。嗯嗯嗯，但是更重要的一点是，他还把他的这个人际关系带到了后面的故事当中。我们刚才已经讲到了一些人际关系。对对，但实际上你在起源剧情里头遇到的很多人物，你在后面都能发现啊，, Start Time: 1691680
Text: 就是他对剧情有有很多影响。比如说你你在矮人贵族的侍从，你会在在首都的市场见到他在卖贱。比如说你你的你的那个呃我的我的堂妹就是就是谁安妮这个角色后来成为了经营区的区长等等。这些这些联系非常有意思，也是龙王世界起源很吸引引们的一个地方，就他一个人物都没认。对对，, Start Time: 1718390
Text: 你就就就人类人类男，你可以跟那个你可以跟那个 kelem 告状，说这这家伙就是他篡篡我们位之类的这，然后 kelen 就死了。对呃人人类人类是最重要的。人类人类男他甚至甚至能决定这个国家的王位的存废，或者说你是你继承王，对，还是还是呃，对，而且也就只有人人类男最后可以免于一死。, Start Time: 1742110
Text: 对呃，基本上就是啊对是可以有一个特别方式，可以让他免于一死。对，总之就是这个起源的设定，它不但不但说是一个故事介绍吧，它同时也是对游戏整个流程都构成了很大很大的影响。这个我们我们在其他 RPG 是很少见到。嗯，对嗯，然后经过各个起源，然后各位主角就被瘟神邓肯同志带到了，, Start Time: 1766300
Text: 带到了一个叫党组织嗯奥斯 ar 的地方。嗯嗯，我们之前上一期的时候讲过，就是呃整个人类社会不断面临着 dark sone 的入侵，嗯，对暗意的入侵。嗯，每一次入侵我都都需要最后有一个会位出来，然后解决掉这个大恶魔嗯入侵才能结束。而在这个龙生世纪起源的故事里，, Start Time: 1795590
Text: 第五次入侵即将开始。第五次入侵出现在费罗登的南部，也就是我们称为可卡瑞荒野的地方。嗯，卡卡 ry、 wild、可卡瑞 wild、可卡瑞 wild 跟这个 frordan 之间有一个明确的界点，就是这个奥斯卡嗯奥斯卡奥斯特加要塞，奥斯特加要塞，当年是台湾特人建立的。, Start Time: 1821535
Text: 嗯，然后他以奥斯特加亚塞为整个帝国的最南端端，然后以之为基点向北修筑了一条巨大的帝国大道。嗯，然后这条帝国大道贯穿整个塞达斯大陆，我们在 DAODAI 嗯各座里头我们都能建到。嗯嗯，这是一个要塞。但是当年已经荒弃了。在自从凯文特人就是失败了之后，帝国崩溃了之后，, Start Time: 1843380
Text: 嗯，在奥斯卡要塞人们发现了，就是南方的这个案例开始从这个这个地底上地底下嗯哎跳出来准备对抗人类。于是于是整个王国就召集各个领主来进行一次远征。嗯，我们值得注意的是，费罗登是一个领主领主制国家，他不是说像像我们熟悉的君主专制，这样就是国王一带兵就可以来，他需要就是顾及各个领主的想法，, Start Time: 1866840
Text: 嗯，需要召征召各个领主。比如说他的他的舅舅舅父伊蒙啊，比如说我们后面会熟悉到洛根公爵。嗯，比如说我们人类主角自己的父亲，对啊，自己的父亲就是扣斯科斯兰家族也会来到。然后这是一个命运的交汇点。然后大家对奥斯特加的这个剧情有什么想法嘛？斯 aun guard 当时剧情是要呃是我们担任一个非常重要任务嘛，, Start Time: 1895280
Text: 就是在一个重要申级国王帐篷吧。嗯，哦是哦，对，首先先是去国王帐篷。对，完了以后你就是那个霎雪为盟，就大家举行了一个加入徽位的仪式，祭入任务仪式。对，然后你要到荒野，荒野去之前那个仪式就是要去喝那个暗夜的血血嘛。对对，然后但你之前你的先去荒野完成一个任务吧，, Start Time: 1924870
Text: 好像是去荒野，去采集三份暗夜的血。对，然后并且拿回来就是辉位的契约。嗯嗯，这个过程中就是他他是逐渐的引入一个个重要人物。对对对， alalice alice 对比如说 morragan 对，在荒野第一次看见了经经验，第一次看见荒野女巫嗯，终于看到女人了。嗯嗯，, Start Time: 1945690
Text: 奥 scar 是一个典型的这个悲剧性的逆转。对对对，嗯，另外尤其你刚看到那个 kelen 凯兰皇那国王的时候候，人觉得就是就是意气风发发，就嗯就是那种他就是觉得此战一定能赢嘛，就是你也觉得就看到一个特别就是慷慨激昂，而且就是有王者分范的这样一个人。对奥斯 ar 对于我来说是两个转折。, Start Time: 1967500
Text: 第一个是梦想的破灭，知道辉位是一个黑社会组织。嗯，想想有哪个加入了，退不了入入盟的时候，先得喝这个兽人的血，暗逸的血，嗯，喝完了就死，死可能死。然后你退盟还把你给砍了。对，然后尤其那个可怜的 sir jry ry 是吧？他还有妻子有女儿，然后非常可怜，但是你不得不加入，, Start Time: 1989560
Text: 因为你是主角一定你没死。嗯，后然后你就别过来了。嗯，然后另外一个就是奥斯 ar 的这个重要的这个战役本身。嗯嗯嗯，在我看来，奥斯尔是整个起源最有史诗性的一幕。嗯，虽然说可能很多军事宅都觉得那个嗯他的那个战斗方式比较诡异。比方说从要塞要塞上下来啊，然后后对面的射箭箭然没有冲冲什么的，, Start Time: 2013740
Text: 然后也没有长矛阵，也没有盾阵，也没有骑骑兵觉得比较奇怪，但是模型都没做。但是这一点上我们就可以看出来，他跟魔界这个电影有一些学习的地方。嗯，电魔界里我们也是看千军万马甘道夫白棍一挥，嗯，后长矛矛就被踏平了。嗯，这个明显是不符合军事史实的。但是奥斯 ar 他有一点跟魔界是类似，, Start Time: 2041690
Text: 他把气氛抓的很好。对，就是紧张雨雨夜啊，然后对面的脚步火光森林里森森点点的火光没有剑魔，但是你却能感觉到这个压力感。嗯，然后再到之前安叫的牧士觉没有起伏，然后然后军事后退的这个这个这个个个森点的脸庞，我都能感觉出来。然后以至于最后凯兰王挥剑一冲的时候，嗯，, Start Time: 2063390
Text: 我们有两个两个情绪在脑子里。一个是说这是一场很激形的战役，我们很激动，然后游戏配上的史诗型的配乐。嗯，但是另一方面我们又知道这场战役如果没有我们的努力是绝对打不赢的。对嗯，奥斯卡这个关卡有一点处理的很巧妙，就是生软规避了他一贯以来有一个很大的缺陷，就是他在正面战场上的描写其实并不是特别要。, Start Time: 2089840
