Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27710
Text: 对那那这个这个维多利亚这个时代，这个背景没错没错，就主要是那几个选择。那那另外它游戏中间有一个奖杯很有意思，就是当我今天忘那个奖杯，具体的内容是什么？就是你当击杀足够多对手还是什么的时候，然后就会解触了一个奖杯叫巴顿树。对对，巴顿树这个东西很很值得一提，那个奖杯的名字叫巴顿树。, Start Time: 519490
Text: 对巴顿树，巴顿树英文叫 buttthree，巴顿岁这个东西一听听个不像英文。对，听着不像英文，其实有点像英文跟日语的混合。对，因为这个这个这个巴顿树这个东西呢，它是一个叫一个英国的工程师，叫做 buedward william button。对他当时在日本生活了三年之后，, Start Time: 539910
Text: 然后呢学习了是所谓的神船不动流柔鼠啊，那么神船不动流。对他当时学习了这的东西，然后他就结合了一些他结合他因为他之前有学过一些拳击啊、古典式摔跤啊、击剑啊，还有法国、法国踢腿术啊等等这些这些乱七八糟的武术，他就把他砸人砸入在一起，然后就是创创了一套啊自己的一套独立的呃武术这个祭击体系。, Start Time: 556730
Text: 哦，对，但这套基击体系其实本身是差点被历史遗忘的。因为因为他当时他开了很开了一些班，然后招一些学生，但是他的这个影响力还是非常非常有限。然后呢，但是他之所以我们现在知道这个东西呢，是因为是因为福尔摩斯的作者是因为柯南道尔。福南道尔当时在他自己的福尔摩斯里面就让福尔摩斯用的这个这套福本术。, Start Time: 580240
Text: 嗯，大家如果想要了解，就是巴伦斯具体是怎么样的一个那种这种战斗的这样一种一种哲学或者一种理论的话，大家可以去看那个电影小龙和唐尼之前演的那那个那套评探福尔摩斯斯。对，就是就是福福尔摩摩对他他那那个版本福尔摩斯他战斗的时候，他就想哎，我怎么拍他脸，然后最后打他的那个就让融合了这些琴擒拿，, Start Time: 602160
Text: 然后一些很高猛动作的。所以这个不是这个空穴来风，其其是有有史根根据的是有历史根据。只不过它出现比游戏时代其实应该要晚，大概晚了三三三十多年。对，其实但是游戏还是把它融进去了。对，游戏还是把它融进去了，可以看出一种八顿树，就是尤其那个手指虎，然后包括手杖的那种感觉，, Start Time: 623370
Text: 是一个巴顿树的感觉。所以这个奖杯名的也叫八顿树。对，张飞鹏就就八顿树。对嗯，然后接下来我觉得大家可能还有一个比较呃对有一个系统。这个可能说这个系统是刺客信条的游客体验的核心，嗯，就是跑酷。对对对，但这座跑酷呢，他进行了一些对，就蝙蝙蝠吧。对，该对，因为多了一辆宝物。, Start Time: 640810
Text: 对，就是这个钩索。嗯，就蝙蝠唇变成蝙蝠侠了，基本上是完全全是爱降蝙蝠侠，其实他体验就是蝙蝠侠似的，嗯，但是不能飞。嗯，这个时候我就觉得嗯同样的系统就是就算是一模一样，在不同的游戏里给玩家扮演的感觉是截然不同的。没错，就是他和蝙蝠侠和老爷那种感觉嗯不一样。对他可能就是更多了一些那种形式的装逼感，, Start Time: 663950
Text: 哎，是就是他会一刀把它捅死之时候，瞬间消消失了，那样样种种。对对对对，杀完走了。对，放烟雾弹窜窜走。对，在墙上还蹬两下。对，特别有那种嗯就是潇洒那个风格。对，第一次用钩索其实是在大门中，那对大本钟那是特别高，你知道？然后结果用一下就咻，羞咻就就这样上去特特快快。, Start Time: 689330
Text: 就当时那种那种行云流水般的体验非常棒，非常非常棒。就是我觉得之所以它算一个改良，是因为整整经过就正作已经有五代了，其实玩家已经爬烦了。是的是的，而且就算他四代就是改过一些，比如说判定啊，然后操作模式，实际上玩家爬爬多了，真的很烦。对，有的时候我会觉得，其实我走地面他妈都比走房本快了，, Start Time: 710000
Text: 慢慢慢爬伏探点的时候，极其烦躁，很枯燥。对对，因为最早我们觉得最早的爬的时候，当它出现这确实是一个卖点新。我们点我们可以去去去抓住这个建筑的不同的部位，然后不停的往上爬。对，然后就本身我们在体验历史，我们在慢慢的爬的时候，因为之前可能没有任何一个游戏，让我们可以频繁，, Start Time: 730840
Text: 然后对我们去就就去爬这个东西。对所以我们可能开始在四向信条一或者二的时候，我们会觉得就是非常棒。就是我可以亲手去触摸你身，能感觉特棒。但是真的确实有个审美疲劳的问题，爬这么多年有点点爬了那么多年，真受不了了。其实这个勾索就相当于在游戏中引入的另外一种交互逻辑。, Start Time: 750440
Text: 嗯，就是随意意味这精细的刺杀操作而勾索，意味着高速的游游戏进。对对，让玩家正好就分开了。然后就随时随地在两种不同体验之间切换切换。对对，你想要具体一到哪个位置去刺杀某个具体位置。敌人你可以手动动也没问题，就就你多多种种择择。但是我觉得在游戏设计方面，他可能没有跟上这个勾索带来的游戏节奏的高速化，, Start Time: 768730
Text: 就是让一些刺杀任务变得有点有点乏力。力刀然然后没了。一开始前几次觉得哇太潇洒了，后来就觉得其实有点缺乏挑战性。没错，这个问题没错，没错，嗯，但确实是个很成功的引入，是一个挺成功。我挺挺我其实我特别喜欢，就是用勾索。对，然后那这个我们往下这个其实还有一个是潜行。, Start Time: 793830
Text: 对对潜行潜潜潜做做潜潜做的大的一个非常变法。嗯，然是我可以主动进入这个潜入状态。对，这个东西其实有一点炸，看下有点画蛇添足。嗯，但是他实际上和这个双主角系统和他故事完全风格的变化都有关系。没有错，就是他呃，就像我文章写的，就是他认为刺客的内涵应该由玩家来决定。, Start Time: 815660
Text: 嗯，而刺客并不仅仅是阴影中刺杀的人，是，而是说刺刺客应该是一种达到目的的人，用各种各种方式达到目的那种人人。所以你可以选择正面冲进去没，所以所以各种不同一定要给你一个方式。对，当然你可就是再加上双双双主角角。对，然后姐弟的就是你想怎么着都可以不一样，而且他要固定的给你塑造一种差异，, Start Time: 838140
Text: 就是两个人性格上的不同都不一样，带给你游戏体验上的不同。对，因为姐姐感觉是跟成本跟更更传统。对，让他弟弟就是火爆了，更鲁莽一点，就更更莽一点。而且这种设计暗示了，我觉得在一种方向暗示了刺客组织和圣诞骑士组织的现代化的一个缩影。啊，对，就是少了很多以前教条的东西，, Start Time: 865450
Text: 对，而多了个更多个性的东西，就像以前的刺客组织，怎么可能说让你在街上招募黑帮，然后是帮你帮帮你打杂之类的，我觉得可能是玉碧。对，是对，之前三和四变化的一点变革，就是你完全变成一个反刺客，玩家是接受不了的。对，但是如果你表现的是一个过程，两面都有，我反而就平滑很多。, Start Time: 885450
Text: 嗯，对，这，而且解读非常好，很就就是很很很比较讨好吧，就是你哪哪边都不得罪，对，哪边都想怎么着都可以。对，而且之前我看一个说啊，说里边包括角色主角，就是四个，经常出现一代一代就比较优雅的，像 SU 或者说阿伦这样一代就比较莽的。就比如说像像康康，当时有人康哪一代都有一个不同。, Start Time: 905120
Text: 对，然后这座那索尼都给你都给你，你你想用随时换。对，然后这个模式呢再加入一些强制固定人物的嗯剧情，然后再加上一些小演出。因为因为这作没有大剧情，没有大演出，他就把所有亮点都放在小小演出。姐弟之间斗嘴。对，这个东西反正就是你就停停跟一些小小出激，会让你觉觉特特别乏味。, Start Time: 924740
Text: 对嗯对，然后他还有那个什么，我觉得这座说到之前都说勾组，还有鸟瞰点，他有细节，就是这座爬鸟看点的时候就会想起音乐，就是我们开场开场那个麦。有时候诗诗朗诵背景的时候，那对那段那段音乐，这这段音乐就是就是我觉得这座正好说到音乐，我有一点很喜欢的就是这一作的音乐表现特别收敛。, Start Time: 945500
Text: 对，以前的时候大段大段，尤其是黑棋那个我虽然非常喜欢，但是它是给你推开一种宏大的意向，那种感觉是结果这一座就是有的时候经常是小提琴，完全没有声音，然后是一个非常沉稳的一个背景。听听听就是就是这个就是当我们沿着烟囱往上啪啪啪往上爬的时候，或者你就只是手动不用勾索，, Start Time: 966750
Text: 慢慢往上攀爬的时候，你在接触到每一块红色的砖块，它那种粗力的感觉，那种那种有一种煤渣沉淀在上面的那种感觉。然后你慢慢爬到顶上这座跟之前的那种感觉就很不一样。对，而且这座很多当你站在那烟囱的顶端，看着伦敦的市里边，远处好多好多烟囱在释放着黑烟。然后一个一个当你看到太阳从远处在黑暗中间升起的时候，, Start Time: 986910
Text: 就特别朦胧的那种。真正的意义上，维多利亚是浪漫，对维多利亚是浪漫。而且他还有一个演出，我印象特别深，嗯，就是他的配乐在续章。那时候他们姐弟俩没有到伦敦的时候，哎，对，其实是没有什么很平的，就然后普通动。然后后你刺杀完那个资本家之后，嗯，然后有一场简单的斗嘴，, Start Time: 1015030
Text: 嗯，然后简单斗嘴这段都非说实话，我觉得节奏都有点问题。嗯，然后两人说完之后，就两个人一转念，嗯，然后马上那个火车去伦敦。然后后一场小提琴突然就嗯然后那时候曲子应该叫 london is waiting。嗯，对，然后他那 london is waiting，, Start Time: 1034450
Text: 中间有一段小的主题是以前的 SU family。对对对，那深深夜起起来马上就转过来，对，演出效果非常非常。然后那段声音就跳出来跳，然后那个他的那个整个的呃那个刺客信条的那个那个那个 logo，就是要跳，然后背景是伦敦的那种现代化城市的感觉。度假，就转远处的黑烟烟囱之类这种东西。, Start Time: 1052050
Text: 嗯，哒哒叮当，嗯嗯嗯别啦啦啦嗯，就这座而且很多鸟瞰点变了，以前一般鸟瞰点一定是教堂的尖顶。对，或者偶尔会有一些沉殿的那个尖顶。对，偶尔会有，但是一般来说都是教堂尖顶，因为最早基本上都是我能记起来，基本上都是大教堂。对教堂尖顶一般就意味着那种一个城市一种至高的一种一种霸权，, Start Time: 1071820
Text: 一种通往天堂的阶梯。这是以前一种宗教凌驾于整个人类的社会的这样一种权威。飞鸟叫声和生那个刺客，反而是从下从上落下这样一种就是很有宗教演绎的那种意象。没错，是没错。但这一代这一代我们发现很多鸟看点就变成了烟囱，对，变成了烟囱。烟囱是什么工业时代？对马克思主义告诉我们，, Start Time: 1129470
Text: 这就是宗教主义，这就是工业化，这就是革命。对这个所以所以所以这一代就变成很多烟囱。所以它整个它的人文意义又不一样，嗯，它是一种一种一种人文主义，一种一种人性的、人的价值的觉醒，一种人自己力量的就是扩大化，一种一种上身是一种上升。然后他也暗示现在嗯凌驾于整个社会之上的东西，, Start Time: 1151670
Text: 就从宗教的那种迷信的狂信，变成了另外一种形式的对一种带着带着一种带入勇所谓一些理性色彩。但是那种资本主义，一种利益，一种色，一一种一种主义，一种种种秩秩序。而就是刺刺客把把们踩在脚下俯瞰之后，就是从上落下跃下的这样一种模式没有错。对所以他刺客充满象征义，对四个信条刺客组织在新的时代，, Start Time: 1175720
Text: 包括就圣殿、骑士团，在新的时代他又完全不一样，又又又有了不同的新的使命。所以我们这些节目题目叫变革，对角度线当中充满了变革，完全各种各样的各种各样的变革。对，而且我觉得在人物塑造上嗯，也包括嗯他进一步丰满了圣殿骑士的形象，对他圣殿骑士。嗯，这个我记得圣殿骑士这个掌控全伦敦的这位嗯，, Start Time: 1200480
Text: 他算是怎么个地位，算是总裁。对，他算是一个霸霸总总。对，只能算霸道总裁。对，他的妹妹被主角杀死的时候，嗯呃他的手下是说这对姐妹姐妹一定要就是被私刑，嗯，然后吊死吊死在这个接口。嗯，我们说的却是，如果我们这么做了，我们就是亲者痛仇者快的事情。我们维护的是基于资本运行的的整个伦敦的秩序。, Start Time: 1226000
Text: 就是他再一次强调了这个秩序，实际上他们两两个组织的一体两面的这种性质，只不过他们追求的东西不一样，但都是某种理想对他们在坚守种种想对对，这个其实象象很丰丰了，而且与之相对的就是 BB 又渐渐了，终于不把各式各样的人物都变成刺客信条，刺刺客和那个首练那些组织的对，, Start Time: 1253350
Text: 那回我做阴谋论那一期技能，我说这个是刺客，这个是这个是刺客。对他那个有一点点，就是其实我个人而言，我并不觉得这是一个非常高明的手段。对，其实就是有一点弱化他的嗯他本身的世界观。不过这个在游戏里给人的感觉倒是这些人物形象反而比以前丰满一些，就是他们实际上是为了伦敦更好。, Start Time: 1275290
Text: 嗯，倒不是说他们是为了刺客，或者为了圣殿某个组织的利益，就是历史感强了。但是吧嗯他弱化了刺客信条本身的一个世界观的一种世界观，那种神秘感，对那种架空了，那种那种灵性在里面就少了。对，但是其实某种程度，我们说一个科学或者理性的时代，其实某种程度上也就是以上古那种神秘感的一种削弱，, Start Time: 1297380
Text: 这是必然的。对，所以说这么处理还是挺好的。对，没有错。然后在包括我们刚一从刚才一直听到现在这个音乐 mostin wintry 他对吧？我们众所周知， journey 的作曲特别深，做一个游戏配乐，拿到格白莱美的齐名，是一个确实一个里程碑式的这样一个。呃，, Start Time: 1317800
Text: 然后他他当时我看了一下他采访，他说当时他借鉴了一些十九世纪的一些室内月，然后对，就是他就是他开这座对对声乐的运用程度非常高的，就是有非常非常多的声乐声乐。虽然做人声对，然后他而且你如果你注意的话，你会在伦敦的不同角落里看到不同的民谣歌手，会产生那个时代的一些歌曲。, Start Time: 1335760
Text: 对对，有一些小小曲的，你可以在那儿听听，一会儿，就是他们会有一些小曲的，两三首这样的你听。对，然后然后这个这个音乐队然找来，就是最后决定找来奥斯汀 wintry 就是这个就是想要这个工作室的工作室。这也以往的刺客信条主要是蒙特利尔牵头，对，是预 b 蒙特利尔这个这个领衔的对这一座我们发现他的那个领衔工作室换成了这个傀儡克。, Start Time: 1357790
Text: 对，就是傀北克，然然后御 b 魁北克。他以前其实主要还是一些副手，就是主要做一些辅助性的工作。对，包括比如说之前前做些些就是刺客信条，呃，在 v 平台的移植，然后包括还有就第三座的那个 DLC，那个那个暴君华盛顿，还有那个四座 DLC 自由呐喊，然后包括上世代平台的那个叛变，, Start Time: 1384630
Text: 就是然后是那一做做的相当不错。对，那一座他就是用一个就是把冷饭，把老的系统还炒的还挺香的。对这个这个说明他本身他的游戏室的确实一个实力确实摆在那个地方。所以这次主要领衔的是这个魁北克这个组没有错，游些面貌稍微有点不太一样，对他那个气势就有点不太一样。确实如此，, Start Time: 1407950
Text: 我有点期待。什么时候玉碧成都嗯也能呈现那或者玉碧上海玉碧成都负责了这个游戏的美术对一大部分美术对这个是非常厉害的。然后他而且就是他这个呢就是玉碧他的这种世界分工的这种东西。感觉其实我觉得比比如说一些二 k 啊，这家公司要明显很多。是的，超级明显。对对我这个造成很多问题的一个跟玉 s 有有好有坏有好有坏。, Start Time: 1429980
Text: 对我当时看那个当时他们对魁北克那制作人采访里面，他说有一个问题是在于他们不同工作室是用不同引擎的，嗯，所以要整合在一起很烦。对，他说他说不像 EAEAEA，他不同工作都在用寒霜嘛。对，但是玉碧他是有不同工作室，用引引擎不太一样，引擎都有有所不同。对，有所不同，, Start Time: 1456060
Text: 可能也不是完全都不一样。但是有些是不一样的，所以他们到最后整合起来也会出现一些问题。嗯，其实四色性条题材就有这个质量上游戏分分的那种感觉。哎，对，就是直到枭雄也没有真正意义上，你觉得它用力用到一点上这种感觉。玉碧的好多游戏都是让你这感觉就永远你觉得差那么一点东西。, Start Time: 1473370
Text: 哎，对，但就觉得这是一个好题材，然后做的其实也不错。但是你总觉得这个东西不够完美，但是如果他不这么开发，反而他可能就没有这样的开放的思想，然后开发这样气质的游戏。对，就是两面的的，这个是有利有弊。对，就阿卡琉斯这种。对，但我觉得真的玉璧就是他这种合作范围反而带来这个游戏的一种某种气质上的跟其他的游戏公司不一样。, Start Time: 1493570
Text: 对，这个游戏本身也是这样，嗯，对，没有错。所以这次工作室变化其实也是变革之一。对，这就是这个表重要的变，从内到外都都是在变化。嗯，我觉得他那个标题声明嗯也有点好。对，标题声明。对，最早之前就是因为它涉及到一些宗教的原因。所以他会在第一座的时候，我记得很明显，, Start Time: 1515610
Text: 就是说本团队是由不同宗教信仰的人士组成，不同国家对对不同国籍。对，到这一座，他加了一个加了一个同样样不不同象的的工作人员组成。嗯嗯，也也是个个其实也是小小的变化，小小的变化一个很就是大家可能平时会忽略到了一个变化。但也说明这个确实现在整个呃游戏产业，游戏产业对于这种一些新的社会风潮的一种一种呼应，, Start Time: 1535560
Text: 一种非常积极极呼呼应。对嗯，也是一种尊重了对自己的是对差异的尊重，对多样化的尊重。对，嗯，是我们最后觉得吧就是销雄这一一个变化。嗯嗯嗯，然后呢能不能扭转这个系列，嗯，口碑的状态不一定。嗯，嗯，口口再再好好一样，样卖还还还是多，不能卖那么多。对他销量第一周非常惨，, Start Time: 1560999
Text: 但是后面慢慢有回升，第二周之后就开始回升，游戏节目目一之之后又再次回升。先预逼说点不好的，别老说好的，嗯，所以的不好就是真不好。要不然最后再说咱最后咱咱们最后结尾说点不行。行行，因为大家买游戏嗯冲着不是游戏，好不好玩，就冲着文化。对对，冲着这个时代，对这个时代，, Start Time: 1583860
Text: 这是集合的风格。对，冲着文化来买好玩不好玩不过来再说。对对，有的聊就行。嗯，那我们那这期节目就到这儿就到这儿。对，下期节目再见了。对，聊完的差不多了。对，然后这其实是刚刚热身了一下聊聊游戏。嗯，对，然后其实我们重头戏麦教授所准备的这些内容是我们后面要的对，, Start Time: 1604930
Text: 聊了聊社会的变革。当时时下伦敦对处在世界中心的这个地位嗯，然后当时与之前法较或对对对对个时代的有什么不同？这这这社社上的变革，然后后我们再聊一聊这个游戏当中出现的那一些具体的人物，然后他们的历史事件和他们为社会带来的一些变革。其其我我现我们这个个节目跟幺八八六那一期对照着。, Start Time: 1627800
Text: 对，因为那边那个是宏观的，这个对我们次聊会对我们这次我们是落到一个城市的。对对对，当时当时准备这是我可我可比较比较照顾脑子，因为对当时实在讲不出来，我讲什么。对啊，幺八八六那个都已经基本上讲的蛮透彻了。对对，然后后来就是学得其实一个时代哪有那么容易。对我们对对，, Start Time: 1650500
Text: 然后后对我们有找到新的东西。对嗯，而且我觉得维多利亚时代开始讲人很对，嗯，因为它逻辑上他就是真正意义上市民嗯，就市民这个平民阶层的这层级真正意义上出现，而且固化下来变成了一个非常重要的这样一个政治政治势力。对他不再是一个啊不再是一个呃君王的他的君权的一种陪衬。, Start Time: 1672520
Text: 嗯，我可以说点那个就是有点离体的游戏。嗯，就是策略游戏里有一个游戏叫维多利亚。嗯嗯，就是唯有在维多利亚时代，就是描绘这个时代的这款游戏中加入了一个概念，叫 POP 人群。嗯， POP 人群对这个这个游戏其他的策略游戏很多的主体就是国家，你是君主，然后你操控国家的方方面面，, Start Time: 1696870
Text: 但唯有这款游戏嗯，玩家控制的核心要素是人，嗯，嗯，你要控制每一个阶层人，他们的利益是这些东西。就在这个时代引入这个系统。很大一个原因就是因为人类历史到这一点上，嗯，个人平民的地位，它真正弄一张凸显出来。对，而且不仅仅是我要活下去那么简单。对，开始有了一些需求和诉求，, Start Time: 1718850
Text: 对各种不同的诉求。然后每个人每个人作为一个生命，个体生命的权利，开始不再要向任何的王权也好，神权也好，卑躬屈膝。对，就是人开始始起起来，然后他就带来整个社会的变化。其实这种这种变化在刺客信条里，尤其在枭雄里表现的非常明显。嗯，对，嗯，那咱们就来细数和盘点一下，, Start Time: 1740380
Text: 这些变化都有什么吧。嗯，好的，那我们就说一下这个社会啊，就是这个我们在这种变革中的社会，那就出现了很多很多很多以前没有出现过的这个这个组织。嗯，对，比如说比如说啊哦其实有一个还是比较传统的一个组织。但这个是我们对英国的一些这个国家的一个印象，中间他必须要有了国家的名片里面就会有的就是皇家卫队。, Start Time: 1762540
Text: 这个 household divisions 就是我们在游戏中间能看到，在白金汉宫门口站岗，对，穿红色制服戴着熊皮帽。对对，然后就是很经典的这样一个英国兵的形象。但这个是之前的时代，也也会有之前有就是有这样一个设置。但是就是这套制服，这套制服是比较近的，就比较近代出现的这样一套制服。, Start Time: 1787070
Text: 然后他中间呢就是说我们看到这些站着这些其实啊其实是主要它中间的这个步兵，他算是中间的步兵部队。对成那个就就几个比较著名，一个稚丹卫队，一个冷西卫队、苏格兰卫队、爱尔兰卫队和威尔士卫队，一共这五个卫队组成。对他这个他们这些卫队最重要的一个特征就是他们首先他们的制服是红衣的，, Start Time: 1806830
Text: 他们是非常典。哪怕现在就是现在我们很多军队都已经不是就是一般都是什么那种深绿色迷彩那种。对对对对，但是他们这个卫队一般正式服装还是红衣。对，他们就是我们所谓的 rack coat recorat。这个东西呢，其实就是现在那个英国白金汉宫战争的那个对他们他们就现在还是穿着这件红衫巡逻。, Start Time: 1827600
Text: 当时就是这种红色。对，当时就是依旧是这个，因为现在依旧是这种。然后到有一个传言说他为什么要就是用英红色的衣服呢？说有个传言说因为不沾血，因为红色不沾血，但其实不是的。对，西总部肯定会跳过来跟我们说，根本不是因为血血沾血沾上衣服上他会显黑，对，他会显黑色。对，, Start Time: 1847740
Text: 所以根本就不是红色不沾血的原因。对，其实原因为什么是为什么是红色呢？是因为是因为最早在一六四五年，当时英格兰国会里面有一个人叫克伦威尔。对，我们就知道后来的这护国国对护国公英国的护国宫。对他当时在他领导下创立一个职业军队，叫做新模范军 new motor army。, Start Time: 1867280
Text: 他那个时候他们就采用了这样一个红色，然后这个红色呢叫做威尼斯红，叫 vishing vishation rat。它主要是来自氧化铁啊，我们就是 f 一 two o 三这个 FF 一二 l 三对，直页颜战兵马威啊，这个这个八零八幺五 RGV 对百八二十一对吧？, Start Time: 1887550
Text: 我靠，这么呃，是这样的。对对对，是用这个颜色，这个也在电电里准确确然原转传染。对对对对，然后这个它这个王权复辟之后呢，因为这只模范军的战斗力非常彪悍，所以它这个这个还是还是表保留了这样一个颜色。而且还有一个原因，就是因为红色染料其实相对是比较便宜的。呃，所以后来就一直沿用了三个世纪，, Start Time: 1906770
