Text: 行，走了，从前那我看怎么能 the money on the bed 要再激动，你是一个 right，知道我来跟你解屏。哎， hello，大家好，欢迎大家收听新一期的家里有桌游节目，我是冰，我是瞬间思路。哇，这终于又听到思路老师声音了，快消失一个月了。快好，, Start Time: 15730
Text: 对对对，清楚的知道古埃及文明是在什么地方就中断掉了。对对，所以咱在这呢就不在系统展开了。可是这要说一件事儿，就是为什么会突然间想到埃及的另一个原因，是因为之前刺客信条玩的有点多，嗯，玩起源的时候就特别喜去对这个被这个那一段故事所吸引。哎，刚好起源最近也打折打折了啊，, Start Time: 285720
Text: 是吗？对对，反正现在我奥德赛还没出去呢，然后那些起源的事儿咱回头再说。然后反正不管怎么样，就是说古埃及的这个很多事情可以通过游戏电影书籍，很多地方为大家所了解，但是越了解感觉就是谜团越多，越玄乎，对越玄乎真的是。而且还有一点就是是因为他这个古文明的断代，导致了很多东西没有传承下来，, Start Time: 308610
Text: 没有记载下后门只能靠猜。对，就是胡蒙。所以有的蒙的系统一些呢，可能慢慢就被人所认可，周知就认可了。但有些事呢到底是不是历史的真相，其实谁也不知道。对，当然所以这期我们的节目也得给大家说明白了。对，很很多都是没有什么科学根据的，因为你根本查不到这个根据，而且要跟大家说明越没有这个没有科学根据的东西。, Start Time: 331190
Text: 当你把它整理出来，在游戏桌上讲出来的时候，越有震慑作用。哎，所以在斯洛老师讲到一些就是大家可能觉得很有意思的一些故事的时候，我也会对比着来说一些我现实在埃及看到那些见闻，然后来对比一下，当然大家看到其实现实还是挺残酷的。对对对对，哎，咱们现在呢就先说一说这个古埃及的一个概念，, Start Time: 356640
Text: 它是四大文明古国嘛。大家都知道埃及呢本身位于非洲的东北部。对，然后它是在尼罗河的流域，到国力最强盛的时候，差不多就是现在到这个就是现在埃及的这个领土的这个范围，北到地中海嘛，东到红海，然后南到这个埃塞俄比亚、苏丹那边。对，然后西到利比亚差不多是这样一个一个面积。, Start Time: 377260
Text: 然后从这个上面其实可以看到埃及的东西两面呢都是沙漠。南面呢有几个这种大险滩，其实就是整个埃及世界跟外界的交通并不太通畅，对相对来讲是比较闭塞，就是封锁在里面的。他要是出去，基本上当年只有通过东北部的西奈半岛和这个西亚来往相对比较方便。所以在起起源里头他也能看到西奈半岛那个 DLC 嘛，, Start Time: 399285
Text: 是吧？但是回到现代啊，咱们来说一下西奈半岛在现代旅游是绝对不能去的啊。对，听说你当时去导游先警告你是吗？绝对不能去西奈半岛。因为这块地方在不管是宗教还是历史上都是一块争议之地。如果你去那儿的话，很有可能极大概率被打仗就死在那儿了，乱枪打死你，就真的现在这么乱很乱。, Start Time: 425830
Text: 就是战。包括我去的时候，战争也那种零星战争也持续在爆发。所以外交部也会提示你，就为了你的生命安全，请千万不要去西奈半岛，不如不然后果自负。对，就是出去是作乐子，不是作死的，是候，同样都是作磨磨。对对对，反正觉得出去去还是多劝劝听劝劝吃饱饭是吧？这所所以咱们还是看看古代的这个历史上就好。, Start Time: 446610
Text: 现在既然阿宾说真的是这么危险的时候，大家如果去的时候还是注意一下自己安全。那古埃及文明呢从现在来讲呢，应该是判定它是形成于大概是六千年前，也就是公元前四千年左右。那古埃及的前王朝呢开始于是呃五千一百年，就是五千一百年前，就是公元前的三千一百年。当时呢这个美尼斯统一了，, Start Time: 469930
Text: 这种叫上下埃及，哎，建立了所谓第一王朝，然后终止了，终止于什么时候终止于大概公元前三十年，就是罗马。对，把这个古埃及就给干了。就是您您就玩起源，就知道这段历史真的太长。我们花了两期节目才可以讲清楚。对你看我一句讲完了，过事讲完了。那这个里头呢，它第一王朝就是它整个从第一王朝一直到最后结束的这些这个过程里面，, Start Time: 493620
Text: 其实是非常纷乱的一个过程。对，那古所谓的这个咱们说的这个古埃及呀，他一共经历了早王朝，古王国第一中间期中王国第二中间期新王国和后埃及差不多是七个时期，三十一个王朝，每个王朝又有若干个法老。而且通过现在的考古和推断，并不能确定每个王朝到底有多少个法老。虽然是这么说，, Start Time: 518360
Text: 其实考古占少，推断占多。对对对，而且这个里头的差距我看了一些非常大，从他有的那个王朝推断有多少位法，老是从几个到几十个，这种差距都没法确定。嗯，所以这个里头很多东西真的就是就是您就靠脑补。但只能说我觉得科学家、考古学家也是靠脑补把它补上了很多东西。这个里面在位最短的法老可能要按天算。, Start Time: 542230
Text: 对，然后上去几天被人背后捅刀的。对司这听来很多文明感觉都是有相似之处啊，都都有这种感觉，走马灯一样的这种更换王朝。那么到了这个在这里可以简单的跟大家说一个判定。举个例子，就是说呃相对我们历历史来讲，商朝我们的商朝大概就相当于它的第二中间期，也就是第十三到十七王朝里头，, Start Time: 566460
Text: 然后结束这个商朝结束于什么？结束于它的后王朝时期，也就是第二十一王朝。所以您大概可以脑袋上有个判定，然后我们要讲说再往前追就是三皇五帝嘛，那就是公元前二六世纪左右，它对应的就是古埃及的古王国时期，也就是第三到第六王朝。所以大家您可以想象一下，古埃及的历史往前能推大大多久？, Start Time: 590520
Text: 就就我们们三皇皇帝再往前，那差差不多就是女娲补天了吧。那时候日本都没有。对对对，就是上古神话的时代，所以那是上古神话的时代。在古埃及对应的来讲，它已经进入它的第一第二王朝这种时期。嗯，所以这个大家可以简简单的脑脑子里建立一个概念，就是它到底有多远。至于更深远的，, Start Time: 610840
Text: 您可以去听那个咱们之前刚才提到的那几期节目。哎，行，那倒回头来说，这个古埃及为什么能成为叫文明呢？就是因为它不但有自己的这个建筑啊，历史的、传承的科技术的这种发展啊，而且有有自己的文字系统，有像形形文字语系系统，有比较完善的政治体系和多神信仰的宗教系统。对，, Start Time: 630010
Text: 尤其是这个多神信仰极其混乱，它在不同时期，同一个神可能分成若干不同的名字或形象。因后有的时候这法老也会根据自己的统治需要，塑造造出神神对正正事事就是塑造的混乱。但落到最后总归都是我是神仙。对对对，你你在那儿会看到到当地有很多这种多神崇拜的留下来的这种遗迹嘛。, Start Time: 651730
Text: 因为他现在本身已已经是是个多崇拜拜的国家。对我当时最大的体会就是嗯在不同区域，你可以看到不同时期的那些遗迹嘛。嗯，但是最后留下来都会说啊，这个太阳神是代表早晨的太阳，这个代表太阳神是代表晚上的太阳，就是分这么细是吧？对，就是分很多种，然后名字也各不一样。对，, Start Time: 673190
Text: 这个要有专门研究，这个考试要考这段还可能还挺容易丢分的。这个也挺听我们之前的节目，我们也详细的说了，都就就因为太乱。所以我们自己说的时候，有时候都会被绕进去。然后古埃及的国土呢就分布在这个尼罗河周围的一个狭长地带上。然后古埃及人通过治理和控制尼罗河一年一次的这种泛滥，, Start Time: 693145
Text: 反而获得了一个农业生产的巨大成功。这个在之后，我今天我们要聊的很多桌游里都会有详细的表现。那这个具体的故事，咱们到那个板块，然后我再展开来详细说。对对对，那么在三千多年的这个古代时期的这个古三千多年前的这个古埃及文明时期呢，个他们建造了巨巨的的字字塔神庙庙间碑。, Start Time: 715240
Text: 然后还在当时很先进的医学体系对等等等等。古埃及文明对后来的西方文明，也就是所谓古希腊、古罗马犹太等等这些文明明那么了了非常直接大大的一些影响。那么古埃埃及研究究在在术界有有一专专门的学科都被展为叫埃学学。有点像咱们学学白雪，对专门有这样一个学科。所以这个古埃及整个文明的历史是也对人类历史发展影响都是非常大的。, Start Time: 737160
Text: 那么到回头来说，在这么这个这个复杂这么漫长的历史过程里，他们有没有人想到没事干，做个桌游玩呢？这事是是有的。对，而而且非常非常早就有人想到了，不知道谁想到这个已经无可考。那古埃及的桌游里面最有名的棋业，这个该是现在最古老的桌游，在考古界发现的叫做赛尼特赛尼特旗。, Start Time: 766290
Text: 对，这个应该在很多博物馆里有见证到实物吧。对，这个其实规则咱们现在是不可考的，因为这个规则里都是后人补上来的。但是你在博物馆里有时候可以看到一些法老的陪葬，就比如说什么经到各种实质的，你都不知道是啥玩意儿的。但你能明显看出来，它呃有的人会给你解释，这个就是法老用来娱乐的东西，, Start Time: 789250
Text: 就你就能看到还摆在博物馆里头是有的。对，所以这个赛尼特旗呢有观点认为，但是现在西洋跳棋棋，什么双录棋棋啊、际象棋棋啊，是所有这些西洋传统抽象棋棋子的一种总的源头。当然是不是这事儿现在也不太好论证啊，但是有这么一个观点是这样认为的，塞尼特旗的历史到底有多悠远呢？, Start Time: 810110
Text: 在公元前三千一百年，也就是说这个这个古埃及文明刚刚形成的这个时候，也就是现在五千多年前的时候的墓葬里头就已经能发现陪葬的赛尼特旗。你想想他还进进墓墓葬里，证明这东西还真的是至少在生活中觉得这个墓葬的主人会觉得自己死后还能用得上，对吧？他他至少觉得是有用的，, Start Time: 833050
Text: 你要是一过期彩票，他也不会放里，没有用了，对吧？嗯，然后那从法老王后的这种壁画，还有随葬品下到平民百姓的墓葬，其实都发现过塞尼特旗，嗯，只不过是他的做工的这种精湛程度，质地有所区别，就仅此而已。这种区别，那么塞因特旗是个什么样的？它其实就是一个长条形的小盒子。, Start Time: 853390
Text: 对，里头呢放了十个棋子儿，双方每人各五枚棋子，这五个棋子呢然后就就相当于各吃五枚嘛，然后呢还有四根作为骰子来用的小短棍盒子，上面呢刻出了这个就是三十个格当做棋盘，而且就像咱们玩象棋一样，或者玩这个什么跳棋啊、围棋一样。有的时候没棋盘，您就不就拿树枝子在地上划拉，, Start Time: 874790
Text: 划拉能玩吗？对博物馆里面可能就是块石头，对不对？很可能当年很多这个穷人至少说这个老百姓像玩这东西的时候不用那么精致，可能就是弄个泥板子，对吧？噗噗一一戳刷刷一划晒干了一板，可能就是棋盘了。拿捡个石子子往上一摆，也次点的就拿地下土上，拿拿树枝子划拉划拉一棋盘也能玩。, Start Time: 899530
Text: 甚至啊在那个年代，老百姓玩游戏戏被禁止的。对，是吗？你要被发现是要被杀头的，因为这法老会把他的宗教就是象征意义给放在这个游戏里头。哦，说这是法老通往民间那条路，你们对对对，杀人是不能玩的。哦，对，是有这个说法，说塞尼特奇应该是模拟了一个亡灵，在死后穿越冥界的过程。, Start Time: 920750
Text: 嗯，哎所以啊那那阿斌说的这个我还真是这么想想，还蛮合乎道理的。很多时候游戏都是高贵族才能玩的啊，不像现在这么就是大家都可以玩一个大众娱乐。对对对对对，这个演变还真是蛮有意思的一件事儿。而且呃现在在网上有人去复刻出了塞尼特旗的规则。但是啊这必须跟大伙说说这事儿应该没有什么太完整的逻辑。, Start Time: 940400
Text: 根据就是理论，根据它应该就是根据一些这个棋盘现有的东西啊，然后一些只言片语的记载，这样反推出来的。但是网上有电子版，您要是感兴趣呢，可以去网上找找这个电子版的赛尼特旗，看看到底是怎么玩的。然后另外还有还有您说这个古埃及人这么几千年就玩一个游戏嘛，我觉得也不可能肯定玩腻了，, Start Time: 966130
Text: 是吧？您拿扑克牌，还得斗地主玩腻了，还得试炸金花什么的呢？你看看中国的围棋多伟大啊。对对对，所以在古埃及人也发明了很多其他的桌游，在刺客信条起源里面其实就有出现过其他的桌游。只是不知道您各位没有注意到过啊，对，这个画面还被人截下来过，在网上能够找到那个截图画面。, Start Time: 985760
Text: 这个画面是什么呢？它是一种也是一个长方形的盒，以这种棋盘上面插着一些细棍，这这个棍有的长有的短，这个游戏戏的名字叫做狗柴柴柴，这这还真不知道叫狗与柴。它是在一个三乘七的长方形，这个棋盘格里头插了那个细棍，五个短棍代代表狗个长长儿代表柴这游戏怎么玩？没人知道现在发掘出来的文物里里头没有那个个棋棍棍，, Start Time: 1006000
Text: 是可以看到那个短棍上叼着狗头，长棍上叼着柴头，但是这个东西到底怎么玩，彻底没有人研究，也到现在也没有复刻，也没有人去吞着。没有人做推测，你知道道推测测出来来不像赛尼特，还有人推测这个好像都没人推测。但是在刺客信条这个说刺客信条起源就是这个制作组我还是很用心的，, Start Time: 1034860
Text: 就这种东西就给放在他生活的日常的这种这种，这叫怎么说呢？细节里头就能表现出来，我还真没注意到过这个，我也没注意过。真的，这我查资料的时候，发现有外国人截一图嘣儿放，那还让你看就是这东西。哇，我说这也太细致了。然后在欧洲的很多博物馆，哎，您要注意很多埃及文物都保存在欧洲的博物馆，, Start Time: 1054230
Text: 基本上能看到的大部分的古埃及的文物，要么就是被偷走卖掉了。嗯，没了，要么就是在古古埃现在埃及的开罗国家博物馆，嗯，就是在开罗，他们相当于是国家的一个博物馆，但是就是咱们那样首博一样，这个级别是吧？但比咱们那个差远了，然后要么就去了是吧？我去了，要么就是在英国的大英博物馆，, Start Time: 1074470
Text: 就是被那个时候英国发掘出来以后带走的。在埃及一直到近代才有一个规定。嗯，就是他们在这个规定出台之前，他们的规定是谁？发现了文物，包括木乃伊在内，他就归谁啊，就是木乃伊，就这些东西谁我去了。我就是比如说我是一旅游的人，我不知道那那去哎发现有一木乃伊现在不行了。, Start Time: 1095910
Text: 就是说当你如果说在这法令之前，我登出来，他就是我的是吗？就是你的他就属于你的这么牛逼。直到后来这个法就是法令实行以后才说啊，这个是人类共有的财财产，所以你不能随意把它买卖之类的啊，这这我估计已经没少丢了，这很多东西应该也不知所踪了，但咱换个个家得留着，换个思思路来想，, Start Time: 1114710
Text: 即使都被偷成这样了，你在埃及还能看到这么多。对，而且现在还在不断的发现新文物，就那种感觉，就好像跟希腊这种感觉，一铲子戳到地下就能不定挖出来什么来那种感觉。哎，这这我在当地还真遇到这么一个人，他会说中文、阿拉伯语和英语三国，这是哪国人？埃及人埃及人，他是埃及人啊。, Start Time: 1135240
Text: 然后他在跟我说的时候，其实就是在往帝王谷那边去的时候，他就跟我说，当地的很多埃及人，你看他们表面就还是很富嘛，他们到半夜的时候就会去那种赌运气一样，到后面的山里往地里插铲子，运气好就可以真的发现的东西，然后偷偷给自己倒卖掉。就他们这个就是他们去挖这东西，也没有什么学术或理论一支持，, Start Time: 1153900
Text: 就看就看造化是吗？就是因为他量太多了，所以人会有那种例子就很少，就万一真的意外在什么地方发现了，他就瞬间暴富了。就有很多人真的像盗贼村一样，就是连点技术含量都没有嘛。这种就就住在那个帝王谷附近的那个地方，你看起来他们就是表面上是平民，他们他们到了半夜以后，, Start Time: 1175420
Text: 他们就会真的去想办法，就是跟买买彩票一样。这铲子下去，万一我就发了啊，就是他们也没有什么，像咱还拿洛阳铲下去，先看看这地儿怎么样，或者估算一下什么，看看这个风水啊，断的龙脉什么位置没有是吧？就没有就了，放大运似吧，就是因为量太多了，牛逼，这太厉害了。行，那咱们接着说完这点啊，, Start Time: 1195030
Text: 其实除了这个狗与柴之外，还有很多明显是棋盘的东西。比如说我看到一张图片啊，其一个像磨盘一样牛的，中间放放射性的有很多条纹。然后外面还有除了放射性条纹之外，外面还有一圈一圈您就想想大概像这个凯旋门周围那个街那种种觉，但这游戏连连棋子都没有，怎么玩也不知道，只发现了这么一个棋盘，, Start Time: 1216390
Text: 就是类似于这种东西，有很多到理这些东西。这些游戏是当年哎古埃及人都玩了什么，他们怎么玩的没人知道。所以这些呢也就留在变个棋盘历史上一些谜团。只不过这些谜呢可能不太重要，所以就没有什么人聊。所以今天呢我们也讲完了这个前面的一个部分啊，我们就应该聊点这个大家都聊重要要的集团，, Start Time: 1238690
Text: 不能老老聊这种不太重要的，你站不住人啊，在桌上玩的时候，所以咱们今天要重点的讲一个事呢，就是金字塔。呃，如果之前有听过其他节目的朋友，可能知道我原来讲过金字塔的故事。嗯，但是今天要讲的和我之前讲的有一些相似，但又不同独占的内容啊，对对对，必然有独占，而且比例很大。, Start Time: 1260900
Text: 最重要的时候，以前来没有有我结合桌桌讲讲。对那金字塔呢到目前为止，一共从来有有讲讲九十十五金字字塔，这九十五个金字塔呢有大有小，其中最有名的也是大家看电视，一看那个代表埃及符号的就是胡夫金字塔在内的那仨金字塔。哎，吉萨金字塔群。对，它包括了为什么一说叫吉萨金字塔群呢？, Start Time: 1281660
Text: 因为它大概修建于公元两千前两千六百年到前两千百百年，在尼罗河三角洲的吉萨这个地儿盖起来的，就是现在的埃及，在那个地方也是叫吉萨高原，在那个地方是叫吉萨区域的。对，当时就在尼罗河边儿，它是一个三角洲。对，那这个地方呢盖了三个大金字塔，还有失身人面像也在那。然后它周围还有一些小的金字塔，, Start Time: 1302820
Text: 那这整个这些所有的这些建筑物合在一起，叫做吉萨金字塔群。对，其实如果去埃及旅游的话，如果就一个地儿也就是这了，那我只有一站也就去这儿了。很巧啊，就是现在基本上国际航班都是落在开罗嘛。啊，对对对，现在的开罗其实离吉萨是不远的，嗯，就呃基本上是驱车靠近一个小时就能到。, Start Time: 1325090
Text: 然后我很巧就住在吉萨啊，你当时你是特意住在那的吗？呃，不是，就是刚好你离金字塔近吧，那个地方嗯啊就选了那个地方。然后其实啊你到了那里就能发现，因为金字塔太大了，所以基本上附近的酒店你都可以直接从酒店就看到金字塔哦，就是它很远的地方就能见到这种。对哦，那这样说，, Start Time: 1348270
Text: 那靠近金字塔去看还要买票吗？现在就是比如说我我要进到跟前，我摸摸它要还要还要买。那那是有是有个门票的能进去吗？现在让游客进吗？呃，当然你给钱，当然没埃及靠这镇钱呢，要搁咱现在好像不是好多那种古迹，早就超过接待量什么的，有些就什么限流的，或者是封闭了，就有有这种东西。, Start Time: 1370090
Text: 他那没这么一说，嗯，应该是也没到那个没没像咱们中国一样，一个景区挤满了，全是人没到那个程度了，不至于是吧？对行，那刚才阿斌说这个离得很远，就能看金字塔。为什么您金字塔太大太大了？这个胡夫字塔有多大呢？它的底边边长是二百三十米，现在的高度是一百三十六米。那么根据推测它建好的时候的高度比这个要高，, Start Time: 1390090
Text: 它当时的高度应该是一百四十六点四米。后来因为风化等等各种各样的崩塌，顶上等等很多原因。现在这个已经降低，变成了这个一百三十六，它占地是五点三公顷。根据推测，在公元前具体一点的时候，就是公元前两千五百六十年左右建成的动用的人工量是多大呢？是两到三万人造了二十年。, Start Time: 1412985
Text: 咱们现在说的是胡夫金字塔，不包括旁边那俩那两个金字塔。虽然说没有胡夫这么大，但其实也不小。对对吧？然后边上还有一群小金字塔群，就是那种看起来很 low 很垒的，类似很 low 的那种，绝大多数都是那种。对，那一会儿咱们一会儿会细说一下金字塔的区别，就是金字塔跟金字塔是截然不同的对，, Start Time: 1438680
Text: 而且甚至都是埃及金字塔它也不一样。那咱接回来说这个胡夫金字塔，胡夫金字塔呢是整个是用大石块堆砌起来的，大，且甚至多少石质料。这个石料呢大大小小的石块大约是二百三十万块，嗯，平均重量是二点五吨。这里头最重的一个石块呢六十吨重。而且最最神奇的是这六十吨重的这块石头离地面有五十米高，, Start Time: 1458380
Text: 它不是在最底下那块六十吨重。但是这东西怎么整上去的，咱们一会儿再细说。对，呃，在它旁边，咱刚才说这个吉萨金字塔，还有一些小金字塔嘛，那些小金字塔呢，其实他们有一个名字啊叫做马塔塔。就就是这这个什么意思呢呢？在阿拉伯伯就是板凳的意思。嗯，所以您就可以想象管一个金字塔叫板凳儿。, Start Time: 1484760
Text: 你就想想它跟胡夫金塔对比起来有多 low，就是它非常的小，而且它不是那种像胡夫金字塔在那那三个大金字塔，它是那个正四边形，正四边形，而且它外面那个面儿其实很规整，这个那些小金字塔，不是那小金字塔都是阶梯状的，是吧？就好像垒一层爬上去，再垒一层，再爬上去再垒一层，, Start Time: 1505550
Text: 就是这种感觉特别明显。这个您在起源里其实也能见到这种小金字塔。对，在古代其实是这样，但是现代就都不一样了。因为底下包括外面的石灰层剥落啊什么的啊，对对对，也变得跟阶梯一样的。只不过它因为因为它非常非常大，所以大家在照片和视频里看到它觉得哦感觉不出来是吧？而且最大的一个误会就是大家都觉得那个大石头能有多大嘛，, Start Time: 1525870
Text: 桌子这么高，我翻上去就完了，我爬到顶上也是有可能的，它应该是一两人高那种石头是吧？非常高非常高。那个石头就是其实你在当地的话，它是没有规定不让你爬金字塔的，只是你爬不上去，一个是爬不上去太累。第二个是如果出什么意外，全都你自己负责了。那真有真有人会因为爬这个出意外嘛，, Start Time: 1551810
Text: 当地因为极煞高，原风很大，其实你越往上爬，风越大越冷，而且石头还这么大，所以说他很有可能，这就是一个作死的行为，是吧？爬上去别很有可能就是作死，当然也有陈了。之前不还有一个新闻，有一个摄影师啊，对，这咱们就不说了。对对对，这段您上网看去吧，这个被骂死了俩人是吧？, Start Time: 1570899
Text: 对我当时就觉得那也太冷了吧，是我当时觉得这俩人挺牛逼，就是这事儿都敢干，真是作死还行。这时间轴的同事也注意一下，不要放太过分的图。对对对，嗯，这段事儿呢咱就不说了，咱咱倒回头来接着说，就是说这些个叫做马斯塔巴的这些个小金字塔的，它跟大金字塔这三个大金字塔相比，, Start Time: 1589920
Text: 有一种怎么说那种区别别就好像是在一个呃这种城乡结合部的电器城里走着走着，突然看见一苹果旗舰店的感觉，您又出现了乔乔的奇妙比喻，是不是有这种感觉是吧？有有这样一种差异。所以我们先不讨论那些小金字塔，那些小金字塔，其实在做工的工艺和水准和它的造型，以及她的，尤其是她的建造质量水平上和三个胡这个大金字塔有有壤壤之别的。, Start Time: 1610480
Text: 所以我们先放在这儿，先不说，我们今天就聊聊这个胡夫金字塔，这是让您在游戏桌上最有谈资的地方，不用游戏主儿，您过年回家吃饭聚会、亲戚朋友聚会，你也能用这个话来震这个故事，震慑他们啊。好，咱们先说说这个大金字塔，阿宾倩亲眼见到的。你没爬上去吧，我爬了就几块大石头，, Start Time: 1637930
Text: 就累的不行，就就很累了。对啊，他这石头真的是有一两人高是吧？呃，没那么高没那么高，但是也还能翻也得翻上去那种就费劲。你需要很费力的做一个，就把自己撑上去，然后腿爬上去才上一截。你想那两几百万多多少万的一个石块垒在那啊，那得得爬多久还真得还好像真的得爬很长时间是吧？, Start Time: 1658050
Text: 是。对，所以说这个时候金字塔有一百四十六米高往上按，原来刚造好，那高度它怎么造出来的呢？而且刚才咱说了那个六十吨，那石头可是在不是在地面上大百五十米高度上，当时怎么把这些东西弄上去了？后来下么咱们就先说说他的建造之谜啊，建造之谜里面呢有众说纷纭金字塔到底是怎么盖的？, Start Time: 1680480
Text: 还有很多人试图复原，就是说造了一些机械，按照当时的技术怎么修建这东西。很多很多说法。呃，咱们整理几个最主流的说法，第一个就是土坡建造，说这个土坡建造说是怎么呢？咱就是顾名思义，就是我先修完一层金字塔的石头，然后旁边修一坡，再把石头拽上去，放上去修谱了，再把那坡加高点，, Start Time: 1701640
Text: 就这么一直一直往上垒坡呢，这是这金字塔就修完了。哎，听起来其实挺靠谱，还挺靠谱的。但是这有一问题，如果你金字塔高到一百四十六米的时候，您能想过那土坡陡有角度有多大呢？就相当于我们可能要背着一个好几吨重的这个石头，然后玩攀岩金字塔的角度是十分精确的。对对对，, Start Time: 1723800
Text: 那一会儿还会说到这个精确的事儿是真的是非常的精确。所以如果你要是修到一个一百四十六米高，这个金字塔要给它配套修土坡的话，这个土坡要想把这种两个平均重量二点五吨的石头拉上去，这个土坡的角度要有多大呢？不能大于五度，否则就超过人力能拉的这个范畴了。那你如果要不超过五度，, Start Time: 1743840
Text: 高度到一百四十六米，你的时候这个土坡有多长啊？延伸出去一点六公里长，那这个土坡要用多少土石方料来修呢？大概跟这胡夫金字塔差不多，也就是说我修一个金字塔的同形时，其实修了两个金字塔的石料，那这堆石料加在一块儿呢，一共有四百六十万块石头。如果我们刚才推测说这个金塔修了二十年吧，, Start Time: 1767000
Text: 如果用四百六十万块石头，除以二十年除以三百六十五天，除以二十四小时，除以六十分钟，结果是什么呢？每两分钟修一块石头，这个大伙儿得想一想，两分钟能不能推着一个平均重量二点五吨的石头走完一点六公里，这都是一个问题。你更别说精准的把那石头放上去了。一会儿咱们您会听到到底金字塔有多精准造出来的。, Start Time: 1789835
Text: 所以他绝不可能，一个人就得往往那一推，他走，你咣当上去，这事儿就完了，走一开都不可能，对吧？这事不可能，所以有人就在这个方案上提出了一些修正。有一个法国工程师提出来，他说这个可能就是前三分之一用的土坡哦，然后这三分之二呢是在那个土字字不就修修了一个底座嘛，, Start Time: 1810740
Text: 相当于嗯我在里头围着金字塔的那个外圈，就内壁修螺旋形的走廊哦，然后把那个石料从走廊里螺旋着往上拽，这就是修一层这个走廊盘一层修一层盘一层这个那个倒是挺好。可是他的问题在于，到目前的所有的金字塔的发掘里面，没有发现过任何走廊这种外内壁回选走廊的这种痕迹。嗯，, Start Time: 1829500
