Text: 他们说的我们聊的都是你们最想玩的，刚知道的才公布的，全是本周最热门的，欢迎收听机核网新闻节目。 judual news， waiting for my 大家周五好啊，我是新总部，欢迎收听咱们新一期的家族 news。哎，大家好，我是娜 dia。大家好，我罗罗。, Start Time: 4080
Text: 这也没什么看他他就是在这个他是一般怎么说呢？就是发给这个媒体的这个稿件嘛，相当于公开的稿。嗯，然后它里面说说我们这个 MAC 要复活了，然后完了最后加了一段，说正像我们 MAC 复活一样，对我们很多这个的 IPP 是长时间间想推出新作的 IP 可能会有一个这样一个复兴的计划，, Start Time: 802210
Text: 哎，提升一下我们这个企业的价值。哎，可以可以，哎，混乱混乱。你好，对，说白了很多，咱们那个就是网友也来留言言，这个看老卡手里这些 IP，这是令人只留流口水似的，你没有能力开，你到时候往出放一放。对，确实是很多好的，这个我们就是可以说想想都会流眼泪的这种游戏，, Start Time: 821360
Text: 对不对？对，超空手里没错，不管管是哪层层面上的眼泪泪，反正都流说实在的，你出新座也好，对你是复刻也好，重置也好，那有良心点，你就像人家那古惑郎似的，对吧？好好做一做都可以，哪怕像是拉伸一下，复阅率更新一下。毕些组我们也是哎上一些比较这个便携式的平台啊，我们也能接受。, Start Time: 842220
Text: 只要你游戏做的好，对对其实某种意义上来说就是个念相声，就就是你能让我有的念叨就行，是对质量真是挺好。而且确实开普通有很多游戏啊，他现在这个年代反而好像有觉得适合拿出来。是的哎，没错，有一些想法，比如说这个这个这个红霞交易。对，比如说这个神之手。对对，真是。, Start Time: 861820
Text: 但现在这个就是通过 steam 也好，通过什么也好带起来。这个就是新的环境里。这些在当在当时看起来很怪异怪异的游戏，可能到现在为止会有不错的效果，也对，没错。而且游戏本身说实话，核心的那些就是游戏的设定和理念上，它没有问题。对对，放在这个时代，大家依旧是可以接受的，, Start Time: 879850
Text: 这个是好的事情。嗯，然后是生化危机七嗯，在上面放了一段播片呃播片，同时有战斗画面和这个物品栏 UI。嗯，对，这个游戏都有。然后然后新的试玩有玩有了。对，在当天就开了。对，我们也试了一下，然后二 d 也玩了。对对，而里也售后所对这次更新的内容其实还比较的对吧？, Start Time: 898370
Text: 挺多。其实啊而且他正是变成了一个完整的试玩吧，就是一个有开始有结局，对定有过程，你怎么样触发什么样的结局局，就是觉得就是一个小小的这个相对于完整的一个小的呃试玩游戏吧。嗯能捡东西，能使用道具有战斗等等等。对，而且有一点我比较觉得好的，就是说他画面这回确实是不错啊，, Start Time: 919130
Text: 尤其是在他新的这个今天也有新的拨片出来。对对对，说是之前那个八分钟他剪成了三段。对，可以看到这个就是他首先稳定六十帧，这个游戏很厉害是对对，然后在这个他可能把这个游戏的格局变小之后，他能把这些细节抠的，他能 hold 得住了， hold 得住。就不像以前我老做说说大这个行团巨无数。, Start Time: 939620
Text: 然后城市是你好，你仔细看这些东西，没有细节，是就全是对对个航团就是六嘛。用白老师的话说，对六嘛尽管很长，但是他感觉就是一个能吃的巨饱的，干脆面流程巨长巨的抠个霸无光，巨无霸，没什么没什么营养，对吗？对，这次他可能就抛开了这样一种理念啊，把这个格局放小，然后是比较精抠这个细节。, Start Time: 959480
Text: 对对，也许他不是小岛，也许他做不了那么精致，那么让人觉得精妙。但是我觉得啊有这个个个方挺好思路，我觉得是对对对对错的，我现在还也不好说。但是我我个人表示赞赏啊，敢于变，而且敢于这个把从大放回小。我们看这个个好的的这个游戏，是不是能够给我们带来对给这个系列带来一点新的活力吧。, Start Time: 980000
Text: 对对对，然后我把剩下一些比较碎的东西再再补充一点，比如说 let it 嗯不要播片，而且当晚就可以试玩了。但是但是咱们现在并玩不了，玩不对。嗯，然后比如说有一个 diraacal 风格格重的那个 win jjamer 躲避球游戏啊啊，看着好玩啊，还可以打播戏。, Start Time: 1000350
Text: 嗯，新的这个所谓的什么新的武器啊，是索林。对，我们当时现场时候说的什么可长可短，可近可远，还可以打自己。对，还可以打自己。对，就是这么个武器啊。然后 horizon horizon 是作为压轴倒数第二个来播。但是这段播片呢没有什么太多的内容，对，只是一个概念上的播片。, Start Time: 1017830
Text: 然后有一个让我啊啊啊还确定这个 mother rush a 不利的登陆比拉四，嗯，然后让我非常不能理解，稍微有点愤怒的劳劳拉拉 a across 的 go go go。大哥们是是几年去年的吗？够就是 y 对 y 上了 PS 和 PSS 为赚钱，这个挺挺。呃，, Start Time: 1035770
Text: 但为什么么这赚赚对我们不是特别懂。然后然后我觉得作为好像是没落啥哈，但是作为说个那什么呃重力异想世界文级片的第一个 DLC 对要贡献了，可以用这个 riven riven。对，那个小姐姐一代里边那个黑头发，然后他的那个旁边那个动物是乌鸦，就是那个小姐姐安苏嘛。, Start Time: 1056160
Text: 嗯，但是就是在最后最在在这这个环节，最后要提醒各位的是这个小成本和独立游戏这个播片环节几乎都是佳作。对，无论是这个 ravwin，然后还有那个女孩放风筝，这个好像是 what remains of s switch 啊，觉真真的挺长长，然后 pair 那 pair 看着特别其实有些独立游戏，, Start Time: 1077480
Text: 我觉得这个真的更好，就给他们的时间展示时间太短了。对对对，其实是很很对很不错。比如说那个那个叫什么无畏吧 downlance，还是当然来自就是我们都觉得像怪兽猎猎人一个合作的，应该是啊四人对抗区 TGA 上公开的那个。对，然后然后这段也啊啊没提是么，这上也展示了吗？, Start Time: 1098480
Text: 对哇，我想想完了展示就就一个播片啊，啊，然后还有一个要提一下它单独拿出来播。虽然不知道为什么就是无畏战舰嗯嗯，无畏战舰，那个游戏应该是个德国的厂作的一个 free to play 的对抗游戏就是理解为坦克世界那样的防弹式对抗啊，他其实三年前我印象中很深，三年前在克隆亮相了，, Start Time: 1120440
Text: 然后销声匿迹了三年。呃，然后今年在 steam m 上已可以玩玩到了。如果点记错了，然后然后这次登录 PS 四嗯，呃喜欢这个题材的可以试一试。这个游戏有一个非常尴尬的内容，就是它在等待阶段是在星海当中的巨大的战舰在等待等待月越迁进程后，打打起来之后说太空四十二就疯了。, Start Time: 1139840
Text: 然后然后一打起来，他就一定要跃迁到金地表，打打的特个小家子题莫名其妙。这个游戏让我觉得特别别难难受。星辰大海陨天，然后后棱一下就突然就变啦啦啦啦。拉，然后突然就变成了那个悬悬浮和坦克世界，特别奇怪，这个知道吧？好哎，对，四十二说到这儿，你正好说一下，你周末干嘛去了吧。, Start Time: 1163550
Text: 啊，对，正好的星辰大海的故事。对对对，这个周末去就是受到这个天世纪天成邀请嗯，去参加了一 v 一今年的这个玩家见面会，嗯，然后玩家见面会，今年办的游戏的大嗯，去年基本上是那个小家，大家就是聊一聊聊这样放就是讲讲数据什么的这样东西。然后现在是海聊对海聊放开了聊，, Start Time: 1182410
Text: 这次就是有大量的展柜，然后还有这个商店，嗯啊，然后还还和这个另外一个算是科普机构来展示了一些陨石啊，然后实际的陨石陨石。对，真陨石，然后很漂漂亮那样的照照照片。嗯，然后主要内容其实还是一个会。嗯，因为就是 EVG 玩家特别喜欢看自己数据啊，聊数据，聊了很长时间。, Start Time: 1203390
Text: 其实这也证明了玩家的凝聚力对你真是很有凝聚力，尤其是在这个坐在台下的，其实在游戏里是这个打的死去活来的投敌吧啊就是大家相聚一堂，呃，是很开心心。说实话， EVE 这个群体在国内就是单独游戏小群体里算是很有印象象，非常给我的印象是非常好的一象群。对我印象很温和。, Start Time: 1225400
Text: 对对对，一点不不温和吧。是啊啊，对，内部不太温和，不是，但是就是他们对外面显得就比较温和，不像有些很温对。然后像那个一进门的时候，他特别有意思，就是他放了一个星图，是这个泡沫板的。然后他给你这种小旗子，你可以上面写，嗯，把你的军团，把你的这个名字，比如说他这个星星系上，, Start Time: 1246840
Text: 然然后我找了了一下，就是就找了一下我当年啊实体战队嗯参加过会战的这个星系和我当年我们集团住房休息。有没有一种感觉是自己已经是七八十岁的老兵。对，其实其实我跟你说，这个见面会，特别像是那种老兵相遇，各种想当年对对着唱红歌，对如何如何。对对对，打的这个怎么怎么样，, Start Time: 1268400
Text: 看我腰上这个疤，就是这种感觉，然后各种见面说，哎，你是那军团的，你还还是吧？你们军团还抱我什么什么船，怎么怎么样啊，就是这么一个这么很有意思。对，然后 CCP 那边来了三个大哥，这三个大哥就是从这个研发到这个营销这些相关人员，这三个哥们儿啊是三个特别有意思的大哥，, Start Time: 1288710
Text: 然后给我们讲的特别开心就不说了。然后还还最后来一段，因为这个 CCP 有一个自己乐队，然后他们自己就唱了很多各式各样的歌，从说唱到摇滚啊全都有。然后他们最近一个比较有名的歌，是这个 EVE 堡垒资料片的摇滚乐的 BGM 是他们自己唱的。嗯，然后还很不错，听着就感觉挺欢乐的。, Start Time: 1309890
Text: 对，这这这些老大哥特别放的，就是气氛特别好，欢聚一堂吧。就算而且 CCP 那个国家国家这个样，嗯，然后他放了一段播片，说为什么我们做一 v 一没得干？对，很多人说没觉得没没事事没事对不干这个我就去鱼罐头厂，就是加班去了。而且我天天我什么都不干，我也有钱拿的，, Start Time: 1331520
Text: 我干嘛是吧是吧？对，不如为不如做个游戏啊，基本就是这种感觉，嗯，很有意思的一场一场这个对聚会，感觉精神状态上就不是那种特别紧绷着的，一定要有一个而有压力的。而且我也觉得世纪纪成的运营团队也很懂这个游戏和这个玩家聊的特特别好，这是也很幸福的事。对对对，有有意思就双方都懂了。, Start Time: 1349000
Text: 对对，大家玩乐呵。嗯，然后说说这周陆续公开的一些新闻。比如说这个前几天他家也发了一个光环战争二的这个国服的预购。对对，主要是价格依旧很便宜。没错。对，打折嘛一上来就然后我跟四少说了，我说等着游戏戏售的的时候带玩玩乐乐。对，是是，而且关键是在 TGA 的时候，, Start Time: 1369360
Text: 其实这个也有一相关的新闻，但是很短就过去了。对，是预购豪华版预购豪华版初代的那个高清重置，而且 TGA 上的播片是剧情。嗯，在剧情演出很不错，是主要这个东西可能就是屋里的人玩的很少。对对，所以我们了解有限，但是我挺喜欢他的。这个新模式就是把卡牌加进来，这个像皇室皇室战争的这样一个模式。, Start Time: 1388510
Text: 这个模式是一个对 RPG 改良很好的一个方向，尤其是还好一样。其实其实是这样的，就是他算是一个比较好的能把手柄和键盘玩家统一起来啊，来来一起玩的一个模式。对对，就是用手柄玩这个他 RTS 一直是一个呃 CC 个，尤其尤其是就是有资源生产这个这个方向之后，手柄玩家比较吃亏，, Start Time: 1411650
Text: 是这点比较尴尬。对所以他这个模式是个很好的方向。其实在上个时代的时候，真正说在主机上见到的 RTS 就那一个只有光环战争一和呃 CCC 分析三还是它有一个副标题，我我如果没记错的话，也也上上上。对，其实他们的操作就基本上是贯彻这么一个点。就是我所有的框选，, Start Time: 1435710
Text: 咱们像鼠标上是按住一个点，然后拉到对角线。对，但是在主机上是我按住 a 然后这个个是扩大扩大一个，反正我一个啊，啊，所以他有一些操作的优化，其实我觉得他们还是下了一些功式的，反正就等游戏发售，你带带我吧。好吧，这个我要提醒一点，就是 CA 这个是这个是很难控制这个战场规模的即时战略游戏。, Start Time: 1458590
Text: 嗯，他以前做的东西又太宏观了也不太清楚。虽然他是个是个质量，就是他来做质量肯定没问题，但是他能不能控制好也也是存疑。先看一看，反正买是肯定买好吧。嗯嗯，然后呢还有几个新闻，比如说电影相关的有两个，一个是变形金刚五。对啊，公开预告片，再有一个是木乃伊的重启。, Start Time: 1480840
Text: 对对，是这个大家谨慎观望吧。对，咱就提提就算了，是这样的，再多再说就不用说点别的了。对，然后还有一个是昨天晚公公开的这个新蜘蛛侠侠先导照啊。对，然后正式版预告片其实是在周五的中午公开。嗯，啊我相信就其实大家听到这期节目的时候，有可能预告片已经看到了。对对对对对，, Start Time: 1500060
Text: 大这就关注一下这些比较小新闻，还包括这个啊然后呢真真真版的这个电影定妆照。哎，对啊，感觉就是作为一个真人版电影，动漫的真人版电影，这次的反响就是真装照反响很好是吗？嗯，对，是吧？这就不接不不些预告了。对，然后下一个这个那个宝可梦之选口全啊 OK 呢加入了新角色。, Start Time: 1519840
Text: 那据小黄车应该是最后可能会是最后一个角色啊，这个帝王拿波正吧，第二十个角色了啊，嗯但是也说不定啊，这个是这个不好说啊，这个很难说，但我还是喜欢小瓜瓜，小瓜瓜他喜么玩啊，什么叫小？然后我提一个这个比较 old school 的一个项目，就是克 worriry，, Start Time: 1539660
Text: 就是这个这个机甲战士，我觉得应该叫欧甲战士确定了五的开发。对，这个系列从九八呃九八九年、八九年就出现了。他的前身是个桌游，好像他是个桌游，世界冠侠了。嗯，然后这个应该是欧美系的硬核机，甲战士对一个代表作，然后出了很很长很长一个产品线，包括策略游戏，也包括这个正作欧美的装甲核心。, Start Time: 1557320
Text: 对，然后感个感个个最个这个很多粉丝曾经悲痛欲绝的发现他出了个 online，就觉得这就完了，悲痛没没事了啊啊，这这个就就没没这没玩玩意儿。嗯，结果他这个发这个确定了五还在开发，他是一个完全单人战役导向的一个作品啊，而且有一段这个 pray 阿尔法的演示还挺长的，, Start Time: 1579860
Text: 大家可以去看一看啊，听起来感觉相当可以。对，就是感觉有这这样的 IP 很有意思。嗯，然后同样其实还有一些新闻，比如昨天这个最终幻想是我官方他公开了他后续的更新计划。对，其实大家也可以在网站上看到这相关的新闻，毕竟这个游戏可能他整体的架构太大了。对，有一些很难令人满意的地方，, Start Time: 1600900
Text: 对他之后会通过这种更新的或者说不行的形式。对，让大家就是慢慢的习惯，或者说对是改变对游戏初期的一些印象吧。对，如果你觉得这个游戏，还有你有很多你不满意的地方。对，就记得现在还有一个叫 DRC 的东西。对对，不要怕。嗯，然后发现我们之前落的一个事儿，对，就是这个个仙座好啊，, Start Time: 1622350
Text: 质量效应不好意思，不好意思，忘了忘了真好。对，真是好真是好真好看，没啥没啥话说，真的我觉得太好看了。而且而且就是我反复就是想说这么一个就是这个仙女座是在替这些现场演示效果，然后成他整个的演出效果最好的对一个游戏。没错，就是你觉得他完成度真是惊人的时候，对他也他也没在现场演示的时候，, Start Time: 1642030
Text: 这个把这个 NPC 的对话作为一个就是过大比例的演示。对，因为那样反倒是会影响整个演示的节奏，把那种爽的片子全放出来了，爽了爽了部分，而且它还是质量效率，从对话到交涉，然后到再聚到战斗一切。对对，嗯，而且有点有一些内容觉得很有意思，但是他可能把那个二和三弱化的装备系统稍微往回找一找，, Start Time: 1664570
Text: 他们没有几个截图，你觉得哎这个东西可能又有点回归 RPG 那个深度，嗯，而且完成度好像挺高，他说明年就能能玩上啊，对，这个有点有点惊讶，有点惊讶。不过你反过来想，这游戏其实已经折服了很久了。对，而且不要外面没有别的项目，就在一个游戏反复打磨。在咱们看到这段演示之前，, Start Time: 1684900
Text: 你说咱们都期待多长时间了？对啊对，而且在这个最早公布 PS 四 pro 的时候，那段时机的跟 play 其实已经不算什么演示，就就是走走路，然后就结束了。对对对，所以有可能人家真的是比如憋了好久没人发大财嘛，对吧？对对，有可能万一一嗯然后还有一个无双全屏星的中文化啊啊啊，, Start Time: 1704130
Text: 玩玩吗？龙马哦，但是我很喜欢你们苏苏菲那个人物，连喜欢的人物别喜欢了，下一个喜欢一下都不知道了，真是。哎，我就一个诉求，别千万别又做成大蛇二嗯死盖你有那功夫，你好好玩玩练习室好不好啊？有道理，哎，好好玩，工作室，你这么一说有道理，省得老。你老说说集合，没有人，, Start Time: 1723070
