Text:  hello，大家好，现在是北京时间。上午十一点，欢迎收听集盒游戏频道加油。 new ws 节目，我是 jerry。大家好，我是麦克小五，现在都没有前面准备直接开始录。没有现现在个剧流流水不想录，就是想回去玩这个博德三三 hello CCO 应该是狂狂玩。, Start Time: 31600
Text: 而且我知道他的规格很高，嗯，知道他这个制作的很好，制作的确实也很好。但是至于吗就是这种感觉，这个至于吗就是还是说到这个新闻，就在昨天，就其实在在那个 m 站外战那个 m 站的评分那个榜上，伯德之门九吧的分数是九十六哇，九十六那相当高。然后当时是跟今年的塞尔达王国之泪是九十六平分了。, Start Time: 265340
Text: 然后就在我整理新闻的昨天涨了一分，涨了一分，九十九十七了，成为了今年 m 站最高分的游戏啊，但是他现在的评价数量还是很少，就是相对这个王国之类而言其实更少一点。所以我们不知道后续这个评分的波动会是什么样子。而我我觉得可能是欧美国家卖的会非常好。嗯，可能他有这个跑团文化作品，, Start Time: 292080
Text: 对，那九十七分在 MGL 历史上面是不是也是相当于非常高的？对，太高了。那今年 TGA 感觉有点悬念了，感觉激烈了。第二几列，那请问同样都是九十七银河，那哪些呢？然呃我现在查了一个这个历史排名，就就是是短期内的，就是 of time 的这个九十七分作品有哪些？, Start Time: 313210
Text: 我给大家列一下，九十七分的有这个超级马里奥银河，我操超级马里奥银河二、荒野大镖客二，然后 GTA 五 GTA 五的这个多人模式。然后这个极乐迪斯科，然后又是 GTA 五的这个极极迪迪斯克。九十七呢对老的版本，然后托尼霍克职业滑板二和我跟安利的托尼霍克了。然后就是然后就是优美安利拉传说旷野之息，, Start Time: 332410
Text: 嗯，这些都是九十七分的作品，后面还有好多啊。他现在是历史排克，您是这个第十七名，嗯，就是 metrocratic 的这个 of all time 的这个排名，主要他还有机会再接着涨呢，九十八分，看看有谁啊，有吗？就是有啊，就那你给我说两个九十八分，那你猜吧，, Start Time: 360790
Text: 你先猜第一个是谁啊？那我猜有那个迪阿波罗二九十八分啊，我们先说还是有 GTA 五，我的天怎么哪？对，然后还有这个 GKA 五，我操。哎，怎么为什么托尼霍克还也是我被安利托尼霍克的朋友问，哇，有点离谱了。但是这个全战最高啊， m 战就 mettccric 全全奥 MM 最高的游戏，, Start Time: 379020
Text: 还是赛罗传，说十之敌是九十九吗？九十九哇哎我记得以前第二是这个超级马流世界哦，那他可能掉下去了。因为他这个其实前面这个十几二十几位全是九十七、九十八就是分数摇的。非常我觉得不可能，世界绝对要是有的话， b 银河是吗？ b galaxy 我操最喜欢有别的最喜欢的三 d 马是吧？, Start Time: 401260
Text: 对，三 d 马其实我就不他不能被称之为三 d 码，他就是他就是他机，他就是是吗？可以对对，他就是他嗯别别别别的地啊，但我说啊就是纯三 d 码的体验，我个人觉得还是奥德赛要更完整一点。不同意就是不行，就是就是他整个三 d 的这个关卡设计的非常明白。但是呃银河是一个什么地位呢？, Start Time: 423980
Text: 银河就是属于在他之前没有人想到马里奥的三 d 可以这么玩不？那个游戏是人类创意的巅峰的展现，就是在游戏领域的展现，就是创意 creativity。我现在想那现在想回去玩银河，是不是还得玩 v 啊？哦，但但是我可以借你卡带，因为呃去年还是前年的时候出过这个 b 吗？, Start Time: 450770
Text: 不是 NS 的卡带啊，因为他出过一个马里奥三 d 珍藏合集。对，是在合一。那个时候。对，但那个合集是限量发售，限时发售啊，过了那个时间以后，他就不卖了。可以对，我可以借你卡带，那个卡带里有银河，有太阳呃，太阳有那个六四，好像太好了，一会下去关键一下。那我们说回 birger skate 吧啊，, Start Time: 471570
Text: 但我们还有茶话会节目呢，今今就就说了了算了，可以稍稍微对你可以抛抛砖玉玉一稍微聊聊演演，就就我非常觉得这个我不是特别的喜欢，为什么呢？又要开始唱反调了。哎，因为我是伯德二的，他妈超级婆罗门的这种。我就想问你，你是玩过前两部的，我玩过没玩过二啊，因为二是九八年，, Start Time: 493560
Text: 我经经买了一个正版的嗯啊这个游戏的二是九八年，九八年或者九九年吧。因为我当时正在上哦，两千年，应该是因为当时我正好买了它，然后正好我上高中应该是。然后然后就在课堂上疯狂的翻阅那个在课堂上的书啊嗯里面什么这个魔法飞弹什么各种速能系什么各种奥数狂看。然后其个沿什么这些制度，, Start Time: 514220
Text: 我都当时记有些那本书让我翻烂了。嗯嗯，但但当然了，就是如果玩用二，你会知道当时其实是个计时的段战斗哦，就是包括其实老的这些 CRPG，就 DND 类似这种种。嗯，其实几年初的那个永恒之行，嗯， peiler of of terntive 他的这个战斗形式，, Start Time: 540140
Text: 其实他他还是沿用的最早的这个波特之门，这套就是一个有暂赞八及时的种。对，但是他呢有一个红系统，这个红系统就是让你可以编辑你这个队伍里每个队员在看到什么时候触发他什么行为，以及他要做什么，就是有点脚本的感觉。对他这个脚本系统就是相当于在之前的基础上给了你一定的现代化的一个操作。, Start Time: 560760
Text: 操作的的模式就是他很及时系统，他都你你可以去定制你的队友的一个行为模式啊。对，就是他在遇到什么时候触发什么什么什么，就就给他给他给他编程吧，就就有一种指挥官的感觉。哎，对对，但是新的呢就是就是他觉得好多瑞的他们就是做这种 AP 的这种回合制的模式来做的这个新版的伯德之门的这个这套东西吧。, Start Time: 582460
Text: 嗯，就是他有点儿让我觉得特别神界原罪啊嗯就是我有点接受不了伯特之门的神界原罪化，就是他的现代化就太太有点太做，太牛牛逼，就太太好了。但是就不一上手，太没有门槛了，我走进新时代了。对，是最。所以什么叫婆罗门？就是这个就是我这种神经病，就但是我觉得更更奇怪。其实我我玩的时候，, Start Time: 607750
Text: 我会觉得他更接近于我之前玩的那个 DND 跑团的感觉的思路。因为他就是有有有点回合的，你这种就是好多以前不玩这种类似游戏的人都都会这么觉得，就觉得特别好。对，是完全展现了跑团之团的魅力模式啊，对，还有这个感受。那么这一点是否可以说明他为什么这一代如此成功呢？, Start Time: 630430
Text: 对我觉得可以说明这一点，但只是就是我看起来他不是我想象中的那个伯德之门了。但是那个东西对他来说，就是伯德之门这个 CRPG 的 IP 的传承就不够了。就是他那个最初的感动可能就没有达到。对，就当时因为印象太深了，就东西甚至记得每个 boss 都是什么样的。, Start Time: 653200
Text: 因为同学们在课堂上学奥数，你在下面翻奥数。对，但是翻奥数魔法，但是我觉得他做的还是很好，他 UI 等等，我觉得做的简直非常完美，就让你就然是一个现代化游戏。对你很清晰。就在那么复杂的规则之下，你能明白这些东西哪些是怎么。而且帮助很多人很快速的进入了那个状态。, Start Time: 672700
Text: 这一点我觉得高确实高，但是那人家这是下功夫了，但我婆但你虽然高，但此成功对我认可你。但我我婆一下嗯可以就跟马里奥银河感觉其实一致啊。哎，那我想问问大家，就是这周的也有很多新闻，就是对在我看来就是完全就是最初的感动啊的一些重置新闻啊，那你们会对这这类的新闻什么？, Start Time: 692720
Text: 就是你你们会对这类的作品有什么样的这个感受呢？其实我也很好奇，买一种，就比方说我先念的新吧啊就是想是吗？啊，我先念一条，就是这个美少女梦工厂啊啊新生，然后将于十二月二十一号发售，就是这是一个发售了三十周年，然后重置的版本。但是我我看了那画画，我也没有觉得它就是重置的态度是吧？, Start Time: 716410
Text: 就还是挺挺欢欢的啊，就让我想起我之前买那个逆转裁判三部曲啊的重置版，说实话那个画面就完全完全打动不了。我甚至买完之后，我都没有再通一遍，我就把它放在我的 NS 里。还行吧，人家高清化了啊，就这么放着，但是我我也特别开心。就是你你们会有这种这种游戏吗？就是那我狂买单，, Start Time: 738930
Text: 就是所有这种最初的感动我都狂买单啊，就比如说一些呃，比如说我小时候玩过的游戏，然后我小时候特别喜欢玩的，然后他后来出了这个，比如说现在任天堂的这个 NS 平台的，他会再出一份。那我肯定会买单。对我觉得 NS 就是特别适合干，这对，就是哪怕就因为我也没有 v 六，, Start Time: 759770
Text: 所以他很多 vivo 上的好游戏，我也也过然。对我有些玩过皮克敏哎呦，皮克敏，我当时三我就买了四，我也买去泵。对，然后就这种我一定会在买单，就马车八这种。我也是因为 VU 上上那个我也没玩过嘛，然后就会狂买单。然后包括像之前他出的这个，其实小五今天拿了好多收藏，, Start Time: 779560
Text: 今小五带道具来的啊，就比如说他那个周年的时候出的这两个那个这个 game and watch 我一个 watch 你都有了。对，然后一个这个塞尔达版的一个这个马里欧版，就是我看到我就买。对，就是可能你也不会真的拿它出来玩。对，然后他这个续航很低，其实然后所有他上面这些作品，, Start Time: 798240
Text: 你在 NS 上用那个会员，现在也都有。对，都可以，这个还是最老绑那种纽扣电池的吗？呃，不是不是，它是那个 type c 充电的方便你那个因为它是可以有一个这个时钟模式，你可以把它摆在桌子上，当一个那个桌子钟。对，然后你就可以插着线。对，因为我小时候有一个你们我时候就特小小学的时候，, Start Time: 817220
Text: 原版的我不知道是不是他就是那个弄桥，那个帮小时过桥桥哦，是那是那是就是他有那个摆球的那个对四个桥，然后对对对对对对对，没玩过，反正你这塞尔达的我也买了，就狂买。但是但是你说我会拆出来玩嘛，我这个我甚至就拆出来看过，我就给放回去了。哎，但我经常拿这个玩织梦岛就还挺好的。, Start Time: 838010
Text: 哦，对对对，织梦岛。对，他那个画面还是比较还原，以前的就这就这种就是狂买，然后还有包括不限于游戏啊，包括像那个 doubpunk。对，之前啊对 doubpk 是因为他们宣布解散了嘛，然后就很可惜就是我可能最喜欢的电子乐队可以。然后然后他们他之前的那几张我特别喜欢的，, Start Time: 859050
Text: 我都收了。然后但是这张 better 对他这张就是啊宣布解散的时候，出了一张这个 IM 的十周年的呃哎十周年还是二十周年的这个纪念版，也是今年他们这个解散了嘛，然后然后我也是就狂买，然后去香港找冷赞拿。然后在香港逛街的时候，在影像店又看见了周杰伦两千年的第一张这呃这个这专辑。, Start Time: 880080
Text: 然后我就看到的一瞬间，我就觉得这个我得有，这你必须得要对，但是你说这个出道的专辑，对出道专专辑后，我也没拆，这个我肯定也不会再拆了。然后还有还有比如说比如说之前看到半年，就呃在亚马逊的时候看到无意间看到呃萨达传说那个音乐会，二零一八年那个音乐会，他居然还有一套这个 CD 是吗？, Start Time: 903070
Text: 初回限定版，这不是一张 CD，它是一个初回限定版，然后有蓝光有 CD，然后还有一些赠品，小赠品什么之类，然后后就一个包装盒盒，那包装盒做巨好看。然后我就发现我我但是我不是当时发现的，我是后来发现的。然后我当时就觉得特别惊喜，都隔了那么多年了以后居然还有然后立马下单，, Start Time: 927830
Text: 然后这个等亚马逊等了半年，嗯，就是我都忘了有这么回事了。对，就是但我看到这种东西，我就当时就不顾一切了。然后我是完同的话，对我就一定会当时就会拿下。嗯，然后可能等之后或者是怎么还年啊，包括更离谱的是这张这张是当时去新站庆典的时候看到的。哎，这是一张这个当年放映的电影胶片的一个裁片哦，, Start Time: 947170
Text: 对着光的话可以看到它是那个甚至有有里面有很多切的那很贵，这个厉害了。对他好像是七十五毫米的，我忘了当时它上面有写，然后这个应该是这贵嘛，呃也不是很贵了。这个是那个绝地归来那一部哦，然后然后我也是就是逛无意间，然后我就看到了，看到了以后我就哇这个太好玩了，然后我一定要要，, Start Time: 971860
Text: 然后当时就下单，这个我这好像也不是很贵二十刀。对，因为他那个拷贝比较多，所以他就裁开，然后我就卖。但我觉得这太好玩，它居然是电影胶片，然后居然那个底电影的底片，我自己打开给你放在那了。对，然后我看到它实际的尺寸，对我就特意挑了一张有达斯维达，有卢克，有皇帝的这个三个人同框的一张。, Start Time: 996360
Text: 对，虽然这个皇帝是个背影嘛，看不太出来。然后就就就这种你说这种东西买来有什么用？但是但是就是我一想到我当时特喜欢这个东西，然后就是所谓最初的感动，我就当时当价就会买，就总结成两个字，就是情怀。对，就是行欢。那小五是其实挺喜欢给这个童年债付费的太狂付付。嗯，, Start Time: 1017320
Text: 但是你看这个另一条新闻就是荒野大镖客救赎。对，后他他也要发一个这个自己的游戏，就之前他通过了一个韩国的审核啊，就是大家都在想这个东西是不是要重置了，重置了。对，而且官网也更新了一个新的 logo 吧，还有图，结果结果念到了很很长时间。然后公布了这件事情之后，, Start Time: 1037910
Text: 宣布我们就是原版，就是上 NS 以及 PS 四。嗯，啊就是把当时大镖客一的原版上来，然后就有很多玩家就不买账了。嗯，是甚至欧美现在开始发起一个联名的抗议抗议活动。就是说不买这个，就觉得这个 r 星你们挣钱太懒惰了。对我觉得 r 星对于大表哥感觉两次吧都没有满族玩家的期待。, Start Time: 1057490
Text: 就是次十代 PS 五公布以后，大家都觉得四十代版。对，而且你起码给一个大表哥二的一个六十帧吧，嗯这个六十帧也没有。然后这次炒了很久，然后也泄露了很久，大家都以为是个大表哥重置版，然后你上全平台结果是个原版，甚至都不是高清版。对，后的是 NS 和 PS 四，, Start Time: 1081200
Text: 然后也没有 PC，虽说也能在 PS 五上玩吧，就 PS 五是是那个线下兼容嘛。嗯，然后这次他也没有多人模式，嗯，但是那个游戏不是以前有就有 PC 吗？有吗？好像还真没有，哎，只有主机版，就我记得好像没有 PC 是吗？对，他是个 PS 三三六零。当时就我感觉他这次这个感觉就特别仓促，, Start Time: 1100060
Text: 就也不知道为什么。首先它实体版是延后两个月发售，然后他又没有 PC 版，然后它又是原汁原味的移植，然后他又卖五十刀。嗯，然后这次很多这个抗议啊，也就是说就觉得甚至有点这个你是不是只顾着 GTA 这边这条线？对，但大表哥这边是不是就是奶粉钱是吧？对，但是是那个即实夫爷前两年出那个三部曲，, Start Time: 1121320
Text: 三部曲，他说重置版，其实口碑也不是很好。对，优霸和 bug 也很多。主要就因为那个吧那个有一一个一个个口碑灾难了。是，然后对，只有就是二 PC，只有就赎二。嗯，然后这周 r 星母公司那个 take two 的手机执行官也说，就也针对这个移植版五十刀这个定价他也做了一个回复。, Start Time: 1143350
Text: 他说这这是我们觉得商业上一个很准确的定价。对对对对，五十年刚了属于武士刀 PS 游戏啊，那那我只能说大家期待 GTA 六吧。嗯，那 NS 可以拿出来了，我又我已经告别问 NS 许久，是最近都是 steam 是是吧？对我 dstestem 代太棒了，简直但是要猛哼哼。, Start Time: 1163990
Text: 但但我很好奇啊， steam back 这个机器太棒了，他续航真的可以让你玩，这么谁玩掌机要续航干嘛在哪儿不得都得插着电啊啊啊。那我听上去玩掌机不就是得需要续航，有点奇怪，你们太逗了，玩掌机还我觉得不插电电呀。啊，对对我我不有这可理喻了，什得怎么也得两三个小时，, Start Time: 1184870
Text: 你出什么门，哪种种啊啊，就地地铁地方玩航班什么啊。对，飞机机不都有充电口吗？那还是不太方便啊，那多有啥不好，就在你大腿，这有什么不方便的，你弯个腰插上不就行了吗？我玩主机给手柄两根线充电，我都觉得有点儿不重点在我也是有这个心态是吧？对对对，你们我太不可理喻了，, Start Time: 1208570
Text: 就是我受不了有线手柄，这回事什么时候可控可取？我觉得掌机重要的在于你可以任任何地方玩 play anywhere。不是说你非得得这种的的种种走着玩，我没要插电的呀。对对，但我对这个要求也没有太高。我觉得两两个小时三个小时有点奇啊啊，可以。嗯，你要说 win 那个什么 NDS，, Start Time: 1230270
Text: 我觉得我可以理解，稍微玩一玩不充电，那小掌机可以。嗯，对，那才是涨机体验呀。现在不行，涨机变了， NS 什么的，续航也不行了。不是话，又说回来，我几乎不把 NS 拿出去玩啊，我就是我我对所以我就觉得我更位的时候，我更不理解你们了，感觉这都可以录一期，就是完全不理解你们这点不插电是吧？, Start Time: 1252020
Text: 大家是怎么你们要点涨机，你们要出去旅游或者出差呢？带书啊，我就不玩游戏，那那真真的厉害了。嗯，不是，因为我觉得就比如说咱就说 NS 游戏啊，你带口没有我不好评价，就 NS 上的很多游戏，尤其其是认堂第一方游戏，我觉得除非是那种体感游戏，它都不适合你怎么说，, Start Time: 1276200
Text: 就是玩个十分钟就放下，嗯，对吧？所所以我玩这种游戏的时候，我起码得有一个小时的这个游戏时长嗯左右，然后我就会坐在那儿好好的玩。然后但是我用到上海四个小时，我也是好好的玩。对，但是在高铁上这种就是这种环境下，我就玩不下去游戏，我操那环境最适合玩游戏，戴上耳机进入你的世界。, Start Time: 1297910
Text: 那我确实是啊，我我觉得高铁上就是我 NS 的高光时刻是，所以我对后调，所以我对掌机的这个要求就是你续航三个小时左右，我操，不是你插上电怎么了？哥，你插一插电吗？我操可以干嘛非要拼续航呢？这玩意儿哪有续航啊，我们也不是拼续航，就会大概也就续航一个小时，可能玩了了么少少。, Start Time: 1318800
Text: 对，就是玩，比如说伯乐之门三这种游戏。嗯，我基本玩啥可能我都不敢看，我都拔了电源，我不敢看的那电电量焦虑，一会儿就没电。对我聚焦就来了。而且我现在这破手机 iphone 迷，你不知道是几代这个啊，就就可能半天半三个小时，四个小时就完蛋了啊。要不然为什么我的充电宝老被那个我媳妇在嫉俗吐槽啊，, Start Time: 1338620
Text: 我没有办法。对了，直播时间宝充电宝的趣势，其说照相会吃充电宝。然后他那充电宝让我丢了，我他妈的我都焦虑死了，因为被充电宝吵架都吵了好几次，太搞笑了，主要是充电宝绝版了，嗯嗯，没买了。对，大宝特爆的那个对两万的最初的感动没了，又回来了。但是真的啊， steam deck 真是个好东西，, Start Time: 1362130
Text: 推荐大家爆买，嗯，也不贵。那既然说到这个就插一条新闻吧，其实威慑在上周也刚刚宣布，他们在做一条新的这个 steam back 的产品哦，就是官方翻新的 steam deck，他在外观上会有一些细微的瑕疵，但是他们内部会对这个 steam back 各个元器件进行一次重新的评测。, Start Time: 1389790
Text: 官官方二手二手车对官方的翻新车，而且呃这个翻新版 steam deg，也享受它那个保修。嗯，好，那太好，就可以理解为官方九九新就是然后价格的话也有一些下调吧，其实还挺便宜的，其实我觉得这下调不少。嗯嗯，你像六十四 g 的折合人民币才两千三，然后你自己再加一个什么硬盘在里面，, Start Time: 1409550
Text: 其实就很划算划算。嗯，然后我看评论区有朋友说说，就怕有一些不良商贩，然后买大量的这种翻新机，然后当作为新新机，当全新卖嗯爽赚了，但我觉得它应该有一些标识，能够让你查查到这些东西，肯肯定会有些措施。嗯，或者他系统里是不是有一些那个可以查询。对对对对，底层的一些网上的是对嗯，, Start Time: 1431080
Text: 这 steam back 真的是好东西。如果你们是 steam 的用户的话，如果今天有被强烈推荐 CEO 安利到的话，其实可以考虑一下这条这个翻新机的这条主要之前我很担心它是不是这个好多游戏不支持手柄吗？啊，配置嘛。嗯，那后来我发现有两点是非常非常有有好处的。, Start Time: 1452620
Text: 就第一它那个模拟鼠标嗯，那个小的那个小触屏，那个感觉是贼棒，你知道吧？啊，非常好用，大拇指来控制你的鼠标，指针的移动很灵敏，也很准确。那它那个比呃 PS 那个手柄上那个呃相比呢，就我觉得差不多都很那个感觉差不多。对，都很准确。而且 PS 手柄你不是在大拇指伸到中间嘛，, Start Time: 1470740
Text: 是它那个位置特别棒，就直接就在你就很方便很方便，就是挪动那个手机什么的啊。然后你一般的点击配置，它都是在右边的扳机键，所以其实是特别好舒服的一个操作啊，就是你移过去，然后右手抠一下。对，抠一下就是点击了，但我现在不太敢买戴克，因为我就怕刚买完它就公布一个加强机，, Start Time: 1492840
Text: 或者说下一个，因为他这个已经都是两年了。嗯嗯，然后他还有一个就是说因为 steam 不是很开放嘛社区，嗯，所以那些戴克的发烧友在游戏刚推出的时候，很快就会给你做一套配置哦，你就直接在社区里选，你觉得谁的这个做的手柄配置非常好啊，这个这个还挺，然后你就用哪一套造福，, Start Time: 1513270
Text: 就这特别牛啊，因为他那个按键都可以自定义，对吧？对，都可以。然后他就有些人就专门给你做这针对这个游戏的手柄直行带的方案案。对，那这个好，这个好特别棒，而且社群特别活跃，关键是这确实对，这样是特别棒。好，有点点买买。那你可以考虑那个官方机，所以你看然后之后再卖了我我就什么沃麦凯 erry 是吧？, Start Time: 1533250
Text: 对，为为什么要指我呢？刚说说卖嗯什么那些 wortels 啊，什么骑马砍杀、骑马砍杀还好。然后包括这个 DD 二，当然是三镇二啊，这些都没有手柄配置。嗯，然后但是他那个就是都社区里的就挺好的哦，就是也就是说官方没有进行手柄，就是配，然后你可以选玩家的对我靠，, Start Time: 1554250
Text: 而且玩家给你做好多，你选你觉得这不行，你换立刻就是直接切出来就直接换就行。然后直接回去，我不是有点像咱们玩撸啊，撸里面那一件大神配猪是不是有点像？那是既然说到这回事放心买，我就觉得嗯疯狂来利啊。如果有需要的话，就是可以不要犹豫啊。看来 CEO 对这东西评价很高，, Start Time: 1576200
Text: 好东西。嗯，当然你得随身带着充电器。对，但是一个小时确实有点拉，插上就行，对吧？插上就行。嗯，那说一个 steam 方面的新闻吧，这不光是 steam 上面就是守望先锋归来，也终于正式的在这个 steam 上可以玩了嘛。我们今我的朋友今天早上已经开始载入了，, Start Time: 1595380
Text: 他为什么上 steam 呀？嗯，应该是在那个收购案结束，就是定下来没多久之后就公布了这件事哦，那看来还是这个大显神威了，大显神威开始一些运营，我们也不用再看这个，不用再打开战网了。但是好像在 steam 的入口进还是要要过一遍战网的。目前来看的话，他好像有的游戏啊，, Start Time: 1616440
Text: 有的游戏就不一样，就是在最当的那个平台之间的接洽。嗯，是是，这就有一个问题，就是我刚才说的发这些事的时候，就是我刚才说的这个最初的感动。守望先锋刚上的时候，包括他早期的宣传的时候，都是我巨喜欢的一个游戏。嗯，我是一个打枪苦手，就是我不太会玩这个游戏，但是我当时依然玩了很久啊，, Start Time: 1637670
Text: 然后等到现在他又又经历了很多事儿啊什么的，就这个最初的感动对我来说就完全没有这个变了味的。对消费欲望，甚至我都不需要为他花钱，我只需要给他花一点时间就可以了。就是在 steam 上下载这个游戏的念头都没有了。现在对于我来说，那说明他后来就不再做那个 CG 动画的更新什么的了。, Start Time: 1656190
Text: 有过也做，就初心英雄的话还是会做一些。对，但像那一开始那种动画电影就没有了，那种短片后来就没了，那挺可惜。那说明啊变变的感动，他变的呃变的不是你是他啊，是他的问题是吧？包括他这个最新出了一个辅助的英雄啊，叫伊拉瑞，那也太像塞纳了。我觉得长得非常像这个竞品，, Start Time: 1676570
Text: 嗯嗯，也不算竞品吧。我觉得守望先锋，当时第一代的这个宣传真的厉害嗯嗯，相当厉害。攻克的时候，万人空巷大家都在抢那个测试资格，嗯，太会做了。当时那个我们大学里边我就在想这什么游戏啊，怎么就怎么就吹成这样。嗯，那当时厉害几个大的 buff 是这个画面做的也好，, Start Time: 1697400
Text: 这故事对吧？已经先先推出来，然后再加上又是暴雪的这个黄金时期。是。嗯，然后今天早上我看见我有一个朋友，他守望先锋死忠玩家，他在号召和那个三国杀在 steam 上互刷差评啊，又来了，今年好活是吧？嗯，对嗯，但是我我还关注到从另一个朋友那关注到一个消息啊，就是虽然说大家说怎么说，, Start Time: 1723420
Text: 但是这个赏心用二呃这个归来在这个 steam 上的在线人数依然不低呢。他当时给我看一张截图，就是那会那会的截目有有四万的啊，确实也没有夺德之门，他就更好了。嗯，对对我而说来说这个这个最初的感动确实是找不回来了啊。嗯嗯啊接下来再说一条，其实我觉得也是相关的新闻，, Start Time: 1743440
Text: 就是对于我而言，就是最近的一个大的开销。我我给自己的童年债付款这件事儿就是万智牌。今年的大事件哇，这个魔界的系列的联动联嗯，让我很掏一笔钱。我甚至掏完一笔钱。这笔钱之后，我跟兵哥说，我再也不会给万志牌掏一分钱了。刚说完这句话没多久。对，然后兵哥就微微一笑，, Start Time: 1766960
Text: 就是他说我等你啊。对，不是他他在我面前演那个王敬泽，就是那个个，我真是饿死了。然后这周万志牌宣布联动，以下这些 IP 啊、辐射刺客信条啊，啊，这都是哇很大牌。然后以及最重要的今天可能是跟那个之前魔界同等量级，甚至超过这个量级的嗯一个大型联动，就是联动最终幻想全系列的啊全系列。, Start Time: 1788800
Text: 对我觉得万万智牌真的威士忌开窍非常厉害。我觉得嗯引入新玩家确实给我一种，好像又一个不得不掏钱，就是我是不是过段日子会有那个真香真香定律来临，那一刻我也不知道，但他目前没有透露任何别的消息。什么只是说啊我们要联动了。没有没有，他公布了一个一个全年的它有一个全年的计划公布的计划。, Start Time: 1816780
Text: 这里面有他自己的这个呃旅法呀、火花相关的这些剧情线的更新哦，他的新卡牌以及跟各个他这今年的联动。比方说之前会有是提前一年宣布布说今年会年的变啊，会有这个会有这个神秘博士的联动，他都是其实会提前一年公布的。他就也就是说威士智慧每年前一年会公布，下一年就把全年的计划其实就是全线的计划都会公布一些。, Start Time: 1839310
Text: 嗯，可能会有小量的这个延迟啊，或者说是一些小量的改变。但是大体的这个方针是不会变的。又是一个像我的童年债，狠狠的这个砍出一刀反竖横跳，一会儿交钱，一会儿就什么啊。对，砍出一刀的商家啊，太可怕了，不知道要不要再给他掏钱，你肯定会掏。嗯，看华了，说完这份扔了吗？, Start Time: 1868690
