Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机和宝加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了，你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text: 最大爱好就是看电影，嗯，和那个日本很多他这这这时期的那个游戏制作人，嗯，包括小岛这些人就是爱好差不多。嗯，对，他就是说想呃去东京，当时当时有不是也有有一个上京的说法，对吧？对对对对，那个外地的孩子，对，想要到东京去昂上大学，然后实现自己梦想。他他是是对一样，, Start Time: 347180
Text: 就是当时高中毕业就是呃带了带带，从跟跟家里要了一些钱，直接就去考东京的那个美术学院。哦，对，但是当时可能是高中时，可能估计也是太荒废学业了吧，玩太多了。对了，混嘛，然后然后第一年落榜了。哦，对，然后等于是在东京是呃过人，叫什么叫浪浪人嘛，当时。嗯，对，就是对对，, Start Time: 368230
Text: 有这么一种说法，一边打工对，一边呃一边挣学费，然后美术学课。然后最后他是考上了那个东京造型大学，造型大学。对，这学校其实还是还算一个名校，他跟当时那个呃多模美术大学、武当野美美术大学就是并称东京的五大美院之一。哦，对，然后等于是后后来是比比较比较比较劲劲，, Start Time: 393170
Text: 挺有名的。对对对，比别比对。然后他当时跟他一块儿住的呃，他有有有一个交往女朋友，嗯，两个人等于是同居。哦，对的，因为那个女朋友好像呃忘了是不是住在山口了，反正也是一个比较偏比较偏的一个一个地儿的孩子。嗯，所以两个人觉得当时可能是聊得开，嗯，童年经历差不多，, Start Time: 415050
Text: 然后也比较寂寞，然后就两个人就在一块住，然后也是呃日子当时过得非常苦，两个人嗯基本上打工的钱交他他他要自己交学费嘛。嗯因为当时家里边已经给他不给不不给他支持了哦。本身本身确实母亲那块儿，那母亲的那个负担也比较重，是然后在东京的食宿两个人的，嗯，等于每天就是往返啊学校，, Start Time: 435930
Text: 然后宿舍打工上学这种，然后也没有一些多余的钱来来来娱乐之类的。嗯，然后有一天两个人在那个晚上吃完饭去逛那超市的时候，嗯，然后遇见了一件东西，什么东西啊，那就是当时呃呃任天堂的那个红白机 FC。哦，对，因为当时明月他他本人说的话，就是对游戏的那个他他们他本人是比较喜欢看电影，, Start Time: 461170
Text: 嗯，包括他他有他有收集那个电视录穿带嗯这这个这个习惯。但是当时也没么钱啊嗯就是看看租，但是对游戏这块确实是不是特别的感兴趣，也没也没也没太关注。嗯，但是当时的 FC 确实在日本的那个社会上引起的那种社惠现象嘛，轰动了。对，等于是听说过，但没见过哦，然后看到贵出里边这个红白机，, Start Time: 490130
Text: 然后大哥就是有点眼眼值就不行了。对对，因为就是那个说那传说中的那个传说游戏机，嗯，但是对他媳妇说啊，说也是说确实说挺漂亮，但是一看价格一万五千日元。哦，对，咱们现在觉得他那个现在不叫钱，不叫事儿。对，在当时确实对于对于他们特特特别两个穷学生来说，等于是天文数字了太贵。, Start Time: 510930
Text: 对，然后而且而且你还要买买买游戏卡。对对对，加一块儿觉就觉得两万出去了，所以两个人只能就是回家。嗯，然后但是两个人就经常去超市买东西时候等于当时没买是吧？没买没买，买不起，真是买不起。然后老赖每次如过明月都特都特别眼馋的，看，那就这么长。对，然后然后等于是女朋友也比较关心他嘛，, Start Time: 534430
Text: 然后在有有一年的圣诞节嗯，偷摸买了一台送给他。哦，对后然后等己他本身他嘛哦对，就根本根本想不到嘛，就他觉得就是以两人的近境情况根本买不起这些东西。然后对，但等于是真是一个莫大的惊喜。他自己说，就是当时假如是有照相机能照下，他第一眼看到那个礼物的，是不是表情的话肯定是特别逗，, Start Time: 556880
Text: 就有点像咱们之前发过一个这个两个两个美国小孩儿拆拆人章开九十四。没错没错，只能是有过之不不及无不及估计哦，然后就是从这开从以以以此为契机吧。两个人他他就开始啊正式接触了呃家用机游戏。他之前玩过街机很少，然后他第一次玩 FCC 的时候，还有一个特还有一个事儿特别逗。, Start Time: 581690
Text: 嗯，就是他刚把 FC 接到电视上，然后摁下那个开关键的时候，嗯，突然啪屋里的那电灯灭了哦，是吗？对，他是肯定是他屋里，他他住那住那种廉租房，可能是他妈太次了是吧？他他他说他当时感觉就是特别感觉是那种神圣的仪式降临的那种闹鬼了。对，他当时买的是那个那个超级马里奥嗯，, Start Time: 605670
Text: 啊，等于当当时看到蓝天白云画面，就是那个那画面，就是那个那个 logo 画面的时候，出来的时候就完全就傻了就了说的说对，说怎么能这么漂亮，他等于是感就是惊讶惊讶到什么地步，就是感觉这个电视嗯进化了，就像口诀口诀怪的那个小小怪物一样，电视进化了。对，因为之前只能是被动的，, Start Time: 630355
Text: 你来看里边的那些图像嘛。对，基本上但是这个你可以用手机控制它，对，完全完全你来控制那个屏幕里边的世界。嗯，对对，当时大哥的冲击力特别大，从来没见过这种感觉。对，嗯，可能跟跟咱们小时候就第一次跟那个游戏的那个差不多。对，第一次上手玩儿，然后结果帝朋买了这以后就是一发不可收拾。, Start Time: 651800
Text: 嗯，完大哥是完全沉迷在那个马里奥的那个世界里边了，那女朋友就不管了。呃，也刚开始还不至于就是可能俩人一块玩儿，但是大哥真是没日没夜没错。对对，就是恨不得呃，白天也玩，晚上玩，就是上课除了那个保证那种必要的那种出勤数，嗯，剩下都不去哦。然后然后偶尔就他还喜欢跟那哥们儿去打麻将，, Start Time: 675330
Text: 然后等于回家就玩。嗯，然后经常因为他比如玩着玩儿，他媳妇儿扫地，也不小心碰了一家电源啊，关了就跟媳妇打打，就就就打打架。然后但是你说这碰电源这事，如果如果要是是碰电电源，然我我不知道别人什么样，反正是我我确实也会气，确实也会生气，确实当时那也也没吞档嘛，对吧？, Start Time: 699410
Text: 对对对对，还没尊档。而且大哥反正当时他女朋友特别伤心嘛，说操早知道就不给你买那个买一雷。对你等，然后但是大哥的手还臭臭，嗯，他他就老老过老老过不去关，嗯，然后说这这这怎么办？说有一天，然后路过还是路过超市市，然后自己偷摸拿那个打工的钱买了本攻略啊，可能几百日元。, Start Time: 720070
Text: 嗯，但是那攻略对，当时是他们俩相当于半个月的那个就是上上学往返的那个电车钱哦，路费。对，结果女朋友一看买这个就急了，说你这个怎么拿什么买的时候，我打工的钱买的，说那你咱俩说你这钱花，咱俩怎么坐车，他说走去呗，我操大哥就是每天要那个走四十分钟，我那不近了，对不进。, Start Time: 742430
Text: 对，然后这个这女朋友肯定不干啊。对，本身两人当当时当时也不富裕嘛，所以能看出大哥当时对这个游戏马里奥有沉迷到什么沉迷迷。对，但是那个很快嘛，玩了几年以后，然后眼看看就大大大哥要毕业了。嗯，然后他的目标是他当时考的那个东京造型大学是电电影电影专业，电影系电影专业。, Start Time: 766130
Text: 他是想要目标是来进军电影业来做一个导演啦，或者编剧这种，或者哪怕哪怕是这种美术嘛。嗯，但是日本当时的电影业嗯不太景气哦，对，他当时据他说是在求职信上，就求求职广告上找半天，就正经电影公司是完全不招募新人哦，只呃有有有机会进入相关行业的，就是就只有两个条，两个机会，, Start Time: 792260
Text: 一个是去拍 AV。哦，对，然后第二个就是那个去给那种呃当时那种综艺综艺节目来做一些小的编辑。嗯，但是哪个都离他的那个没什么关系啊，对，目标差特别远，所以他有一阵儿也特别消沉嘛。嗯，然后但是后来是也是带他，其实他他女他的他女朋友虽然说是玩是玩很很很生气，但是其实还是对他就还是挺挺关心的嘛。, Start Time: 818140
Text: 说以前你既然就是这么喜欢这个，嗯，你为什么不去干一些就是干你喜欢的事儿接着干。对，就是说你可以去往游戏里面走走。嗯，作为大哥，他他因为他当时确实是等于是给相当于给他迷茫的时候指指了一条路嘛，交给女朋友，然后还是对他对他挺好的。我特想知道这女朋友现在怎么着了，, Start Time: 843880
Text: 后来分了，然后分了这么好一女朋友啊，对这这这回来待待会儿，待会咱们后边后边会说，还有是吧？然后他先肯定他是玩马里奥嘛，肯定是先投的是任天堂。哦，对对对，然后任天堂他投了以后，对方看他的那个专业和条件还不错，已经同意他来面试了。嗯，但是一听在京都嗯，他还是想留在东京，, Start Time: 865320
Text: 就就直接给面试官，我就不去了。对，放鸽子了。对，没错，工资，这要哥咱们直直接去了。对对对，可能机缘巧合，假如当时要去了，可能今天大哥就是就做的别的了。对，有可能做出别的东西来。对，然后后来就是选择了东京的世家嘛，嗯也是还是还是可以留还还是可以留在东京。再加上当时确实世嘉的那个嗯街机这块比较发展的比较好。, Start Time: 887440
Text: 这会儿是他什么时候？大概应该是八八年到八九年哦，等于是他从他的那个体干体干街机大卖以后，已经相当于在市场上世佳的占有率已经相当相当高了。嗯，等于等于是他是八八年，八九年的话，那他六五年出任生人的话，应该是二十四五岁。对，没错，正正正正当年啊，对于对，他也是赶上。, Start Time: 912830
Text: 那好时候。嗯，对，当时会会确实是是甭管是泡沫，经济也好，怎么着也好，确实当当时日本经济发展展好。好，对对对对对对，这会正正是泡沫经济。对，然后他他进入世家以后，嗯，然后当时也是也是运气好，给他分到的是当时当当叫叫第研究究第八第八研究开发发嗯嗯，其实是当时后来铃木玉嗯主主持的这个 AM 二研的前身。, Start Time: 933350
Text: 哦，对，铃木玉，其实他跟铃木玉的那个他他他有时候自称铃木玉，是他那个行业的那导师嘛。嗯两个人的境誉其实其实挺挺像的。铃木浴，他这个他这个第八第八研究开发部，其实是铃木玉入职的时候，分到的是那个世家一个元老叫铃木九思。他的第一研究开发部嗯，他也是在第一研发第一研，, Start Time: 960120
Text: 然后干出成绩的，就是那个体感阶级。他不旺也好，那个泰空哈利也好，然后独立出来的做的开那个成立的这个第八研。嗯，那还有就是这个体感阶级，其实跟咱咱们现在这个体感还不太一样。对，是吧？对，呃，现在有咱们这儿已经就是那种赛车也好，那种大型矿体会动的那种。对对对对吧？, Start Time: 981540
Text: 骑着摩托车或者说骑着一个呃开着车的那个会会震会会摇晃那种的。对啊，这这块咱可以听之前那个 pro 的那个世家硬件创作专题啊啊。对，两位大哥也是进了就是他一个好时非常好的时机。然后进入进入了一个就是各方面条件都非常好的一个一个一个一个一个环境嘛。嗯，因为当时咱们刚才说的是泡沫泡沫经济嗯，, Start Time: 1000770
Text: 基本上是当时的日本的截机室，你只要出嗯就不愁没人买哦。对，所以当时市场好，市场特别好，然后是当然当时也有钱嘛。嗯，然后最最明显例子就是大哥刚进世家的时候，就是分配在那个 r 三六零那个嗯三百六十五度旋转。那矿体哦它是分在那个组，当时那个矿体就是它就是肯定是非常非常非常非常花钱嘛。, Start Time: 1024520
Text: 也也把那个因为它它体可以起来以后，你人在那个座位上可以三百六十五度那么转，是不是有点像现在咱们有的地方那个像什么呃军事基地那种，那体验的那个差不多，就是咱很多就是那欢乐谷那个游乐场那种就那个座位上。对，在打球。对，他是他在一个全方全方位的那个封闭的那个啊。, Start Time: 1050000
Text: 对对对对，还有屏幕。对对对对对对，等于是。但是他们当时那个做凤体的时候啊，嗯连里边游戏嗯做什么都什么，就是先做做完了肯定能有人买，甭管做什么都有人买，嗯，什么都有人买。等于于是他到这个环境以后，就是肯定就是学习的各方面会很快嘛，嗯做一猴子球等。当他还没有猴子，, Start Time: 1068440
Text: 当时大哥大哥当时大哥刚入行的时候属于什么状态啊？嗯，他虽然画画的还行，嗯，但是他电脑完全不懂，电脑完全不懂，对，一窍不通。哦，那他怎么会游戏这样？当时他他自己来说，他从就比如键盘啊，嗯，他从 a 摁到 z 嗯要花五分钟公司，等于是他当时刚进去以后，就完全是那种打杂活，, Start Time: 1089820
Text: 打打打杂的活。嗯，就比如啊呃端茶滴水，那可能还没到那个就大哥比较难。那么爷们儿，就比如当时是那个还没有当时那个公司内部那种网络通信，还不是很健全，还还没有哦，松劲的跑腿的，就是大哥是要他他当时就比如我美术画完以后，我都要存到那个磁盘里边啊。对，然后来来存完以后，, Start Time: 1114530
Text: 然后交给交给程序，然后交给那个美好，他是替人格式化磁盘的这更惨。对，大哥，等于是吧。哥，你说问你是不是给他否骂他？大哥，哎，你哦，你这就这活就行了，工作对，太苦了。这个等于是完全完全的一个新人，就是一点行业，行业也没有。但是当时世嘉确实是有这个新人培训的这个制度。, Start Time: 1136130
Text: 嗯，就是说你你没没有经验，没有没有经验可以。嗯，我会就是你这己，我我只要看你这个人就是呃是比较可塑，是个人才。对我可以慢慢来教你，就当包括那个小谷九熊和那个朱玉思。朱易思后来是那个做索的那个个被称为天才程序员嘛，他都是进世家以后慢慢学的对，给他们专门做这种程序员的那种专定向的培训课程。, Start Time: 1160470
Text: 对，所以明月呢，但是明月他当时电脑美术这块，对，确实完全不懂吧。嗯，他是除了就是说呃干这些活的时候，他会在那个工作工作的闲暇的时候，他去看嗯同事嗯去怎么画嗯，怎么来怎么来用鼠标。当时那个点点图是用鼠标标甩的，嗯，当是用鼠鼠标来画，等于是你是就是你那个笔触的力度。, Start Time: 1186380
Text: 嗯，它不用，他不像咱们现在那个有有有有压感，嗯，就是你甩的速度和你使劲大小，决定你那个一笔画的那个深浅。嗯嗯，所以当时他看的那个同事用鼠标就跟跟画笔一样，嗯，然后啪啪一笔笔画，然后摁住那个鼠标扭，再往往回就是就是橡皮嘛，就画插你画笔特别的那就是觉得跟他看傻了，, Start Time: 1211150
Text: 说什么东西都是神，对，都是神。然后他当时说是每天他基本在世家待到工作要工作十六到十七小时，每天都要对十六到十七小时起的比鸡早啊，然后睡的比基晚。对，就是每天基本上第一个到，然后干到就是说公司完全没人，那他跟走走，但是确实然后然后因为是因为工作了以后，就是说虽然就是收入有保证了嘛，, Start Time: 1231210
Text: 不像以前上学的时候，但是工作实在太忙，包括做游戏的话，加班这些东西肯定常有是，所以到家大哥基本就是每天工在公司待待待到待完以后回家就是只睡觉什么什么也不干。然后结果就因为这事儿，可能女朋友冷落了，女朋友不高兴了。对，觉得可能是是不是他觉觉对对对，感情已已经到了了，, Start Time: 1258050
Text: 就一为一对，因为这个分手的没交作业，这都我不知道。呃，等于是大哥就是这么玩命的干干了，大概有将近八个月。嗯，之后他第一次就是说他自己能完全独立制作一个角色。嗯，在游戏里跑的时候，他哥反正当时说是就是基本上眼眼眼睛都湿了哦，特别特别感动。然后就就觉得说哎这这这行我要干一辈子哦，, Start Time: 1277490
Text: 对，那等于他这个很坎坷呀。对，其实是挺也也挺励志的一个苦孩子，是不是到干到现在能做这个公司的董事，确实也当当年是没没少下苦，没少下苦功夫，做什么都不容易。对啊，等于是之前咱们说的是他刚刚入社的时候，经手的是那个 onicr 三六零，他当时做的是那个那个叫 g lock 吧，, Start Time: 1306390
Text: 好像是一个一个一个射击游戏。嗯，当时他负责的是，他基本上他当时铃铃木域的时候已经这呃做这个的时候，铃木玉已经去开发那个摩德罗 one 那个三 d 机版了。嗯，等于他等于这个这个游戏基本上是让这些新人用那个充过火网。嗯，当时来来来做一些换皮的。对对对，然后他哥做完这以后，, Start Time: 1332570
Text: 大概是已经是九零九九零年，九一年还是九零年初，然后之后很快就转移到我第六办的那个三 d 游戏哦，呃 v 亚赛车嗯， VR 赛车。对对，这等于是世嘉第一款啊，他之前做过那种二 d 模拟假三 d 的游戏，但是完全用多边形来来来做的赛车游戏，这是第一款。嗯嗯嗯，, Start Time: 1353050
Text: 当时这个游戏也有很多创新的地方吧，因为他当时他他虽然是世嘉的第一款三 d 游戏，但是并不是日本的那个第一款三 d 赛车游戏。嗯，他是日本第一款是那个大概是八，可能是八八九年，还是反正就是比他早两三两到三年的那个南宫。嗯，当时买的那个雅达利嘛，嗯他当时也雅达利破产嘛，, Start Time: 1376470
Text: 那后购买了他一部分的那个三 d 的研发这些技术。嗯，他做了一股一款叫那个 winning 篮，就是叫什么？好像叫 goowinning runner 吧，就是一个三一个一个一个一个也是 f 一的那个三 d 的那个热戏，当时是完全用多边形来表来表现的。但是那个游戏不能换视角哦，, Start Time: 1397800
Text: 只能固定一个在一个一个舱内视角，你可以打方向盘，然后然后然后然后然后然后然然后场等于直接是舱位对，外边在变。对对的，画很相近，就是不是外面不变，就是永远是一个视角，永远是它内视角哦永远是一样的。他的画面好像只有就是屏幕，它那个它那个赛车画面可能只占屏幕的大概三分之二或三分之一。, Start Time: 1415800
Text: 嗯，只能看那小块场景。就是说你能看见那个就是透过你驾驶员的那个视角，嗯，看见那个玻璃外边那那那那一点点的那个场景，但是 VI 赛车的话就可以切换车内之外对车头几个视角。对，而且当时那个这这个这个算是比较时时的一个一个一个设计。对，而且当时啊对，然后然后这个 VR 赛车以后，, Start Time: 1434100
Text: 然后他又做了一款那个在九三年做了一款世嘉。当时呃日本那什么很火嘛，街霸很火嘛。嗯然后那格斗游戏世嘉当时也尝试着做了几款那个阿里格斗游戏。嗯，然后他这他呃，出了出他那个其他其他那部门那个那名字忘了，就是他 AM 二做了一款叫那个嗯巴尼古古拉游吧， burning rival 啊。, Start Time: 1456490
Text: 对对对，嗯，就是他那个到时候咱们可以看那个听听节目时候可以看贴士，到时候咱们就把游游戏画面给贴出来。嗯，那个那个画面其实是非常漂亮的，嗯，感觉是那个分辨率很高，然后发色数什么也很到位。嗯，对，等于是大哥是三 d 二 d 全能全全全配做哦，就是通过这这这一系列，, Start Time: 1479230
Text: 然后他这两方面的东西都会了。对嗯呃他当时在是那个 VR 赛车的项目里边挂的是那个 CD 设计。嗯嗯，然后但是二 d 的话，估计大哥就是去画那些点阵图，嗯，或者或者去画那些那个二 d 的那那些那些动画背景。嗯，其实你通过这个游戏可以看出来，就是一个是当时三 d 那个 VV 赛车，, Start Time: 1499570
Text: 虽然是三 d 第一个三 d 但是当时三 d 游戏的那个画面表现力是很有限的。嗯，没有贴图，然后根边形式也很低，跟现现肯肯定不不了。但是是二二当当其其实已经可以画出很漂亮的画了。嗯，所以当时在日本其实包包括就是说在世家社内，他是有一个三 d 和二 d 二 d 游戏，, Start Time: 1521210
Text: 哪个是未来业界的那个走势的一个争论。哦，对，肯定是铃木玉那派派就是坚持三 d 嗯，认为这个技术将来发展到最后，肯定是未来的那个走向。但是零那个一些保守派就是可能也是明锐，当时确实也是刚入行嘛。嗯，他就是很很花了很长时间在那个游戏美术这块的那个学习嘛。嗯，他觉得说你只要在基本上嗯 CPU 更更更更强一点，, Start Time: 1539070
Text: 然后发特术也好的块的一些限制也好，更多点，更多更多一点。我肯定能把二 spprid 的写美术术到极限。嗯嗯，对，他等于当当时它是属于二里的牌子哦，对，但是最后但是肯肯定还是胳膊拧不过大腿嘛，是大哥零零公寓，人家要做三 d 所以你只能跟着做。嗯，对，但是确实他说他他本人说做完 VR 赛车以后，, Start Time: 1566730
Text: 也对三 d 这块儿有了一个重新的认识。嗯，觉得三 d 这块确实有一些他独到的这个表现力其实不错，对帧数也好，嗯，但是包括还有镜头，镜头的那个预警也好，更自由了，对吧？嗯，然后这两款之后，就是大哥参与到那个世嘉的一个大作，嗯，就是 VR 战士哦， VR 战士这个绝对是当年的一个划时代的游戏嘛。, Start Time: 1590720
Text: 嗯，他嗯就是等于是第一款可以用这个三 d 骨骼来驱动的这个去用真人那么一个一个格斗游戏。那他当初是负责什么了？嗯，他还是 CD 设计哦，但是我我觉得他这个游戏为什么对他有影响？就说这个游戏嗯当时在世嘉盛内立项的时候也是特别阻力，特别大。嗯，因为当时三 d 没有人做过角色，, Start Time: 1614580
Text: 嗯，因为当时一般做的那个都是赛车也好，射击也好。嗯，呃谷歌很简单的嘛，就跑跑转转个轮子也好。然后对对对，这种复杂的真人的这种，而且还是格斗游戏，要求你的这个动作肯定精度更更高嘛。对，没有人做过。而且当时铃木玉基本上已经可以算功成名就了。嗯，他说你要是非要做这个做砸了，, Start Time: 1641090
Text: 对你个人也好，对公司声誉也好，都是一个很大的损失。嗯，但是林木玉当时确实那那个能能能看出大哥大哥很很很很很有先锋精神嘛。嗯，说呃三 d 动画这东西虽然现在还没人做，嗯，但是将来早晚得做。哦，对，他说这个这这这个课题你是逃不开的。嗯，所以说我们现在第一个做还占个先机，, Start Time: 1661190
Text: 占个先机。然后而且即便是我们做次做次了，就是做失败了。嗯，这个呃经验和技术对也都保留下。对对，我们之后有多保留，嗯，所以他坚持下来了。而且在联盟玉的这个概影下嘛，嗯性新闻确实游戏的那个完成度非常高。嗯嗯，明月自己的话来说，他说很多游戏就是你立项之初的那个概念和你做成品的个差差是有是有差距的就缩吧。, Start Time: 1685770
Text: 对，也说也好，好，就中中间妥协也好，嗯，肯定会会肯肯定会有一些细微的那些不一样。但是 VR 战士从立项当初到你最后完成品，就是玩完原汁原味，全部保全都保存下来的这么这么一个游戏？嗯，而且为什么说这个游戏的那个就是这就这这块说一个小知识啊，就是为什么说这游戏戏是三游日本三 d 一个游戏的鼻祖。, Start Time: 1711230
Text: 他当时这个开发组的一些人就做完这个游戏以后，因为当时史家就是完全就是把功劳就是放在林木玉一身自己身上嘛。嗯，咱们也听说过林公玉什么去那个找吴连芝来骑的篮极拳队。所以一些他当时那个开发组的一些也算是骨干吧。觉得自己被冷落之后，跳到了南梦宫，做了铁拳。对，这是真事儿，, Start Time: 1733570
Text: 这是真事儿。当时是他那个叫石井精一，嗯，但他的那个他的职位也是随机设计，嗯，可能也是是是具体的职位是动作也好，还是剪波好，咱不知道了。嗯，但是他肯定是应该是全能参与到这个这个这个项目了。然后大哥就是等于是铁拳也是 VF 的鼓血在这这些队伍来做的。包括后来大哥大哥，, Start Time: 1759730
Text: 最后他们是那个这这这这波人是跳到那个石刻什威尔。对，做了那个行刑恶斗，就是那个头霸了。对，就叫神明人设的那个。嗯，对，这算一个就是那个一个片门小知识啊，挺有意思。对，然后等于是 VF 这个完了以后，因为大哥也可能觉得也是自己经验已经比较比较足了，然后开始了自己第一个挑大梁的那个游戏，, Start Time: 1779830
Text: 就是那个梦梦游美国。嗯嗯，但但呃叫怎么怎么发音来着，什么得通的 USUS 啊。对，这这这个这游戏不是不是熟啊。嗯你要是来咱们那个老，就是经常看电转的那个挺牛。可能是的，当时天师特别喜欢那游戏，他是强推那 DC 版的那个梦美嘛。嗯，这个游戏其实呃在当时的话也有很多那种呃划时代的这种设计。, Start Time: 1805320
Text: 就比如他是第一个嗯用到了那个贴图技术的这个三 d 游戏。哦，当时吧，当时那个 modedul one，他他他这个基本已经已经已经换的那个进化了，就是那个 modedul two 嗯 model 二。对对对对，嗯，但是呃等于是因为因为 model 一的时候没有贴图功能嘛，, Start Time: 1832670
Text: 很很很没人诟病。那二的时候就已经有功能，有有有贴图这个功能了，但是它只能当时只能用黑白两色贴图，黑白两色贴。对，等于它里边那些，你看那那那那些车那些商标，嗯，包括那些车上那些那那那些那些自主装饰，还得需要用那个带颜色多边形去贴哦。对，等于后来那个出完了这以后，, Start Time: 1853430
Text: 那个南木宫出了那个山地赛车嘛，嗯两两也是有贴图。所以当时大哥还觉得那个自己这个被人被人给比下去了哦。但是那个后来南木工跳槽过十佳的那个有一高层叫佐佐木剪见人嘛。嗯，当时他们开会嘛，嗯然后就是你还说说说说你们既然能能用那个没有贴图的这个做的做到这个质量，嗯，, Start Time: 1877150
Text: 说还还还是挺配合不错。对，而且这个游戏当时孟美是强调甩尾，嗯，当时在市市面也是市面上第一个强调甩尾的那个赛车游戏。当时也是在那个立项会议上的时候，大家说你现在赛车游戏，你要是就是没有没有人懂甩尾，是是是什么？说你你要做甩尾的话，玩家肯定不认可。嗯，说玩家就希望赛车你只是跑跑的爽就跑速度。, Start Time: 1899470
Text: 对，就是包括入弯的时候找找那个入弯的角度，嗯，怎么怎么入弯出弯就就奇怪。嗯，做甩尾的话没有人认，嗯，大哥还是很坚持的，就是非要表现嗯这个这个这个这个这个甩尾的这个玩法。嗯，但是当时也是做完了以后，在测试的时候就是反响很不好。嗯，大家觉得拐弯太难了，很奇怪，, Start Time: 1924020
Text: 对，很奇怪。但是也是经过了反目调整以后，嗯，然后最终这个成品嗯确实是相当于呃赛车史上一个比较，还是反正还还是可以很很成功的一个赛车游戏吧。嗯，他当时那个他在在已经是他是九四年的游戏嘛，他在在日本九八年的阶机的那个投币投币排行榜，排行榜上，还有梦美的那个影子，, Start Time: 1941400
